ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,410.05      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 170909 3600 000000-010000   00    1275.15  683.3   1393.50    -1.17    -9999
ALMA-ATA-B 170909 3600 010000-020000   00    1274.92  683.5   1394.49    -1.10    -9999
ALMA-ATA-B 170909 3600 020000-030000   00    1267.35  683.6   1387.15    -1.62    -9999
ALMA-ATA-B 170909 3600 030000-040000   00    1262.93  683.8   1384.23    -1.83    -9999
ALMA-ATA-B 170909 3600 040000-050000   00    1257.08  683.8   1378.86    -2.21    -9999
ALMA-ATA-B 170909 3600 050000-060000   00    1259.54  683.9   1382.02    -1.99    -9999
ALMA-ATA-B 170909 3600 060000-070000   00    1259.04  683.9   1381.29    -2.04    -9999
ALMA-ATA-B 170909 3600 070000-080000   00    1261.80  683.9   1384.31    -1.83    -9999
ALMA-ATA-B 170909 3600 080000-090000   00    1261.42  683.8   1383.58    -1.88    -9999
ALMA-ATA-B 170909 3600 090000-100000   00    1260.77  683.9   1383.35    -1.89    -9999
ALMA-ATA-B 170909 3600 100000-110000   00    1260.39  684.0   1383.32    -1.90    -9999
ALMA-ATA-B 170909 3600 110000-120000   00    1259.04  684.1   1383.46    -1.89    -9999
ALMA-ATA-B 170909 3600 120000-130000   00    1254.31  684.5   1382.30    -1.97    -9999
ALMA-ATA-B 170909 3600 130000-140000   00    1252.06  684.8   1382.40    -1.96    -9999
ALMA-ATA-B 170909 3600 140000-150000   00    1250.62  685.1   1383.78    -1.86    -9999
ALMA-ATA-B 170909 3600 150000-160000   00    1254.96  684.8   1385.78    -1.72    -9999
ALMA-ATA-B 170909 3600 160000-170000   00    1262.79  684.5   1391.43    -1.32    -9999
ALMA-ATA-B 170909 3600 170000-180000   00    1270.98  684.3   1398.67    -0.81    -9999
ALMA-ATA-B 170909 3600 180000-190000   00    1280.42  684.0   1405.87    -0.30    -9999
ALMA-ATA-B 170909 3600 190000-200000   00    1284.61  683.6   1406.45    -0.26    -9999
ALMA-ATA-B 170909 3600 200000-210000   00    1288.78  683.3   1407.60    -0.17    -9999
ALMA-ATA-B 170909 3600 210000-220000   00    1289.62  682.9   1404.73    -0.38    -9999
ALMA-ATA-B 170909 3600 220000-230000   00    1293.00  682.7   1406.46    -0.25    -9999
ALMA-ATA-B 170909 3600 230000-240000   00    1293.95  682.4   1405.13    -0.35    -9999
ALMA-ATA-B 170910 3600 000000-010000   00    1296.24  682.4   1407.25    -0.20    -9999
ALMA-ATA-B 170910 3600 010000-020000   00    1291.10  682.5   1402.17    -0.56    -9999
ALMA-ATA-B 170910 3600 020000-030000   00    1293.10  682.4   1403.58    -0.46    -9999
ALMA-ATA-B 170910 3600 030000-040000   00    1296.41  682.3   1406.56    -0.25    -9999
ALMA-ATA-B 170910 3600 040000-050000   00    1300.76  682.4   1411.73     0.12    -9999
