BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    820     mb     COEFFICIENT   -0.73     % / mb
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    123.22      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
BAKSAN     170909 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
BAKSAN     170909 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
BAKSAN     170909 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
BAKSAN     170909 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
BAKSAN     170909 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
BAKSAN     170909 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
BAKSAN     170909 3600 060000-070000   00     113.16  837.5    121.19    -1.65    -9999
BAKSAN     170909 3600 070000-080000   00     114.09  837.0    121.77    -1.18    -9999
BAKSAN     170909 3600 080000-090000   00     114.29  836.5    121.54    -1.37    -9999
BAKSAN     170909 3600 090000-100000   00     114.80  836.3    121.83    -1.14    -9999
BAKSAN     170909 3600 100000-110000   00     114.39  836.2    121.33    -1.54    -9999
BAKSAN     170909 3600 110000-120000   00     115.31  836.1    122.22    -0.81    -9999
BAKSAN     170909 3600 120000-130000   00     115.39  836.3    122.45    -0.63    -9999
BAKSAN     170909 3600 130000-140000   00     114.19  836.5    121.42    -1.47    -9999
BAKSAN     170909 3600 140000-150000   00     113.72  837.0    121.31    -1.55    -9999
BAKSAN     170909 3600 150000-160000   00     113.45  837.4    121.41    -1.47    -9999
BAKSAN     170909 3600 160000-170000   00     113.04  838.0    121.49    -1.41    -9999
BAKSAN     170909 3600 170000-180000   00     112.51  838.3    121.17    -1.67    -9999
BAKSAN     170909 3600 180000-190000   00     113.95  837.9    122.36    -0.70    -9999
BAKSAN     170909 3600 190000-200000   00     115.05  837.4    123.15    -0.06    -9999
BAKSAN     170909 3600 200000-210000   00     115.01  837.2    122.84    -0.31    -9999
BAKSAN     170909 3600 210000-220000   00     114.87  837.0    122.58    -0.52    -9999
BAKSAN     170909 3600 220000-230000   00     115.37  836.8    122.94    -0.23    -9999
BAKSAN     170909 3600 230000-240000   00     115.80  836.7    123.30     0.06    -9999
BAKSAN     170910 3600 000000-010000   00     115.46  836.8    122.98    -0.20    -9999
BAKSAN     170910 3600 010000-020000   00     116.57  836.8    124.19     0.78    -9999
BAKSAN     170910 3600 020000-030000   00     115.85  836.9    123.52     0.24    -9999
BAKSAN     170910 3600 030000-040000   00     115.67  837.1    123.48     0.21    -9999
BAKSAN     170910 3600 040000-050000   00     116.04  837.1    123.86     0.51    -9999
BAKSAN     170910 3600 050000-060000   00     115.27  836.9    122.87    -0.29    -9999
BAKSAN     170910 3600 060000-070000   00     116.00  836.7    123.54     0.26    -9999
BAKSAN     170910 3600 070000-080000   00     116.51  836.4    123.76     0.43    -9999
BAKSAN     170910 3600 080000-090000   00     116.76  836.1    123.74     0.42    -9999
BAKSAN     170910 3600 090000-100000   00     117.07  835.9    123.91     0.55    -9999
BAKSAN     170910 3600 100000-110000   00     116.16  835.8    122.83    -0.32    -9999
BAKSAN     170910 3600 110000-120000   00     116.53  835.4    122.91    -0.26    -9999
BAKSAN     170910 300  120000-120500   00     117.33  835.4    123.73     0.41    -9999
BAKSAN     170910 300  120500-121000   00     115.78  835.4    122.16    -0.87    -9999
