Fort-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort-SMITH STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
Fort-SMITH PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
Fort-SMITH PRE-INCREASE AVERAGE COUNTING RATE    216.78      COUNTS PER SECOND
Fort-SMITH TIME INTERVALS    300         3600     
Fort-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
Fort-SMITH 170909 3600 000000-010000   00     264.54  981.6    208.64    -3.76    -9999
Fort-SMITH 170909 3600 010000-020000   00     265.10  981.8    209.37    -3.42    -9999
Fort-SMITH 170909 3600 020000-030000   00     265.73  982.3    210.62    -2.84    -9999
Fort-SMITH 170909 3600 030000-040000   00     266.42  982.7    211.85    -2.28    -9999
Fort-SMITH 170909 3600 040000-050000   00     266.47  982.9    212.14    -2.14    -9999
Fort-SMITH 170909 3600 050000-060000   00     265.77  983.2    212.06    -2.18    -9999
Fort-SMITH 170909 3600 060000-070000   00     265.86  983.4    212.53    -1.96    -9999
Fort-SMITH 170909 3600 070000-080000   00     263.36  983.7    211.06    -2.64    -9999
Fort-SMITH 170909 3600 080000-090000   00     263.47  984.0    211.63    -2.38    -9999
Fort-SMITH 170909 3600 090000-100000   00     264.70  984.3    212.99    -1.75    -9999
Fort-SMITH 170909 3600 100000-110000   00     265.74  984.3    213.83    -1.36    -9999
Fort-SMITH 170909 3600 110000-120000   00     264.59  984.4    213.03    -1.73    -9999
Fort-SMITH 170909 3600 120000-130000   00     264.77  984.6    213.60    -1.47    -9999
Fort-SMITH 170909 3600 130000-140000   00     265.25  984.8    214.30    -1.14    -9999
Fort-SMITH 170909 3600 140000-150000   00     266.15  984.9    215.10    -0.78    -9999
Fort-SMITH 170909 3600 150000-160000   00     265.99  985.0    215.25    -0.71    -9999
Fort-SMITH 170909 3600 160000-170000   00     266.98  984.9    215.79    -0.46    -9999
Fort-SMITH 170909 3600 170000-180000   00     268.41  984.6    216.55    -0.11    -9999
Fort-SMITH 170909 3600 180000-190000   00     269.56  984.4    217.13     0.16    -9999
Fort-SMITH 170909 3600 190000-200000   00     269.64  984.2    216.86     0.04    -9999
Fort-SMITH 170909 3600 200000-210000   00     268.92  984.0    215.99    -0.37    -9999
Fort-SMITH 170909 3600 210000-220000   00     268.14  983.8    215.02    -0.82    -9999
Fort-SMITH 170909 3600 220000-230000   00     268.10  983.3    214.23    -1.18    -9999
Fort-SMITH 170909 3600 230000-240000   00     268.88  983.0    214.28    -1.15    -9999
Fort-SMITH 170910 3600 000000-010000   00     270.19  982.6    214.73    -0.95    -9999
Fort-SMITH 170910 3600 010000-020000   00     270.63  982.3    214.53    -1.04    -9999
Fort-SMITH 170910 3600 020000-030000   00     271.31  981.9    214.52    -1.04    -9999
Fort-SMITH 170910 3600 030000-040000   00     271.42  981.7    214.21    -1.19    -9999
Fort-SMITH 170910 3600 040000-050000   00     272.48  981.3    214.44    -1.08    -9999
Fort-SMITH 170910 3600 050000-060000   00     272.60  980.9    213.85    -1.35    -9999
Fort-SMITH 170910 3600 060000-070000   00     274.26  980.3    214.23    -1.18    -9999
Fort-SMITH 170910 3600 070000-080000   00     276.64  979.5    214.73    -0.95    -9999
Fort-SMITH 170910 3600 080000-090000   00     279.50  978.5    215.33    -0.67    -9999
Fort-SMITH 170910 3600 090000-100000   00     280.78  978.0    215.49    -0.60    -9999
Fort-SMITH 170910 3600 100000-110000   00     283.01  977.3    216.07    -0.33    -9999
Fort-SMITH 170910 3600 110000-120000   00     284.19  976.8    216.17    -0.28    -9999
Fort-SMITH 170910 300  120000-120500   00     282.24  976.6    214.44    -1.08    -9999
Fort-SMITH 170910 300  120500-121000   00     287.64  976.6    218.44     0.77    -9999
Fort-SMITH 170910 300  121000-121500   00     285.09  976.5    216.47    -0.15    -9999
Fort-SMITH 170910 300  121500-122000   00     286.62  976.5    217.63     0.39    -9999
Fort-SMITH 170910 300  122000-122500   00     285.06  976.5    216.45    -0.15    -9999
Fort-SMITH 170910 300  122500-123000   00     284.78  976.5    216.19    -0.27    -9999
Fort-SMITH 170910 300  123000-123500   00     284.94  976.4    216.13    -0.30    -9999
Fort-SMITH 170910 300  123500-124000   00     287.58  976.3    217.98     0.55    -9999
Fort-SMITH 170910 300  124000-124500   00     285.74  976.3    216.52    -0.12    -9999
Fort-SMITH 170910 300  124500-125000   00     284.51  976.2    215.54    -0.58    -9999
Fort-SMITH 170910 300  125000-125500   00     285.06  976.2    215.92    -0.40    -9999
Fort-SMITH 170910 300  125500-130000   00     286.07  976.2    216.60    -0.08    -9999
Fort-SMITH 170910 300  130000-130500   00     285.46  976.1    216.11    -0.31    -9999
Fort-SMITH 170910 300  130500-131000   00     287.58  976.1    217.67     0.41    -9999
Fort-SMITH 170910 300  131000-131500   00     285.05  976.1    215.69    -0.50    -9999
Fort-SMITH 170910 300  131500-132000   00     288.45  976.1    218.28     0.69    -9999
Fort-SMITH 170910 300  132000-132500   00     283.13  976.1    214.30    -1.14    -9999
