INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.58     % / mb
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    193.52      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
INUVIK     170909 3600 000000-010000   00     204.99 1002.5    189.18    -2.24    -9999
INUVIK     170909 3600 010000-020000   00     203.52 1002.4    187.60    -3.06    -9999
INUVIK     170909 3600 020000-030000   00     201.81 1002.4    186.00    -3.89    -9999
INUVIK     170909 3600 030000-040000   00     202.54 1002.4    186.72    -3.51    -9999
INUVIK     170909 3600 040000-050000   00     205.97 1002.3    189.78    -1.93    -9999
INUVIK     170909 3600 050000-060000   00     205.22 1002.2    188.93    -2.37    -9999
INUVIK     170909 3600 060000-070000   00     205.03 1002.2    188.70    -2.49    -9999
INUVIK     170909 3600 070000-080000   00     204.87 1002.3    188.70    -2.49    -9999
INUVIK     170909 3600 080000-090000   00     204.27 1002.2    188.04    -2.83    -9999
INUVIK     170909 3600 090000-100000   00     204.64 1002.3    188.45    -2.62    -9999
INUVIK     170909 3600 100000-110000   00     204.78 1002.3    188.57    -2.56    -9999
INUVIK     170909 3600 110000-120000   00     206.01 1002.1    189.53    -2.06    -9999
INUVIK     170909 3600 120000-130000   00     206.93 1002.2    190.53    -1.54    -9999
INUVIK     170909 3600 130000-140000   00     205.24 1002.5    189.28    -2.19    -9999
INUVIK     170909 3600 140000-150000   00     205.91 1002.4    189.88    -1.88    -9999
INUVIK     170909 3600 150000-160000   00     207.12 1002.4    190.91    -1.35    -9999
INUVIK     170909 3600 160000-170000   00     207.19 1002.3    190.80    -1.40    -9999
INUVIK     170909 3600 170000-180000   00     207.92 1002.3    191.55    -1.02    -9999
INUVIK     170909 3600 180000-190000   00     207.85 1002.4    191.58    -1.00    -9999
INUVIK     170909 3600 190000-200000   00     208.05 1002.5    191.89    -0.84    -9999
INUVIK     170909 3600 200000-210000   00     208.71 1002.6    192.63    -0.46    -9999
INUVIK     170909 3600 210000-220000   00     208.39 1002.5    192.21    -0.68    -9999
INUVIK     170909 3600 220000-230000   00     208.02 1002.6    192.06    -0.75    -9999
INUVIK     170909 3600 230000-240000   00     206.76 1002.8    191.16    -1.22    -9999
INUVIK     170910 3600 000000-010000   00     206.23 1003.1    191.18    -1.21    -9999
INUVIK     170910 3600 010000-020000   00     205.64 1003.5    191.21    -1.19    -9999
INUVIK     170910 3600 020000-030000   00     205.09 1004.1    191.50    -1.04    -9999
INUVIK     170910 3600 030000-040000   00     204.30 1004.6    191.51    -1.04    -9999
INUVIK     170910 3600 040000-050000   00     203.34 1004.9    191.04    -1.28    -9999
INUVIK     170910 3600 050000-060000   00     203.50 1005.1    191.39    -1.10    -9999
INUVIK     170910 3600 060000-070000   00     203.55 1005.3    191.82    -0.88    -9999
INUVIK     170910 3600 070000-080000   00     202.95 1005.5    191.50    -1.04    -9999
INUVIK     170910 3600 080000-090000   00     203.23 1005.7    191.97    -0.80    -9999
INUVIK     170910 3600 090000-100000   00     202.51 1005.8    191.44    -1.07    -9999
INUVIK     170910 3600 100000-110000   00     202.77 1006.0    192.02    -0.77    -9999
INUVIK     170910 3600 110000-120000   00     203.52 1006.1    192.95    -0.29    -9999
INUVIK     170910 300  120000-120500   00     203.37 1006.3    193.10    -0.22    -9999
INUVIK     170910 300  120500-121000   00     203.38 1006.4    193.19    -0.17    -9999
INUVIK     170910 300  121000-121500   00     201.27 1006.4    191.21    -1.19    -9999
INUVIK     170910 300  121500-122000   00     202.52 1006.4    192.42    -0.56    -9999
INUVIK     170910 300  122000-122500   00     201.94 1006.5    191.90    -0.84    -9999
INUVIK     170910 300  122500-123000   00     201.92 1006.5    191.94    -0.81    -9999
INUVIK     170910 300  123000-123500   00     203.92 1006.5    193.90     0.20    -9999
INUVIK     170910 300  123500-124000   00     201.75 1006.6    191.86    -0.85    -9999
INUVIK     170910 300  124000-124500   00     202.46 1006.6    192.64    -0.45    -9999
INUVIK     170910 300  124500-125000   00     204.39 1006.7    194.57     0.55    -9999
INUVIK     170910 300  125000-125500   00     203.44 1006.7    193.69     0.09    -9999
INUVIK     170910 300  125500-130000   00     201.22 1006.7    191.62    -0.98    -9999
INUVIK     170910 300  130000-130500   00     201.20 1006.7    191.61    -0.99    -9999
INUVIK     170910 300  130500-131000   00     202.38 1006.7    192.68    -0.43    -9999
INUVIK     170910 300  131000-131500   00     205.11 1006.8    195.36     0.95    -9999
INUVIK     170910 300  131500-132000   00     202.41 1006.8    192.89    -0.33    -9999
INUVIK     170910 300  132000-132500   00     202.39 1006.9    192.93    -0.30    -9999
INUVIK     170910 300  132500-133000   00     203.41 1006.8    193.84     0.17    -9999
INUVIK     170910 300  133000-133500   00     202.91 1006.8    193.38    -0.07    -9999
INUVIK     170910 300  133500-134000   00     203.01 1006.8    193.48    -0.02    -9999
INUVIK     170910 300  134000-134500   00     202.77 1006.9    193.38    -0.07    -9999
INUVIK     170910 300  134500-135000   00     204.46 1007.0    195.08     0.81    -9999
INUVIK     170910 300  135000-135500   00     202.31 1007.0    193.06    -0.24    -9999
INUVIK     170910 300  135500-140000   00     201.99 1007.0    192.76    -0.39    -9999
INUVIK     170910 300  140000-140500   00     204.10 1007.0    194.82     0.67    -9999
INUVIK     170910 300  140500-141000   00     202.62 1007.0    193.38    -0.07    -9999
INUVIK     170910 300  141000-141500   00     202.35 1007.0    193.14    -0.20    -9999
INUVIK     170910 300  141500-142000   00     200.53 1007.1    191.44    -1.07    -9999
INUVIK     170910 300  142000-142500   00     200.98 1007.1    191.94    -0.82    -9999
INUVIK     170910 300  142500-143000   00     202.82 1007.2    193.79     0.14    -9999
INUVIK     170910 300  143000-143500   00     202.75 1007.2    193.76     0.12    -9999
INUVIK     170910 300  143500-144000   00     203.31 1007.2    194.27     0.39    -9999
INUVIK     170910 300  144000-144500   00     204.09 1007.1    194.93     0.73    -9999
INUVIK     170910 300  144500-145000   00     202.59 1007.1    193.48    -0.02    -9999
INUVIK     170910 300  145000-145500   00     201.71 1007.2    192.72    -0.41    -9999
INUVIK     170910 300  145500-150000   00     200.15 1007.2    191.23    -1.18    -9999
INUVIK     170910 300  150000-150500   00     202.53 1007.2    193.58     0.03    -9999
INUVIK     170910 300  150500-151000   00     203.27 1007.3    194.36     0.44    -9999
INUVIK     170910 300  151000-151500   00     202.73 1007.3    193.81     0.15    -9999
INUVIK     170910 300  151500-152000   00     204.40 1007.3    195.41     0.98    -9999
INUVIK     170910 300  152000-152500   00     201.67 1007.3    192.87    -0.33    -9999
INUVIK     170910 300  152500-153000   00     201.87 1007.3    193.08    -0.22    -9999
INUVIK     170910 300  153000-153500   00     203.86 1007.3    195.02     0.78    -9999
INUVIK     170910 300  153500-154000   00     200.34 1007.3    191.62    -0.98    -9999
INUVIK     170910 300  154000-154500   00     204.78 1007.2    195.75     1.16    -9999
INUVIK     170910 300  154500-155000   00     202.27 1007.2    193.36    -0.08    -9999
INUVIK     170910 300  155000-155500   00     201.66 1007.2    192.79    -0.38    -9999
INUVIK     170910 300  155500-160000   00     202.69 1007.3    193.85     0.17    -9999
INUVIK     170910 300  160000-160500   00     202.59 1007.3    193.81     0.15     0.20
INUVIK     170910 300  160500-161000   00     202.92 1007.3    194.08     0.29     0.34
INUVIK     170910 300  161000-161500   00     204.45 1007.3    195.55     1.05     1.10
INUVIK     170910 300  161500-162000   00     204.53 1007.3    195.68     1.12     1.16
INUVIK     170910 300  162000-162500   00     203.12 1007.4    194.36     0.44     0.48
INUVIK     170910 300  162500-163000   00     205.04 1007.4    196.22     1.40     1.43
INUVIK     170910 300  163000-163500   00     203.94 1007.4    195.14     0.84     0.87
INUVIK     170910 300  163500-164000   00     203.69 1007.4    194.93     0.73     0.75
INUVIK     170910 300  164000-164500   00     208.47 1007.4    199.56     3.12     3.14
INUVIK     170910 300  164500-165000   00     205.09 1007.5    196.37     1.47     1.48
INUVIK     170910 300  165000-165500   00     208.03 1007.5    199.18     2.93     2.94
INUVIK     170910 300  165500-170000   00     206.41 1007.4    197.58     2.10     2.10
INUVIK     170910 300  170000-170500   00     208.58 1007.4    199.62     3.15     3.15
INUVIK     170910 300  170500-171000   00     207.25 1007.4    198.34     2.49     2.48
INUVIK     170910 300  171000-171500   00     208.57 1007.4    199.63     3.16     3.15
INUVIK     170910 300  171500-172000   00     209.53 1007.4    200.55     3.64     3.62
INUVIK     170910 300  172000-172500   00     209.32 1007.4    200.38     3.55     3.53
INUVIK     170910 300  172500-173000   00     208.14 1007.4    199.25     2.96     2.93
INUVIK     170910 300  173000-173500   00     211.62 1007.5    202.61     4.70     4.67
INUVIK     170910 300  173500-174000   00     211.75 1007.5    202.80     4.80     4.76
INUVIK     170910 300  174000-174500   00     210.23 1007.5    201.38     4.07     4.03
INUVIK     170910 300  174500-175000   00     210.24 1007.5    201.42     4.08     4.03
INUVIK     170910 300  175000-175500   00     210.48 1007.5    201.66     4.21     4.16
INUVIK     170910 300  175500-180000   00     212.46 1007.5    203.56     5.19     5.13
INUVIK     170910 300  180000-180500   00     213.58 1007.5    204.56     5.70     5.64
INUVIK     170910 300  180500-181000   00     213.08 1007.5    204.06     5.45     5.38
INUVIK     170910 300  181000-181500   00     210.18 1007.5    201.29     4.02     3.95
INUVIK     170910 300  181500-182000   00     211.09 1007.5    202.17     4.47     4.39
INUVIK     170910 300  182000-182500   00     212.19 1007.5    203.23     5.02     4.94
INUVIK     170910 300  182500-183000   00     210.69 1007.5    201.75     4.26     4.18
INUVIK     170910 300  183000-183500   00     210.14 1007.5    201.24     3.99     3.90
INUVIK     170910 300  183500-184000   00     209.27 1007.4    200.33     3.52     3.43
INUVIK     170910 300  184000-184500   00     210.00 1007.4    201.01     3.87     3.77
INUVIK     170910 300  184500-185000   00     210.42 1007.4    201.42     4.08     3.98
INUVIK     170910 300  185000-185500   00     209.97 1007.4    200.99     3.86     3.75
INUVIK     170910 300  185500-190000   00     212.36 1007.4    203.24     5.03     4.92
INUVIK     170910 300  190000-190500   00     208.83 1007.4    199.88     3.29     3.17
INUVIK     170910 300  190500-191000   00     210.74 1007.4    201.73     4.24     4.12
INUVIK     170910 300  191000-191500   00     208.62 1007.4    199.67     3.18     3.05
INUVIK     170910 300  191500-192000   00     210.10 1007.4    201.06     3.90     3.77
INUVIK     170910 300  192000-192500   00     210.78 1007.3    201.64     4.20     4.06
INUVIK     170910 300  192500-193000   00     209.38 1007.3    200.29     3.50     3.36
INUVIK     170910 300  193000-193500   00     208.30 1007.4    199.30     2.99     2.84
INUVIK     170910 300  193500-194000   00     210.77 1007.4    201.75     4.25     4.10
INUVIK     170910 300  194000-194500   00     206.66 1007.5    197.93     2.28     2.12
INUVIK     170910 300  194500-195000   00     206.93 1007.5    198.16     2.40     2.24
INUVIK     170910 300  195000-195500   00     208.37 1007.5    199.55     3.12     2.95
INUVIK     170910 300  195500-200000   00     207.49 1007.5    198.71     2.68     2.51
INUVIK     170910 300  200000-200500   00     207.45 1007.5    198.64     2.65     2.47
INUVIK     170910 300  200500-201000   00     210.32 1007.4    201.24     3.99     3.81
INUVIK     170910 300  201000-201500   00     209.25 1007.3    200.14     3.42     3.23
INUVIK     170910 300  201500-202000   00     210.68 1007.3    201.43     4.09     3.90
INUVIK     170910 300  202000-202500   00     208.96 1007.3    199.77     3.23     3.03
INUVIK     170910 300  202500-203000   00     206.95 1007.2    197.79     2.21     2.01
INUVIK     170910 300  203000-203500   00     208.73 1007.2    199.54     3.11     2.91
INUVIK     170910 300  203500-204000   00     206.54 1007.3    197.52     2.07     1.86
INUVIK     170910 300  204000-204500   00     207.79 1007.3    198.69     2.67     2.46
INUVIK     170910 300  204500-205000   00     206.23 1007.3    197.16     1.88     1.66
INUVIK     170910 300  205000-205500   00     209.89 1007.2    200.57     3.65     3.43
INUVIK     170910 300  205500-210000   00     209.44 1007.3    200.25     3.48     3.25
INUVIK     170910 300  210000-210500   00     207.44 1007.3    198.35     2.50     2.27
INUVIK     170910 300  210500-211000   00     208.91 1007.3    199.74     3.22     2.98
INUVIK     170910 300  211000-211500   00     209.58 1007.3    200.37     3.54     3.30
INUVIK     170910 300  211500-212000   00     206.11 1007.2    197.04     1.82     1.57
INUVIK     170910 300  212000-212500   00     207.19 1007.3    198.12     2.38     2.13
INUVIK     170910 300  212500-213000   00     207.25 1007.3    198.14     2.39     2.13
INUVIK     170910 300  213000-213500   00     208.63 1007.2    199.40     3.04     2.78
INUVIK     170910 300  213500-214000   00     207.27 1007.2    198.09     2.36     2.09
INUVIK     170910 300  214000-214500   00     207.34 1007.2    198.18     2.41     2.14
INUVIK     170910 300  214500-215000   00     206.46 1007.2    197.36     1.99     1.71
INUVIK     170910 300  215000-215500   00     208.99 1007.2    199.75     3.22     2.94
INUVIK     170910 300  215500-220000   00     207.73 1007.2    198.54     2.60     2.31
INUVIK     170910 300  220000-220500   00     208.33 1007.2    199.11     2.89     2.60
INUVIK     170910 300  220500-221000   00     208.70 1007.2    199.47     3.07     2.77
INUVIK     170910 300  221000-221500   00     207.67 1007.3    198.56     2.60     2.30
INUVIK     170910 300  221500-222000   00     208.52 1007.2    199.32     3.00     2.69
INUVIK     170910 300  222000-222500   00     210.46 1007.2    201.12     3.93     3.62
INUVIK     170910 300  222500-223000   00     209.54 1007.2    200.17     3.44     3.12
INUVIK     170910 300  223000-223500   00     207.90 1007.2    198.63     2.64     2.32
INUVIK     170910 300  223500-224000   00     208.49 1007.2    199.22     2.95     2.63
INUVIK     170910 300  224000-224500   00     207.07 1007.2    197.86     2.24     1.91
INUVIK     170910 300  224500-225000   00     207.20 1007.1    197.92     2.28     1.95
INUVIK     170910 300  225000-225500   00     205.94 1007.1    196.67     1.63     1.29
INUVIK     170910 300  225500-230000   00     206.44 1007.1    197.11     1.86     1.52
INUVIK     170910 300  230000-230500   00     206.30 1007.1    196.94     1.77     1.42
INUVIK     170910 300  230500-231000   00     208.29 1007.1    198.85     2.76     2.41
INUVIK     170910 300  231000-231500   00     205.28 1007.1    195.99     1.28     0.92
INUVIK     170910 300  231500-232000   00     207.96 1007.0    198.51     2.58     2.22
INUVIK     170910 300  232000-232500   00     206.89 1007.0    197.42     2.02     1.65
INUVIK     170910 300  232500-233000   00     206.91 1007.0    197.43     2.02     1.65
INUVIK     170910 300  233000-233500   00     205.95 1007.0    196.50     1.54     1.16
INUVIK     170910 300  233500-234000   00     208.59 1007.0    199.03     2.85     2.47
INUVIK     170910 300  234000-234500   00     206.55 1007.0    197.11     1.86     1.47
INUVIK     170910 300  234500-235000   00     208.29 1007.0    198.71     2.69     2.30
INUVIK     170910 300  235000-235500   00     207.07 1007.0    197.57     2.09     1.69
INUVIK     170910 300  235500-240000   00     208.90 1007.0    199.28     2.98     2.58
INUVIK     170911 300  000000-000500   00     208.19 1006.9    198.51     2.58     2.17
INUVIK     170911 300  000500-001000   00     205.85 1006.8    196.14     1.36     0.95
INUVIK     170911 300  001000-001500   00     209.17 1006.8    199.30     2.99     2.57
INUVIK     170911 300  001500-002000   00     206.86 1006.8    197.10     1.85     1.43
INUVIK     170911 300  002000-002500   00     208.13 1006.7    198.22     2.43     2.00
INUVIK     170911 300  002500-003000   00     208.16 1006.7    198.19     2.41     1.98
INUVIK     170911 300  003000-003500   00     207.33 1006.7    197.35     1.98     1.54
INUVIK     170911 300  003500-004000   00     209.24 1006.7    199.19     2.93     2.49
INUVIK     170911 300  004000-004500   00     206.68 1006.7    196.81     1.70     1.26
INUVIK     170911 300  004500-005000   00     207.52 1006.7    197.63     2.13     1.68
INUVIK     170911 300  005000-005500   00     208.56 1006.8    198.66     2.66     2.21
INUVIK     170911 300  005500-010000   00     209.30 1006.8    199.43     3.06     2.60
INUVIK     170911 300  010000-010500   00     207.27 1006.9    197.56     2.09     1.63
INUVIK     170911 300  010500-011000   00     207.81 1006.9    198.09     2.36     1.89
INUVIK     170911 300  011000-011500   00     207.80 1006.8    198.06     2.35     1.88
INUVIK     170911 300  011500-012000   00     207.67 1006.9    198.00     2.32     1.84
INUVIK     170911 300  012000-012500   00     207.79 1006.9    198.15     2.39     1.91
INUVIK     170911 300  012500-013000   00     206.51 1006.9    196.96     1.78     1.29
INUVIK     170911 300  013000-013500   00     206.71 1006.9    197.09     1.85     1.36
INUVIK     170911 300  013500-014000   00     205.06 1006.9    195.53     1.04     0.54
INUVIK     170911 300  014000-014500   00     209.51 1006.9    199.70     3.20     2.70
INUVIK     170911 300  014500-015000   00     208.21 1006.8    198.42     2.54     2.03
INUVIK     170911 300  015000-015500   00     209.24 1006.8    199.38     3.03     2.52
INUVIK     170911 300  015500-020000   00     208.25 1006.7    198.32     2.48     1.96
INUVIK     170911 300  020000-020500   00     206.39 1006.7    196.56     1.57     1.05
INUVIK     170911 300  020500-021000   00     208.24 1006.8    198.38     2.51     1.98
INUVIK     170911 300  021000-021500   00     204.96 1006.8    195.24     0.89     0.36
INUVIK     170911 300  021500-022000   00     207.99 1006.8    198.15     2.39     1.85
INUVIK     170911 300  022000-022500   00     207.63 1006.8    197.81     2.22     1.68
INUVIK     170911 300  022500-023000   00     209.04 1006.8    199.17     2.92     2.37
INUVIK     170911 300  023000-023500   00     207.43 1006.8    197.62     2.12     1.57
INUVIK     170911 300  023500-024000   00     204.09 1006.7    194.37     0.44    -0.12
INUVIK     170911 300  024000-024500   00     205.82 1006.7    195.94     1.25     0.69
INUVIK     170911 300  024500-025000   00     205.50 1006.7    195.62     1.09     0.53
INUVIK     170911 300  025000-025500   00     208.58 1006.7    198.51     2.58     2.01
INUVIK     170911 300  025500-030000   00     207.85 1006.7    197.83     2.23     1.66
INUVIK     170911 300  030000-030500   00     205.10 1006.7    195.26     0.90     0.32
INUVIK     170911 300  030500-031000   00     206.44 1006.7    196.55     1.57     0.99
INUVIK     170911 300  031000-031500   00     207.57 1006.7    197.63     2.12     1.53
INUVIK     170911 300  031500-032000   00     206.38 1006.7    196.48     1.53     0.94
INUVIK     170911 300  032000-032500   00     206.63 1006.7    196.74     1.67     1.07
INUVIK     170911 300  032500-033000   00     206.33 1006.7    196.44     1.51     0.91
INUVIK     170911 300  033000-033500   00     207.02 1006.6    197.01     1.80     1.19
INUVIK     170911 300  033500-034000   00     205.25 1006.6    195.33     0.94     0.33
INUVIK     170911 300  034000-034500   00     204.47 1006.6    194.56     0.54    -0.08
INUVIK     170911 300  034500-035000   00     203.97 1006.6    194.03     0.27    -0.35
INUVIK     170911 300  035000-035500   00     207.46 1006.6    197.34     1.97     1.34
INUVIK     170911 300  035500-040000   00     206.24 1006.6    196.13     1.35     0.72
INUVIK     170911 300  040000-040500   00     207.69 1006.6    197.51     2.07     1.43
INUVIK     170911 300  040500-041000   00     205.42 1006.5    195.32     0.93     0.29
INUVIK     170911 300  041000-041500   00     204.88 1006.5    194.80     0.66     0.01
INUVIK     170911 300  041500-042000   00     206.48 1006.5    196.30     1.44     0.79
INUVIK     170911 300  042000-042500   00     205.28 1006.5    195.11     0.82     0.16
INUVIK     170911 300  042500-043000   00     207.34 1006.5    197.08     1.84     1.18
INUVIK     170911 300  043000-043500   00     204.32 1006.5    194.21     0.36    -0.31
INUVIK     170911 300  043500-044000   00     207.22 1006.5    196.96     1.78     1.11
INUVIK     170911 300  044000-044500   00     205.63 1006.5    195.41     0.98     0.30
INUVIK     170911 300  044500-045000   00     205.55 1006.4    195.32     0.93     0.25
INUVIK     170911 300  045000-045500   00     204.14 1006.5    194.00     0.25    -0.44
INUVIK     170911 300  045500-050000   00     204.33 1006.4    194.12     0.31    -0.38
INUVIK     170911 300  050000-050500   00     205.26 1006.4    194.94     0.74     0.05
INUVIK     170911 300  050500-051000   00     206.87 1006.3    196.43     1.51     0.81
INUVIK     170911 300  051000-051500   00     209.18 1006.3    198.60     2.63     1.93
INUVIK     170911 300  051500-052000   00     207.90 1006.3    197.34     1.98     1.27
INUVIK     170911 300  052000-052500   00     206.18 1006.3    195.70     1.13     0.42
INUVIK     170911 300  052500-053000   00     205.27 1006.3    194.84     0.68    -0.04
INUVIK     170911 300  053000-053500   00     204.77 1006.3    194.34     0.42    -0.30
INUVIK     170911 300  053500-054000   00     206.91 1006.3    196.36     1.47     0.74
INUVIK     170911 300  054000-054500   00     206.68 1006.3    196.13     1.35     0.62
INUVIK     170911 300  054500-055000   00     204.77 1006.2    194.27     0.39    -0.35
INUVIK     170911 300  055000-055500   00     205.99 1006.2    195.42     0.99     0.25
INUVIK     170911 300  055500-060000   00     204.51 1006.2    194.03     0.26    -0.49
INUVIK     170911 300  060000-060500   00     207.09 1006.2    196.48     1.53     0.78
INUVIK     170911 300  060500-061000   00     206.44 1006.2    195.87     1.21     0.45
INUVIK     170911 300  061000-061500   00     203.78 1006.3    193.37    -0.08    -0.84
INUVIK     170911 300  061500-062000   00     204.55 1006.2    194.08     0.29    -0.48
