IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    789.2   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    365.45      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   170909 3600 000000-010000   00     372.08  796.9    363.94    -0.41    -9999
IRKUTSK2   170909 3600 010000-020000   00     369.72  797.1    362.03    -0.94    -9999
IRKUTSK2   170909 3600 020000-030000   00     368.78  797.3    361.66    -1.04    -9999
IRKUTSK2   170909 3600 030000-040000   00     367.90  797.1    360.26    -1.42    -9999
IRKUTSK2   170909 3600 040000-050000   00     367.94  797.0    360.05    -1.48    -9999
IRKUTSK2   170909 3600 050000-060000   00     368.41  797.0    360.51    -1.35    -9999
IRKUTSK2   170909 3600 060000-070000   00     368.38  796.8    360.00    -1.49    -9999
IRKUTSK2   170909 3600 070000-080000   00     366.70  796.8    358.31    -1.95    -9999
IRKUTSK2   170909 3600 080000-090000   00     366.74  796.9    358.71    -1.85    -9999
IRKUTSK2   170909 3600 090000-100000   00     366.68  797.2    359.51    -1.63    -9999
IRKUTSK2   170909 3600 100000-110000   00     367.20  797.7    361.33    -1.13    -9999
IRKUTSK2   170909 3600 110000-120000   00     364.76  798.4    360.54    -1.34    -9999
IRKUTSK2   170909 3600 120000-130000   00     363.86  798.9    361.09    -1.19    -9999
IRKUTSK2   170909 3600 130000-140000   00     361.43  799.3    359.68    -1.58    -9999
IRKUTSK2   170909 3600 140000-150000   00     360.61  799.6    359.63    -1.59    -9999
IRKUTSK2   170909 3600 150000-160000   00     360.47  799.9    360.26    -1.42    -9999
IRKUTSK2   170909 3600 160000-170000   00     362.24  799.8    361.79    -1.00    -9999
IRKUTSK2   170909 3600 170000-180000   00     364.89  799.8    364.36    -0.30    -9999
IRKUTSK2   170909 3600 180000-190000   00     365.23  799.8    364.65    -0.22    -9999
IRKUTSK2   170909 3600 190000-200000   00     366.77  799.7    365.92     0.13    -9999
IRKUTSK2   170909 3600 200000-210000   00     368.05  799.6    367.11     0.45    -9999
IRKUTSK2   170909 3600 210000-220000   00     367.47  799.6    366.48     0.28    -9999
IRKUTSK2   170909 3600 220000-230000   00     367.56  799.6    366.46     0.28    -9999
IRKUTSK2   170909 3600 230000-240000   00     367.60  799.7    366.83     0.38    -9999
IRKUTSK2   170910 3600 000000-010000   00     367.92  799.8    367.34     0.52    -9999
IRKUTSK2   170910 3600 010000-020000   00     367.55  799.9    367.17     0.47    -9999
IRKUTSK2   170910 3600 020000-030000   00     367.93  799.8    367.31     0.51    -9999
IRKUTSK2   170910 3600 030000-040000   00     367.23  799.4    365.69     0.06    -9999
IRKUTSK2   170910 3600 040000-050000   00     368.24  799.3    366.25     0.22    -9999
IRKUTSK2   170910 3600 050000-060000   00     370.79  799.0    368.22     0.76    -9999
IRKUTSK2   170910 3600 060000-070000   00     369.08  798.9    366.18     0.20    -9999
IRKUTSK2   170910 3600 070000-080000   00     369.73  798.7    366.38     0.25    -9999
IRKUTSK2   170910 3600 080000-090000   00     369.62  798.5    365.77     0.09    -9999
IRKUTSK2   170910 3600 090000-100000   00     368.11  798.6    364.34    -0.30    -9999
IRKUTSK2   170910 3600 100000-110000   00     368.18  798.7    364.67    -0.21    -9999
