IRKUTSK    LATITUDE    52.1      LONGITUDE     104       ALTITUDE    433 M
IRKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     
IRKUTSK    STANDARD PRESSURE    956.5   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    178.29      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK    170909 3600 000000-010000   00     141.48  959.8    176.60    -0.95    -9999
IRKUTSK    170909 3600 010000-020000   00     141.60  959.7    176.58    -0.96    -9999
IRKUTSK    170909 3600 020000-030000   00     141.08  959.9    176.15    -1.20    -9999
IRKUTSK    170909 3600 030000-040000   00     140.53  959.8    175.40    -1.62    -9999
IRKUTSK    170909 3600 040000-050000   00     141.22  959.3    175.61    -1.50    -9999
IRKUTSK    170909 3600 050000-060000   00     141.22  958.8    175.17    -1.75    -9999
IRKUTSK    170909 3600 060000-070000   00     141.88  958.5    175.48    -1.58    -9999
IRKUTSK    170909 3600 070000-080000   00     141.93  958.2    175.12    -1.78    -9999
IRKUTSK    170909 3600 080000-090000   00     142.77  958.0    175.92    -1.33    -9999
IRKUTSK    170909 3600 090000-100000   00     141.75  958.4    175.23    -1.72    -9999
IRKUTSK    170909 3600 100000-110000   00     141.65  958.7    175.45    -1.59    -9999
IRKUTSK    170909 3600 110000-120000   00     141.38  959.1    175.55    -1.54    -9999
IRKUTSK    170909 3600 120000-130000   00     141.00  959.5    175.70    -1.46    -9999
IRKUTSK    170909 3600 130000-140000   00     140.63  959.6    175.28    -1.69    -9999
IRKUTSK    170909 3600 140000-150000   00     140.40  960.1    175.73    -1.44    -9999
IRKUTSK    170909 3600 150000-160000   00     140.73  960.5    176.47    -1.02    -9999
IRKUTSK    170909 3600 160000-170000   00     140.25  961.0    176.58    -0.96    -9999
IRKUTSK    170909 3600 170000-180000   00     140.75  961.3    177.52    -0.43    -9999
IRKUTSK    170909 3600 180000-190000   00     141.45  961.4    178.48     0.11    -9999
IRKUTSK    170909 3600 190000-200000   00     141.67  961.3    178.70     0.23    -9999
IRKUTSK    170909 3600 200000-210000   00     141.78  961.4    179.02     0.41    -9999
IRKUTSK    170909 3600 210000-220000   00     140.50  961.6    177.69    -0.34    -9999
IRKUTSK    170909 3600 220000-230000   00     140.85  961.8    178.32     0.01    -9999
IRKUTSK    170909 3600 230000-240000   00     140.93  962.0    178.70     0.23    -9999
IRKUTSK    170910 3600 000000-010000   00     141.33  961.9    179.12     0.46    -9999
IRKUTSK    170910 3600 010000-020000   00     141.70  961.8    179.48     0.67    -9999
IRKUTSK    170910 3600 020000-030000   00     141.20  961.6    178.55     0.14    -9999
IRKUTSK    170910 3600 030000-040000   00     141.67  961.5    178.92     0.35    -9999
IRKUTSK    170910 3600 040000-050000   00     141.95  961.0    178.71     0.23    -9999
IRKUTSK    170910 3600 050000-060000   00     143.24  960.6    179.85     0.87    -9999
IRKUTSK    170910 3600 060000-070000   00     142.13  960.4    178.10    -0.11    -9999
IRKUTSK    170910 3600 070000-080000   00     142.77  960.0    178.38     0.05    -9999
IRKUTSK    170910 3600 080000-090000   00     143.00  959.5    178.15    -0.08    -9999
IRKUTSK    170910 3600 090000-100000   00     142.77  959.5    177.92    -0.21    -9999
IRKUTSK    170910 3600 100000-110000   00     142.63  959.8    177.92    -0.21    -9999
IRKUTSK    170910 3600 110000-120000   00     142.53  960.2    178.40     0.06    -9999
IRKUTSK    170910 300  120000-120500   00     144.60  960.5    181.20     1.63    -9999
IRKUTSK    170910 300  120500-121000   00     141.00  960.5    177.00    -0.72    -9999
IRKUTSK    170910 300  121000-121500   00     142.80  960.5    178.60     0.17    -9999
IRKUTSK    170910 300  121500-122000   00     143.60  960.5    180.40     1.18    -9999
