JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    271.00      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  170909 3600 000000-010000   00     259.13  982.0    265.86    -1.89    -9999
JANG-BOGO  170909 3600 010000-020000   00     259.98  982.4    267.37    -1.34    -9999
JANG-BOGO  170909 3600 020000-030000   00     259.50  982.6    267.30    -1.37    -9999
JANG-BOGO  170909 3600 030000-040000   00     259.77  982.3    267.11    -1.43    -9999
JANG-BOGO  170909 3600 040000-050000   00     259.62  982.5    267.18    -1.41    -9999
JANG-BOGO  170909 3600 050000-060000   00     260.76  982.4    268.20    -1.03    -9999
JANG-BOGO  170909 3600 060000-070000   00     259.09  982.7    267.17    -1.41    -9999
JANG-BOGO  170909 3600 070000-080000   00     259.95  983.1    268.75    -0.83    -9999
JANG-BOGO  170909 3600 080000-090000   00     258.12  983.2    267.08    -1.45    -9999
JANG-BOGO  170909 3600 090000-100000   00     256.67  983.3    265.85    -1.90    -9999
JANG-BOGO  170909 3600 100000-110000   00     256.43  983.8    266.53    -1.65    -9999
JANG-BOGO  170909 3600 110000-120000   00     255.67  984.1    266.35    -1.71    -9999
JANG-BOGO  170909 3600 120000-130000   00     257.90  984.1    268.65    -0.87    -9999
JANG-BOGO  170909 3600 130000-140000   00     257.40  984.3    268.59    -0.89    -9999
JANG-BOGO  170909 3600 140000-150000   00     255.65  984.4    266.99    -1.48    -9999
JANG-BOGO  170909 3600 150000-160000   00     258.05  984.5    269.67    -0.49    -9999
JANG-BOGO  170909 3600 160000-170000   00     255.44  984.7    267.25    -1.38    -9999
JANG-BOGO  170909 3600 170000-180000   00     256.83  985.0    269.30    -0.63    -9999
JANG-BOGO  170909 3600 180000-190000   00     255.12  985.2    268.02    -1.10    -9999
JANG-BOGO  170909 3600 190000-200000   00     252.48  985.4    265.67    -1.97    -9999
JANG-BOGO  170909 3600 200000-210000   00     255.95  985.6    269.65    -0.50    -9999
JANG-BOGO  170909 3600 210000-220000   00     256.96  985.6    270.73    -0.10    -9999
JANG-BOGO  170909 3600 220000-230000   00     254.81  985.7    268.59    -0.89    -9999
JANG-BOGO  170909 3600 230000-240000   00     256.15  985.9    270.37    -0.23    -9999
JANG-BOGO  170910 3600 000000-010000   00     254.47  985.9    268.73    -0.84    -9999
JANG-BOGO  170910 3600 010000-020000   00     255.63  985.7    269.58    -0.52    -9999
JANG-BOGO  170910 3600 020000-030000   00     255.95  985.7    269.83    -0.43    -9999
JANG-BOGO  170910 3600 030000-040000   00     254.84  985.5    268.20    -1.03    -9999
JANG-BOGO  170910 3600 040000-050000   00     257.60  985.2    270.60    -0.15    -9999
JANG-BOGO  170910 3600 050000-060000   00     255.36  985.2    268.25    -1.01    -9999
JANG-BOGO  170910 3600 060000-070000   00     258.16  984.7    270.17    -0.31    -9999
JANG-BOGO  170910 3600 070000-080000   00     258.70  984.3    269.93    -0.39    -9999
JANG-BOGO  170910 3600 080000-090000   00     259.12  984.2    270.16    -0.31    -9999
JANG-BOGO  170910 3600 090000-100000   00     259.73  984.1    270.61    -0.14    -9999
JANG-BOGO  170910 3600 100000-110000   00     259.70  983.4    269.22    -0.66    -9999
JANG-BOGO  170910 3600 110000-120000   00     262.79  983.1    271.72     0.27    -9999
JANG-BOGO  170910 300  120000-120500   00     262.65  982.9    271.16     0.06    -9999
JANG-BOGO  170910 300  120500-121000   00     259.19  982.9    267.71    -1.21    -9999
JANG-BOGO  170910 300  121000-121500   00     261.83  982.9    270.27    -0.27    -9999
JANG-BOGO  170910 300  121500-122000   00     259.15  982.9    267.51    -1.29    -9999
JANG-BOGO  170910 300  122000-122500   00     263.27  982.7    271.51     0.19    -9999
JANG-BOGO  170910 300  122500-123000   00     262.43  982.7    270.63    -0.13    -9999
JANG-BOGO  170910 300  123000-123500   00     258.56  982.8    266.71    -1.58    -9999
JANG-BOGO  170910 300  123500-124000   00     265.46  982.9    274.01     1.11    -9999
JANG-BOGO  170910 300  124000-124500   00     264.42  982.9    273.01     0.74    -9999
JANG-BOGO  170910 300  124500-125000   00     260.94  982.9    269.36    -0.60    -9999
JANG-BOGO  170910 300  125000-125500   00     268.52  982.8    277.14     2.27    -9999
JANG-BOGO  170910 300  125500-130000   00     264.69  982.7    272.85     0.69    -9999
JANG-BOGO  170910 300  130000-130500   00     261.41  982.5    269.20    -0.66    -9999
JANG-BOGO  170910 300  130500-131000   00     262.41  982.7    270.56    -0.16    -9999
JANG-BOGO  170910 300  131000-131500   00     256.01  982.6    263.77    -2.67    -9999
JANG-BOGO  170910 300  131500-132000   00     264.42  982.6    272.38     0.51    -9999
JANG-BOGO  170910 300  132000-132500   00     266.49  982.7    274.72     1.37    -9999
JANG-BOGO  170910 300  132500-133000   00     259.19  982.5    266.88    -1.52    -9999
JANG-BOGO  170910 300  133000-133500   00     262.33  982.4    269.95    -0.38    -9999
JANG-BOGO  170910 300  133500-134000   00     265.45  982.4    273.10     0.78    -9999
JANG-BOGO  170910 300  134000-134500   00     263.44  982.4    270.95    -0.02    -9999
JANG-BOGO  170910 300  134500-135000   00     261.19  982.4    268.65    -0.87    -9999
JANG-BOGO  170910 300  135000-135500   00     267.04  982.2    274.27     1.21    -9999
JANG-BOGO  170910 300  135500-140000   00     259.48  982.1    266.25    -1.75    -9999
JANG-BOGO  170910 300  140000-140500   00     260.63  982.1    267.61    -1.25    -9999
JANG-BOGO  170910 300  140500-141000   00     260.85  982.1    267.64    -1.24    -9999
JANG-BOGO  170910 300  141000-141500   00     266.22  982.0    273.04     0.75    -9999
JANG-BOGO  170910 300  141500-142000   00     265.42  981.9    271.98     0.36    -9999
JANG-BOGO  170910 300  142000-142500   00     260.16  981.9    266.59    -1.63    -9999
JANG-BOGO  170910 300  142500-143000   00     263.96  981.9    270.54    -0.17    -9999
JANG-BOGO  170910 300  143000-143500   00     264.02  981.9    270.61    -0.14    -9999
JANG-BOGO  170910 300  143500-144000   00     264.94  981.9    271.48     0.18    -9999
JANG-BOGO  170910 300  144000-144500   00     263.13  981.9    269.74    -0.46    -9999
JANG-BOGO  170910 300  144500-145000   00     265.67  981.9    272.21     0.45    -9999
JANG-BOGO  170910 300  145000-145500   00     263.33  981.8    269.79    -0.44    -9999
JANG-BOGO  170910 300  145500-150000   00     265.98  981.8    272.32     0.49    -9999
JANG-BOGO  170910 300  150000-150500   00     261.25  981.8    267.59    -1.26    -9999
JANG-BOGO  170910 300  150500-151000   00     266.08  981.8    272.41     0.52    -9999
JANG-BOGO  170910 300  151000-151500   00     259.77  981.5    265.53    -2.02    -9999
JANG-BOGO  170910 300  151500-152000   00     266.02  981.4    271.71     0.26    -9999
JANG-BOGO  170910 300  152000-152500   00     267.65  981.4    273.34     0.87    -9999
JANG-BOGO  170910 300  152500-153000   00     267.32  981.2    272.63     0.60    -9999
JANG-BOGO  170910 300  153000-153500   00     268.11  981.2    273.39     0.88    -9999
JANG-BOGO  170910 300  153500-154000   00     263.90  981.1    268.96    -0.75    -9999
JANG-BOGO  170910 300  154000-154500   00     267.71  981.2    272.87     0.69    -9999
JANG-BOGO  170910 300  154500-155000   00     264.62  981.3    269.96    -0.38    -9999
JANG-BOGO  170910 300  155000-155500   00     271.83  981.1    276.86     2.16    -9999
JANG-BOGO  170910 300  155500-160000   00     270.27  981.0    275.12     1.52    -9999
JANG-BOGO  170910 300  160000-160500   00     269.49  980.9    274.10     1.15     0.99
JANG-BOGO  170910 300  160500-161000   00     270.09  980.8    274.62     1.34     1.17
JANG-BOGO  170910 300  161000-161500   00     265.31  980.8    269.72    -0.47    -0.64
JANG-BOGO  170910 300  161500-162000   00     272.85  980.7    277.21     2.29     2.11
JANG-BOGO  170910 300  162000-162500   00     273.87  980.6    278.04     2.60     2.42
JANG-BOGO  170910 300  162500-163000   00     268.07  980.6    272.05     0.39     0.20
JANG-BOGO  170910 300  163000-163500   00     267.28  980.5    271.10     0.04    -0.15
JANG-BOGO  170910 300  163500-164000   00     272.06  980.4    275.72     1.74     1.54
JANG-BOGO  170910 300  164000-164500   00     268.35  980.3    271.81     0.30     0.09
JANG-BOGO  170910 300  164500-165000   00     275.91  980.3    279.45     3.12     2.91
JANG-BOGO  170910 300  165000-165500   00     275.81  980.3    279.37     3.09     2.87
JANG-BOGO  170910 300  165500-170000   00     276.69  980.3    280.24     3.41     3.19
JANG-BOGO  170910 300  170000-170500   00     277.52  980.3    281.07     3.72     3.49
JANG-BOGO  170910 300  170500-171000   00     277.94  980.2    281.26     3.79     3.56
JANG-BOGO  170910 300  171000-171500   00     276.74  980.3    280.34     3.45     3.21
JANG-BOGO  170910 300  171500-172000   00     279.95  980.3    283.53     4.62     4.38
JANG-BOGO  170910 300  172000-172500   00     281.28  980.3    284.82     5.10     4.85
JANG-BOGO  170910 300  172500-173000   00     280.94  980.2    284.29     4.91     4.65
JANG-BOGO  170910 300  173000-173500   00     274.03  980.0    276.93     2.19     1.93
JANG-BOGO  170910 300  173500-174000   00     278.58  980.0    281.42     3.85     3.58
JANG-BOGO  170910 300  174000-174500   00     278.95  980.0    281.84     4.00     3.73
JANG-BOGO  170910 300  174500-175000   00     279.81  980.2    283.11     4.47     4.19
JANG-BOGO  170910 300  175000-175500   00     277.55  980.3    281.08     3.72     3.44
JANG-BOGO  170910 300  175500-180000   00     283.36  979.7    285.74     5.44     5.15
JANG-BOGO  170910 300  180000-180500   00     278.98  979.8    281.46     3.86     3.56
JANG-BOGO  170910 300  180500-181000   00     282.12  979.9    284.80     5.09     4.79
JANG-BOGO  170910 300  181000-181500   00     274.86  979.7    277.16     2.27     1.96
JANG-BOGO  170910 300  181500-182000   00     277.38  979.8    279.84     3.26     2.95
JANG-BOGO  170910 300  182000-182500   00     281.14  980.1    284.24     4.89     4.57
JANG-BOGO  170910 300  182500-183000   00     278.34  979.5    280.29     3.43     3.11
JANG-BOGO  170910 300  183000-183500   00     284.03  979.3    285.62     5.40     5.07
JANG-BOGO  170910 300  183500-184000   00     285.48  979.5    287.43     6.06     5.72
JANG-BOGO  170910 300  184000-184500   00     279.47  979.4    281.27     3.79     3.45
JANG-BOGO  170910 300  184500-185000   00     281.35  979.6    283.39     4.57     4.22
JANG-BOGO  170910 300  185000-185500   00     282.28  979.4    284.05     4.82     4.47
JANG-BOGO  170910 300  185500-190000   00     281.56  979.4    283.23     4.51     4.15
JANG-BOGO  170910 300  190000-190500   00     280.12  979.3    281.67     3.94     3.58
JANG-BOGO  170910 300  190500-191000   00     276.59  979.4    278.22     2.67     2.30
JANG-BOGO  170910 300  191000-191500   00     282.38  979.4    284.05     4.82     4.44
JANG-BOGO  170910 300  191500-192000   00     282.26  979.3    283.84     4.74     4.36
JANG-BOGO  170910 300  192000-192500   00     282.27  979.3    283.77     4.71     4.32
JANG-BOGO  170910 300  192500-193000   00     277.66  979.3    279.10     2.99     2.60
JANG-BOGO  170910 300  193000-193500   00     278.03  979.2    279.25     3.04     2.64
JANG-BOGO  170910 300  193500-194000   00     282.98  979.2    284.20     4.87     4.47
JANG-BOGO  170910 300  194000-194500   00     276.87  978.9    277.58     2.43     2.02
JANG-BOGO  170910 300  194500-195000   00     278.37  978.9    279.00     2.95     2.54
JANG-BOGO  170910 300  195000-195500   00     280.72  978.8    281.22     3.77     3.35
JANG-BOGO  170910 300  195500-200000   00     282.64  978.7    282.89     4.39     3.96
JANG-BOGO  170910 300  200000-200500   00     276.58  978.4    276.25     1.94     1.51
JANG-BOGO  170910 300  200500-201000   00     276.48  978.8    276.85     2.16     1.72
JANG-BOGO  170910 300  201000-201500   00     282.67  978.7    282.89     4.39     3.95
JANG-BOGO  170910 300  201500-202000   00     280.75  978.8    281.11     3.73     3.28
JANG-BOGO  170910 300  202000-202500   00     279.09  978.6    279.02     2.96     2.51
JANG-BOGO  170910 300  202500-203000   00     279.40  978.6    279.40     3.10     2.64
JANG-BOGO  170910 300  203000-203500   00     278.41  978.6    278.38     2.72     2.25
JANG-BOGO  170910 300  203500-204000   00     282.52  978.5    282.25     4.15     3.68
JANG-BOGO  170910 300  204000-204500   00     283.07  978.4    282.72     4.33     3.85
JANG-BOGO  170910 300  204500-205000   00     277.47  978.4    277.16     2.27     1.79
JANG-BOGO  170910 300  205000-205500   00     285.56  978.2    284.85     5.11     4.62
JANG-BOGO  170910 300  205500-210000   00     281.23  978.1    280.24     3.41     2.92
JANG-BOGO  170910 300  210000-210500   00     281.75  978.2    280.85     3.64     3.14
JANG-BOGO  170910 300  210500-211000   00     283.61  978.1    282.55     4.26     3.75
JANG-BOGO  170910 300  211000-211500   00     280.56  978.1    279.56     3.16     2.65
JANG-BOGO  170910 300  211500-212000   00     280.63  978.1    279.62     3.18     2.66
JANG-BOGO  170910 300  212000-212500   00     281.09  978.0    279.83     3.26     2.74
JANG-BOGO  170910 300  212500-213000   00     274.70  978.0    273.50     0.92     0.39
JANG-BOGO  170910 300  213000-213500   00     278.52  978.0    277.21     2.29     1.76
JANG-BOGO  170910 300  213500-214000   00     278.85  978.0    277.56     2.42     1.88
JANG-BOGO  170910 300  214000-214500   00     277.72  977.9    276.29     1.95     1.40
JANG-BOGO  170910 300  214500-215000   00     277.27  977.8    275.72     1.74     1.19
JANG-BOGO  170910 300  215000-215500   00     279.10  977.7    277.31     2.33     1.77
JANG-BOGO  170910 300  215500-220000   00     280.36  977.7    278.55     2.79     2.23
JANG-BOGO  170910 300  220000-220500   00     283.58  977.8    281.93     4.03     3.46
JANG-BOGO  170910 300  220500-221000   00     277.13  977.8    275.52     1.67     1.10
JANG-BOGO  170910 300  221000-221500   00     283.50  977.7    281.65     3.93     3.35
JANG-BOGO  170910 300  221500-222000   00     278.01  977.7    276.25     1.94     1.35
JANG-BOGO  170910 300  222000-222500   00     281.25  977.6    279.22     3.03     2.44
JANG-BOGO  170910 300  222500-223000   00     278.61  977.6    276.52     2.04     1.44
JANG-BOGO  170910 300  223000-223500   00     279.47  977.4    277.11     2.26     1.66
JANG-BOGO  170910 300  223500-224000   00     281.14  977.4    278.65     2.82     2.21
JANG-BOGO  170910 300  224000-224500   00     273.04  977.4    270.56    -0.16    -0.78
JANG-BOGO  170910 300  224500-225000   00     278.74  977.5    276.41     2.00     1.38
JANG-BOGO  170910 300  225000-225500   00     278.38  977.5    276.17     1.91     1.28
JANG-BOGO  170910 300  225500-230000   00     281.49  977.4    278.98     2.95     2.32
JANG-BOGO  170910 300  230000-230500   00     279.99  977.4    277.51     2.40     1.76
JANG-BOGO  170910 300  230500-231000   00     277.24  977.4    274.73     1.38     0.74
JANG-BOGO  170910 300  231000-231500   00     276.69  977.4    274.18     1.17     0.52
JANG-BOGO  170910 300  231500-232000   00     279.82  977.4    277.39     2.36     1.70
JANG-BOGO  170910 300  232000-232500   00     281.65  977.4    279.24     3.04     2.38
JANG-BOGO  170910 300  232500-233000   00     283.37  977.4    280.91     3.66     2.99
