JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    161.21      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   170909 3600 000000-010000   00     171.12  653.7    159.28    -1.20    -9999
JUNGFRAU   170909 3600 010000-020000   00     171.51  653.1    158.99    -1.38    -9999
JUNGFRAU   170909 3600 020000-030000   00     172.90  652.7    159.73    -0.92    -9999
JUNGFRAU   170909 3600 030000-040000   00     173.66  651.9    159.53    -1.04    -9999
JUNGFRAU   170909 3600 040000-050000   00     174.33  651.4    159.67    -0.96    -9999
JUNGFRAU   170909 3600 050000-060000   00     175.44  650.8    160.02    -0.74    -9999
JUNGFRAU   170909 3600 060000-070000   00     175.53  650.9    160.11    -0.68    -9999
JUNGFRAU   170909 3600 070000-080000   00     175.14  650.5    159.36    -1.15    -9999
JUNGFRAU   170909 3600 080000-090000   00     174.77  650.5    159.04    -1.35    -9999
JUNGFRAU   170909 3600 090000-100000   00     174.76  650.2    158.63    -1.60    -9999
JUNGFRAU   170909 3600 100000-110000   00     174.44  649.9    158.14    -1.91    -9999
JUNGFRAU   170909 3600 110000-120000   00     175.36  649.5    158.45    -1.71    -9999
JUNGFRAU   170909 3600 120000-130000   00     175.23  649.2    157.94    -2.03    -9999
JUNGFRAU   170909 3600 130000-140000   00     175.54  649.2    158.18    -1.88    -9999
JUNGFRAU   170909 3600 140000-150000   00     175.93  648.8    158.09    -1.94    -9999
JUNGFRAU   170909 3600 150000-160000   00     175.21  648.6    157.33    -2.41    -9999
JUNGFRAU   170909 3600 160000-170000   00     175.45  648.2    157.05    -2.58    -9999
JUNGFRAU   170909 3600 170000-180000   00     175.58  648.1    156.92    -2.66    -9999
