MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    164.96      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     170909 3600 000000-010000   00     178.22  987.6    163.04    -1.17    -9999
MOSCOW     170909 3600 010000-020000   00     177.07  988.0    162.40    -1.55    -9999
MOSCOW     170909 3600 020000-030000   00     176.70  988.3    162.45    -1.52    -9999
MOSCOW     170909 3600 030000-040000   00     176.67  988.9    163.06    -1.15    -9999
MOSCOW     170909 3600 040000-050000   00     175.77  989.5    162.96    -1.21    -9999
MOSCOW     170909 3600 050000-060000   00     175.71  990.1    163.57    -0.84    -9999
MOSCOW     170909 3600 060000-070000   00     175.61  990.5    163.97    -0.60    -9999
MOSCOW     170909 3600 070000-080000   00     174.83  990.8    163.59    -0.83    -9999
MOSCOW     170909 3600 080000-090000   00     175.18  990.9    164.07    -0.54    -9999
MOSCOW     170909 3600 090000-100000   00     173.46  991.0    162.61    -1.42    -9999
MOSCOW     170909 3600 100000-110000   00     172.51  991.5    162.31    -1.61    -9999
MOSCOW     170909 3600 110000-120000   00     172.00  991.8    162.10    -1.73    -9999
MOSCOW     170909 3600 120000-130000   00     171.02  992.0    161.41    -2.16    -9999
MOSCOW     170909 3600 130000-140000   00     171.87  992.2    162.45    -1.52    -9999
MOSCOW     170909 3600 140000-150000   00     172.02  992.4    162.85    -1.28    -9999
MOSCOW     170909 3600 150000-160000   00     171.77  992.3    162.56    -1.46    -9999
MOSCOW     170909 3600 160000-170000   00     171.71  992.5    162.66    -1.39    -9999
MOSCOW     170909 3600 170000-180000   00     171.29  992.7    162.47    -1.51    -9999
MOSCOW     170909 3600 180000-190000   00     172.29  992.8    163.60    -0.82    -9999
MOSCOW     170909 3600 190000-200000   00     170.27  993.0    161.94    -1.83    -9999
MOSCOW     170909 3600 200000-210000   00     170.21  993.2    162.11    -1.73    -9999
MOSCOW     170909 3600 210000-220000   00     170.83  993.4    162.95    -1.22    -9999
MOSCOW     170909 3600 220000-230000   00     171.89  993.6    164.18    -0.47    -9999
MOSCOW     170909 3600 230000-240000   00     172.25  993.7    164.66    -0.18    -9999
MOSCOW     170910 3600 000000-010000   00     172.14  993.9    164.74    -0.13    -9999
MOSCOW     170910 3600 010000-020000   00     172.69  993.9    165.25     0.17    -9999
MOSCOW     170910 3600 020000-030000   00     172.18  993.9    164.77    -0.12    -9999
MOSCOW     170910 3600 030000-040000   00     172.32  993.9    164.98     0.01    -9999
MOSCOW     170910 3600 040000-050000   00     172.78  994.2    165.76     0.48    -9999
MOSCOW     170910 3600 050000-060000   00     172.56  994.2    165.52     0.34    -9999
MOSCOW     170910 3600 060000-070000   00     172.91  994.4    166.03     0.65    -9999
MOSCOW     170910 3600 070000-080000   00     172.96  994.3    165.97     0.61    -9999
MOSCOW     170910 3600 080000-090000   00     172.91  994.0    165.65     0.42    -9999
MOSCOW     170910 3600 090000-100000   00     173.23  993.8    165.73     0.46    -9999
MOSCOW     170910 3600 100000-110000   00     174.03  993.6    166.13     0.71    -9999
MOSCOW     170910 3600 110000-120000   00     173.94  993.3    165.74     0.47    -9999
MOSCOW     170910 300  120000-120500   00     173.45  993.3    165.28     0.19    -9999
MOSCOW     170910 300  120500-121000   00     173.87  993.2    165.60     0.39    -9999
MOSCOW     170910 300  121000-121500   00     173.88  993.2    165.60     0.39    -9999
MOSCOW     170910 300  121500-122000   00     174.03  993.3    165.83     0.53    -9999
MOSCOW     170910 300  122000-122500   00     173.15  993.3    164.95    -0.01    -9999
