PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1013.3  mb     COEFFICIENT   -0.75     % / mb
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    218.72      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
PEAWANUCK  170909 3600 000000-010000   00     211.33 1011.7    208.92    -4.48    -9999
PEAWANUCK  170909 3600 010000-020000   00     213.23 1011.5    210.42    -3.80    -9999
PEAWANUCK  170909 3600 020000-030000   00     214.00 1011.1    210.62    -3.70    -9999
PEAWANUCK  170909 3600 030000-040000   00     214.95 1010.7    210.91    -3.57    -9999
PEAWANUCK  170909 3600 040000-050000   00     214.66 1010.5    210.34    -3.83    -9999
PEAWANUCK  170909 3600 050000-060000   00     215.30 1010.3    210.64    -3.69    -9999
PEAWANUCK  170909 3600 060000-070000   00     215.58 1010.4    210.98    -3.54    -9999
PEAWANUCK  170909 3600 070000-080000   00     216.01 1010.5    211.56    -3.28    -9999
PEAWANUCK  170909 3600 080000-090000   00     215.89 1010.7    211.84    -3.15    -9999
PEAWANUCK  170909 3600 090000-100000   00     215.65 1010.8    211.73    -3.20    -9999
PEAWANUCK  170909 3600 100000-110000   00     215.75 1011.2    212.42    -2.88    -9999
PEAWANUCK  170909 3600 110000-120000   00     217.61 1011.2    214.28    -2.03    -9999
PEAWANUCK  170909 3600 120000-130000   00     217.63 1011.1    214.14    -2.10    -9999
PEAWANUCK  170909 3600 130000-140000   00     219.23 1011.0    215.57    -1.44    -9999
PEAWANUCK  170909 3600 140000-150000   00     219.86 1010.7    215.77    -1.35    -9999
PEAWANUCK  170909 3600 150000-160000   00     219.55 1010.5    215.03    -1.69    -9999
PEAWANUCK  170909 3600 160000-170000   00     221.99 1010.0    216.69    -0.93    -9999
PEAWANUCK  170909 3600 170000-180000   00     221.36 1009.6    215.42    -1.51    -9999
PEAWANUCK  170909 3600 180000-190000   00     221.18 1009.3    214.73    -1.82    -9999
PEAWANUCK  170909 3600 190000-200000   00     221.38 1009.2    214.70    -1.84    -9999
PEAWANUCK  170909 3600 200000-210000   00     220.32 1009.1    213.56    -2.36    -9999
PEAWANUCK  170909 3600 210000-220000   00     220.28 1009.2    213.63    -2.33    -9999
PEAWANUCK  170909 3600 220000-230000   00     219.67 1009.1    212.99    -2.62    -9999
PEAWANUCK  170909 3600 230000-240000   00     222.17 1009.3    215.61    -1.42    -9999
PEAWANUCK  170910 3600 000000-010000   00     218.87 1009.9    213.43    -2.42    -9999
PEAWANUCK  170910 3600 010000-020000   00     217.87 1010.6    213.53    -2.37    -9999
PEAWANUCK  170910 3600 020000-030000   00     218.90 1010.8    214.99    -1.71    -9999
PEAWANUCK  170910 3600 030000-040000   00     219.97 1010.9    216.12    -1.19    -9999
PEAWANUCK  170910 3600 040000-050000   00     217.98 1011.1    214.45    -1.95    -9999
PEAWANUCK  170910 3600 050000-060000   00     217.53 1011.2    214.25    -2.05    -9999
PEAWANUCK  170910 3600 060000-070000   00     218.87 1011.3    215.70    -1.38    -9999
PEAWANUCK  170910 3600 070000-080000   00     218.91 1011.3    215.77    -1.35    -9999
PEAWANUCK  170910 3600 080000-090000   00     220.60 1011.5    217.64    -0.49    -9999
PEAWANUCK  170910 3600 090000-100000   00     218.68 1011.5    215.86    -1.31    -9999
PEAWANUCK  170910 3600 100000-110000   00     218.69 1011.5    215.85    -1.31    -9999
PEAWANUCK  170910 3600 110000-120000   00     219.95 1011.7    217.39    -0.61    -9999
PEAWANUCK  170910 300  120000-120500   00     222.15 1011.8    219.68     0.44    -9999
PEAWANUCK  170910 300  120500-121000   00     216.19 1011.7    213.75    -2.27    -9999
PEAWANUCK  170910 300  121000-121500   00     219.16 1011.7    216.63    -0.95    -9999
PEAWANUCK  170910 300  121500-122000   00     218.48 1011.7    215.92    -1.28    -9999
PEAWANUCK  170910 300  122000-122500   00     220.19 1011.7    217.61    -0.51    -9999
PEAWANUCK  170910 300  122500-123000   00     221.23 1011.7    218.63    -0.04    -9999
PEAWANUCK  170910 300  123000-123500   00     215.77 1011.7    213.20    -2.52    -9999
PEAWANUCK  170910 300  123500-124000   00     217.16 1011.6    214.55    -1.91    -9999
PEAWANUCK  170910 300  124000-124500   00     218.25 1011.6    215.64    -1.41    -9999
PEAWANUCK  170910 300  124500-125000   00     217.71 1011.6    215.10    -1.66    -9999
PEAWANUCK  170910 300  125000-125500   00     222.13 1011.6    219.43     0.32    -9999
PEAWANUCK  170910 300  125500-130000   00     220.41 1011.6    217.69    -0.47    -9999
PEAWANUCK  170910 300  130000-130500   00     217.40 1011.6    214.70    -1.84    -9999
PEAWANUCK  170910 300  130500-131000   00     218.79 1011.6    216.10    -1.20    -9999
PEAWANUCK  170910 300  131000-131500   00     218.82 1011.6    216.14    -1.18    -9999
PEAWANUCK  170910 300  131500-132000   00     221.34 1011.6    218.61    -0.05    -9999
PEAWANUCK  170910 300  132000-132500   00     224.09 1011.6    221.34     1.20    -9999
PEAWANUCK  170910 300  132500-133000   00     217.25 1011.6    214.57    -1.90    -9999
PEAWANUCK  170910 300  133000-133500   00     225.37 1011.6    222.59     1.77    -9999
PEAWANUCK  170910 300  133500-134000   00     221.85 1011.6    219.12     0.18    -9999
PEAWANUCK  170910 300  134000-134500   00     219.27 1011.6    216.54    -1.00    -9999
PEAWANUCK  170910 300  134500-135000   00     223.53 1011.6    220.72     0.91    -9999
PEAWANUCK  170910 300  135000-135500   00     223.33 1011.5    220.42     0.78    -9999
PEAWANUCK  170910 300  135500-140000   00     219.98 1011.4    217.02    -0.78    -9999
PEAWANUCK  170910 300  140000-140500   00     218.04 1011.4    215.08    -1.66    -9999
PEAWANUCK  170910 300  140500-141000   00     220.58 1011.4    217.47    -0.57    -9999
PEAWANUCK  170910 300  141000-141500   00     220.96 1011.3    217.79    -0.43    -9999
PEAWANUCK  170910 300  141500-142000   00     222.90 1011.3    219.63     0.41    -9999
PEAWANUCK  170910 300  142000-142500   00     221.72 1011.3    218.46    -0.12    -9999
PEAWANUCK  170910 300  142500-143000   00     223.76 1011.2    220.42     0.78    -9999
PEAWANUCK  170910 300  143000-143500   00     220.07 1011.2    216.73    -0.91    -9999
PEAWANUCK  170910 300  143500-144000   00     222.02 1011.2    218.60    -0.06    -9999
PEAWANUCK  170910 300  144000-144500   00     221.80 1011.2    218.36    -0.16    -9999
PEAWANUCK  170910 300  144500-145000   00     225.11 1011.1    221.56     1.30    -9999
PEAWANUCK  170910 300  145000-145500   00     221.48 1011.0    217.82    -0.41    -9999
PEAWANUCK  170910 300  145500-150000   00     221.20 1010.9    217.39    -0.61    -9999
PEAWANUCK  170910 300  150000-150500   00     222.90 1010.9    218.99     0.12    -9999
PEAWANUCK  170910 300  150500-151000   00     221.03 1010.8    216.95    -0.81    -9999
PEAWANUCK  170910 300  151000-151500   00     221.29 1010.8    217.23    -0.68    -9999
PEAWANUCK  170910 300  151500-152000   00     227.24 1010.8    223.05     1.98    -9999
PEAWANUCK  170910 300  152000-152500   00     226.07 1010.7    221.83     1.42    -9999
PEAWANUCK  170910 300  152500-153000   00     225.95 1010.6    221.57     1.30    -9999
PEAWANUCK  170910 300  153000-153500   00     220.59 1010.5    216.15    -1.18    -9999
PEAWANUCK  170910 300  153500-154000   00     220.67 1010.5    216.21    -1.15    -9999
PEAWANUCK  170910 300  154000-154500   00     221.80 1010.5    217.26    -0.67    -9999
PEAWANUCK  170910 300  154500-155000   00     225.38 1010.4    220.60     0.86    -9999
PEAWANUCK  170910 300  155000-155500   00     224.16 1010.3    219.23     0.23    -9999
PEAWANUCK  170910 300  155500-160000   00     226.00 1010.2    220.89     0.99    -9999
PEAWANUCK  170910 300  160000-160500   00     226.39 1010.1    221.15     1.11     1.13
PEAWANUCK  170910 300  160500-161000   00     226.35 1010.0    220.98     1.03     1.04
PEAWANUCK  170910 300  161000-161500   00     221.79 1009.9    216.34    -1.09    -1.09
PEAWANUCK  170910 300  161500-162000   00     221.05 1009.8    215.47    -1.49    -1.50
PEAWANUCK  170910 300  162000-162500   00     230.09 1009.7    224.12     2.47     2.45
PEAWANUCK  170910 300  162500-163000   00     223.34 1009.7    217.45    -0.58    -0.61
PEAWANUCK  170910 300  163000-163500   00     228.32 1009.6    222.20     1.59     1.55
PEAWANUCK  170910 300  163500-164000   00     230.12 1009.5    223.83     2.33     2.27
PEAWANUCK  170910 300  164000-164500   00     226.54 1009.5    220.25     0.70     0.63
PEAWANUCK  170910 300  164500-165000   00     230.37 1009.4    223.84     2.34     2.26
PEAWANUCK  170910 300  165000-165500   00     226.32 1009.4    219.81     0.50     0.41
PEAWANUCK  170910 300  165500-170000   00     228.94 1009.3    222.18     1.58     1.48
PEAWANUCK  170910 300  170000-170500   00     230.97 1009.2    224.09     2.45     2.34
PEAWANUCK  170910 300  170500-171000   00     228.06 1009.1    221.08     1.08     0.97
PEAWANUCK  170910 300  171000-171500   00     232.70 1009.1    225.52     3.11     2.99
PEAWANUCK  170910 300  171500-172000   00     232.64 1009.0    225.26     2.99     2.86
PEAWANUCK  170910 300  172000-172500   00     230.09 1008.9    222.76     1.85     1.71
PEAWANUCK  170910 300  172500-173000   00     235.73 1008.8    228.07     4.27     4.12
PEAWANUCK  170910 300  173000-173500   00     238.53 1008.7    230.60     5.43     5.27
PEAWANUCK  170910 300  173500-174000   00     232.34 1008.7    224.49     2.64     2.47
PEAWANUCK  170910 300  174000-174500   00     237.29 1008.6    229.15     4.77     4.59
PEAWANUCK  170910 300  174500-175000   00     236.07 1008.5    227.85     4.17     3.98
PEAWANUCK  170910 300  175000-175500   00     235.18 1008.4    226.77     3.68     3.49
PEAWANUCK  170910 300  175500-180000   00     231.88 1008.4    223.56     2.21     2.01
PEAWANUCK  170910 300  180000-180500   00     233.85 1008.3    225.29     3.01     2.80
PEAWANUCK  170910 300  180500-181000   00     233.17 1008.2    224.53     2.66     2.44
PEAWANUCK  170910 300  181000-181500   00     230.77 1008.2    222.12     1.55     1.32
PEAWANUCK  170910 300  181500-182000   00     235.06 1008.1    226.11     3.38     3.15
PEAWANUCK  170910 300  182000-182500   00     234.13 1008.0    225.04     2.89     2.65
PEAWANUCK  170910 300  182500-183000   00     232.61 1007.9    223.50     2.19     1.94
PEAWANUCK  170910 300  183000-183500   00     237.61 1007.8    228.04     4.26     4.00
PEAWANUCK  170910 300  183500-184000   00     234.53 1007.7    225.01     2.88     2.62
PEAWANUCK  170910 300  184000-184500   00     233.20 1007.6    223.59     2.23     1.96
PEAWANUCK  170910 300  184500-185000   00     233.40 1007.6    223.63     2.25     1.97
PEAWANUCK  170910 300  185000-185500   00     232.77 1007.5    222.98     1.95     1.67
PEAWANUCK  170910 300  185500-190000   00     233.86 1007.4    223.88     2.36     2.07
PEAWANUCK  170910 300  190000-190500   00     235.55 1007.4    225.37     3.04     2.74
PEAWANUCK  170910 300  190500-191000   00     233.13 1007.3    222.96     1.94     1.64
PEAWANUCK  170910 300  191000-191500   00     232.76 1007.2    222.42     1.69     1.38
PEAWANUCK  170910 300  191500-192000   00     238.78 1007.1    228.09     4.28     3.97
PEAWANUCK  170910 300  192000-192500   00     232.54 1007.1    221.98     1.49     1.17
PEAWANUCK  170910 300  192500-193000   00     238.97 1007.0    228.09     4.28     3.96
PEAWANUCK  170910 300  193000-193500   00     238.05 1006.9    227.02     3.79     3.46
PEAWANUCK  170910 300  193500-194000   00     238.16 1006.9    227.07     3.82     3.48
PEAWANUCK  170910 300  194000-194500   00     236.09 1006.8    224.96     2.85     2.51
PEAWANUCK  170910 300  194500-195000   00     236.79 1006.7    225.45     3.08     2.73
PEAWANUCK  170910 300  195000-195500   00     235.32 1006.7    224.09     2.46     2.11
PEAWANUCK  170910 300  195500-200000   00     234.34 1006.6    222.95     1.93     1.57
PEAWANUCK  170910 300  200000-200500   00     234.35 1006.6    222.92     1.92     1.56
PEAWANUCK  170910 300  200500-201000   00     232.85 1006.5    221.37     1.21     0.85
PEAWANUCK  170910 300  201000-201500   00     234.30 1006.4    222.58     1.77     1.40
PEAWANUCK  170910 300  201500-202000   00     237.33 1006.2    225.17     2.95     2.58
PEAWANUCK  170910 300  202000-202500   00     235.11 1006.2    222.99     1.95     1.57
PEAWANUCK  170910 300  202500-203000   00     232.85 1006.1    220.77     0.94     0.56
PEAWANUCK  170910 300  203000-203500   00     234.59 1006.0    222.19     1.58     1.20
PEAWANUCK  170910 300  203500-204000   00     234.77 1006.0    222.29     1.63     1.24
PEAWANUCK  170910 300  204000-204500   00     234.56 1005.9    222.00     1.50     1.11
PEAWANUCK  170910 300  204500-205000   00     234.01 1005.9    221.43     1.24     0.85
PEAWANUCK  170910 300  205000-205500   00     234.62 1005.8    221.86     1.44     1.04
PEAWANUCK  170910 300  205500-210000   00     239.21 1005.8    226.21     3.43     3.03
PEAWANUCK  170910 300  210000-210500   00     240.98 1005.8    227.86     4.18     3.78
PEAWANUCK  170910 300  210500-211000   00     239.13 1005.8    226.08     3.36     2.95
PEAWANUCK  170910 300  211000-211500   00     236.72 1005.7    223.75     2.30     1.89
PEAWANUCK  170910 300  211500-212000   00     233.94 1005.7    221.05     1.07     0.66
PEAWANUCK  170910 300  212000-212500   00     239.77 1005.6    226.42     3.52     3.11
PEAWANUCK  170910 300  212500-213000   00     241.24 1005.5    227.70     4.10     3.68
PEAWANUCK  170910 300  213000-213500   00     234.72 1005.5    221.52     1.28     0.86
PEAWANUCK  170910 300  213500-214000   00     240.79 1005.4    227.01     3.79     3.37
PEAWANUCK  170910 300  214000-214500   00     240.52 1005.4    226.69     3.64     3.22
PEAWANUCK  170910 300  214500-215000   00     239.42 1005.2    225.44     3.07     2.65
PEAWANUCK  170910 300  215000-215500   00     240.06 1005.2    226.00     3.33     2.91
PEAWANUCK  170910 300  215500-220000   00     236.85 1005.1    222.85     1.89     1.46
PEAWANUCK  170910 300  220000-220500   00     236.43 1005.0    222.33     1.65     1.22
PEAWANUCK  170910 300  220500-221000   00     234.90 1004.9    220.72     0.91     0.48
PEAWANUCK  170910 300  221000-221500   00     240.44 1004.8    225.69     3.19     2.76
PEAWANUCK  170910 300  221500-222000   00     233.49 1004.8    219.19     0.21    -0.22
PEAWANUCK  170910 300  222000-222500   00     240.68 1004.8    225.92     3.29     2.86
PEAWANUCK  170910 300  222500-223000   00     237.88 1004.8    223.22     2.06     1.63
PEAWANUCK  170910 300  223000-223500   00     235.31 1004.7    220.67     0.89     0.46
PEAWANUCK  170910 300  223500-224000   00     237.88 1004.6    222.94     1.93     1.50
PEAWANUCK  170910 300  224000-224500   00     234.91 1004.6    220.12     0.64     0.21
PEAWANUCK  170910 300  224500-225000   00     235.99 1004.5    220.92     1.01     0.58
PEAWANUCK  170910 300  225000-225500   00     238.36 1004.4    223.05     1.98     1.55
PEAWANUCK  170910 300  225500-230000   00     237.28 1004.3    221.90     1.45     1.02
PEAWANUCK  170910 300  230000-230500   00     237.21 1004.2    221.69     1.36     0.93
PEAWANUCK  170910 300  230500-231000   00     238.85 1004.1    223.08     1.99     1.56
PEAWANUCK  170910 300  231000-231500   00     237.02 1004.0    221.20     1.14     0.71
PEAWANUCK  170910 300  231500-232000   00     237.81 1004.0    221.83     1.42     0.99
PEAWANUCK  170910 300  232000-232500   00     241.43 1004.0    225.20     2.96     2.53
PEAWANUCK  170910 300  232500-233000   00     240.69 1003.9    224.45     2.62     2.20
PEAWANUCK  170910 300  233000-233500   00     233.51 1003.9    217.68    -0.47    -0.89
PEAWANUCK  170910 300  233500-234000   00     234.08 1003.8    218.14    -0.27    -0.69
PEAWANUCK  170910 300  234000-234500   00     235.91 1003.8    219.80     0.49     0.07
PEAWANUCK  170910 300  234500-235000   00     241.89 1003.8    225.33     3.02     2.60
PEAWANUCK  170910 300  235000-235500   00     236.08 1003.8    219.90     0.54     0.12
PEAWANUCK  170910 300  235500-240000   00     238.92 1003.8    222.50     1.73     1.32
PEAWANUCK  170911 300  000000-000500   00     239.84 1003.7    223.33     2.11     1.70
PEAWANUCK  170911 300  000500-001000   00     236.92 1003.7    220.57     0.84     0.43
PEAWANUCK  170911 300  001000-001500   00     239.27 1003.6    222.62     1.78     1.37
PEAWANUCK  170911 300  001500-002000   00     237.46 1003.6    220.89     0.99     0.59
PEAWANUCK  170911 300  002000-002500   00     235.82 1003.6    219.34     0.28    -0.12
PEAWANUCK  170911 300  002500-003000   00     244.46 1003.6    227.32     3.93     3.53
PEAWANUCK  170911 300  003000-003500   00     238.41 1003.5    221.58     1.31     0.92
PEAWANUCK  170911 300  003500-004000   00     236.36 1003.4    219.55     0.38    -0.01
PEAWANUCK  170911 300  004000-004500   00     234.05 1003.4    217.33    -0.64    -1.03
PEAWANUCK  170911 300  004500-005000   00     238.67 1003.4    221.62     1.33     0.95
PEAWANUCK  170911 300  005000-005500   00     237.23 1003.3    220.23     0.69     0.31
PEAWANUCK  170911 300  005500-010000   00     237.43 1003.3    220.30     0.72     0.34
PEAWANUCK  170911 300  010000-010500   00     238.21 1003.2    220.95     1.02     0.65
PEAWANUCK  170911 300  010500-011000   00     241.22 1003.2    223.67     2.26     1.89
PEAWANUCK  170911 300  011000-011500   00     237.52 1003.1    220.19     0.67     0.31
PEAWANUCK  170911 300  011500-012000   00     236.10 1003.1    218.78     0.03    -0.33
PEAWANUCK  170911 300  012000-012500   00     238.62 1003.0    221.03     1.06     0.70
PEAWANUCK  170911 300  012500-013000   00     239.16 1003.0    221.49     1.27     0.92
PEAWANUCK  170911 300  013000-013500   00     237.15 1003.0    219.61     0.41     0.06
PEAWANUCK  170911 300  013500-014000   00     240.38 1003.0    222.61     1.78     1.44
PEAWANUCK  170911 300  014000-014500   00     240.41 1003.0    222.59     1.77     1.43
PEAWANUCK  170911 300  014500-015000   00     240.16 1002.9    222.28     1.63     1.30
PEAWANUCK  170911 300  015000-015500   00     236.70 1002.9    218.95     0.11    -0.21
PEAWANUCK  170911 300  015500-020000   00     237.19 1002.8    219.23     0.23    -0.09
PEAWANUCK  170911 300  020000-020500   00     240.78 1002.7    222.47     1.71     1.40
PEAWANUCK  170911 300  020500-021000   00     236.36 1002.6    218.26    -0.21    -0.52
PEAWANUCK  170911 300  021000-021500   00     235.80 1002.5    217.60    -0.51    -0.81
PEAWANUCK  170911 300  021500-022000   00     239.63 1002.5    220.99     1.04     0.74
PEAWANUCK  170911 300  022000-022500   00     242.36 1002.3    223.27     2.08     1.79
PEAWANUCK  170911 300  022500-023000   00     235.95 1002.2    217.21    -0.69    -0.97
PEAWANUCK  170911 300  023000-023500   00     239.87 1002.2    220.76     0.93     0.65
PEAWANUCK  170911 300  023500-024000   00     235.73 1002.2    216.94    -0.81    -1.08
PEAWANUCK  170911 300  024000-024500   00     235.11 1002.1    216.28    -1.12    -1.38
