SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   mb     COEFFICIENT   -0.75     % / mb
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    151.03      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOPO-6NM64 170909 3600 000000-010000   00     142.69  682.9    145.87    -3.42    -9999
SOPO-6NM64 170909 3600 010000-020000   00     142.52  682.6    145.34    -3.77    -9999
SOPO-6NM64 170909 3600 020000-030000   00     142.66  682.1    144.99    -4.00    -9999
SOPO-6NM64 170909 3600 030000-040000   00     142.27  681.8    144.26    -4.48    -9999
SOPO-6NM64 170909 3600 040000-050000   00     143.52  681.6    145.37    -3.75    -9999
SOPO-6NM64 170909 3600 050000-060000   00     143.76  681.6    145.51    -3.66    -9999
SOPO-6NM64 170909 3600 060000-070000   00     143.90  681.2    145.27    -3.82    -9999
SOPO-6NM64 170909 3600 070000-080000   00     144.97  680.6    145.70    -3.53    -9999
SOPO-6NM64 170909 3600 080000-090000   00     145.26  680.2    145.59    -3.61    -9999
SOPO-6NM64 170909 3600 090000-100000   00     146.19  679.9    146.15    -3.23    -9999
SOPO-6NM64 170909 3600 100000-110000   00     146.41  679.8    146.25    -3.17    -9999
SOPO-6NM64 170909 3600 110000-120000   00     146.62  679.4    146.07    -3.28    -9999
SOPO-6NM64 170909 3600 120000-130000   00     147.37  679.0    146.31    -3.13    -9999
SOPO-6NM64 170909 3600 130000-140000   00     147.18  678.8    145.89    -3.40    -9999
