YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    218.05      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    170909 3600 000000-010000   00     216.67 1002.5    215.86    -1.01    -9999
YAKUTSK    170909 3600 010000-020000   00     217.62 1002.9    217.41    -0.29    -9999
YAKUTSK    170909 3600 020000-030000   00     216.45 1003.1    216.57    -0.68    -9999
YAKUTSK    170909 3600 030000-040000   00     216.48 1003.1    216.54    -0.69    -9999
YAKUTSK    170909 3600 040000-050000   00     215.45 1003.1    215.53    -1.16    -9999
YAKUTSK    170909 3600 050000-060000   00     213.84 1003.2    214.02    -1.85    -9999
YAKUTSK    170909 3600 060000-070000   00     212.27 1003.2    212.57    -2.51    -9999
YAKUTSK    170909 3600 070000-080000   00     212.14 1003.4    212.74    -2.43    -9999
YAKUTSK    170909 3600 080000-090000   00     212.82 1003.7    213.84    -1.93    -9999
YAKUTSK    170909 3600 090000-100000   00     213.37 1004.2    215.22    -1.30    -9999
YAKUTSK    170909 3600 100000-110000   00     212.34 1004.8    214.99    -1.40    -9999
YAKUTSK    170909 3600 110000-120000   00     212.53 1005.0    215.51    -1.16    -9999
YAKUTSK    170909 3600 120000-130000   00     211.77 1005.1    215.00    -1.40    -9999
YAKUTSK    170909 3600 130000-140000   00     211.06 1005.4    214.74    -1.52    -9999
YAKUTSK    170909 3600 140000-150000   00     211.26 1005.6    215.17    -1.32    -9999
YAKUTSK    170909 3600 150000-160000   00     211.79 1005.8    216.04    -0.92    -9999
YAKUTSK    170909 3600 160000-170000   00     210.90 1006.0    215.51    -1.17    -9999
YAKUTSK    170909 3600 170000-180000   00     211.79 1006.0    216.44    -0.74    -9999
YAKUTSK    170909 3600 180000-190000   00     211.83 1006.2    216.78    -0.58    -9999
YAKUTSK    170909 3600 190000-200000   00     213.22 1006.4    218.48     0.20    -9999
YAKUTSK    170909 3600 200000-210000   00     211.97 1006.6    217.47    -0.27    -9999
YAKUTSK    170909 3600 210000-220000   00     212.52 1006.7    218.28     0.10    -9999
YAKUTSK    170909 3600 220000-230000   00     213.01 1006.8    218.92     0.40    -9999
YAKUTSK    170909 3600 230000-240000   00     214.29 1006.8    220.26     1.01    -9999
YAKUTSK    170910 3600 000000-010000   00     214.24 1006.9    220.26     1.01    -9999
YAKUTSK    170910 3600 010000-020000   00     214.12 1006.9    220.11     0.95    -9999
YAKUTSK    170910 3600 020000-030000   00     213.23 1006.8    219.04     0.45    -9999
YAKUTSK    170910 3600 030000-040000   00     213.92 1006.4    219.22     0.54    -9999
YAKUTSK    170910 3600 040000-050000   00     213.60 1006.2    218.51     0.21    -9999
YAKUTSK    170910 3600 050000-060000   00     213.22 1005.8    217.47    -0.27    -9999
