CALMA      LATITUDE    40.64     LONGITUDE     -3.16     ALTITUDE    708 M
CALMA      INSTRUMENT   15NM64    NEUTRON MONITOR
CALMA      STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.67     % / MB
CALMA      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
CALMA      PRE-INCREASE AVERAGE COUNTING RATE     66.24      COUNTS PER SECOND
CALMA      TIME INTERVALS    300         3600     
CALMA      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALMA      240510 3600 000000-010000   00      70.01  936.5     69.72     5.26    -9999
CALMA      240510 3600 010000-020000   00      70.63  936.3     70.25     6.06    -9999
CALMA      240510 3600 020000-030000   00      70.77  936.2     70.35     6.20    -9999
CALMA      240510 3600 030000-040000   00      71.54  936.3     71.15     7.41    -9999
CALMA      240510 3600 040000-050000   00      70.22  936.3     69.84     5.44    -9999
CALMA      240510 3600 050000-060000   00      70.31  936.4     70.01     5.70    -9999
CALMA      240510 3600 060000-070000   00      69.59  936.8     69.47     4.88    -9999
CALMA      240510 3600 070000-080000   00      70.55  937.0     70.51     6.46    -9999
CALMA      240510 3600 080000-090000   00      70.47  937.0     70.44     6.35    -9999
CALMA      240510 3600 090000-100000   00      70.82  937.1     70.82     6.91    -9999
CALMA      240510 3600 100000-110000   00      71.65  936.8     71.51     7.97    -9999
CALMA      240510 3600 110000-120000   00      71.77  936.1     71.33     7.68    -9999
CALMA      240510 3600 120000-130000   00      72.09  935.4     71.27     7.60    -9999
CALMA      240510 3600 130000-140000   00      72.50  934.7     71.38     7.76    -9999
CALMA      240510 3600 140000-150000   00      71.77  934.1     70.37     6.23    -9999
CALMA      240510 3600 150000-160000   00      72.15  933.7     70.53     6.48    -9999
CALMA      240510 3600 160000-170000   00      72.02  933.4     70.25     6.06    -9999
CALMA      240510 3600 170000-180000   00      72.13  933.3     70.31     6.15    -9999
CALMA      240510 3600 180000-190000   00      73.01  933.4     71.21     7.51    -9999
CALMA      240510 3600 190000-200000   00      72.59  933.6     70.92     7.07    -9999
CALMA      240510 3600 200000-210000   00      72.84  934.0     71.35     7.71    -9999
CALMA      240510 3600 210000-220000   00      71.37  934.3     70.08     5.80    -9999
CALMA      240510 300  220000-220500   00      72.88  934.4     71.57     8.05    -9999
CALMA      240510 300  220500-221000   00      73.09  934.4     71.79     8.38    -9999
CALMA      240510 300  221000-221500   00      70.15  934.4     68.92     4.05    -9999
CALMA      240510 300  221500-222000   00      71.50  934.4     70.24     6.04    -9999
CALMA      240510 300  222000-222500   00      70.72  934.5     69.50     4.93    -9999
CALMA      240510 300  222500-223000   00      68.74  934.5     67.58     2.03    -9999
CALMA      240510 300  223000-223500   00      70.05  934.6     68.89     4.00    -9999
CALMA      240510 300  223500-224000   00      68.18  934.6     67.05     1.23    -9999
CALMA      240510 300  224000-224500   00      70.39  934.6     69.24     4.53    -9999
CALMA      240510 300  224500-225000   00      69.16  934.6     68.04     2.72    -9999
CALMA      240510 300  225000-225500   00      67.59  934.6     66.47     0.36    -9999
CALMA      240510 300  225500-230000   00      73.95  934.6     72.76     9.84    -9999
CALMA      240510 300  230000-230500   00      68.20  934.6     67.10     1.30    -9999
CALMA      240510 300  230500-231000   00      67.25  934.7     66.18    -0.09    -9999
CALMA      240510 300  231000-231500   00      67.83  934.6     66.73     0.74    -9999
CALMA      240510 300  231500-232000   00      70.03  934.6     68.89     4.01    -9999
CALMA      240510 300  232000-232500   00      67.94  934.7     66.85     0.93    -9999
CALMA      240510 300  232500-233000   00      65.45  934.7     64.42    -2.74    -9999
CALMA      240510 300  233000-233500   00      68.01  934.8     66.96     1.09    -9999
CALMA      240510 300  233500-234000   00      64.76  934.8     63.79    -3.69    -9999
CALMA      240510 300  234000-234500   00      66.75  934.8     65.74    -0.75    -9999
CALMA      240510 300  234500-235000   00      67.68  934.8     66.67     0.66    -9999
CALMA      240510 300  235000-235500   00      68.80  934.8     67.78     2.33    -9999
CALMA      240510 300  235500-240000   00      67.93  934.8     66.93     1.04    -9999
CALMA      240511 300  000000-000500   00      67.62  934.9     66.66     0.63    -9999
CALMA      240511 300  000500-001000   00      65.40  934.9     64.46    -2.69    -9999
