FORT-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
FORT-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
FORT-SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
FORT-SMITH PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
FORT-SMITH PRE-INCREASE AVERAGE COUNTING RATE    178.05      COUNTS PER SECOND
FORT-SMITH TIME INTERVALS    300         3600     
FORT-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
FORT-SMITH 240510 3600 000000-010000   00     235.21  991.0    199.48    12.03    -9999
FORT-SMITH 240510 3600 010000-020000   00     235.05  990.9    199.08    11.81    -9999
FORT-SMITH 240510 3600 020000-030000   00     235.49  990.8    199.37    11.97    -9999
FORT-SMITH 240510 3600 030000-040000   00     235.81  990.6    199.31    11.94    -9999
FORT-SMITH 240510 3600 040000-050000   00     236.50  990.1    199.24    11.90    -9999
FORT-SMITH 240510 3600 050000-060000   00     237.27  989.7    199.17    11.86    -9999
FORT-SMITH 240510 3600 060000-070000   00     239.34  989.0    199.96    12.30    -9999
FORT-SMITH 240510 3600 070000-080000   00     239.93  988.1    199.06    11.80    -9999
FORT-SMITH 240510 3600 080000-090000   00     241.31  987.2    198.80    11.65    -9999
FORT-SMITH 240510 3600 090000-100000   00     243.31  986.1    198.90    11.71    -9999
FORT-SMITH 240510 3600 100000-110000   00     245.22  985.2    199.08    11.81    -9999
FORT-SMITH 240510 3600 110000-120000   00     247.32  984.3    199.45    12.02    -9999
FORT-SMITH 240510 3600 120000-130000   00     249.45  983.3    199.68    12.15    -9999
FORT-SMITH 240510 3600 130000-140000   00     251.29  982.1    199.28    11.92    -9999
FORT-SMITH 240510 3600 140000-150000   00     254.59  981.0    200.22    12.45    -9999
