IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    715     MB     COEFFICIENT   -0.72     % / MB
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    366.00      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK3   240510 3600 000000-010000   00     388.14  721.1    405.68    10.84    -9999
IRKUTSK3   240510 3600 010000-020000   00     387.27  721.3    405.22    10.72    -9999
IRKUTSK3   240510 3600 020000-030000   00     385.58  721.5    404.15    10.42    -9999
IRKUTSK3   240510 3600 030000-040000   00     384.70  722.2    405.15    10.70    -9999
IRKUTSK3   240510 3600 040000-050000   00     383.75  723.1    406.87    11.17    -9999
IRKUTSK3   240510 3600 050000-060000   00     288.42  723.3    408.42    11.59    -9999
IRKUTSK3   240510 3600 060000-070000   00     384.12  723.4    408.02    11.48    -9999
IRKUTSK3   240510 3600 070000-080000   00     384.60  723.6    409.05    11.76    -9999
IRKUTSK3   240510 3600 080000-090000   00     382.40  723.9    407.77    11.41    -9999
IRKUTSK3   240510 3600 090000-100000   00     380.53  724.4    407.18    11.25    -9999
IRKUTSK3   240510 3600 100000-110000   00     347.40  724.7    406.25    11.00    -9999
IRKUTSK3   240510 3600 110000-120000   00     258.28  725.1    406.33    11.02    -9999
IRKUTSK3   240510 3600 120000-130000   00     378.77  725.4    408.10    11.50    -9999
IRKUTSK3   240510 3600 130000-140000   00     378.67  725.4    408.27    11.55    -9999
IRKUTSK3   240510 3600 140000-150000   00     347.00  725.3    407.05    11.22    -9999
IRKUTSK3   240510 3600 150000-160000   00     353.08  725.2    406.90    11.17    -9999
IRKUTSK3   240510 3600 160000-170000   00     377.82  725.4    407.20    11.26    -9999
IRKUTSK3   240510 3600 170000-180000   00     375.80  725.4    405.13    10.69    -9999
IRKUTSK3   240510 3600 180000-190000   00     380.35  725.3    409.82    11.97    -9999
IRKUTSK3   240510 3600 190000-200000   00     377.57  725.2    406.35    11.02    -9999
IRKUTSK3   240510 3600 200000-210000   00     375.73  725.1    403.92    10.36    -9999
IRKUTSK3   240510 3600 210000-220000   00     366.22  725.0    393.48     7.51    -9999
IRKUTSK3   240510 300  220000-220500   00     361.00  725.0    388.20     6.07    -9999
IRKUTSK3   240510 300  220500-221000   00     357.40  724.9    384.00     4.92    -9999
IRKUTSK3   240510 300  221000-221500   00     355.60  725.0    382.20     4.43    -9999
IRKUTSK3   240510 300  221500-222000   00     354.60  725.0    381.20     4.15    -9999
IRKUTSK3   240510 300  222000-222500   00     351.20  725.0    377.20     3.06    -9999
IRKUTSK3   240510 300  222500-223000   00     350.40  725.1    377.00     3.01    -9999
IRKUTSK3   240510 300  223000-223500   00     348.80  725.2    375.20     2.51    -9999
IRKUTSK3   240510 300  223500-224000   00     343.00  725.2    369.00     0.82    -9999
IRKUTSK3   240510 300  224000-224500   00     341.60  725.2    367.80     0.49    -9999
IRKUTSK3   240510 300  224500-225000   00     339.40  725.3    365.40    -0.16    -9999
IRKUTSK3   240510 300  225000-225500   00     339.20  725.2    364.60    -0.38    -9999
IRKUTSK3   240510 300  225500-230000   00     336.40  725.2    362.00    -1.09    -9999
IRKUTSK3   240510 300  230000-230500   00     336.20  725.2    362.00    -1.09    -9999
IRKUTSK3   240510 300  230500-231000   00     335.20  725.2    360.60    -1.48    -9999
IRKUTSK3   240510 300  231000-231500   00     338.80  725.1    364.60    -0.38    -9999
IRKUTSK3   240510 300  231500-232000   00     339.40  725.1    364.80    -0.33    -9999
IRKUTSK3   240510 300  232000-232500   00     339.00  725.1    364.60    -0.38    -9999
IRKUTSK3   240510 300  232500-233000   00     337.00  725.1    362.60    -0.93    -9999
IRKUTSK3   240510 300  233000-233500   00     340.00  725.2    365.80    -0.05    -9999
IRKUTSK3   240510 300  233500-234000   00     335.20  725.2    360.60    -1.48    -9999
IRKUTSK3   240510 300  234000-234500   00     336.60  725.2    362.40    -0.98    -9999
IRKUTSK3   240510 300  234500-235000   00     337.00  725.1    362.80    -0.87    -9999
IRKUTSK3   240510 300  235000-235500   00     338.80  725.1    364.60    -0.38    -9999
IRKUTSK3   240510 300  235500-240000   00     338.00  725.2    363.60    -0.66    -9999
IRKUTSK3   240511 300  000000-000500   00     337.20  725.3    363.00    -0.82    -9999
IRKUTSK3   240511 300  000500-001000   00     338.60  725.3    364.60    -0.38    -9999
IRKUTSK3   240511 300  001000-001500   00     342.00  725.3    368.20     0.60    -9999
IRKUTSK3   240511 300  001500-002000   00     339.40  725.2    365.40    -0.16    -9999
IRKUTSK3   240511 300  002000-002500   00     338.40  725.3    364.40    -0.44    -9999
IRKUTSK3   240511 300  002500-003000   00     338.40  725.2    364.40    -0.44    -9999
IRKUTSK3   240511 300  003000-003500   00     335.40  725.1    360.80    -1.42    -9999
IRKUTSK3   240511 300  003500-004000   00     339.80  725.4    366.20     0.05    -9999
IRKUTSK3   240511 300  004000-004500   00     340.00  725.3    366.40     0.11    -9999
IRKUTSK3   240511 300  004500-005000   00     340.40  725.5    366.80     0.22    -9999
IRKUTSK3   240511 300  005000-005500   00     340.60  725.5    367.40     0.38    -9999
IRKUTSK3   240511 300  005500-010000   00     342.60  725.4    369.20     0.87    -9999
IRKUTSK3   240511 300  010000-010500   00     342.60  725.5    369.40     0.93    -9999
IRKUTSK3   240511 300  010500-011000   00     343.40  725.6    370.60     1.26    -9999
IRKUTSK3   240511 300  011000-011500   00     339.40  725.6    366.40     0.11    -9999
IRKUTSK3   240511 300  011500-012000   00     343.20  725.6    370.40     1.20    -9999
IRKUTSK3   240511 300  012000-012500   00     344.20  725.5    371.40     1.48    -9999
IRKUTSK3   240511 300  012500-013000   00     342.40  725.5    369.20     0.87    -9999
IRKUTSK3   240511 300  013000-013500   00     346.60  725.6    374.20     2.24    -9999
IRKUTSK3   240511 300  013500-014000   00     348.60  725.6    376.00     2.73    -9999
IRKUTSK3   240511 300  014000-014500   00     349.20  725.5    376.80     2.95    -9999
IRKUTSK3   240511 300  014500-015000   00     346.20  725.6    373.40     2.02    -9999
IRKUTSK3   240511 300  015000-015500   00     346.80  725.6    374.40     2.30    -9999
IRKUTSK3   240511 300  015500-020000   00     346.40  725.6    374.40     2.30    -9999
IRKUTSK3   240511 300  020000-020500   00     348.80  725.7    376.40     2.84    -9999
IRKUTSK3   240511 300  020500-021000   00     348.20  725.7    376.20     2.79    -9999
IRKUTSK3   240511 300  021000-021500   00     349.60  725.7    377.60     3.17    -9999
IRKUTSK3   240511 300  021500-022000   00     347.80  725.8    376.00     2.73    -9999
IRKUTSK3   240511 300  022000-022500   00     353.80  725.9    382.60     4.54    -9999
IRKUTSK3   240511 300  022500-023000   00     352.00  725.9    380.60     3.99    -9999
IRKUTSK3   240511 300  023000-023500   00     353.20  725.9    382.20     4.43    -9999
IRKUTSK3   240511 300  023500-024000   00     349.00  725.9    377.60     3.17    -9999
IRKUTSK3   240511 300  024000-024500   00     352.40  725.9    381.40     4.21    -9999
IRKUTSK3   240511 300  024500-025000   00     357.40  725.9    386.40     5.57    -9999
IRKUTSK3   240511 300  025000-025500   00     352.40  725.9    381.40     4.21    -9999
IRKUTSK3   240511 300  025500-030000   00     356.60  725.8    385.60     5.36    -9999
IRKUTSK3   240511 300  030000-030500   00     356.40  725.7    384.60     5.08    -9999
IRKUTSK3   240511 300  030500-031000   00     354.40  725.7    383.00     4.64    -9999
IRKUTSK3   240511 300  031000-031500   00     355.20  725.7    383.60     4.81    -9999
IRKUTSK3   240511 300  031500-032000   00     354.40  725.7    383.00     4.64    -9999
IRKUTSK3   240511 300  032000-032500   00     349.40  725.7    377.40     3.11    -9999
IRKUTSK3   240511 300  032500-033000   00     350.40  725.8    378.80     3.50    -9999
