JANG BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG BOGO  PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JANG BOGO  PRE-INCREASE AVERAGE COUNTING RATE    223.10      COUNTS PER SECOND
JANG BOGO  TIME INTERVALS    300         3600     
JANG BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG BOGO  240510 3600 000000-010000   00     239.95  984.3    250.47    12.27    -9999
JANG BOGO  240510 3600 010000-020000   00     240.06  984.2    250.50    12.28    -9999
JANG BOGO  240510 3600 020000-030000   00     238.46  984.2    248.95    11.59    -9999
JANG BOGO  240510 3600 030000-040000   00     239.11  984.4    249.92    12.02    -9999
JANG BOGO  240510 3600 040000-050000   00     239.46  984.7    250.77    12.40    -9999
JANG BOGO  240510 3600 050000-060000   00     237.84  984.9    249.53    11.85    -9999
JANG BOGO  240510 3600 060000-070000   00     238.37  984.9    250.04    12.08    -9999
JANG BOGO  240510 3600 070000-080000   00     238.42  985.0    250.30    12.20    -9999
JANG BOGO  240510 3600 080000-090000   00     236.90  985.2    249.15    11.68    -9999
JANG BOGO  240510 3600 090000-100000   00     235.03  985.6    247.78    11.07    -9999
JANG BOGO  240510 3600 100000-110000   00     236.03  985.7    249.11    11.66    -9999
JANG BOGO  240510 3600 110000-120000   00     234.48  985.8    247.64    11.00    -9999
JANG BOGO  240510 3600 120000-130000   00     235.85  985.8    249.10    11.65    -9999
JANG BOGO  240510 3600 130000-140000   00     236.33  985.6    249.31    11.75    -9999
JANG BOGO  240510 3600 140000-150000   00     237.55  985.9    251.01    12.51    -9999
JANG BOGO  240510 3600 150000-160000   00     238.07  985.8    251.45    12.71    -9999
JANG BOGO  240510 3600 160000-170000   00     236.71  985.7    249.77    11.95    -9999
JANG BOGO  240510 3600 170000-180000   00     238.08  985.6    251.14    12.57    -9999
JANG BOGO  240510 3600 180000-190000   00     231.45  985.7    244.30     9.50    -9999
JANG BOGO  240510 3600 190000-200000   00     230.33  985.7    243.04     8.94    -9999
JANG BOGO  240510 3600 200000-210000   00     227.39  985.8    240.16     7.65    -9999
JANG BOGO  240510 300  210000-210500   00     223.85  985.8    236.43     5.97    -9999
JANG BOGO  240510 300  210500-211000   00     218.72  985.8    231.00     3.54    -9999
JANG BOGO  240510 300  211000-211500   00     217.20  985.8    229.37     2.81    -9999
