JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    303.60      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  240510 3600 000000-010000   00     267.74  669.8    324.66     6.94    -9999
JUNGFRAU1  240510 3600 010000-020000   00     269.23  669.6    325.94     7.36    -9999
JUNGFRAU1  240510 3600 020000-030000   00     269.18  669.4    325.41     7.18    -9999
JUNGFRAU1  240510 3600 030000-040000   00     269.24  669.3    325.23     7.12    -9999
JUNGFRAU1  240510 3600 040000-050000   00     269.94  669.3    326.04     7.39    -9999
JUNGFRAU1  240510 3600 050000-060000   00     270.32  669.4    326.71     7.61    -9999
JUNGFRAU1  240510 3600 060000-070000   00     269.85  669.5    326.49     7.54    -9999
JUNGFRAU1  240510 3600 070000-080000   00     269.10  669.6    325.79     7.31    -9999
JUNGFRAU1  240510 3600 080000-090000   00     270.98  669.8    328.58     8.23    -9999
JUNGFRAU1  240510 3600 090000-100000   00     272.23  670.0    330.50     8.86    -9999
JUNGFRAU1  240510 3600 100000-110000   00     272.51  670.2    331.38     9.15    -9999
JUNGFRAU1  240510 3600 110000-120000   00     271.95  670.4    331.18     9.08    -9999
JUNGFRAU1  240510 3600 120000-130000   00     272.00  670.4    331.21     9.09    -9999
JUNGFRAU1  240510 3600 130000-140000   00     271.67  670.4    330.85     8.98    -9999
JUNGFRAU1  240510 3600 140000-150000   00     271.42  670.4    330.55     8.88    -9999
JUNGFRAU1  240510 3600 150000-160000   00     270.94  670.4    329.93     8.67    -9999
JUNGFRAU1  240510 3600 160000-170000   00     269.61  670.3    328.17     8.09    -9999
JUNGFRAU1  240510 3600 170000-180000   00     269.13  670.4    327.53     7.88    -9999
JUNGFRAU1  240510 3600 180000-190000   00     273.24  670.4    332.70     9.58    -9999
JUNGFRAU1  240510 3600 190000-200000   00     274.30  670.6    334.38    10.14    -9999
JUNGFRAU1  240510 3600 200000-210000   00     275.41  670.7    336.07    10.69    -9999
JUNGFRAU1  240510 300  210000-210500   00     274.46  670.7    334.92    10.32    -9999
JUNGFRAU1  240510 300  210500-211000   00     274.04  670.7    334.39    10.14    -9999
JUNGFRAU1  240510 300  211000-211500   00     273.61  670.7    333.96    10.00    -9999
JUNGFRAU1  240510 300  211500-212000   00     275.89  670.7    336.69    10.90    -9999
JUNGFRAU1  240510 300  212000-212500   00     273.13  670.7    333.24     9.76    -9999
JUNGFRAU1  240510 300  212500-213000   00     269.36  670.6    328.36     8.15    -9999
JUNGFRAU1  240510 300  213000-213500   00     266.70  670.6    325.21     7.12    -9999
