MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.71     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    205.31      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 240510 3600 000000-010000   00     229.76  772.4    219.70     7.01    -9999
MEXICOCITY 240510 3600 010000-020000   00     228.01  773.4    219.54     6.93    -9999
MEXICOCITY 240510 3600 020000-030000   00     227.29  774.3    220.32     7.31    -9999
MEXICOCITY 240510 3600 030000-040000   00     225.26  775.1    219.59     6.96    -9999
MEXICOCITY 240510 3600 040000-050000   00     225.80  775.7    221.01     7.65    -9999
MEXICOCITY 240510 3600 050000-060000   00     225.44  775.8    220.85     7.57    -9999
MEXICOCITY 240510 3600 060000-070000   00     225.08  775.6    220.24     7.27    -9999
MEXICOCITY 240510 3600 070000-080000   00     226.37  774.9    220.34     7.32    -9999
MEXICOCITY 240510 3600 080000-090000   00     227.77  774.3    220.74     7.51    -9999
MEXICOCITY 240510 3600 090000-100000   00     228.60  774.0    221.10     7.69    -9999
MEXICOCITY 240510 3600 100000-110000   00     228.22  773.8    220.51     7.40    -9999
MEXICOCITY 240510 3600 110000-120000   00     228.99  774.1    221.61     7.94    -9999
MEXICOCITY 240510 3600 120000-130000   00     228.01  774.7    221.65     7.96    -9999
MEXICOCITY 240510 3600 130000-140000   00     227.82  775.5    222.66     8.45    -9999
MEXICOCITY 240510 3600 140000-150000   00     227.87  775.6    222.98     8.60    -9999
MEXICOCITY 240510 3600 150000-160000   00     227.63  775.6    222.71     8.47    -9999
MEXICOCITY 240510 3600 160000-170000   00     227.66  775.4    222.39     8.32    -9999
MEXICOCITY 240510 3600 170000-180000   00     228.44  774.9    222.41     8.33    -9999
MEXICOCITY 240510 3600 180000-190000   00     229.59  774.2    222.46     8.35    -9999
MEXICOCITY 240510 3600 190000-200000   00     230.18  773.7    222.16     8.21    -9999
MEXICOCITY 240510 3600 200000-210000   00     228.15  772.9    218.95     6.64    -9999
MEXICOCITY 240510 300  210000-210500   00     225.01  772.6    215.46     4.94    -9999
MEXICOCITY 240510 300  210500-211000   00     225.59  772.5    215.89     5.15    -9999
MEXICOCITY 240510 300  211000-211500   00     226.38  772.5    216.61     5.50    -9999
MEXICOCITY 240510 300  211500-212000   00     226.33  772.4    216.45     5.43    -9999
MEXICOCITY 240510 300  212000-212500   00     228.94  772.4    218.88     6.61    -9999
MEXICOCITY 240510 300  212500-213000   00     224.19  772.3    214.24     4.35    -9999
MEXICOCITY 240510 300  213000-213500   00     223.82  772.3    213.90     4.18    -9999
MEXICOCITY 240510 300  213500-214000   00     225.66  772.3    215.65     5.04    -9999
MEXICOCITY 240510 300  214000-214500   00     224.45  772.2    214.41     4.43    -9999
MEXICOCITY 240510 300  214500-215000   00     223.51  772.2    213.44     3.96    -9999
MEXICOCITY 240510 300  215000-215500   00     224.08  772.2    213.99     4.23    -9999
MEXICOCITY 240510 300  215500-220000   00     227.07  772.1    216.76     5.57    -9999
MEXICOCITY 240510 300  220000-220500   00     226.30  772.1    215.95     5.18    -9999
MEXICOCITY 240510 300  220500-221000   00     226.11  772.1    215.77     5.10    -9999
MEXICOCITY 240510 300  221000-221500   00     222.99  772.1    212.79     3.64    -9999
MEXICOCITY 240510 300  221500-222000   00     224.36  772.0    214.01     4.24    -9999
MEXICOCITY 240510 300  222000-222500   00     221.51  772.0    211.23     2.88    -9999
MEXICOCITY 240510 300  222500-223000   00     222.68  772.0    212.29     3.40    -9999
MEXICOCITY 240510 300  223000-223500   00     225.16  771.9    214.57     4.51    -9999
MEXICOCITY 240510 300  223500-224000   00     223.37  771.9    212.86     3.68    -9999
MEXICOCITY 240510 300  224000-224500   00     224.01  771.9    213.41     3.94    -9999
MEXICOCITY 240510 300  224500-225000   00     224.16  771.9    213.58     4.03    -9999
