NOR-AMBERD LATITUDE    40.37     LONGITUDE     44.25     ALTITUDE    2000 M
NOR-AMBERD INSTRUMENT   18NM64    NEUTRON MONITOR
NOR-AMBERD STANDARD PRESSURE    802     MB     COEFFICIENT   -0.67     % / MB
NOR-AMBERD PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
NOR-AMBERD PRE-INCREASE AVERAGE COUNTING RATE    241.63      COUNTS PER SECOND
NOR-AMBERD TIME INTERVALS    300         3600     
NOR-AMBERD SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOR-AMBERD 240510 3600 000000-010000   00     242.99  806.9    254.90     5.49    -9999
NOR-AMBERD 240510 3600 010000-020000   00     244.30  806.8    256.05     5.97    -9999
NOR-AMBERD 240510 3600 020000-030000   00     242.60  807.0    254.70     5.41    -9999
NOR-AMBERD 240510 3600 030000-040000   00     242.70  807.2    255.11     5.58    -9999
NOR-AMBERD 240510 3600 040000-050000   00     242.29  807.5    255.19     5.61    -9999
NOR-AMBERD 240510 3600 050000-060000   00     242.64  807.7    255.95     5.92    -9999
NOR-AMBERD 240510 3600 060000-070000   00     243.23  807.8    256.80     6.28    -9999
NOR-AMBERD 240510 3600 070000-080000   00     244.39  807.8    257.94     6.75    -9999
NOR-AMBERD 240510 3600 080000-090000   00     244.13  807.5    257.19     6.44    -9999
NOR-AMBERD 240510 3600 090000-100000   00     245.43  807.3    258.15     6.84    -9999
NOR-AMBERD 240510 3600 100000-110000   00     247.44  807.3    260.27     7.71    -9999
NOR-AMBERD 240510 3600 110000-120000   00     245.31  807.5    258.37     6.93    -9999
NOR-AMBERD 240510 3600 120000-130000   00     244.10  807.6    257.29     6.48    -9999
NOR-AMBERD 240510 3600 130000-140000   00     242.91  807.7    256.31     6.07    -9999
NOR-AMBERD 240510 3600 140000-150000   00     242.59  808.3    256.94     6.34    -9999
NOR-AMBERD 240510 3600 150000-160000   00     241.69  808.5    256.36     6.09    -9999
NOR-AMBERD 240510 3600 160000-170000   00     241.52  808.8    256.81     6.28    -9999
NOR-AMBERD 240510 3600 170000-180000   00     239.51  809.5    255.81     5.87    -9999
NOR-AMBERD 240510 3600 180000-190000   00     243.31  809.5    259.89     7.55    -9999
NOR-AMBERD 240510 3600 190000-200000   00     243.66  809.4    260.09     7.64    -9999
NOR-AMBERD 240510 3600 200000-210000   00     243.72  809.2    259.83     7.53    -9999
NOR-AMBERD 240510 3600 210000-220000   00     241.37  809.0    256.91     6.32    -9999
NOR-AMBERD 240510 300  220000-220500   00     240.12  809.0    255.58     5.77    -9999
NOR-AMBERD 240510 300  220500-221000   00     240.31  808.9    255.71     5.83    -9999
NOR-AMBERD 240510 300  221000-221500   00     237.10  808.9    252.21     4.38    -9999
NOR-AMBERD 240510 300  221500-222000   00     236.85  808.8    251.85     4.23    -9999
NOR-AMBERD 240510 300  222000-222500   00     237.56  808.7    252.45     4.48    -9999
NOR-AMBERD 240510 300  222500-223000   00     232.89  808.7    247.46     2.41    -9999
NOR-AMBERD 240510 300  223000-223500   00     233.92  808.7    248.58     2.87    -9999
NOR-AMBERD 240510 300  223500-224000   00     228.82  808.7    243.12     0.62    -9999
NOR-AMBERD 240510 300  224000-224500   00     227.11  808.7    241.23    -0.17    -9999
NOR-AMBERD 240510 300  224500-225000   00     229.71  808.6    243.93     0.95    -9999
NOR-AMBERD 240510 300  225000-225500   00     230.24  808.7    244.52     1.20    -9999
NOR-AMBERD 240510 300  225500-230000   00     226.31  808.7    240.46    -0.49    -9999
NOR-AMBERD 240510 300  230000-230500   00     226.14  808.7    240.23    -0.58    -9999
NOR-AMBERD 240510 300  230500-231000   00     227.32  808.7    241.51    -0.05    -9999
NOR-AMBERD 240510 300  231000-231500   00     227.89  808.7    242.06     0.18    -9999
NOR-AMBERD 240510 300  231500-232000   00     228.12  808.6    242.25     0.26    -9999
NOR-AMBERD 240510 300  232000-232500   00     226.62  808.7    240.71    -0.38    -9999
NOR-AMBERD 240510 300  232500-233000   00     222.84  808.7    236.72    -2.03    -9999
NOR-AMBERD 240510 300  233000-233500   00     226.43  808.7    240.55    -0.45    -9999
NOR-AMBERD 240510 300  233500-234000   00     226.00  808.7    240.10    -0.64    -9999
NOR-AMBERD 240510 300  234000-234500   00     227.15  808.7    241.26    -0.15    -9999
NOR-AMBERD 240510 300  234500-235000   00     225.58  808.7    239.66    -0.82    -9999
NOR-AMBERD 240510 300  235000-235500   00     227.27  808.8    241.58    -0.02    -9999
NOR-AMBERD 240510 300  235500-240000   00     227.24  808.8    241.59    -0.02    -9999
NOR-AMBERD 240511 300  000000-000500   00     227.54  808.7    241.76     0.05    -9999
NOR-AMBERD 240511 300  000500-001000   00     228.17  808.7    242.41     0.32    -9999
NOR-AMBERD 240511 300  001000-001500   00     226.29  808.6    240.31    -0.55    -9999
NOR-AMBERD 240511 300  001500-002000   00     226.02  808.6    240.00    -0.68    -9999
NOR-AMBERD 240511 300  002000-002500   00     226.72  808.6    240.76    -0.36    -9999
NOR-AMBERD 240511 300  002500-003000   00     224.87  808.7    238.86    -1.15    -9999
NOR-AMBERD 240511 300  003000-003500   00     227.24  808.7    241.36    -0.11    -9999
NOR-AMBERD 240511 300  003500-004000   00     228.19  808.6    242.23     0.25    -9999
NOR-AMBERD 240511 300  004000-004500   00     228.07  808.6    242.08     0.18    -9999
NOR-AMBERD 240511 300  004500-005000   00     227.12  808.6    241.08    -0.23    -9999
NOR-AMBERD 240511 300  005000-005500   00     225.44  808.6    239.28    -0.97    -9999
NOR-AMBERD 240511 300  005500-010000   00     227.00  808.6    241.03    -0.25    -9999
NOR-AMBERD 240511 300  010000-010500   00     227.32  808.6    241.31    -0.13    -9999
NOR-AMBERD 240511 300  010500-011000   00     230.48  808.5    244.59     1.22    -9999
NOR-AMBERD 240511 300  011000-011500   00     230.49  808.6    244.67     1.25    -9999
NOR-AMBERD 240511 300  011500-012000   00     229.06  808.6    243.12     0.62    -9999
NOR-AMBERD 240511 300  012000-012500   00     229.49  808.6    243.55     0.79    -9999
NOR-AMBERD 240511 300  012500-013000   00     231.89  808.5    246.07     1.84    -9999
NOR-AMBERD 240511 300  013000-013500   00     231.37  808.5    245.43     1.57    -9999
NOR-AMBERD 240511 300  013500-014000   00     232.45  808.5    246.59     2.05    -9999
NOR-AMBERD 240511 300  014000-014500   00     232.84  808.6    247.10     2.26    -9999
NOR-AMBERD 240511 300  014500-015000   00     229.64  808.5    243.69     0.85    -9999
NOR-AMBERD 240511 300  015000-015500   00     228.76  808.5    242.75     0.46    -9999
NOR-AMBERD 240511 300  015500-020000   00     228.92  808.6    242.97     0.55    -9999
NOR-AMBERD 240511 300  020000-020500   00     229.96  808.6    244.08     1.01    -9999
NOR-AMBERD 240511 300  020500-021000   00     231.17  808.6    245.40     1.56    -9999
NOR-AMBERD 240511 300  021000-021500   00     231.46  808.6    245.74     1.70    -9999
NOR-AMBERD 240511 300  021500-022000   00     231.78  808.7    246.16     1.87    -9999
NOR-AMBERD 240511 300  022000-022500   00     233.94  808.7    248.49     2.84    -9999
NOR-AMBERD 240511 300  022500-023000   00     230.11  808.7    244.51     1.19    -9999
NOR-AMBERD 240511 300  023000-023500   00     233.66  808.8    248.34     2.77    -9999
NOR-AMBERD 240511 300  023500-024000   00     234.55  808.8    249.36     3.20    -9999
NOR-AMBERD 240511 300  024000-024500   00     233.63  808.8    248.43     2.81    -9999
NOR-AMBERD 240511 300  024500-025000   00     238.96  808.8    254.10     5.16    -9999
NOR-AMBERD 240511 300  025000-025500   00     233.01  808.9    247.82     2.56    -9999
NOR-AMBERD 240511 300  025500-030000   00     232.93  808.9    247.81     2.55    -9999
NOR-AMBERD 240511 300  030000-030500   00     234.20  808.9    249.22     3.14    -9999
NOR-AMBERD 240511 300  030500-031000   00     232.44  809.0    247.47     2.42    -9999
NOR-AMBERD 240511 300  031000-031500   00     232.03  809.0    247.08     2.25    -9999
NOR-AMBERD 240511 300  031500-032000   00     230.37  809.0    245.32     1.52    -9999
NOR-AMBERD 240511 300  032000-032500   00     230.11  809.1    245.13     1.45    -9999
NOR-AMBERD 240511 300  032500-033000   00     231.44  809.1    246.60     2.06    -9999
NOR-AMBERD 240511 300  033000-033500   00     232.79  809.1    248.06     2.66    -9999
NOR-AMBERD 240511 300  033500-034000   00     231.34  809.1    246.52     2.02    -9999
NOR-AMBERD 240511 300  034000-034500   00     229.25  809.2    244.32     1.11    -9999
NOR-AMBERD 240511 300  034500-035000   00     229.48  809.2    244.63     1.24    -9999
NOR-AMBERD 240511 300  035000-035500   00     229.58  809.2    244.66     1.25    -9999
NOR-AMBERD 240511 300  035500-040000   00     230.87  809.2    246.10     1.85    -9999
NOR-AMBERD 240511 300  040000-040500   00     230.56  809.2    245.80     1.73    -9999
NOR-AMBERD 240511 300  040500-041000   00     232.35  809.3    247.79     2.55    -9999
NOR-AMBERD 240511 300  041000-041500   00     228.23  809.2    243.31     0.69    -9999
NOR-AMBERD 240511 300  041500-042000   00     231.40  809.1    246.59     2.05    -9999
NOR-AMBERD 240511 300  042000-042500   00     229.84  809.2    245.00     1.39    -9999
NOR-AMBERD 240511 300  042500-043000   00     232.44  809.2    247.82     2.56    -9999
NOR-AMBERD 240511 300  043000-043500   00     231.31  809.3    246.69     2.09    -9999
NOR-AMBERD 240511 300  043500-044000   00     229.76  809.3    245.06     1.42    -9999
NOR-AMBERD 240511 300  044000-044500   00     228.69  809.4    244.05     1.00    -9999
NOR-AMBERD 240511 300  044500-045000   00     231.15  809.4    246.74     2.11    -9999
NOR-AMBERD 240511 300  045000-045500   00     228.62  809.4    244.07     1.01    -9999
NOR-AMBERD 240511 300  045500-050000   00     226.29  809.4    241.62     0.00    -9999
NOR-AMBERD 240511 300  050000-050500   00     230.25  809.4    245.87     1.75    -9999
NOR-AMBERD 240511 300  050500-051000   00     228.73  809.4    244.24     1.08    -9999
NOR-AMBERD 240511 300  051000-051500   00     228.66  809.4    244.07     1.01    -9999
NOR-AMBERD 240511 300  051500-052000   00     225.72  809.4    240.89    -0.31    -9999
NOR-AMBERD 240511 300  052000-052500   00     225.68  809.4    240.94    -0.29    -9999
NOR-AMBERD 240511 300  052500-053000   00     226.79  809.5    242.28     0.27    -9999
NOR-AMBERD 240511 300  053000-053500   00     226.61  809.5    242.04     0.17    -9999
NOR-AMBERD 240511 300  053500-054000   00     232.02  809.4    247.62     2.48    -9999
NOR-AMBERD 240511 300  054000-054500   00     227.48  809.4    242.77     0.47    -9999
NOR-AMBERD 240511 300  054500-055000   00     227.56  809.4    242.85     0.50    -9999
NOR-AMBERD 240511 300  055000-055500   00     226.56  809.3    241.76     0.05    -9999
NOR-AMBERD 240511 300  055500-060000   00     226.30  809.3    241.41    -0.09    -9999
NOR-AMBERD 240511 300  060000-060500   00     225.11  809.3    240.07    -0.65    -9999
NOR-AMBERD 240511 300  060500-061000   00     224.27  809.2    239.13    -1.04    -9999
NOR-AMBERD 240511 300  061000-061500   00     223.44  809.2    238.21    -1.42    -9999
