NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    1005    MB     COEFFICIENT   -0.73     % / MB
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE  8,400.00      COUNTS PER SECOND
NORILSK    TIME INTERVALS    3600     
NORILSK    SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NORILSK    240510 3600 000000-010000   00    8700.00 1013.9   9300.00    10.71    -9999
NORILSK    240510 3600 010000-020000   00    8760.00 1013.5   9300.00    10.71    -9999
NORILSK    240510 3600 020000-030000   00    8820.00 1012.9   9300.00    10.71    -9999
NORILSK    240510 3600 030000-040000   00    8880.00 1012.3   9360.00    11.43    -9999
NORILSK    240510 3600 040000-050000   00    8880.00 1011.8   9300.00    10.71    -9999
NORILSK    240510 3600 050000-060000   00    8940.00 1011.2   9360.00    11.43    -9999
NORILSK    240510 3600 060000-070000   00    9000.00 1010.5   9360.00    11.43    -9999
NORILSK    240510 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
NORILSK    240510 3600 080000-090000   00    8880.00 1009.4   9180.00     9.29    -9999
NORILSK    240510 3600 090000-100000   00    9120.00 1008.8   9360.00    11.43    -9999
NORILSK    240510 3600 100000-110000   00    9120.00 1008.2   9360.00    11.43    -9999
NORILSK    240510 3600 110000-120000   00    9240.00 1007.7   9420.00    12.14    -9999
NORILSK    240510 3600 120000-130000   00    9240.00 1007.3   9360.00    11.43    -9999
NORILSK    240510 3600 130000-140000   00    9180.00 1006.9   9360.00    11.43    -9999
NORILSK    240510 3600 140000-150000   00    9240.00 1006.6   9360.00    11.43    -9999
NORILSK    240510 3600 150000-160000   00    9240.00 1006.1   9360.00    11.43    -9999
NORILSK    240510 3600 160000-170000   00    9300.00 1005.9   9360.00    11.43    -9999
NORILSK    240510 3600 170000-180000   00    9240.00 1005.7   9300.00    10.71    -9999
NORILSK    240510 3600 180000-190000   00    9240.00 1005.2   9300.00    10.71    -9999
NORILSK    240510 3600 190000-200000   00    9240.00 1004.7   9240.00    10.00    -9999
NORILSK    240510 3600 200000-210000   00    9120.00 1004.2   9060.00     7.86    -9999
NORILSK    240510 3600 210000-220000   00    8940.00 1003.8   8880.00     5.71    -9999
NORILSK    240510 3600 220000-230000   00    8640.00 1003.3   8520.00     1.43    -9999
NORILSK    240510 3600 230000-240000   00    8520.00 1002.8   8400.00     0.00    -9999
NORILSK    240511 3600 000000-010000   00    8580.00 1002.2   8400.00     0.00    -9999
NORILSK    240511 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
NORILSK    240511 3600 020000-030000   00    8940.00 1000.9   8640.00     2.86    -9999
NORILSK    240511 3600 030000-040000   00    9000.00 1000.3   8700.00     3.57    -9999
NORILSK    240511 3600 040000-050000   00    9060.00  999.4   8700.00     3.57    -9999
NORILSK    240511 3600 050000-060000   00    9120.00  998.7   8700.00     3.57    -9999
NORILSK    240511 3600 060000-070000   00    9060.00  998.0   8640.00     2.86    -9999
NORILSK    240511 3600 070000-080000   00    9120.00  997.4   8580.00     2.14    -9999
NORILSK    240511 3600 080000-090000   00    9000.00  997.4   8520.00     1.43    -9999
NORILSK    240511 3600 090000-100000   00    8940.00  997.4   8460.00     0.71    -9999
NORILSK    240511 3600 100000-110000   00    9000.00  997.6   8520.00     1.43    -9999
NORILSK    240511 3600 110000-120000   00    9000.00  997.6   8520.00     1.43    -9999
NORILSK    240511 3600 120000-130000   00    8820.00  997.7   8340.00    -0.71    -9999
NORILSK    240511 3600 130000-140000   00    8760.00  997.9   8340.00    -0.71    -9999
NORILSK    240511 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
NORILSK    240511 3600 150000-160000   00    8760.00  998.3   8340.00    -0.71    -9999
NORILSK    240511 3600 160000-170000   00    8880.00  998.3   8460.00     0.71    -9999
NORILSK    240511 3600 170000-180000   00    8880.00  998.3   8460.00     0.71    -9999
NORILSK    240511 3600 180000-190000   00    8880.00  998.2   8460.00     0.71    -9999
NORILSK    240511 3600 190000-200000   00    8820.00  998.0   8400.00     0.00    -9999
NORILSK    240511 3600 200000-210000   00    8880.00  997.9   8400.00     0.00    -9999
NORILSK    240511 3600 210000-220000   00    8940.00  998.2   8520.00     1.43    -9999
NORILSK    240511 3600 220000-230000   00    8880.00  998.6   8460.00     0.71    -9999
NORILSK    240511 3600 230000-240000   00    8880.00  998.9   8460.00     0.71    -9999
NORILSK    240512 3600 000000-010000   00    8880.00  999.2   8520.00     1.43    -9999
NORILSK    240512 3600 010000-020000   00    8940.00  999.6   8580.00     2.14    -9999
NORILSK    240512 3600 020000-030000   00    9000.00 1000.2   8700.00     3.57    -9999
NORILSK    240512 3600 030000-040000   00    9000.00 1000.9   8700.00     3.57    -9999
NORILSK    240512 3600 040000-050000   00    8940.00 1001.4   8700.00     3.57    -9999
NORILSK    240512 3600 050000-060000   00    8880.00 1002.3   8760.00     4.29    -9999
NORILSK    240512 3600 060000-070000   00    8820.00 1003.0   8700.00     3.57    -9999
NORILSK    240512 3600 070000-080000   00    8820.00 1003.4   8700.00     3.57    -9999
NORILSK    240512 3600 080000-090000   00    8820.00 1003.8   8700.00     3.57    -9999
NORILSK    240512 3600 090000-100000   00    8760.00 1004.1   8700.00     3.57    -9999
NORILSK    240512 3600 100000-110000   00    8640.00 1004.4   8640.00     2.86    -9999
NORILSK    240512 3600 110000-120000   00    8640.00 1004.4   8580.00     2.14    -9999
NORILSK    240512 3600 120000-130000   00    8640.00 1004.4   8640.00     2.86    -9999
NORILSK    240512 3600 130000-140000   00    8700.00 1004.0   8640.00     2.86    -9999
NORILSK    240512 3600 140000-150000   00    8760.00 1003.8   8700.00     3.57    -9999
NORILSK    240512 3600 150000-160000   00    8700.00 1003.5   8580.00     2.14    -9999
NORILSK    240512 3600 160000-170000   00    8700.00 1003.3   8580.00     2.14    -9999
NORILSK    240512 3600 170000-180000   00    8640.00 1002.9   8520.00     1.43    -9999
NORILSK    240512 3600 180000-190000   00    8640.00 1002.7   8520.00     1.43    -9999
NORILSK    240512 3600 190000-200000   00    8700.00 1002.6   8580.00     2.14    -9999
NORILSK    240512 3600 200000-210000   00    8760.00 1002.6   8640.00     2.86    -9999
NORILSK    240512 3600 210000-220000   00    8760.00 1002.6   8640.00     2.86    -9999
NORILSK    240512 3600 220000-230000   00    8880.00 1002.8   8700.00     3.57    -9999
NORILSK    240512 3600 230000-240000   00    8940.00 1002.6   8820.00     5.00    -9999
*
COMMENT NM DATA DOWNLOADED FROM IZMIRAN DB ON 04.06.2024
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074NRLK.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
