NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    163 M
NOVOSIBIRS INSTRUMENT   24-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    995     MB     COEFFICIENT   -0.718    % / MB
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE  9,351.42      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOVOSIBIRS 240510 3600 000000-010000   00   11002.00  987.8  10446.00    11.70    -9999
NOVOSIBIRS 240510 3600 010000-020000   00   11114.00  986.9  10484.00    12.11    -9999
NOVOSIBIRS 240510 3600 020000-030000   00   11300.00  986.0  10592.00    13.27    -9999
NOVOSIBIRS 240510 3600 030000-040000   00   11299.00  985.0  10512.00    12.41    -9999
NOVOSIBIRS 240510 3600 040000-050000   00   11320.00  985.6  10580.00    13.14    -9999
NOVOSIBIRS 240510 3600 050000-060000   00   11320.00  985.7  10587.00    13.21    -9999
NOVOSIBIRS 240510 3600 060000-070000   00   11416.00  985.3  10651.00    13.90    -9999
NOVOSIBIRS 240510 3600 070000-080000   00   11387.00  985.5  10637.00    13.75    -9999
NOVOSIBIRS 240510 3600 080000-090000   00   11444.00  985.2  10670.00    14.10    -9999
NOVOSIBIRS 240510 3600 090000-100000   00   11446.00  985.1  10663.00    14.03    -9999
NOVOSIBIRS 240510 3600 100000-110000   00   11483.00  985.5  10727.00    14.71    -9999
NOVOSIBIRS 240510 3600 110000-120000   00   11442.00  985.6  10691.00    14.32    -9999
NOVOSIBIRS 240510 3600 120000-130000   00   11351.00  985.8  10626.00    13.63    -9999
NOVOSIBIRS 240510 3600 130000-140000   00   11220.00  986.1  10528.00    12.58    -9999
NOVOSIBIRS 240510 3600 140000-150000   00   11210.00  986.7  10561.00    12.93    -9999
NOVOSIBIRS 240510 3600 150000-160000   00   11148.00  987.5  10561.00    12.93    -9999
NOVOSIBIRS 240510 3600 160000-170000   00   11003.00  988.3  10483.00    12.10    -9999
NOVOSIBIRS 240510 3600 170000-180000   00   10999.00  988.9  10526.00    12.56    -9999
NOVOSIBIRS 240510 3600 180000-190000   00   10917.00  989.1  10467.00    11.93    -9999
NOVOSIBIRS 240510 3600 190000-200000   00   10661.00  989.6  10258.00     9.69    -9999
NOVOSIBIRS 240510 3600 200000-210000   00   10591.00  990.0  10216.00     9.25    -9999
NOVOSIBIRS 240510 3600 210000-220000   00   10313.00  990.6   9992.00     6.85    -9999
NOVOSIBIRS 240510 300  220000-220500   00   10138.00  991.1   9858.00     5.42    -9999
NOVOSIBIRS 240510 300  220500-221000   00   10008.00  991.2   9739.00     4.14    -9999
NOVOSIBIRS 240510 300  221000-221500   00   10029.00  991.2   9761.00     4.38    -9999
NOVOSIBIRS 240510 300  221500-222000   00    9928.00  991.3   9669.00     3.40    -9999
NOVOSIBIRS 240510 300  222000-222500   00   10077.00  991.4   9821.00     5.02    -9999
NOVOSIBIRS 240510 300  222500-223000   00   10053.00  991.5   9803.00     4.83    -9999
NOVOSIBIRS 240510 300  223000-223500   00    9778.00  991.5   9537.00     1.98    -9999
NOVOSIBIRS 240510 300  223500-224000   00    9632.00  991.6   9400.00     0.52    -9999
NOVOSIBIRS 240510 300  224000-224500   00    9642.00  991.6   9409.00     0.62    -9999
NOVOSIBIRS 240510 300  224500-225000   00    9518.00  991.6   9288.00    -0.68    -9999
NOVOSIBIRS 240510 300  225000-225500   00    9602.00  991.7   9378.00     0.28    -9999
NOVOSIBIRS 240510 300  225500-230000   00    9520.00  991.8   9309.00    -0.45    -9999
NOVOSIBIRS 240510 300  230000-230500   00    9557.00  992.0   9356.00     0.05    -9999
NOVOSIBIRS 240510 300  230500-231000   00    9523.00  992.1   9327.00    -0.26    -9999
NOVOSIBIRS 240510 300  231000-231500   00    9421.00  992.1   9227.00    -1.33    -9999
NOVOSIBIRS 240510 300  231500-232000   00    9523.00  992.0   9325.00    -0.28    -9999
NOVOSIBIRS 240510 300  232000-232500   00    9622.00  992.1   9425.00     0.79    -9999
NOVOSIBIRS 240510 300  232500-233000   00    9429.00  992.2   9242.00    -1.17    -9999
NOVOSIBIRS 240510 300  233000-233500   00    9415.00  992.3   9239.00    -1.20    -9999
NOVOSIBIRS 240510 300  233500-234000   00    9471.00  992.4   9298.00    -0.57    -9999
NOVOSIBIRS 240510 300  234000-234500   00    9681.00  992.5   9509.00     1.69    -9999
NOVOSIBIRS 240510 300  234500-235000   00    9401.00  992.6   9241.00    -1.18    -9999
NOVOSIBIRS 240510 300  235000-235500   00    9355.00  992.6   9197.00    -1.65    -9999
NOVOSIBIRS 240510 300  235500-240000   00    9417.00  992.7   9263.00    -0.95    -9999
NOVOSIBIRS 240511 300  000000-000500   00    9643.00  992.6   9482.00     1.40    -9999
NOVOSIBIRS 240511 300  000500-001000   00    9421.00  992.6   9265.00    -0.92    -9999
NOVOSIBIRS 240511 300  001000-001500   00    9518.00  992.7   9368.00     0.18    -9999
NOVOSIBIRS 240511 300  001500-002000   00    9427.00  992.8   9284.00    -0.72    -9999
NOVOSIBIRS 240511 300  002000-002500   00    9498.00  992.9   9356.00     0.05    -9999
NOVOSIBIRS 240511 300  002500-003000   00    9613.00  993.0   9480.00     1.37    -9999
NOVOSIBIRS 240511 300  003000-003500   00    9503.00  993.1   9374.00     0.24    -9999
NOVOSIBIRS 240511 300  003500-004000   00    9567.00  993.1   9442.00     0.97    -9999
NOVOSIBIRS 240511 300  004000-004500   00    9722.00  993.1   9596.00     2.62    -9999
