OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     88.43      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       240510 3600 000000-010000   00      93.19 1006.6     98.04    10.87    -9999
OULU       240510 3600 010000-020000   00      93.80 1006.2     98.39    11.27    -9999
OULU       240510 3600 020000-030000   00      94.09 1005.9     98.47    11.36    -9999
OULU       240510 3600 030000-040000   00      94.54 1005.6     98.75    11.68    -9999
OULU       240510 3600 040000-050000   00      94.33 1005.8     98.68    11.59    -9999
OULU       240510 3600 050000-060000   00      94.00 1006.1     98.56    11.46    -9999
OULU       240510 3600 060000-070000   00      94.52 1006.5     99.35    12.35    -9999
OULU       240510 3600 070000-080000   00      93.66 1006.8     98.69    11.61    -9999
OULU       240510 3600 080000-090000   00      93.64 1007.0     98.82    11.76    -9999
OULU       240510 3600 090000-100000   00      93.34 1007.5     98.84    11.77    -9999
OULU       240510 3600 100000-110000   00      93.23 1008.3     99.34    12.35    -9999
OULU       240510 3600 110000-120000   00      92.92 1009.4     99.79    12.85    -9999
OULU       240510 3600 120000-130000   00      92.13 1010.5     99.73    12.79    -9999
OULU       240510 3600 130000-140000   00      91.89 1011.6    100.33    13.46    -9999
OULU       240510 3600 140000-150000   00      91.78 1012.0    100.52    13.68    -9999
OULU       240510 3600 150000-160000   00      90.45 1012.6     99.50    12.53    -9999
OULU       240510 3600 160000-170000   00      89.98 1013.2     99.38    12.38    -9999
OULU       240510 3600 170000-180000   00      89.61 1013.6     99.27    12.26    -9999
OULU       240510 3600 180000-190000   00      88.78 1013.7     98.43    11.31    -9999
OULU       240510 3600 190000-200000   00      86.98 1014.2     96.77     9.44    -9999
OULU       240510 3600 200000-210000   00      86.19 1014.7     96.26     8.86    -9999
OULU       240510 300  210000-210500   00      85.08 1014.9     95.18     7.64    -9999
OULU       240510 300  210500-211000   00      84.26 1014.9     94.27     6.61    -9999
OULU       240510 300  211000-211500   00      83.91 1014.9     93.90     6.19    -9999
OULU       240510 300  211500-212000   00      86.52 1015.0     96.85     9.53    -9999
OULU       240510 300  212000-212500   00      84.78 1015.0     94.93     7.36    -9999
OULU       240510 300  212500-213000   00      83.99 1015.1     94.07     6.38    -9999
OULU       240510 300  213000-213500   00      83.32 1015.1     93.32     5.54    -9999
OULU       240510 300  213500-214000   00      82.12 1015.1     92.00     4.04    -9999
OULU       240510 300  214000-214500   00      82.01 1015.1     91.90     3.92    -9999
OULU       240510 300  214500-215000   00      83.39 1015.2     93.48     5.71    -9999
OULU       240510 300  215000-215500   00      83.70 1015.2     93.87     6.16    -9999
OULU       240510 300  215500-220000   00      81.53 1015.3     91.47     3.45    -9999
OULU       240510 300  220000-220500   00      83.20 1015.3     93.36     5.58    -9999
OULU       240510 300  220500-221000   00      81.47 1015.4     91.47     3.44    -9999
OULU       240510 300  221000-221500   00      80.30 1015.4     90.20     2.00    -9999
OULU       240510 300  221500-222000   00      81.15 1015.5     91.17     3.11    -9999
OULU       240510 300  222000-222500   00      80.70 1015.5     90.71     2.58    -9999
OULU       240510 300  222500-223000   00      81.07 1015.6     91.14     3.07    -9999
OULU       240510 300  223000-223500   00      81.36 1015.6     91.49     3.47    -9999
OULU       240510 300  223500-224000   00      81.16 1015.6     91.27     3.22    -9999
OULU       240510 300  224000-224500   00      78.53 1015.6     88.32    -0.12    -9999
OULU       240510 300  224500-225000   00      79.71 1015.7     89.67     1.41    -9999
OULU       240510 300  225000-225500   00      78.53 1015.7     88.39    -0.04    -9999
OULU       240510 300  225500-230000   00      78.03 1015.8     87.87    -0.63    -9999
OULU       240510 300  230000-230500   00      78.82 1015.8     88.78     0.41    -9999
OULU       240510 300  230500-231000   00      77.85 1015.9     87.72    -0.80    -9999
OULU       240510 300  231000-231500   00      78.41 1015.9     88.35    -0.08    -9999
OULU       240510 300  231500-232000   00      78.72 1015.9     88.73     0.35    -9999
OULU       240510 300  232000-232500   00      79.01 1015.9     89.08     0.74    -9999
OULU       240510 300  232500-233000   00      78.54 1016.0     88.58     0.17    -9999
OULU       240510 300  233000-233500   00      77.47 1016.0     87.38    -1.18    -9999
OULU       240510 300  233500-234000   00      79.13 1016.1     89.30     0.99    -9999
OULU       240510 300  234000-234500   00      78.00 1016.1     88.03    -0.44    -9999
OULU       240510 300  234500-235000   00      78.16 1016.1     88.22    -0.23    -9999
OULU       240510 300  235000-235500   00      77.29 1016.1     87.25    -1.33    -9999
OULU       240510 300  235500-240000   00      79.34 1016.1     89.58     1.30    -9999
OULU       240511 300  000000-000500   00      78.70 1016.2     88.86     0.50    -9999
OULU       240511 300  000500-001000   00      77.44 1016.2     87.48    -1.07    -9999
OULU       240511 300  001000-001500   00      79.17 1016.3     89.46     1.17    -9999
OULU       240511 300  001500-002000   00      76.97 1016.3     86.98    -1.63    -9999
OULU       240511 300  002000-002500   00      75.76 1016.3     85.66    -3.13    -9999
OULU       240511 300  002500-003000   00      79.22 1016.4     89.58     1.30    -9999
OULU       240511 300  003000-003500   00      77.97 1016.4     88.18    -0.28    -9999
OULU       240511 300  003500-004000   00      77.13 1016.4     87.24    -1.34    -9999
OULU       240511 300  004000-004500   00      79.01 1016.4     89.37     1.07    -9999
OULU       240511 300  004500-005000   00      79.03 1016.4     89.39     1.09    -9999
OULU       240511 300  005000-005500   00      78.84 1016.4     89.18     0.85    -9999
OULU       240511 300  005500-010000   00      79.40 1016.4     89.83     1.59    -9999
OULU       240511 300  010000-010500   00      78.59 1016.5     88.94     0.59     0.31
OULU       240511 300  010500-011000   00      78.39 1016.5     88.74     0.36     0.08
OULU       240511 300  011000-011500   00      77.82 1016.5     88.11    -0.36    -0.65
OULU       240511 300  011500-012000   00      77.99 1016.5     88.31    -0.13    -0.43
OULU       240511 300  012000-012500   00      79.07 1016.5     89.54     1.26     0.95
OULU       240511 300  012500-013000   00      80.42 1016.5     91.06     2.98     2.66
OULU       240511 300  013000-013500   00      77.07 1016.6     87.28    -1.29    -1.62
OULU       240511 300  013500-014000   00      78.30 1016.6     88.70     0.31    -0.03
OULU       240511 300  014000-014500   00      77.79 1016.6     88.13    -0.33    -0.67
OULU       240511 300  014500-015000   00      79.30 1016.6     89.86     1.63     1.27
OULU       240511 300  015000-015500   00      77.60 1016.7     87.97    -0.52    -0.88
OULU       240511 300  015500-020000   00      79.62 1016.7     90.27     2.09     1.71
OULU       240511 300  020000-020500   00      79.55 1016.7     90.20     2.01     1.63
OULU       240511 300  020500-021000   00      80.75 1016.8     91.61     3.60     3.20
OULU       240511 300  021000-021500   00      79.91 1016.9     90.70     2.57     2.17
OULU       240511 300  021500-022000   00      79.33 1016.9     90.07     1.86     1.45
OULU       240511 300  022000-022500   00      80.70 1016.9     91.65     3.65     3.23
OULU       240511 300  022500-023000   00      79.79 1017.0     90.65     2.52     2.09
OULU       240511 300  023000-023500   00      79.92 1017.0     90.83     2.72     2.29
OULU       240511 300  023500-024000   00      79.62 1017.1     90.51     2.36     1.92
OULU       240511 300  024000-024500   00      79.89 1017.1     90.86     2.76     2.31
OULU       240511 300  024500-025000   00      82.21 1017.2     93.54     5.79     5.32
OULU       240511 300  025000-025500   00      80.91 1017.2     92.09     4.15     3.68
OULU       240511 300  025500-030000   00      81.48 1017.2     92.75     4.89     4.41
OULU       240511 300  030000-030500   00      81.02 1017.3     92.24     4.32     3.83
OULU       240511 300  030500-031000   00      81.01 1017.3     92.26     4.33     3.84
OULU       240511 300  031000-031500   00      81.32 1017.4     92.65     4.77     4.27
OULU       240511 300  031500-032000   00      81.23 1017.4     92.56     4.67     4.16
OULU       240511 300  032000-032500   00      80.28 1017.4     91.48     3.46     2.94
OULU       240511 300  032500-033000   00      82.48 1017.5     94.03     6.33     5.81
OULU       240511 300  033000-033500   00      81.44 1017.5     92.87     5.02     4.49
OULU       240511 300  033500-034000   00      80.50 1017.5     91.82     3.84     3.30
OULU       240511 300  034000-034500   00      81.23 1017.6     92.69     4.83     4.28
OULU       240511 300  034500-035000   00      81.06 1017.6     92.53     4.64     4.08
OULU       240511 300  035000-035500   00      80.53 1017.6     91.94     3.97     3.41
OULU       240511 300  035500-040000   00      81.81 1017.7     93.42     5.65     5.08
OULU       240511 300  040000-040500   00      80.68 1017.7     92.15     4.21     3.63
OULU       240511 300  040500-041000   00      79.90 1017.7     91.29     3.24     2.65
