PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.75     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    180.25      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  240510 3600 000000-010000   00     206.87 1008.3    200.43    11.19    -9999
PEAWANUCK  240510 3600 010000-020000   00     208.79 1007.8    201.66    11.88    -9999
PEAWANUCK  240510 3600 020000-030000   00     208.15 1007.5    200.51    11.24    -9999
PEAWANUCK  240510 3600 030000-040000   00     211.03 1006.6    201.95    12.04    -9999
PEAWANUCK  240510 3600 040000-050000   00     212.04 1005.8    201.67    11.89    -9999
PEAWANUCK  240510 3600 050000-060000   00     213.65 1004.9    201.88    12.00    -9999
PEAWANUCK  240510 3600 060000-070000   00     215.12 1004.1    201.98    12.05    -9999
PEAWANUCK  240510 3600 070000-080000   00     214.99 1003.3    200.63    11.31    -9999
PEAWANUCK  240510 3600 080000-090000   00     216.96 1002.3    201.05    11.54    -9999
PEAWANUCK  240510 3600 090000-100000   00     219.50 1001.3    201.89    12.01    -9999
PEAWANUCK  240510 3600 100000-110000   00     220.64 1000.4    201.49    11.79    -9999
PEAWANUCK  240510 3600 110000-120000   00     222.71  999.6    202.23    12.19    -9999
PEAWANUCK  240510 3600 120000-130000   00     222.77  999.2    201.68    11.89    -9999
PEAWANUCK  240510 3600 130000-140000   00     224.97  998.7    202.91    12.57    -9999
PEAWANUCK  240510 3600 140000-150000   00     226.41  998.1    203.29    12.78    -9999
PEAWANUCK  240510 3600 150000-160000   00     230.23  997.6    205.89    14.22    -9999
PEAWANUCK  240510 3600 160000-170000   00     230.50  997.3    205.61    14.07    -9999
PEAWANUCK  240510 3600 170000-180000   00     229.76  997.0    204.62    13.52    -9999
PEAWANUCK  240510 3600 180000-190000   00     227.71  997.0    202.71    12.46    -9999
PEAWANUCK  240510 3600 190000-200000   00     224.68  996.9    199.83    10.86    -9999
PEAWANUCK  240510 3600 200000-210000   00     220.80  996.9    196.45     8.99    -9999
PEAWANUCK  240510 300  210000-210500   00     221.23  997.0    197.00     9.30    -9999
PEAWANUCK  240510 300  210500-211000   00     219.33  997.0    195.31     8.36    -9999
PEAWANUCK  240510 300  211000-211500   00     214.81  997.1    191.46     6.22    -9999
PEAWANUCK  240510 300  211500-212000   00     218.22  997.3    194.75     8.04    -9999
PEAWANUCK  240510 300  212000-212500   00     216.80  997.4    193.54     7.37    -9999
PEAWANUCK  240510 300  212500-213000   00     214.43  997.5    191.56     6.28    -9999
PEAWANUCK  240510 300  213000-213500   00     215.33  997.5    192.48     6.79    -9999
PEAWANUCK  240510 300  213500-214000   00     209.70  997.6    187.61     4.08    -9999
PEAWANUCK  240510 300  214000-214500   00     212.81  997.8    190.55     5.72    -9999
PEAWANUCK  240510 300  214500-215000   00     208.72  997.9    187.03     3.76    -9999
PEAWANUCK  240510 300  215000-215500   00     207.47  998.0    186.08     3.23    -9999
PEAWANUCK  240510 300  215500-220000   00     206.98  998.0    185.70     3.03    -9999
PEAWANUCK  240510 300  220000-220500   00     208.05  998.0    186.69     3.57    -9999
PEAWANUCK  240510 300  220500-221000   00     208.25  998.1    187.00     3.75    -9999
PEAWANUCK  240510 300  221000-221500   00     205.58  998.2    184.75     2.49    -9999
PEAWANUCK  240510 300  221500-222000   00     204.96  998.3    184.26     2.22    -9999
PEAWANUCK  240510 300  222000-222500   00     206.17  998.3    185.35     2.83    -9999
PEAWANUCK  240510 300  222500-223000   00     202.50  998.3    182.12     1.04    -9999
PEAWANUCK  240510 300  223000-223500   00     207.16  998.5    186.46     3.45    -9999
PEAWANUCK  240510 300  223500-224000   00     202.71  998.5    182.48     1.24    -9999
PEAWANUCK  240510 300  224000-224500   00     203.17  998.5    182.99     1.52    -9999
PEAWANUCK  240510 300  224500-225000   00     197.53  998.6    178.01    -1.24    -9999
PEAWANUCK  240510 300  225000-225500   00     200.54  998.6    180.72     0.26    -9999
PEAWANUCK  240510 300  225500-230000   00     199.80  998.6    180.08    -0.09    -9999
PEAWANUCK  240510 300  230000-230500   00     201.23  998.7    181.44     0.66    -9999
PEAWANUCK  240510 300  230500-231000   00     197.11  998.7    177.81    -1.35    -9999
PEAWANUCK  240510 300  231000-231500   00     203.17  998.8    183.38     1.74    -9999
PEAWANUCK  240510 300  231500-232000   00     199.75  998.9    180.40     0.08    -9999
PEAWANUCK  240510 300  232000-232500   00     199.77  998.9    180.45     0.11    -9999
PEAWANUCK  240510 300  232500-233000   00     201.58  999.0    182.17     1.07    -9999
PEAWANUCK  240510 300  233000-233500   00     196.72  999.0    177.85    -1.33    -9999
PEAWANUCK  240510 300  233500-234000   00     199.66  999.1    180.56     0.17    -9999
PEAWANUCK  240510 300  234000-234500   00     200.84  999.2    181.79     0.86    -9999
PEAWANUCK  240510 300  234500-235000   00     198.40  999.2    179.58    -0.37    -9999
PEAWANUCK  240510 300  235000-235500   00     200.54  999.2    181.57     0.73    -9999
PEAWANUCK  240510 300  235500-240000   00     198.12  999.2    179.40    -0.47    -9999
PEAWANUCK  240511 300  000000-000500   00     199.26  999.3    180.47     0.12    -9999
PEAWANUCK  240511 300  000500-001000   00     196.80  999.3    178.33    -1.07    -9999
PEAWANUCK  240511 300  001000-001500   00     198.71  999.4    180.13    -0.07    -9999
PEAWANUCK  240511 300  001500-002000   00     200.66  999.4    181.94     0.94    -9999
PEAWANUCK  240511 300  002000-002500   00     197.20  999.4    178.81    -0.80    -9999
PEAWANUCK  240511 300  002500-003000   00     197.52  999.5    179.14    -0.62    -9999
PEAWANUCK  240511 300  003000-003500   00     197.42  999.5    179.08    -0.65    -9999
PEAWANUCK  240511 300  003500-004000   00     198.28  999.5    179.82    -0.24    -9999
PEAWANUCK  240511 300  004000-004500   00     198.13  999.5    179.69    -0.31    -9999
PEAWANUCK  240511 300  004500-005000   00     199.76  999.5    181.21     0.53    -9999
PEAWANUCK  240511 300  005000-005500   00     199.56  999.5    180.99     0.41    -9999
PEAWANUCK  240511 300  005500-010000   00     198.48  999.4    179.98    -0.15    -9999
PEAWANUCK  240511 300  010000-010500   00     201.09  999.4    182.35     1.17     1.17
PEAWANUCK  240511 300  010500-011000   00     198.82  999.5    180.31     0.03     0.03
PEAWANUCK  240511 300  011000-011500   00     203.56  999.5    184.67     2.45     2.45
PEAWANUCK  240511 300  011500-012000   00     200.59  999.6    182.08     1.02     1.02
PEAWANUCK  240511 300  012000-012500   00     199.81  999.6    181.40     0.64     0.64
PEAWANUCK  240511 300  012500-013000   00     201.63  999.6    183.02     1.54     1.54
PEAWANUCK  240511 300  013000-013500   00     200.04  999.6    181.63     0.76     0.76
PEAWANUCK  240511 300  013500-014000   00     203.20  999.6    184.52     2.37     2.37
PEAWANUCK  240511 300  014000-014500   00     203.09  999.6    184.41     2.31     2.31
