ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009    MB     COEFFICIENT   -0.705    % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    113.82      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       240510 3600 000000-010000   00     116.80 1013.8    120.58     5.94    -9999
ROME       240510 3600 010000-020000   00     116.95 1013.8    120.74     6.08    -9999
ROME       240510 3600 020000-030000   00     117.20 1013.6    120.84     6.17    -9999
ROME       240510 3600 030000-040000   00     117.18 1013.5    120.74     6.08    -9999
ROME       240510 3600 040000-050000   00     117.27 1013.7    120.98     6.29    -9999
ROME       240510 3600 050000-060000   00     117.15 1013.9    121.02     6.33    -9999
ROME       240510 3600 060000-070000   00     117.22 1014.0    121.19     6.47    -9999
ROME       240510 3600 070000-080000   00     117.35 1014.1    121.38     6.64    -9999
ROME       240510 3600 080000-090000   00     118.09 1014.1    122.13     7.30    -9999
ROME       240510 3600 090000-100000   00     118.81 1013.8    122.69     7.79    -9999
ROME       240510 3600 100000-110000   00     118.74 1013.7    122.51     7.63    -9999
ROME       240510 3600 110000-120000   00     118.29 1013.5    121.83     7.04    -9999
ROME       240510 3600 120000-130000   00     119.37 1013.3    122.75     7.85    -9999
ROME       240510 3600 130000-140000   00     118.90 1013.2    122.19     7.35    -9999
ROME       240510 3600 140000-150000   00     119.28 1012.9    122.38     7.52    -9999
ROME       240510 3600 150000-160000   00     118.95 1012.7    121.87     7.08    -9999
ROME       240510 3600 160000-170000   00     118.87 1012.5    121.60     6.84    -9999
ROME       240510 3600 170000-180000   00     118.55 1012.4    121.20     6.48    -9999
ROME       240510 3600 180000-190000   00     119.61 1012.6    122.47     7.60    -9999
ROME       240510 3600 190000-200000   00     118.79 1013.3    122.20     7.36    -9999
ROME       240510 3600 200000-210000   00     118.59 1013.9    122.45     7.59    -9999
ROME       240510 300  210000-210500   00     119.46 1014.0    123.51     8.51    -9999
ROME       240510 300  210500-211000   00     119.14 1014.1    123.21     8.25    -9999
ROME       240510 300  211000-211500   00     116.39 1014.1    120.40     5.78    -9999
ROME       240510 300  211500-212000   00     120.04 1014.1    124.20     9.12    -9999
ROME       240510 300  212000-212500   00     116.99 1014.2    121.07     6.37    -9999
ROME       240510 300  212500-213000   00     115.90 1014.2    119.96     5.39    -9999
ROME       240510 300  213000-213500   00     115.77 1014.2    119.84     5.29    -9999
ROME       240510 300  213500-214000   00     116.22 1014.2    120.31     5.71    -9999
ROME       240510 300  214000-214500   00     114.59 1014.3    118.65     4.24    -9999
ROME       240510 300  214500-215000   00     114.65 1014.3    118.74     4.32    -9999
ROME       240510 300  215000-215500   00     115.92 1014.3    120.05     5.48    -9999
ROME       240510 300  215500-220000   00     116.31 1014.3    120.47     5.84    -9999
ROME       240510 300  220000-220500   00     115.23 1014.3    119.36     4.87    -9999
ROME       240510 300  220500-221000   00     116.69 1014.3    120.90     6.22    -9999
ROME       240510 300  221000-221500   00     116.52 1014.4    120.75     6.09    -9999
ROME       240510 300  221500-222000   00     114.49 1014.4    118.65     4.24    -9999
ROME       240510 300  222000-222500   00     115.49 1014.4    119.68     5.15    -9999
ROME       240510 300  222500-223000   00     113.26 1014.4    117.40     3.14    -9999
ROME       240510 300  223000-223500   00     112.43 1014.5    116.58     2.43    -9999
ROME       240510 300  223500-224000   00     112.95 1014.5    117.14     2.92    -9999
ROME       240510 300  224000-224500   00     112.50 1014.5    116.67     2.51    -9999
ROME       240510 300  224500-225000   00     112.05 1014.5    116.19     2.09    -9999
ROME       240510 300  225000-225500   00     109.91 1014.4    113.94     0.11    -9999
ROME       240510 300  225500-230000   00     110.76 1014.4    114.80     0.86    -9999
ROME       240510 300  230000-230500   00     109.03 1014.4    113.00    -0.72    -9999
ROME       240510 300  230500-231000   00     110.62 1014.4    114.65     0.73    -9999
ROME       240510 300  231000-231500   00     109.81 1014.4    113.81    -0.01    -9999
ROME       240510 300  231500-232000   00     109.97 1014.4    113.97     0.13    -9999
ROME       240510 300  232000-232500   00     109.46 1014.4    113.45    -0.32    -9999
ROME       240510 300  232500-233000   00     110.49 1014.4    114.52     0.62    -9999
ROME       240510 300  233000-233500   00     109.47 1014.4    113.45    -0.32    -9999
ROME       240510 300  233500-234000   00     111.43 1014.4    115.49     1.47    -9999
ROME       240510 300  234000-234500   00     109.85 1014.4    113.86     0.04    -9999
ROME       240510 300  234500-235000   00     110.97 1014.4    115.03     1.07    -9999
ROME       240510 300  235000-235500   00     109.67 1014.4    113.70    -0.11    -9999
ROME       240510 300  235500-240000   00     109.24 1014.4    113.23    -0.51    -9999
ROME       240511 300  000000-000500   00     108.16 1014.4    112.13    -1.49    -9999
ROME       240511 300  000500-001000   00     109.10 1014.4    113.10    -0.63    -9999
ROME       240511 300  001000-001500   00     107.91 1014.4    111.85    -1.73    -9999
ROME       240511 300  001500-002000   00     110.60 1014.4    114.62     0.71    -9999
ROME       240511 300  002000-002500   00     107.24 1014.4    111.13    -2.36    -9999
ROME       240511 300  002500-003000   00     110.45 1014.3    114.43     0.54    -9999
ROME       240511 300  003000-003500   00     110.09 1014.3    114.05     0.20    -9999
ROME       240511 300  003500-004000   00     108.45 1014.3    112.37    -1.28    -9999
