SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.97      % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE     64.28      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      240510 3600 000000-010000   00    -999.00 -999.0     72.95    13.48    -9999
SANAE      240510 3600 010000-020000   00    -999.00 -999.0     73.17    13.82    -9999
SANAE      240510 3600 020000-030000   00    -999.00 -999.0     72.70    13.10    -9999
SANAE      240510 3600 030000-040000   00    -999.00 -999.0     72.88    13.37    -9999
SANAE      240510 3600 040000-050000   00    -999.00 -999.0     72.73    13.15    -9999
SANAE      240510 3600 050000-060000   00    -999.00 -999.0     72.64    13.00    -9999
SANAE      240510 3600 060000-070000   00    -999.00 -999.0     73.35    14.10    -9999
SANAE      240510 3600 070000-080000   00    -999.00 -999.0     73.28    14.00    -9999
SANAE      240510 3600 080000-090000   00    -999.00 -999.0     73.16    13.81    -9999
SANAE      240510 3600 090000-100000   00    -999.00 -999.0     73.29    14.01    -9999
SANAE      240510 3600 100000-110000   00    -999.00 -999.0     73.26    13.96    -9999
SANAE      240510 3600 110000-120000   00    -999.00 -999.0     73.09    13.70    -9999
SANAE      240510 3600 120000-130000   00    -999.00 -999.0     73.44    14.24    -9999
SANAE      240510 3600 130000-140000   00    -999.00 -999.0     74.10    15.28    -9999
SANAE      240510 3600 140000-150000   00    -999.00 -999.0     73.77    14.75    -9999
SANAE      240510 3600 150000-160000   00    -999.00 -999.0     73.93    15.01    -9999
SANAE      240510 3600 160000-170000   00    -999.00 -999.0     73.98    15.08    -9999
SANAE      240510 3600 170000-180000   00    -999.00 -999.0     73.65    14.57    -9999
SANAE      240510 3600 180000-190000   00    -999.00 -999.0     71.89    11.83    -9999
SANAE      240510 3600 190000-200000   00    -999.00 -999.0     71.05    10.52    -9999
SANAE      240510 3600 200000-210000   00    -999.00 -999.0     69.27     7.75    -9999
SANAE      240510 300  210000-210500   00    -999.00 -999.0     68.90     7.19    -9999
SANAE      240510 300  210500-211000   00    -999.00 -999.0     67.08     4.34    -9999
SANAE      240510 300  211000-211500   00    -999.00 -999.0     67.05     4.30    -9999
SANAE      240510 300  211500-212000   00    -999.00 -999.0     67.79     5.46    -9999
SANAE      240510 300  212000-212500   00    -999.00 -999.0     67.63     5.21    -9999
SANAE      240510 300  212500-213000   00    -999.00 -999.0     66.64     3.67    -9999
SANAE      240510 300  213000-213500   00    -999.00 -999.0     66.90     4.07    -9999
SANAE      240510 300  213500-214000   00    -999.00 -999.0     66.73     3.80    -9999
SANAE      240510 300  214000-214500   00    -999.00 -999.0     67.41     4.87    -9999
SANAE      240510 300  214500-215000   00    -999.00 -999.0     68.18     6.07    -9999
SANAE      240510 300  215000-215500   00    -999.00 -999.0     66.99     4.21    -9999
SANAE      240510 300  215500-220000   00    -999.00 -999.0     66.49     3.43    -9999
SANAE      240510 300  220000-220500   00    -999.00 -999.0     67.36     4.78    -9999
SANAE      240510 300  220500-221000   00    -999.00 -999.0     67.38     4.82    -9999
SANAE      240510 300  221000-221500   00    -999.00 -999.0     66.33     3.18    -9999
SANAE      240510 300  221500-222000   00    -999.00 -999.0     65.93     2.56    -9999
SANAE      240510 300  222000-222500   00    -999.00 -999.0     66.49     3.43    -9999
SANAE      240510 300  222500-223000   00    -999.00 -999.0     66.27     3.09    -9999
SANAE      240510 300  223000-223500   00    -999.00 -999.0     66.79     3.89    -9999
SANAE      240510 300  223500-224000   00    -999.00 -999.0     65.67     2.16    -9999
SANAE      240510 300  224000-224500   00    -999.00 -999.0     66.69     3.75    -9999
SANAE      240510 300  224500-225000   00    -999.00 -999.0     66.66     3.70    -9999
SANAE      240510 300  225000-225500   00    -999.00 -999.0     67.45     4.93    -9999
SANAE      240510 300  225500-230000   00    -999.00 -999.0     65.72     2.23    -9999
SANAE      240510 300  230000-230500   00    -999.00 -999.0     66.05     2.75    -9999
SANAE      240510 300  230500-231000   00    -999.00 -999.0     65.07     1.22    -9999
SANAE      240510 300  231000-231500   00    -999.00 -999.0     66.88     4.03    -9999
