SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    108.93      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 240510 3600 000000-010000   00     133.66  674.2    128.06    17.56    -9999
SOPO-6NM64 240510 3600 010000-020000   00     134.06  674.1    128.43    17.90    -9999
SOPO-6NM64 240510 3600 020000-030000   00     134.15  673.9    128.27    17.75    -9999
SOPO-6NM64 240510 3600 030000-040000   00     134.12  673.9    128.24    17.72    -9999
SOPO-6NM64 240510 3600 040000-050000   00     134.66  673.8    128.65    18.10    -9999
SOPO-6NM64 240510 3600 050000-060000   00     134.63  673.6    128.49    17.95    -9999
SOPO-6NM64 240510 3600 060000-070000   00     134.49  673.4    128.11    17.61    -9999
SOPO-6NM64 240510 3600 070000-080000   00     134.09  673.3    127.69    17.22    -9999
SOPO-6NM64 240510 3600 080000-090000   00     134.31  673.4    127.99    17.49    -9999
SOPO-6NM64 240510 3600 090000-100000   00     134.77  673.4    128.39    17.86    -9999
SOPO-6NM64 240510 3600 100000-110000   00     135.14  673.2    128.57    18.03    -9999
SOPO-6NM64 240510 3600 110000-120000   00     135.10  673.1    128.46    17.93    -9999
SOPO-6NM64 240510 3600 120000-130000   00     135.26  672.9    128.43    17.90    -9999
SOPO-6NM64 240510 3600 130000-140000   00     135.97  672.8    128.93    18.36    -9999
SOPO-6NM64 240510 3600 140000-150000   00     136.49  672.4    129.08    18.49    -9999
SOPO-6NM64 240510 3600 150000-160000   00     136.91  672.5    129.55    18.92    -9999
SOPO-6NM64 240510 3600 160000-170000   00     137.02  672.3    129.46    18.84    -9999
SOPO-6NM64 240510 3600 170000-180000   00     136.73  672.3    129.18    18.59    -9999
SOPO-6NM64 240510 3600 180000-190000   00     132.88  671.9    125.18    14.92    -9999
SOPO-6NM64 240510 3600 190000-200000   00     132.00  671.9    124.41    14.21    -9999
SOPO-6NM64 240510 3600 200000-210000   00     126.72  671.8    119.33     9.55    -9999
SOPO-6NM64 240510 300  210000-210500   00     124.14  671.5    116.66     7.10    -9999
SOPO-6NM64 240510 300  210500-211000   00     121.63  671.5    114.27     4.90    -9999
SOPO-6NM64 240510 300  211000-211500   00     121.08  671.5    113.74     4.42    -9999
SOPO-6NM64 240510 300  211500-212000   00     121.97  671.5    114.59     5.19    -9999
SOPO-6NM64 240510 300  212000-212500   00     122.87  671.5    115.43     5.97    -9999
SOPO-6NM64 240510 300  212500-213000   00     121.79  671.5    114.39     5.01    -9999
SOPO-6NM64 240510 300  213000-213500   00     122.00  671.5    114.57     5.18    -9999
SOPO-6NM64 240510 300  213500-214000   00     121.29  671.5    113.94     4.60    -9999
SOPO-6NM64 240510 300  214000-214500   00     122.01  671.5    114.63     5.23    -9999
SOPO-6NM64 240510 300  214500-215000   00     120.42  671.6    113.20     3.92    -9999
SOPO-6NM64 240510 300  215000-215500   00     121.02  671.6    113.76     4.44    -9999
SOPO-6NM64 240510 300  215500-220000   00     121.09  671.6    113.81     4.47    -9999
SOPO-6NM64 240510 300  220000-220500   00     121.65  671.6    114.32     4.95    -9999
SOPO-6NM64 240510 300  220500-221000   00     121.66  671.6    114.34     4.96    -9999
SOPO-6NM64 240510 300  221000-221500   00     121.67  671.6    114.39     5.01    -9999
SOPO-6NM64 240510 300  221500-222000   00     120.40  671.7    113.26     3.97    -9999
SOPO-6NM64 240510 300  222000-222500   00     119.68  671.7    112.62     3.39    -9999
SOPO-6NM64 240510 300  222500-223000   00     119.60  671.8    112.56     3.33    -9999
SOPO-6NM64 240510 300  223000-223500   00     120.74  671.7    113.60     4.29    -9999
SOPO-6NM64 240510 300  223500-224000   00     120.66  671.7    113.50     4.19    -9999
SOPO-6NM64 240510 300  224000-224500   00     119.49  671.7    112.39     3.18    -9999
SOPO-6NM64 240510 300  224500-225000   00     119.55  671.7    112.46     3.24    -9999
SOPO-6NM64 240510 300  225000-225500   00     119.72  671.7    112.60     3.37    -9999
SOPO-6NM64 240510 300  225500-230000   00     120.54  671.6    113.31     4.02    -9999
SOPO-6NM64 240510 300  230000-230500   00     119.30  671.5    112.09     2.90    -9999
SOPO-6NM64 240510 300  230500-231000   00     118.54  671.5    111.33     2.20    -9999
SOPO-6NM64 240510 300  231000-231500   00     118.39  671.4    111.13     2.02    -9999
SOPO-6NM64 240510 300  231500-232000   00     118.85  671.4    111.53     2.39    -9999
SOPO-6NM64 240510 300  232000-232500   00     118.12  671.3    110.80     1.71    -9999
SOPO-6NM64 240510 300  232500-233000   00     116.57  671.3    109.33     0.37    -9999
SOPO-6NM64 240510 300  233000-233500   00     115.08  671.3    107.96    -0.89    -9999
SOPO-6NM64 240510 300  233500-234000   00     115.52  671.3    108.39    -0.50    -9999
SOPO-6NM64 240510 300  234000-234500   00     116.87  671.3    109.62     0.64    -9999
SOPO-6NM64 240510 300  234500-235000   00     114.77  671.2    107.60    -1.22    -9999
SOPO-6NM64 240510 300  235000-235500   00     114.83  671.2    107.65    -1.18    -9999
SOPO-6NM64 240510 300  235500-240000   00     115.13  671.2    107.91    -0.93    -9999
SOPO-6NM64 240511 300  000000-000500   00     116.17  671.2    108.88    -0.05    -9999
SOPO-6NM64 240511 300  000500-001000   00     115.06  671.2    107.82    -1.02    -9999
SOPO-6NM64 240511 300  001000-001500   00     116.01  671.1    108.67    -0.24    -9999
SOPO-6NM64 240511 300  001500-002000   00     115.96  671.1    108.64    -0.26    -9999
SOPO-6NM64 240511 300  002000-002500   00     115.82  671.2    108.55    -0.35    -9999
SOPO-6NM64 240511 300  002500-003000   00     115.85  671.2    108.58    -0.32    -9999
SOPO-6NM64 240511 300  003000-003500   00     115.22  671.2    108.03    -0.83    -9999
SOPO-6NM64 240511 300  003500-004000   00     116.11  671.3    108.92    -0.01    -9999
SOPO-6NM64 240511 300  004000-004500   00     115.22  671.3    108.10    -0.77    -9999
SOPO-6NM64 240511 300  004500-005000   00     115.96  671.3    108.77    -0.15    -9999
SOPO-6NM64 240511 300  005000-005500   00     117.71  671.2    110.36     1.31    -9999
SOPO-6NM64 240511 300  005500-010000   00     115.70  671.2    108.42    -0.47    -9999
SOPO-6NM64 240511 300  010000-010500   00     117.49  671.1    110.06     1.04     0.56
SOPO-6NM64 240511 300  010500-011000   00     116.74  671.1    109.34     0.37    -0.13
SOPO-6NM64 240511 300  011000-011500   00     118.44  671.1    110.94     1.84     1.31
SOPO-6NM64 240511 300  011500-012000   00     118.61  671.1    111.07     1.96     1.40
SOPO-6NM64 240511 300  012000-012500   00     116.90  671.1    109.45     0.47    -0.11
SOPO-6NM64 240511 300  012500-013000   00     118.15  671.0    110.61     1.54     0.93
SOPO-6NM64 240511 300  013000-013500   00     117.67  671.1    110.18     1.14     0.50
SOPO-6NM64 240511 300  013500-014000   00     118.04  671.1    110.58     1.52     0.85
SOPO-6NM64 240511 300  014000-014500   00     117.56  671.1    110.14     1.11     0.42
SOPO-6NM64 240511 300  014500-015000   00     118.63  671.2    111.15     2.04     1.32
SOPO-6NM64 240511 300  015000-015500   00     118.38  671.2    110.94     1.84     1.09
SOPO-6NM64 240511 300  015500-020000   00     119.85  671.1    112.29     3.08     2.31
SOPO-6NM64 240511 300  020000-020500   00     120.38  671.1    112.78     3.53     2.73
SOPO-6NM64 240511 300  020500-021000   00     122.01  671.1    114.31     4.94     4.11
SOPO-6NM64 240511 300  021000-021500   00     121.10  671.2    113.48     4.17     3.32
SOPO-6NM64 240511 300  021500-022000   00     122.31  671.1    114.59     5.20     4.31
SOPO-6NM64 240511 300  022000-022500   00     123.92  671.2    116.13     6.61     5.69
SOPO-6NM64 240511 300  022500-023000   00     124.81  671.2    117.00     7.40     6.46
SOPO-6NM64 240511 300  023000-023500   00     125.65  671.2    117.78     8.12     7.16
SOPO-6NM64 240511 300  023500-024000   00     127.66  671.2    119.69     9.88     8.88
SOPO-6NM64 240511 300  024000-024500   00     126.80  671.3    118.93     9.18     8.16
