TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     MB     COEFFICIENT   -0.74     % / MB
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE     97.31      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TERREADELI 240510 3600 000000-010000   00     100.86  996.5    108.59    11.58    -9999
TERREADELI 240510 3600 010000-020000   00     100.49  997.3    108.82    11.82    -9999
TERREADELI 240510 3600 020000-030000   00     100.36  997.3    108.68    11.67    -9999
TERREADELI 240510 3600 030000-040000   00      99.79  997.6    108.34    11.33    -9999
TERREADELI 240510 3600 040000-050000   00     100.44  998.1    109.41    12.43    -9999
TERREADELI 240510 3600 050000-060000   00      99.87  997.8    108.57    11.57    -9999
TERREADELI 240510 3600 060000-070000   00     100.42  997.2    108.65    11.65    -9999
TERREADELI 240510 3600 070000-080000   00     100.49  997.9    109.29    12.31    -9999
TERREADELI 240510 3600 080000-090000   00      99.23  999.2    108.96    11.97    -9999
TERREADELI 240510 3600 090000-100000   00      99.63  998.8    109.09    12.10    -9999
TERREADELI 240510 3600 100000-110000   00      99.36  998.4    108.51    11.50    -9999
TERREADELI 240510 3600 110000-120000   00     100.60  998.0    109.53    12.55    -9999
TERREADELI 240510 3600 120000-130000   00     100.15  997.6    108.69    11.68    -9999
TERREADELI 240510 3600 130000-140000   00     100.69  997.3    109.06    12.06    -9999
TERREADELI 240510 3600 140000-150000   00     101.17  997.0    109.33    12.35    -9999
TERREADELI 240510 3600 150000-160000   00     100.72  997.2    108.96    11.97    -9999
