THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   MB     COEFFICIENT   -0.56     % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    100.72      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      240510 3600 000000-010000   00     108.46 1010.2    112.88    12.08    -9999
THULE      240510 3600 010000-020000   00     108.82 1009.8    112.95    12.14    -9999
THULE      240510 3600 020000-030000   00     108.77 1009.4    112.58    11.77    -9999
THULE      240510 3600 030000-040000   00     109.49 1008.9    112.93    12.12    -9999
THULE      240510 3600 040000-050000   00     110.13 1008.4    113.15    12.35    -9999
THULE      240510 3600 050000-060000   00     110.25 1007.9    112.83    12.03    -9999
THULE      240510 3600 060000-070000   00     110.89 1007.3    112.97    12.16    -9999
THULE      240510 3600 070000-080000   00     111.17 1006.8    112.87    12.06    -9999
THULE      240510 3600 080000-090000   00     111.44 1006.3    112.73    11.92    -9999
THULE      240510 3600 090000-100000   00     111.83 1006.0    112.83    12.03    -9999
THULE      240510 3600 100000-110000   00     112.31 1005.6    113.01    12.20    -9999
THULE      240510 3600 110000-120000   00     113.01 1005.2    113.33    12.53    -9999
THULE      240510 3600 120000-130000   00     113.56 1004.8    113.63    12.82    -9999
THULE      240510 3600 130000-140000   00     114.71 1004.5    114.48    13.67    -9999
THULE      240510 3600 140000-150000   00     114.46 1004.2    113.95    13.14    -9999
THULE      240510 3600 150000-160000   00     114.98 1003.9    114.22    13.40    -9999
THULE      240510 3600 160000-170000   00     115.14 1003.6    114.13    13.32    -9999
THULE      240510 3600 170000-180000   00     115.52 1003.2    114.19    13.38    -9999
THULE      240510 3600 180000-190000   00     115.49 1003.0    113.97    13.15    -9999
THULE      240510 3600 190000-200000   00     113.83 1003.0    112.31    11.51    -9999
THULE      240510 3600 200000-210000   00     112.21 1003.0    110.73     9.94    -9999
THULE      240510 300  210000-210500   00     112.38 1003.1    110.95    10.16    -9999
THULE      240510 300  210500-211000   00     112.45 1003.1    111.02    10.23    -9999
THULE      240510 300  211000-211500   00     111.43 1003.1    110.03     9.24    -9999
THULE      240510 300  211500-212000   00     112.32 1003.0    110.89    10.10    -9999
THULE      240510 300  212000-212500   00     111.46 1003.0    110.02     9.24    -9999
THULE      240510 300  212500-213000   00     110.85 1003.0    109.40     8.62    -9999
THULE      240510 300  213000-213500   00     110.07 1003.0    108.63     7.85    -9999
THULE      240510 300  213500-214000   00     109.07 1003.0    107.63     6.86    -9999
THULE      240510 300  214000-214500   00     108.32 1003.0    106.92     6.16    -9999
THULE      240510 300  214500-215000   00     111.30 1003.0    109.86     9.08    -9999
THULE      240510 300  215000-215500   00     110.13 1003.0    108.71     7.94    -9999
THULE      240510 300  215500-220000   00     109.13 1003.0    107.73     6.97    -9999
THULE      240510 300  220000-220500   00     107.57 1003.1    106.21     5.45    -9999
THULE      240510 300  220500-221000   00     105.25 1003.1    103.92     3.18    -9999
THULE      240510 300  221000-221500   00     104.37 1003.1    103.06     2.33    -9999
THULE      240510 300  221500-222000   00     105.60 1003.1    104.28     3.53    -9999
THULE      240510 300  222000-222500   00     103.81 1003.1    102.50     1.77    -9999
THULE      240510 300  222500-223000   00     104.62 1003.1    103.33     2.59    -9999
THULE      240510 300  223000-223500   00     103.99 1003.1    102.72     1.98    -9999
THULE      240510 300  223500-224000   00     104.44 1003.1    103.16     2.42    -9999
THULE      240510 300  224000-224500   00     102.81 1003.1    101.58     0.85    -9999
THULE      240510 300  224500-225000   00     102.48 1003.2    101.29     0.57    -9999
THULE      240510 300  225000-225500   00     101.74 1003.2    100.59    -0.13    -9999
THULE      240510 300  225500-230000   00     101.71 1003.2    100.55    -0.16    -9999
THULE      240510 300  230000-230500   00     100.64 1003.3     99.55    -1.16    -9999
THULE      240510 300  230500-231000   00     100.69 1003.4     99.65    -1.06    -9999
THULE      240510 300  231000-231500   00     101.64 1003.4    100.61    -0.11    -9999
THULE      240510 300  231500-232000   00     101.87 1003.4    100.85     0.13    -9999
THULE      240510 300  232000-232500   00     101.23 1003.4    100.23    -0.49    -9999
THULE      240510 300  232500-233000   00     102.46 1003.5    101.49     0.77    -9999
THULE      240510 300  233000-233500   00     101.94 1003.5    101.00     0.28    -9999
THULE      240510 300  233500-234000   00     101.63 1003.6    100.72     0.00    -9999
THULE      240510 300  234000-234500   00     101.25 1003.6    100.35    -0.36    -9999
THULE      240510 300  234500-235000   00     102.04 1003.6    101.15     0.43    -9999
THULE      240510 300  235000-235500   00     101.08 1003.6    100.22    -0.49    -9999
THULE      240510 300  235500-240000   00     101.91 1003.6    101.06     0.34    -9999
THULE      240511 300  000000-000500   00     100.86 1003.7    100.03    -0.69    -9999
THULE      240511 300  000500-001000   00     100.97 1003.7    100.15    -0.57    -9999
THULE      240511 300  001000-001500   00     102.14 1003.7    101.35     0.62    -9999
THULE      240511 300  001500-002000   00     101.76 1003.8    101.03     0.31    -9999
THULE      240511 300  002000-002500   00     101.60 1003.9    100.93     0.21    -9999
THULE      240511 300  002500-003000   00     100.30 1004.0     99.70    -1.01    -9999
THULE      240511 300  003000-003500   00     101.28 1004.0    100.71    -0.01    -9999
THULE      240511 300  003500-004000   00     101.90 1004.1    101.36     0.64    -9999
THULE      240511 300  004000-004500   00     101.80 1004.1    101.32     0.59    -9999
THULE      240511 300  004500-005000   00     101.32 1004.1    100.83     0.11    -9999
THULE      240511 300  005000-005500   00     101.86 1004.1    101.37     0.65    -9999
THULE      240511 300  005500-010000   00     102.03 1004.2    101.59     0.87    -9999
THULE      240511 300  010000-010500   00     101.84 1004.2    101.41     0.69     0.66
THULE      240511 300  010500-011000   00     100.15 1004.2     99.76    -0.95    -0.99
THULE      240511 300  011000-011500   00     101.21 1004.3    100.83     0.11     0.07
THULE      240511 300  011500-012000   00     102.03 1004.3    101.69     0.96     0.92
THULE      240511 300  012000-012500   00     103.49 1004.4    103.17     2.43     2.38
THULE      240511 300  012500-013000   00     102.83 1004.4    102.54     1.81     1.76
THULE      240511 300  013000-013500   00     102.97 1004.4    102.69     1.95     1.90
THULE      240511 300  013500-014000   00     103.22 1004.4    102.90     2.16     2.10
THULE      240511 300  014000-014500   00     101.92 1004.3    101.59     0.86     0.80
THULE      240511 300  014500-015000   00     103.29 1004.4    102.98     2.24     2.17
THULE      240511 300  015000-015500   00     102.76 1004.4    102.43     1.70     1.63
THULE      240511 300  015500-020000   00     103.69 1004.4    103.37     2.63     2.55
THULE      240511 300  020000-020500   00     103.27 1004.3    102.89     2.16     2.08
THULE      240511 300  020500-021000   00     103.64 1004.3    103.30     2.57     2.48
THULE      240511 300  021000-021500   00     102.42 1004.3    102.08     1.35     1.27
THULE      240511 300  021500-022000   00     102.67 1004.3    102.32     1.59     1.50
THULE      240511 300  022000-022500   00     103.12 1004.4    102.79     2.06     1.96
THULE      240511 300  022500-023000   00     104.98 1004.3    104.64     3.90     3.80
THULE      240511 300  023000-023500   00     103.76 1004.4    103.43     2.69     2.59
THULE      240511 300  023500-024000   00     103.90 1004.4    103.62     2.88     2.77
THULE      240511 300  024000-024500   00     104.35 1004.5    104.11     3.36     3.25
THULE      240511 300  024500-025000   00     105.21 1004.5    104.97     4.22     4.10
THULE      240511 300  025000-025500   00     104.28 1004.5    104.04     3.30     3.17
THULE      240511 300  025500-030000   00     105.06 1004.5    104.84     4.09     3.97
THULE      240511 300  030000-030500   00     107.37 1004.5    107.14     6.38     6.25
THULE      240511 300  030500-031000   00     106.49 1004.5    106.28     5.52     5.39
THULE      240511 300  031000-031500   00     104.89 1004.4    104.64     3.89     3.75
THULE      240511 300  031500-032000   00     106.66 1004.5    106.43     5.67     5.53
THULE      240511 300  032000-032500   00     107.93 1004.5    107.71     6.94     6.79
THULE      240511 300  032500-033000   00     105.52 1004.5    105.28     4.53     4.38
THULE      240511 300  033000-033500   00     105.69 1004.5    105.46     4.71     4.55
THULE      240511 300  033500-034000   00     106.21 1004.5    106.02     5.26     5.10
THULE      240511 300  034000-034500   00     106.07 1004.6    105.90     5.14     4.98
THULE      240511 300  034500-035000   00     106.44 1004.5    106.24     5.49     5.32
THULE      240511 300  035000-035500   00     105.59 1004.6    105.41     4.66     4.49
THULE      240511 300  035500-040000   00     105.27 1004.5    105.07     4.32     4.15
THULE      240511 300  040000-040500   00     105.96 1004.6    105.80     5.05     4.87
THULE      240511 300  040500-041000   00     104.84 1004.6    104.70     3.96     3.77
THULE      240511 300  041000-041500   00     103.19 1004.7    103.11     2.38     2.19
THULE      240511 300  041500-042000   00     105.05 1004.7    105.00     4.25     4.06
THULE      240511 300  042000-042500   00     105.18 1004.7    105.14     4.39     4.20
THULE      240511 300  042500-043000   00     103.89 1004.8    103.91     3.16     2.97
THULE      240511 300  043000-043500   00     104.52 1004.8    104.57     3.82     3.62
THULE      240511 300  043500-044000   00     104.92 1004.8    104.96     4.21     4.00
THULE      240511 300  044000-044500   00     104.18 1004.8    104.21     3.47     3.26
THULE      240511 300  044500-045000   00     104.37 1004.8    104.42     3.68     3.46
THULE      240511 300  045000-045500   00     105.43 1004.9    105.51     4.76     4.54
THULE      240511 300  045500-050000   00     103.19 1004.9    103.29     2.56     2.33
