TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     86.03      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  240510 3600 000000-010000   00      94.56 1011.4     94.70    10.08    -9999
TIXIE BAY  240510 3600 010000-020000   00      94.38 1011.4     94.60     9.96    -9999
TIXIE BAY  240510 3600 020000-030000   00      94.56 1011.6     94.88    10.28    -9999
TIXIE BAY  240510 3600 030000-040000   00      94.41 1011.8     94.89    10.30    -9999
TIXIE BAY  240510 3600 040000-050000   00      94.54 1011.8     94.98    10.40    -9999
TIXIE BAY  240510 3600 050000-060000   00      94.10 1011.8     94.62     9.98    -9999
TIXIE BAY  240510 3600 060000-070000   00      94.08 1011.9     94.61     9.97    -9999
TIXIE BAY  240510 3600 070000-080000   00      94.25 1012.0     94.84    10.24    -9999
TIXIE BAY  240510 3600 080000-090000   00      94.22 1012.3     95.07    10.50    -9999
TIXIE BAY  240510 3600 090000-100000   00      94.31 1012.7     95.38    10.86    -9999
TIXIE BAY  240510 3600 100000-110000   00      93.90 1013.0     95.21    10.67    -9999
TIXIE BAY  240510 3600 110000-120000   00      93.71 1013.2     95.16    10.61    -9999
TIXIE BAY  240510 3600 120000-130000   00      93.38 1013.3     94.87    10.28    -9999
TIXIE BAY  240510 3600 130000-140000   00      93.94 1013.3     95.44    10.94    -9999
TIXIE BAY  240510 3600 140000-150000   00      93.79 1013.3     95.29    10.76    -9999
TIXIE BAY  240510 3600 150000-160000   00      93.31 1013.4     94.90    10.31    -9999
TIXIE BAY  240510 3600 160000-170000   00      93.36 1013.5     95.02    10.45    -9999
TIXIE BAY  240510 3600 170000-180000   00      93.38 1013.6     95.06    10.49    -9999
TIXIE BAY  240510 3600 180000-190000   00      93.78 1013.7     95.53    11.04    -9999
TIXIE BAY  240510 3600 190000-200000   00      92.25 1013.8     94.08     9.35    -9999
TIXIE BAY  240510 3600 200000-210000   00      91.53 1013.8     93.31     8.47    -9999
TIXIE BAY  240510 300  210000-210500   00      89.97 1013.9     91.81     6.72    -9999
TIXIE BAY  240510 300  210500-211000   00      90.24 1013.9     92.08     7.03    -9999
TIXIE BAY  240510 300  211000-211500   00      90.53 1013.9     92.40     7.40    -9999
TIXIE BAY  240510 300  211500-212000   00      91.25 1013.9     93.12     8.24    -9999
TIXIE BAY  240510 300  212000-212500   00      91.36 1013.9     93.23     8.37    -9999
TIXIE BAY  240510 300  212500-213000   00      89.71 1013.9     91.57     6.44    -9999
TIXIE BAY  240510 300  213000-213500   00      88.77 1013.9     90.59     5.30    -9999
TIXIE BAY  240510 300  213500-214000   00      89.52 1013.9     91.33     6.16    -9999
TIXIE BAY  240510 300  214000-214500   00      89.47 1013.9     91.28     6.10    -9999
TIXIE BAY  240510 300  214500-215000   00      88.96 1013.9     90.75     5.48    -9999
TIXIE BAY  240510 300  215000-215500   00      88.64 1013.8     90.37     5.05    -9999
TIXIE BAY  240510 300  215500-220000   00      88.00 1013.9     89.76     4.34    -9999
TIXIE BAY  240510 300  220000-220500   00      88.08 1013.9     89.87     4.46    -9999
TIXIE BAY  240510 300  220500-221000   00      88.43 1013.9     90.16     4.80    -9999
TIXIE BAY  240510 300  221000-221500   00      87.17 1013.9     88.93     3.37    -9999
TIXIE BAY  240510 300  221500-222000   00      87.79 1013.9     89.57     4.12    -9999
TIXIE BAY  240510 300  222000-222500   00      85.55 1013.9     87.25     1.42    -9999
TIXIE BAY  240510 300  222500-223000   00      85.76 1013.9     87.49     1.70    -9999
TIXIE BAY  240510 300  223000-223500   00      86.08 1013.9     87.81     2.07    -9999
TIXIE BAY  240510 300  223500-224000   00      87.73 1013.8     89.47     4.00    -9999
TIXIE BAY  240510 300  224000-224500   00      84.69 1013.8     86.37     0.40    -9999
TIXIE BAY  240510 300  224500-225000   00      85.09 1013.9     86.83     0.93    -9999
TIXIE BAY  240510 300  225000-225500   00      85.41 1013.9     87.12     1.27    -9999
TIXIE BAY  240510 300  225500-230000   00      84.21 1013.9     85.95    -0.10    -9999
TIXIE BAY  240510 300  230000-230500   00      84.35 1014.0     86.08     0.06    -9999
TIXIE BAY  240510 300  230500-231000   00      84.88 1014.0     86.64     0.71    -9999
TIXIE BAY  240510 300  231000-231500   00      84.13 1014.0     85.87    -0.19    -9999
TIXIE BAY  240510 300  231500-232000   00      85.60 1014.0     87.36     1.55    -9999
TIXIE BAY  240510 300  232000-232500   00      83.33 1014.0     85.12    -1.06    -9999
TIXIE BAY  240510 300  232500-233000   00      84.03 1014.0     85.81    -0.25    -9999
TIXIE BAY  240510 300  233000-233500   00      84.53 1014.0     86.32     0.34    -9999
TIXIE BAY  240510 300  233500-234000   00      84.05 1014.0     85.84    -0.22    -9999
TIXIE BAY  240510 300  234000-234500   00      83.57 1014.1     85.36    -0.78    -9999
TIXIE BAY  240510 300  234500-235000   00      84.03 1014.1     85.87    -0.19    -9999
TIXIE BAY  240510 300  235000-235500   00      83.17 1014.2     85.04    -1.15    -9999
TIXIE BAY  240510 300  235500-240000   00      84.59 1014.2     86.48     0.52    -9999
TIXIE BAY  240511 300  000000-000500   00      83.73 1014.2     85.63    -0.47    -9999
