DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     16.31      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       240607 3600 000000-010000   00      19.10  632.8     16.18    -0.78    -9999
DOMC       240607 3600 010000-020000   00      19.28  632.7     16.32     0.03    -9999
DOMC       240607 3600 020000-030000   00      19.15  632.5     16.18    -0.78    -9999
DOMC       240607 3600 030000-040000   00      19.27  632.4     16.27    -0.27    -9999
DOMC       240607 3600 040000-050000   00      19.13  632.4     16.17    -0.89    -9999
DOMC       240607 3600 050000-060000   00      19.27  632.4     16.28    -0.17    -9999
DOMC       240607 3600 060000-070000   00      19.05  632.5     16.10    -1.29    -9999
DOMC       240607 3600 070000-080000   00      19.13  632.5     16.18    -0.78    -9999
DOMC       240607 3600 080000-090000   00      19.22  632.4     16.23    -0.48    -9999
DOMC       240607 3600 090000-100000   00      19.30  632.6     16.33     0.14    -9999
DOMC       240607 3600 100000-110000   00      19.12  632.6     16.17    -0.89    -9999
DOMC       240607 3600 110000-120000   00      18.97  632.7     16.05    -1.60    -9999
DOMC       240607 3600 120000-130000   00      19.17  632.6     16.20    -0.68    -9999
DOMC       240607 3600 130000-140000   00      19.23  632.3     16.23    -0.48    -9999
DOMC       240607 3600 140000-150000   00      19.20  632.1     16.18    -0.78    -9999
DOMC       240607 3600 150000-160000   00      19.18  632.0     16.15    -0.99    -9999
DOMC       240607 3600 160000-170000   00      19.40  631.7     16.30    -0.07    -9999
DOMC       240607 3600 170000-180000   00      19.38  631.6     16.27    -0.27    -9999
DOMC       240607 3600 180000-190000   00      19.33  631.4     16.20    -0.68    -9999
DOMC       240607 3600 190000-200000   00      19.38  631.2     16.22    -0.58    -9999
DOMC       240607 3600 200000-210000   00      19.40  631.0     16.22    -0.58    -9999
DOMC       240607 3600 210000-220000   00      19.57  630.8     16.32     0.03    -9999
DOMC       240607 3600 220000-230000   00      19.58  630.7     16.33     0.14    -9999
DOMC       240607 3600 230000-240000   00      19.67  630.5     16.38     0.44    -9999
DOMC       240608 300  000000-000500   00      19.15  630.3     15.92    -2.42    -2.35
DOMC       240608 300  000500-001000   00      19.63  630.3     16.32     0.03     0.10
DOMC       240608 300  001000-001500   00      19.70  630.2     16.37     0.34     0.40
DOMC       240608 300  001500-002000   00      19.77  630.2     16.42     0.65     0.70
DOMC       240608 300  002000-002500   00      19.92  630.2     16.53     1.36     1.42
DOMC       240608 300  002500-003000   00      19.77  630.1     16.40     0.54     0.60
DOMC       240608 300  003000-003500   00      19.42  630.1     16.12    -1.19    -1.14
DOMC       240608 300  003500-004000   00      19.33  630.1     16.03    -1.70    -1.66
DOMC       240608 300  004000-004500   00      20.07  630.1     16.65     2.08     2.12
DOMC       240608 300  004500-005000   00      19.80  630.0     16.42     0.65     0.69
DOMC       240608 300  005000-005500   00      19.55  630.0     16.22    -0.58    -0.54
DOMC       240608 300  005500-010000   00      19.73  630.0     16.37     0.34     0.38
DOMC       240608 300  010000-010500   00      20.42  629.9     16.92     3.71     3.75
DOMC       240608 300  010500-011000   00      19.50  629.8     16.15    -0.99    -0.96
DOMC       240608 300  011000-011500   00      19.80  629.8     16.38     0.44     0.47
DOMC       240608 300  011500-012000   00      20.02  629.7     16.55     1.46     1.49
DOMC       240608 300  012000-012500   00      19.82  629.6     16.38     0.44     0.47
DOMC       240608 300  012500-013000   00      19.63  629.5     16.23    -0.48    -0.45
DOMC       240608 300  013000-013500   00      19.57  629.5     16.17    -0.89    -0.86
DOMC       240608 300  013500-014000   00      20.15  629.5     16.63     1.98     1.99
DOMC       240608 300  014000-014500   00      19.03  629.4     15.70    -3.75    -3.73
DOMC       240608 300  014500-015000   00      19.83  629.4     16.37     0.34     0.35
DOMC       240608 300  015000-015500   00      19.57  629.4     16.13    -1.09    -1.08
DOMC       240608 300  015500-020000   00      19.53  629.3     16.10    -1.29    -1.29
DOMC       240608 300  020000-020500   00      20.67  629.3     17.03     4.43     4.43
DOMC       240608 300  020500-021000   00      19.98  629.3     16.48     1.06     1.06
DOMC       240608 300  021000-021500   00      20.27  629.2     16.70     2.38     2.39
DOMC       240608 300  021500-022000   00      19.52  629.2     16.08    -1.40    -1.40
DOMC       240608 300  022000-022500   00      19.82  629.1     16.32     0.03     0.03
DOMC       240608 300  022500-023000   00      19.82  629.0     16.32     0.03     0.03
DOMC       240608 300  023000-023500   00      20.95  629.1     17.25     5.76     5.75
DOMC       240608 300  023500-024000   00      20.38  629.1     16.78     2.90     2.88
DOMC       240608 300  024000-024500   00      20.15  629.0     16.58     1.67     1.66
DOMC       240608 300  024500-025000   00      20.28  629.0     16.68     2.28     2.27
DOMC       240608 300  025000-025500   00      19.72  629.0     16.22    -0.58    -0.60
DOMC       240608 300  025500-030000   00      19.82  629.0     16.30    -0.07    -0.09
DOMC       240608 300  030000-030500   00      20.02  628.9     16.47     0.95     0.93
DOMC       240608 300  030500-031000   00      20.17  628.8     16.57     1.57     1.54
DOMC       240608 300  031000-031500   00      20.20  628.8     16.60     1.77     1.74
DOMC       240608 300  031500-032000   00      20.55  628.8     16.88     3.51     3.48
DOMC       240608 300  032000-032500   00      20.72  628.8     17.02     4.33     4.29
DOMC       240608 300  032500-033000   00      19.57  628.8     16.07    -1.50    -1.53
DOMC       240608 300  033000-033500   00      19.65  628.7     16.13    -1.09    -1.13
DOMC       240608 300  033500-034000   00      20.10  628.6     16.50     1.16     1.12
DOMC       240608 300  034000-034500   00      19.78  628.6     16.22    -0.58    -0.62
DOMC       240608 300  034500-035000   00      20.25  628.6     16.62     1.87     1.83
DOMC       240608 300  035000-035500   00      20.28  628.6     16.63     1.98     1.93
DOMC       240608 300  035500-040000   00      19.70  628.6     16.15    -0.99    -1.04
DOMC       240608 300  040000-040500   00      20.37  628.5     16.68     2.28     2.23
DOMC       240608 300  040500-041000   00      19.93  628.4     16.33     0.14     0.08
DOMC       240608 300  041000-041500   00      20.00  628.4     16.38     0.44     0.39
DOMC       240608 300  041500-042000   00      20.03  628.4     16.40     0.54     0.49
DOMC       240608 300  042000-042500   00      20.20  628.4     16.53     1.36     1.30
DOMC       240608 300  042500-043000   00      19.52  628.4     15.98    -2.01    -2.07
