JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978     MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    244.62      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  240607 3600 000000-010000   00     261.55  968.1    242.15    -1.01    -9999
JANG-BOGO  240607 3600 010000-020000   00     262.46  967.9    242.72    -0.78    -9999
JANG-BOGO  240607 3600 020000-030000   00     262.29  967.5    241.85    -1.13    -9999
JANG-BOGO  240607 3600 030000-040000   00     264.32  966.7    242.27    -0.96    -9999
JANG-BOGO  240607 3600 040000-050000   00     265.16  966.0    241.66    -1.21    -9999
JANG-BOGO  240607 3600 050000-060000   00     266.55  965.5    242.08    -1.04    -9999
JANG-BOGO  240607 3600 060000-070000   00     267.15  964.9    241.58    -1.24    -9999
JANG-BOGO  240607 3600 070000-080000   00     267.93  964.5    241.47    -1.29    -9999
JANG-BOGO  240607 3600 080000-090000   00     270.12  964.2    242.95    -0.68    -9999
JANG-BOGO  240607 3600 090000-100000   00     268.24  963.9    240.72    -1.60    -9999
JANG-BOGO  240607 3600 100000-110000   00     271.20  963.5    242.72    -0.78    -9999
JANG-BOGO  240607 3600 110000-120000   00     271.79  963.2    242.65    -0.81    -9999
JANG-BOGO  240607 3600 120000-130000   00     272.40  962.6    242.16    -1.01    -9999
JANG-BOGO  240607 3600 130000-140000   00     273.56  962.2    242.44    -0.89    -9999
JANG-BOGO  240607 3600 140000-150000   00     274.77  962.0    243.15    -0.60    -9999
JANG-BOGO  240607 3600 150000-160000   00     275.50  961.8    243.45    -0.48    -9999
JANG-BOGO  240607 3600 160000-170000   00     276.23  961.4    243.41    -0.50    -9999
JANG-BOGO  240607 3600 170000-180000   00     277.21  961.4    244.23    -0.16    -9999
JANG-BOGO  240607 3600 180000-190000   00     277.49  961.4    244.40    -0.09    -9999
JANG-BOGO  240607 3600 190000-200000   00     275.72  961.8    243.65    -0.40    -9999
JANG-BOGO  240607 3600 200000-210000   00     274.95  962.2    243.61    -0.41    -9999
JANG-BOGO  240607 3600 210000-220000   00     274.33  962.5    243.75    -0.36    -9999
JANG-BOGO  240607 3600 220000-230000   00     272.85  963.1    243.50    -0.46    -9999
JANG-BOGO  240607 3600 230000-240000   00     272.53  963.6    244.14    -0.20    -9999
JANG-BOGO  240608 300  000000-000500   00     270.53  964.0    242.93    -0.69    -0.81
JANG-BOGO  240608 300  000500-001000   00     274.65  964.0    246.70     0.85     0.74
JANG-BOGO  240608 300  001000-001500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  001500-002000   00     268.70  964.2    241.75    -1.17    -1.27
JANG-BOGO  240608 300  002000-002500   00     272.75  964.2    245.45     0.34     0.25
JANG-BOGO  240608 300  002500-003000   00     274.63  964.2    247.17     1.04     0.96
JANG-BOGO  240608 300  003000-003500   00     270.75  964.3    243.75    -0.36    -0.43
JANG-BOGO  240608 300  003500-004000   00     272.90  964.3    245.70     0.44     0.38
JANG-BOGO  240608 300  004000-004500   00     272.95  964.3    245.80     0.48     0.42
JANG-BOGO  240608 300  004500-005000   00     272.43  964.4    245.40     0.32     0.27
JANG-BOGO  240608 300  005000-005500   00     272.40  964.5    245.55     0.38     0.34
JANG-BOGO  240608 300  005500-010000   00     270.57  964.5    243.93    -0.28    -0.32
JANG-BOGO  240608 300  010000-010500   00     268.10  964.7    241.90    -1.11    -1.14
JANG-BOGO  240608 300  010500-011000   00     270.65  964.7    244.32    -0.12    -0.14
JANG-BOGO  240608 300  011000-011500   00     272.30  964.8    245.95     0.54     0.53
JANG-BOGO  240608 300  011500-012000   00     271.20  964.7    244.90     0.11     0.11
JANG-BOGO  240608 300  012000-012500   00     269.05  964.7    242.85    -0.72    -0.72
JANG-BOGO  240608 300  012500-013000   00     270.83  964.7    244.53    -0.04    -0.03
JANG-BOGO  240608 300  013000-013500   00     267.55  964.9    241.80    -1.15    -1.14
JANG-BOGO  240608 300  013500-014000   00     275.27  964.9    249.00     1.79     1.81
JANG-BOGO  240608 300  014000-014500   00     268.88  965.1    243.43    -0.49    -0.46
JANG-BOGO  240608 300  014500-015000   00     270.00  965.2    244.70     0.03     0.07
JANG-BOGO  240608 300  015000-015500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  015500-020000   00     269.35  965.3    244.18    -0.18    -0.13
JANG-BOGO  240608 300  020000-020500   00     271.90  965.2    246.53     0.78     0.84
JANG-BOGO  240608 300  020500-021000   00     271.33  965.4    246.30     0.69     0.76
JANG-BOGO  240608 300  021000-021500   00     270.35  965.4    245.35     0.30     0.37
JANG-BOGO  240608 300  021500-022000   00     272.60  965.4    247.30     1.09     1.18
JANG-BOGO  240608 300  022000-022500   00     271.97  965.3    246.70     0.85     0.94
JANG-BOGO  240608 300  022500-023000   00     265.40  965.5    241.05    -1.46    -1.36
JANG-BOGO  240608 300  023000-023500   00     271.10  965.6    246.32     0.70     0.80
JANG-BOGO  240608 300  023500-024000   00     269.80  965.5    245.10     0.20     0.31
JANG-BOGO  240608 300  024000-024500   00     271.15  965.5    246.20     0.64     0.77
JANG-BOGO  240608 300  024500-025000   00     271.80  965.5    246.84     0.91     1.04
JANG-BOGO  240608 300  025000-025500   00     270.73  965.6    246.07     0.59     0.73
JANG-BOGO  240608 300  025500-030000   00     269.20  965.6    244.85     0.09     0.24
JANG-BOGO  240608 300  030000-030500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  030500-031000   00     269.40  965.9    245.35     0.30     0.46
JANG-BOGO  240608 300  031000-031500   00     268.50  966.0    244.80     0.07     0.24
JANG-BOGO  240608 300  031500-032000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  032000-032500   00     270.90  966.0    246.90     0.93     1.11
JANG-BOGO  240608 300  032500-033000   00     268.67  966.1    245.03     0.17     0.36
JANG-BOGO  240608 300  033000-033500   00     269.00  966.0    245.40     0.32     0.51
JANG-BOGO  240608 300  033500-034000   00     272.20  966.2    248.60     1.63     1.83
JANG-BOGO  240608 300  034000-034500   00     268.30  966.3    245.20     0.24     0.45
JANG-BOGO  240608 300  034500-035000   00     268.65  966.4    245.65     0.42     0.64
JANG-BOGO  240608 300  035000-035500   00     265.40  966.5    242.75    -0.77    -0.54
JANG-BOGO  240608 300  035500-040000   00     266.70  966.5    244.00    -0.25    -0.02
JANG-BOGO  240608 300  040000-040500   00     266.15  966.6    243.75    -0.36    -0.11
JANG-BOGO  240608 300  040500-041000   00     266.25  966.7    243.90    -0.30    -0.05
JANG-BOGO  240608 300  041000-041500   00     261.05  966.7    239.30    -2.18    -1.92
JANG-BOGO  240608 300  041500-042000   00     269.18  966.7    246.72     0.86     1.12
JANG-BOGO  240608 300  042000-042500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  042500-043000   00     267.23  966.5    244.60    -0.01     0.27
JANG-BOGO  240608 300  043000-043500   00     267.05  966.6    244.60    -0.01     0.28
JANG-BOGO  240608 300  043500-044000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  044000-044500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  044500-045000   00     266.15  967.1    244.55    -0.03     0.28
JANG-BOGO  240608 300  045000-045500   00     270.10  966.6    247.30     1.09     1.41
JANG-BOGO  240608 300  045500-050000   00     265.87  966.5    243.10    -0.62    -0.30
JANG-BOGO  240608 300  050000-050500   00     265.83  966.3    242.97    -0.68    -0.34
JANG-BOGO  240608 300  050500-051000   00     263.43  966.5    241.13    -1.43    -1.09
JANG-BOGO  240608 300  051000-051500   00     264.75  966.5    242.15    -1.01    -0.66
JANG-BOGO  240608 300  051500-052000   00     268.00  966.6    245.40     0.32     0.67
JANG-BOGO  240608 300  052000-052500   00     266.77  966.5    244.13    -0.20     0.16
JANG-BOGO  240608 300  052500-053000   00     265.63  966.7    243.40    -0.50    -0.13
JANG-BOGO  240608 300  053000-053500   00     266.03  966.6    243.50    -0.46    -0.08
JANG-BOGO  240608 300  053500-054000   00     264.55  966.9    242.70    -0.79    -0.40
JANG-BOGO  240608 300  054000-054500   00     266.30  967.4    245.20     0.24     0.63
JANG-BOGO  240608 300  054500-055000   00     269.70  967.1    248.00     1.38     1.78
JANG-BOGO  240608 300  055000-055500   00     262.80  967.5    242.20    -0.99    -0.58
JANG-BOGO  240608 300  055500-060000   00     264.60  967.5    243.93    -0.28     0.13
JANG-BOGO  240608 300  060000-060500   00     266.30  967.2    244.93     0.13     0.55
JANG-BOGO  240608 300  060500-061000   00     262.60  967.1    241.30    -1.36    -0.93
JANG-BOGO  240608 300  061000-061500   00     268.70  967.1    247.00     0.97     1.41
JANG-BOGO  240608 300  061500-062000   00     270.20  967.0    248.20     1.46     1.91
JANG-BOGO  240608 300  062000-062500   00     260.23  967.1    239.12    -2.25    -1.80
JANG-BOGO  240608 300  062500-063000   00     261.70  967.2    240.80    -1.56    -1.10
JANG-BOGO  240608 300  063000-063500   00     267.07  967.3    245.83     0.49     0.96
JANG-BOGO  240608 300  063500-064000   00     264.83  967.3    243.83    -0.32     0.15
JANG-BOGO  240608 300  064000-064500   00     259.80  967.4    239.20    -2.22    -1.74
JANG-BOGO  240608 300  064500-065000   00     266.20  967.4    245.20     0.24     0.73
JANG-BOGO  240608 300  065000-065500   00     263.25  967.4    242.60    -0.83    -0.33
JANG-BOGO  240608 300  065500-070000   00     261.90  967.4    241.30    -1.36    -0.85
JANG-BOGO  240608 300  070000-070500   00     262.57  967.5    242.13    -1.02    -0.51
JANG-BOGO  240608 300  070500-071000   00     262.20  967.5    241.70    -1.19    -0.68
JANG-BOGO  240608 300  071000-071500   00     265.17  967.6    244.67     0.02     0.54
JANG-BOGO  240608 300  071500-072000   00     262.60  967.6    242.40    -0.91    -0.37
JANG-BOGO  240608 300  072000-072500   00     265.60  967.9    245.50     0.36     0.90
JANG-BOGO  240608 300  072500-073000   00     262.40  967.9    242.60    -0.83    -0.28
JANG-BOGO  240608 300  073000-073500   00     263.70  967.9    243.77    -0.35     0.21
JANG-BOGO  240608 300  073500-074000   00     260.67  968.0    241.30    -1.36    -0.79
JANG-BOGO  240608 300  074000-074500   00     262.40  968.0    242.80    -0.74    -0.17
JANG-BOGO  240608 300  074500-075000   00     265.00  968.2    245.40     0.32     0.90
JANG-BOGO  240608 300  075000-075500   00     260.93  968.2    241.82    -1.14    -0.56
JANG-BOGO  240608 300  075500-080000   00     264.80  968.2    245.40     0.32     0.91
JANG-BOGO  240608 300  080000-080500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  080500-081000   00     262.10  968.2    242.95    -0.68    -0.07
JANG-BOGO  240608 300  081000-081500   00     264.65  968.3    245.30     0.28     0.89
JANG-BOGO  240608 300  081500-082000   00     259.70  968.3    240.90    -1.52    -0.90
JANG-BOGO  240608 300  082000-082500   00     266.50  968.3    247.10     1.01     1.64
JANG-BOGO  240608 300  082500-083000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  083000-083500   00     263.15  968.3    244.05    -0.23     0.41
JANG-BOGO  240608 300  083500-084000   00     264.43  968.3    245.30     0.28     0.93
JANG-BOGO  240608 300  084000-084500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  084500-085000   00     263.05  968.5    244.20    -0.17     0.50
JANG-BOGO  240608 300  085000-085500   00     265.95  968.3    246.65     0.83     1.51
JANG-BOGO  240608 300  085500-090000   00     264.53  968.5    245.60     0.40     1.08
JANG-BOGO  240608 300  090000-090500   00     261.90  968.6    243.30    -0.54     0.15
