MIRNY      LATITUDE    -66.55    LONGITUDE     93.02     ALTITUDE    30 M
MIRNY      INSTRUMENT   12NM64    NEUTRON MONITOR
MIRNY      STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.73     % / MB
MIRNY      PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
MIRNY      PRE-INCREASE AVERAGE COUNTING RATE    108.64      COUNTS PER SECOND
MIRNY      TIME INTERVALS    300         3600     
MIRNY      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MIRNY      240607 3600 000000-010000   00     113.90  992.5    108.50    -0.13    -9999
MIRNY      240607 3600 010000-020000   00     114.18  992.2    108.48    -0.14    -9999
MIRNY      240607 3600 020000-030000   00     113.55  992.9    107.70    -0.86    -9999
MIRNY      240607 3600 030000-040000   00     113.43  993.1    108.23    -0.37    -9999
MIRNY      240607 3600 040000-050000   00     113.95  992.8    108.07    -0.52    -9999
MIRNY      240607 3600 050000-060000   00     114.28  992.6    108.20    -0.40    -9999
MIRNY      240607 3600 060000-070000   00     114.37  992.5    108.15    -0.45    -9999
MIRNY      240607 3600 070000-080000   00     114.13  992.6    108.28    -0.33    -9999
MIRNY      240607 3600 080000-090000   00     113.55  993.0    107.78    -0.79    -9999
MIRNY      240607 3600 090000-100000   00     113.87  992.9    108.07    -0.52    -9999
MIRNY      240607 3600 100000-110000   00     114.20  992.6    108.10    -0.49    -9999
MIRNY      240607 3600 110000-120000   00     113.58  992.3    107.33    -1.20    -9999
MIRNY      240607 3600 120000-130000   00     114.07  992.4    107.83    -0.74    -9999
MIRNY      240607 3600 130000-140000   00     113.62  992.1    107.13    -1.38    -9999
MIRNY      240607 3600 140000-150000   00     113.83  991.7    107.08    -1.43    -9999
MIRNY      240607 3600 150000-160000   00     114.70  991.5    107.73    -0.83    -9999
MIRNY      240607 3600 160000-170000   00     114.27  991.6    107.37    -1.17    -9999
MIRNY      240607 3600 170000-180000   00     114.60  991.6    107.67    -0.89    -9999
MIRNY      240607 3600 180000-190000   00     114.67  991.8    108.12    -0.48    -9999
MIRNY      240607 3600 190000-200000   00     115.00  991.6    108.03    -0.56    -9999
MIRNY      240607 3600 200000-210000   00     115.47  991.3    108.23    -0.37    -9999
MIRNY      240607 3600 210000-220000   00     114.75  991.9    108.05    -0.54    -9999
MIRNY      240607 3600 220000-230000   00     114.62  991.9    107.97    -0.62    -9999
MIRNY      240607 3600 230000-240000   00     114.75  991.7    108.13    -0.46    -9999
MIRNY      240608 300  000000-000500   00     114.52  991.7    107.72    -0.85    -0.85
MIRNY      240608 300  000500-001000   00     114.98  991.9    108.33    -0.28    -0.28
MIRNY      240608 300  001000-001500   00     115.52  991.8    108.70     0.06     0.06
MIRNY      240608 300  001500-002000   00     116.95  992.0    110.22     1.45     1.45
MIRNY      240608 300  002000-002500   00     115.07  992.1    108.53    -0.10    -0.10
MIRNY      240608 300  002500-003000   00     114.48  992.1    108.00    -0.59    -0.59
MIRNY      240608 300  003000-003500   00     116.60  992.2    110.05     1.30     1.29
MIRNY      240608 300  003500-004000   00     114.47  992.2    108.05    -0.54    -0.55
MIRNY      240608 300  004000-004500   00     116.70  992.0    110.00     1.25     1.24
MIRNY      240608 300  004500-005000   00     115.07  991.8    108.33    -0.28    -0.29
MIRNY      240608 300  005000-005500   00     115.32  991.7    108.43    -0.19    -0.20
MIRNY      240608 300  005500-010000   00     118.35  991.6    111.25     2.41     2.39
MIRNY      240608 300  010000-010500   00     116.15  991.5    109.12     0.44     0.42
MIRNY      240608 300  010500-011000   00     116.22  991.6    109.23     0.55     0.53
MIRNY      240608 300  011000-011500   00     114.63  991.9    107.98    -0.60    -0.62
MIRNY      240608 300  011500-012000   00     115.03  991.8    108.23    -0.37    -0.39
MIRNY      240608 300  012000-012500   00     114.63  991.8    107.88    -0.69    -0.72
MIRNY      240608 300  012500-013000   00     114.32  991.7    107.50    -1.05    -1.07
MIRNY      240608 300  013000-013500   00     114.70  991.4    107.65    -0.91    -0.94
MIRNY      240608 300  013500-014000   00     115.23  991.4    108.10    -0.49    -0.52
MIRNY      240608 300  014000-014500   00     115.62  991.5    108.55    -0.08    -0.11
MIRNY      240608 300  014500-015000   00     116.55  991.6    109.50     0.79     0.76
MIRNY      240608 300  015000-015500   00     114.57  991.7    107.77    -0.80    -0.84
MIRNY      240608 300  015500-020000   00     114.95  991.8    108.15    -0.45    -0.48
MIRNY      240608 300  020000-020500   00     113.82  991.5    106.83    -1.66    -1.70
MIRNY      240608 300  020500-021000   00     116.43  991.4    109.25     0.56     0.53
MIRNY      240608 300  021000-021500   00     117.05  991.4    109.80     1.07     1.03
MIRNY      240608 300  021500-022000   00     115.23  991.2    107.93    -0.65    -0.69
MIRNY      240608 300  022000-022500   00     116.28  991.2    108.95     0.29     0.24
MIRNY      240608 300  022500-023000   00     117.12  991.0    109.58     0.87     0.83
MIRNY      240608 300  023000-023500   00     116.50  991.1    109.08     0.41     0.36
MIRNY      240608 300  023500-024000   00     117.40  991.0    109.87     1.13     1.08
MIRNY      240608 300  024000-024500   00     118.30  991.1    110.72     1.91     1.86
MIRNY      240608 300  024500-025000   00     116.87  991.2    109.45     0.75     0.70
MIRNY      240608 300  025000-025500   00     115.78  991.3    108.55    -0.08    -0.13
MIRNY      240608 300  025500-030000   00     115.73  991.4    108.57    -0.06    -0.12
MIRNY      240608 300  030000-030500   00     115.87  991.5    108.78     0.13     0.08
