NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    194.63      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       240607 3600 000000-010000   00     201.33 1007.6    194.13    -0.26    -9999
NAIN       240607 3600 010000-020000   00     200.98 1007.9    194.24    -0.20    -9999
NAIN       240607 3600 020000-030000   00     201.44 1007.8    194.50    -0.07    -9999
NAIN       240607 3600 030000-040000   00     201.46 1008.0    194.84     0.11    -9999
NAIN       240607 3600 040000-050000   00     200.80 1008.2    194.47    -0.08    -9999
NAIN       240607 3600 050000-060000   00     200.03 1008.3    193.87    -0.39    -9999
NAIN       240607 3600 060000-070000   00     199.16 1008.7    193.53    -0.56    -9999
NAIN       240607 3600 070000-080000   00     199.24 1008.9    193.97    -0.34    -9999
NAIN       240607 3600 080000-090000   00     198.70 1009.2    193.77    -0.44    -9999
NAIN       240607 3600 090000-100000   00     198.04 1009.5    193.69    -0.48    -9999
NAIN       240607 3600 100000-110000   00     197.78 1010.0    194.08    -0.28    -9999
NAIN       240607 3600 110000-120000   00     198.82 1010.2    195.40     0.40    -9999
NAIN       240607 3600 120000-130000   00     197.99 1010.0    194.29    -0.17    -9999
NAIN       240607 3600 130000-140000   00     198.50 1009.4    194.00    -0.32    -9999
NAIN       240607 3600 140000-150000   00     198.96 1009.4    194.35    -0.14    -9999
NAIN       240607 3600 150000-160000   00     199.25 1009.2    194.34    -0.15    -9999
NAIN       240607 3600 160000-170000   00     200.17 1008.9    194.89     0.13    -9999
NAIN       240607 3600 170000-180000   00     199.01 1008.8    193.58    -0.54    -9999
NAIN       240607 3600 180000-190000   00     199.51 1008.7    193.96    -0.34    -9999
NAIN       240607 3600 190000-200000   00     200.19 1008.6    194.47    -0.08    -9999
NAIN       240607 3600 200000-210000   00     199.51 1008.5    193.69    -0.48    -9999
NAIN       240607 3600 210000-220000   00     200.35 1008.4    194.35    -0.14    -9999
NAIN       240607 3600 220000-230000   00     199.89 1008.4    193.87    -0.39    -9999
NAIN       240607 3600 230000-240000   00     200.68 1008.1    194.20    -0.22    -9999
NAIN       240608 300  000000-000500   00     200.00 1008.2    193.71    -0.47    -0.46
NAIN       240608 300  000500-001000   00     200.45 1008.3    194.30    -0.17    -0.15
NAIN       240608 300  001000-001500   00     197.72 1008.4    191.74    -1.48    -1.46
NAIN       240608 300  001500-002000   00     202.21 1008.3    196.06     0.74     0.76
NAIN       240608 300  002000-002500   00     201.09 1008.3    194.99     0.18     0.22
NAIN       240608 300  002500-003000   00     199.02 1008.3    192.93    -0.87    -0.84
NAIN       240608 300  003000-003500   00     199.74 1008.2    193.53    -0.57    -0.53
NAIN       240608 300  003500-004000   00     199.81 1008.2    193.49    -0.59    -0.54
NAIN       240608 300  004000-004500   00     201.49 1008.2    195.14     0.26     0.31
NAIN       240608 300  004500-005000   00     199.30 1008.2    192.96    -0.86    -0.80
NAIN       240608 300  005000-005500   00     198.73 1008.1    192.31    -1.19    -1.14
NAIN       240608 300  005500-010000   00     201.45 1008.0    194.85     0.12     0.18
NAIN       240608 300  010000-010500   00     202.93 1008.0    196.23     0.82     0.89
NAIN       240608 300  010500-011000   00     200.99 1007.9    194.26    -0.19    -0.12
