NEWARK     LATITUDE    39.68     LONGITUDE     -75.75    ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR
NEWARK     STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.735    % / MB
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     87.67      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NEWARK     240607 3600 000000-010000   00     100.02  994.9     87.07    -0.68    -9999
NEWARK     240607 3600 010000-020000   00      99.97  995.5     87.41    -0.30    -9999
NEWARK     240607 3600 020000-030000   00      99.59  995.9     87.34    -0.38    -9999
NEWARK     240607 3600 030000-040000   00      98.54  996.5     86.79    -1.00    -9999
NEWARK     240607 3600 040000-050000   00      98.18  996.8     86.66    -1.15    -9999
NEWARK     240607 3600 050000-060000   00      98.60  996.8     87.09    -0.66    -9999
NEWARK     240607 3600 060000-070000   00      98.54  997.0     87.12    -0.63    -9999
NEWARK     240607 3600 070000-080000   00      98.61  996.8     87.05    -0.71    -9999
NEWARK     240607 3600 080000-090000   00      99.48  996.7     87.75     0.09    -9999
NEWARK     240607 3600 090000-100000   00      98.80  997.0     87.34    -0.37    -9999
NEWARK     240607 3600 100000-110000   00      98.55  997.1     87.17    -0.57    -9999
NEWARK     240607 3600 110000-120000   00      98.21  997.4     87.07    -0.68    -9999
NEWARK     240607 3600 120000-130000   00      98.33  997.8     87.43    -0.28    -9999
NEWARK     240607 3600 130000-140000   00      98.04  997.8     87.24    -0.49    -9999
NEWARK     240607 3600 140000-150000   00      98.60  997.9     87.77     0.11    -9999
NEWARK     240607 3600 150000-160000   00      98.37  997.7     87.45    -0.25    -9999
NEWARK     240607 3600 160000-170000   00      98.25  997.6     87.25    -0.47    -9999
NEWARK     240607 3600 170000-180000   00      98.43  997.4     87.29    -0.43    -9999
NEWARK     240607 3600 180000-190000   00      98.48  997.4     87.35    -0.36    -9999
NEWARK     240607 3600 190000-200000   00      98.57  997.6     87.52    -0.17    -9999
NEWARK     240607 3600 200000-210000   00      98.07  997.7     87.17    -0.57    -9999
NEWARK     240607 3600 210000-220000   00      98.06  998.0     87.32    -0.39    -9999
NEWARK     240607 3600 220000-230000   00      97.97  998.6     87.64    -0.03    -9999
NEWARK     240607 3600 230000-240000   00      97.50  999.3     87.67     0.01    -9999
NEWARK     240608 300  000000-000500   00      96.70  999.7     87.24    -0.49    -0.49
NEWARK     240608 300  000500-001000   00      96.79  999.8     87.37    -0.35    -0.35
NEWARK     240608 300  001000-001500   00      97.96  999.9     88.49     0.94     0.94
NEWARK     240608 300  001500-002000   00      97.54 1000.0     88.16     0.56     0.56
NEWARK     240608 300  002000-002500   00      97.68 1000.1     88.34     0.77     0.77
NEWARK     240608 300  002500-003000   00      95.81 1000.2     86.71    -1.09    -1.09
NEWARK     240608 300  003000-003500   00      96.51 1000.3     87.40    -0.31    -0.31
NEWARK     240608 300  003500-004000   00      96.90 1000.3     87.81     0.17     0.17
NEWARK     240608 300  004000-004500   00      96.44 1000.5     87.48    -0.22    -0.22
NEWARK     240608 300  004500-005000   00      96.94 1000.5     87.98     0.35     0.35
NEWARK     240608 300  005000-005500   00      96.64 1000.7     87.79     0.13     0.13
NEWARK     240608 300  005500-010000   00      95.00 1000.7     86.34    -1.52    -1.52
NEWARK     240608 300  010000-010500   00      95.64 1000.9     87.03    -0.72    -0.72
NEWARK     240608 300  010500-011000   00      96.36 1001.1     87.80     0.15     0.15
NEWARK     240608 300  011000-011500   00      95.67 1001.2     87.28    -0.45    -0.45
NEWARK     240608 300  011500-012000   00      97.23 1001.4     88.78     1.27     1.27
NEWARK     240608 300  012000-012500   00      96.37 1001.5     88.06     0.44     0.44
NEWARK     240608 300  012500-013000   00      95.67 1001.6     87.50    -0.20    -0.20
NEWARK     240608 300  013000-013500   00      95.86 1001.7     87.75     0.09     0.09
NEWARK     240608 300  013500-014000   00      95.00 1001.8     87.03    -0.72    -0.72
NEWARK     240608 300  014000-014500   00      96.52 1002.0     88.51     0.95     0.95
NEWARK     240608 300  014500-015000   00      96.38 1002.0     88.43     0.87     0.87
NEWARK     240608 300  015000-015500   00      95.03 1002.2     87.28    -0.45    -0.45
NEWARK     240608 300  015500-020000   00      95.30 1002.2     87.52    -0.17    -0.17
NEWARK     240608 300  020000-020500   00      96.54 1002.2     88.70     1.18     1.18
NEWARK     240608 300  020500-021000   00      95.54 1002.2     87.80     0.15     0.15
NEWARK     240608 300  021000-021500   00      94.58 1002.2     86.91    -0.86    -0.86
NEWARK     240608 300  021500-022000   00      96.34 1002.3     88.59     1.05     1.05
NEWARK     240608 300  022000-022500   00      94.28 1002.4     86.74    -1.06    -1.06
NEWARK     240608 300  022500-023000   00      96.16 1002.5     88.55     1.00     1.00
