TIXIE-BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE-BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE-BAY  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
TIXIE-BAY  PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
TIXIE-BAY  PRE-INCREASE AVERAGE COUNTING RATE     93.72      COUNTS PER SECOND
TIXIE-BAY  TIME INTERVALS    300         3600     
TIXIE-BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE-BAY  240607 3600 000000-010000   00      92.11 1012.2     92.88    -0.89    -9999
TIXIE-BAY  240607 3600 010000-020000   00      92.28 1012.2     93.03    -0.73    -9999
TIXIE-BAY  240607 3600 020000-030000   00      92.30 1012.3     93.10    -0.66    -9999
TIXIE-BAY  240607 3600 030000-040000   00      91.89 1012.4     92.70    -1.08    -9999
TIXIE-BAY  240607 3600 040000-050000   00      92.02 1012.3     92.83    -0.94    -9999
TIXIE-BAY  240607 3600 050000-060000   00      92.32 1012.2     93.09    -0.66    -9999
TIXIE-BAY  240607 3600 060000-070000   00      92.20 1012.1     92.89    -0.88    -9999
TIXIE-BAY  240607 3600 070000-080000   00      92.22 1012.3     93.00    -0.76    -9999
TIXIE-BAY  240607 3600 080000-090000   00      91.81 1012.7     92.83    -0.95    -9999
TIXIE-BAY  240607 3600 090000-100000   00      91.67 1012.9     92.88    -0.89    -9999
TIXIE-BAY  240607 3600 100000-110000   00      91.39 1013.3     92.86    -0.92    -9999
TIXIE-BAY  240607 3600 110000-120000   00      91.19 1013.7     92.94    -0.83    -9999
TIXIE-BAY  240607 3600 120000-130000   00      91.05 1014.0     92.99    -0.78    -9999
TIXIE-BAY  240607 3600 130000-140000   00      90.88 1014.5     93.16    -0.59    -9999
TIXIE-BAY  240607 3600 140000-150000   00      90.31 1014.9     92.80    -0.98    -9999
TIXIE-BAY  240607 3600 150000-160000   00      89.91 1015.2     92.61    -1.18    -9999
TIXIE-BAY  240607 3600 160000-170000   00      90.15 1015.4     92.97    -0.79    -9999
TIXIE-BAY  240607 3600 170000-180000   00      89.93 1015.7     92.98    -0.78    -9999
TIXIE-BAY  240607 3600 180000-190000   00      90.12 1015.9     93.30    -0.45    -9999
TIXIE-BAY  240607 3600 190000-200000   00      90.24 1016.1     93.55    -0.18    -9999
TIXIE-BAY  240607 3600 200000-210000   00      90.02 1016.2     93.42    -0.32    -9999
TIXIE-BAY  240607 3600 210000-220000   00      90.24 1016.5     93.82     0.11    -9999
TIXIE-BAY  240607 3600 220000-230000   00      89.69 1016.7     93.38    -0.36    -9999
TIXIE-BAY  240607 3600 230000-240000   00      89.74 1016.9     93.56    -0.17    -9999
TIXIE-BAY  240608 300  000000-000500   00      90.29 1016.9     94.13     0.45     0.38
TIXIE-BAY  240608 300  000500-001000   00      89.39 1016.9     93.20    -0.55    -0.61
TIXIE-BAY  240608 300  001000-001500   00      89.49 1016.9     93.31    -0.44    -0.49
TIXIE-BAY  240608 300  001500-002000   00      90.05 1016.9     93.95     0.25     0.20
TIXIE-BAY  240608 300  002000-002500   00      91.12 1017.0     95.09     1.47     1.42
TIXIE-BAY  240608 300  002500-003000   00      89.55 1017.0     93.44    -0.29    -0.33
TIXIE-BAY  240608 300  003000-003500   00      89.71 1017.0     93.57    -0.15    -0.19
TIXIE-BAY  240608 300  003500-004000   00      89.52 1016.8     93.25    -0.49    -0.52
TIXIE-BAY  240608 300  004000-004500   00      91.55 1016.6     95.25     1.64     1.62
TIXIE-BAY  240608 300  004500-005000   00      89.20 1016.5     92.75    -1.03    -1.05
TIXIE-BAY  240608 300  005000-005500   00      89.68 1016.6     93.33    -0.41    -0.42
TIXIE-BAY  240608 300  005500-010000   00      91.39 1016.7     95.12     1.50     1.49
TIXIE-BAY  240608 300  010000-010500   00      89.89 1016.8     93.65    -0.07    -0.07
TIXIE-BAY  240608 300  010500-011000   00      89.71 1016.8     93.49    -0.24    -0.24
TIXIE-BAY  240608 300  011000-011500   00      89.65 1016.8     93.47    -0.27    -0.26
TIXIE-BAY  240608 300  011500-012000   00      90.08 1016.9     93.92     0.22     0.23
TIXIE-BAY  240608 300  012000-012500   00      89.25 1016.9     93.04    -0.72    -0.71
TIXIE-BAY  240608 300  012500-013000   00      89.92 1016.8     93.68    -0.04    -0.02
TIXIE-BAY  240608 300  013000-013500   00      90.72 1016.8     94.48     0.82     0.84
TIXIE-BAY  240608 300  013500-014000   00      89.63 1016.8     93.36    -0.38    -0.35
TIXIE-BAY  240608 300  014000-014500   00      89.60 1016.9     93.39    -0.35    -0.32
TIXIE-BAY  240608 300  014500-015000   00      90.59 1016.8     94.37     0.70     0.74
TIXIE-BAY  240608 300  015000-015500   00      89.49 1016.7     93.23    -0.52    -0.48
TIXIE-BAY  240608 300  015500-020000   00      89.01 1016.7     92.69    -1.09    -1.05
TIXIE-BAY  240608 300  020000-020500   00      89.89 1016.7     93.57    -0.15    -0.10
TIXIE-BAY  240608 300  020500-021000   00      89.71 1016.7     93.39    -0.35    -0.30
TIXIE-BAY  240608 300  021000-021500   00      90.40 1016.7     94.11     0.42     0.48
TIXIE-BAY  240608 300  021500-022000   00      89.31 1016.6     92.91    -0.86    -0.80
TIXIE-BAY  240608 300  022000-022500   00      90.35 1016.6     94.00     0.30     0.37
TIXIE-BAY  240608 300  022500-023000   00      91.79 1016.5     95.44     1.84     1.91
TIXIE-BAY  240608 300  023000-023500   00      91.41 1016.5     95.04     1.41     1.48
TIXIE-BAY  240608 300  023500-024000   00      89.20 1016.5     92.75    -1.03    -0.96
TIXIE-BAY  240608 300  024000-024500   00      91.52 1016.5     95.12     1.50     1.58
TIXIE-BAY  240608 300  024500-025000   00      90.45 1016.4     93.95     0.25     0.33
TIXIE-BAY  240608 300  025000-025500   00      90.21 1016.3     93.63    -0.09    -0.01
TIXIE-BAY  240608 300  025500-030000   00      90.93 1016.3     94.43     0.76     0.85
TIXIE-BAY  240608 300  030000-030500   00      90.56 1016.4     94.05     0.36     0.45
TIXIE-BAY  240608 300  030500-031000   00      89.44 1016.4     92.91    -0.86    -0.77
TIXIE-BAY  240608 300  031000-031500   00      89.92 1016.3     93.33    -0.41    -0.31
TIXIE-BAY  240608 300  031500-032000   00      91.47 1016.2     94.91     1.27     1.37
TIXIE-BAY  240608 300  032000-032500   00      89.81 1016.1     93.15    -0.61    -0.50
TIXIE-BAY  240608 300  032500-033000   00      90.08 1016.1     93.33    -0.41    -0.30
TIXIE-BAY  240608 300  033000-033500   00      91.87 1016.1     95.20     1.58     1.69
TIXIE-BAY  240608 300  033500-034000   00      90.96 1016.1     94.29     0.62     0.73
