APATITY LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY STANDARD PRESSURE    1010    MB     COEFFICIENT   -0.73     % / MB
APATITY PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
APATITY PRE-INCREASE AVERAGE COUNTING RATE    155.51      COUNTS PER SECOND
APATITY TIME INTERVALS    300         3600     
APATITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY 241120 3600 000000-010000   00     168.63  988.6    155.29    -0.14    -9999
APATITY 241120 3600 010000-020000   00     166.96  989.1    154.41    -0.71    -9999
APATITY 241120 3600 020000-030000   00     166.76  989.9    155.10    -0.26    -9999
APATITY 241120 3600 030000-040000   00     166.12  990.3    154.93    -0.37    -9999
APATITY 241120 3600 040000-050000   00     166.01  990.6    155.16    -0.23    -9999
APATITY 241120 3600 050000-060000   00     165.62  991.0    155.27    -0.16    -9999
APATITY 241120 3600 060000-070000   00     165.72  991.5    155.92     0.26    -9999
APATITY 241120 3600 070000-080000   00     164.64  992.0    155.46    -0.03    -9999
APATITY 241120 3600 080000-090000   00     164.60  992.7    156.16     0.42    -9999
APATITY 241120 3600 090000-100000   00     164.55  992.9    156.31     0.51    -9999
APATITY 241120 3600 100000-110000   00     164.03  993.0    155.97     0.29    -9999
APATITY 241120 3600 110000-120000   00     164.37  993.3    156.58     0.69    -9999
APATITY 241120 3600 120000-130000   00     164.65  993.5    157.08     1.01    -9999
APATITY 241120 3600 130000-140000   00     163.94  993.4    156.39     0.56    -9999
APATITY 241120 3600 140000-150000   00     163.99  993.6    156.65     0.73    -9999
APATITY 241120 3600 150000-160000   00     163.24  993.6    155.89     0.24    -9999
APATITY 241120 3600 160000-170000   00     164.06  993.5    156.59     0.70    -9999
APATITY 241120 3600 170000-180000   00     163.33  993.8    156.20     0.44    -9999
APATITY 241120 3600 180000-190000   00     163.29  994.1    156.55     0.67    -9999
APATITY 241120 3600 190000-200000   00     162.81  993.9    155.76     0.16    -9999
APATITY 241120 3600 200000-210000   00     162.59  993.9    155.63     0.08    -9999
APATITY 241120 3600 210000-220000   00     162.83  993.7    155.60     0.06    -9999
APATITY 241120 3600 220000-230000   00     163.81  993.1    155.90     0.25    -9999
APATITY 241120 3600 230000-240000   00     163.04  992.8    154.84    -0.44    -9999
APATITY 241121 3600 000000-010000   00     164.77  992.1    155.60     0.06    -9999
APATITY 241121 3600 010000-020000   00     165.15  991.4    155.26    -0.16    -9999
APATITY 241121 3600 020000-030000   00     165.88  990.9    155.34    -0.11    -9999
APATITY 241121 3600 030000-040000   00     165.94  990.5    154.99    -0.34    -9999
APATITY 241121 3600 040000-050000   00     167.45  989.6    155.35    -0.11    -9999
APATITY 241121 3600 050000-060000   00     168.70  989.2    156.09     0.37    -9999
APATITY 241121 3600 060000-070000   00     168.87  988.5    155.43    -0.05    -9999
APATITY 241121 3600 070000-080000   00     170.04  988.0    156.02     0.32    -9999
APATITY 241121 3600 080000-090000   00     171.40  987.3    156.45     0.60    -9999
APATITY 241121 3600 090000-100000   00     172.34  986.2    156.04     0.34    -9999
APATITY 241121 3600 100000-110000   00     175.04  984.6    156.62     0.71    -9999
APATITY 241121 3600 110000-120000   00     177.15  982.8    156.48     0.62    -9999
APATITY 241121 3600 120000-130000   00     179.60  981.2    156.82     0.84    -9999
APATITY 241121 3600 130000-140000   00     182.22  979.1    156.82     0.84    -9999
APATITY 241121 3600 140000-150000   00     184.65  976.6    156.06     0.35    -9999
APATITY 241121 3600 150000-160000   00     187.98  974.3    156.27     0.49    -9999
APATITY 241121 300  160000-160500   00     186.95  973.8    154.81    -0.45    -0.52
APATITY 241121 300  160500-161000   00     187.73  974.0    155.71     0.13     0.06
APATITY 241121 300  161000-161500   00     186.03  974.0    154.29    -0.78    -0.85
APATITY 241121 300  161500-162000   00     188.82  974.1    156.75     0.80     0.74
APATITY 241121 300  162000-162500   00     189.09  974.1    156.95     0.92     0.87
APATITY 241121 300  162500-163000   00     187.94  974.1    156.02     0.33     0.28
APATITY 241121 300  163000-163500   00     185.66  974.3    154.27    -0.80    -0.84
APATITY 241121 300  163500-164000   00     186.57  974.2    154.97    -0.35    -0.38
APATITY 241121 300  164000-164500   00     188.57  974.3    156.70     0.76     0.73
APATITY 241121 300  164500-165000   00     189.47  974.3    157.49     1.27     1.25
APATITY 241121 300  165000-165500   00     186.11  974.3    154.69    -0.53    -0.55
APATITY 241121 300  165500-170000   00     187.54  974.3    155.85     0.22     0.20
APATITY 241121 300  170000-170500   00     186.24  974.2    154.71    -0.51    -0.53
APATITY 241121 300  170500-171000   00     185.77  974.2    154.25    -0.81    -0.82
APATITY 241121 300  171000-171500   00     187.41  974.0    155.47    -0.03    -0.03
APATITY 241121 300  171500-172000   00     188.32  974.0    156.20     0.44     0.45
APATITY 241121 300  172000-172500   00     186.52  974.0    154.63    -0.57    -0.56
APATITY 241121 300  172500-173000   00     189.70  973.9    157.25     1.11     1.13
APATITY 241121 300  173000-173500   00     186.73  973.9    154.69    -0.53    -0.51
APATITY 241121 300  173500-174000   00     187.07  973.9    155.05    -0.30    -0.27
APATITY 241121 300  174000-174500   00     188.29  973.8    155.89     0.24     0.27
APATITY 241121 300  174500-175000   00     186.61  973.7    154.40    -0.72    -0.68
APATITY 241121 300  175000-175500   00     187.90  973.6    155.35    -0.10    -0.06
APATITY 241121 300  175500-180000   00     188.50  973.6    155.91     0.25     0.30
APATITY 241121 300  180000-180500   00     188.48  973.7    156.01     0.32     0.37
APATITY 241121 300  180500-181000   00     187.67  973.8    155.37    -0.09    -0.04
APATITY 241121 300  181000-181500   00     187.38  973.9    155.24    -0.17    -0.11
APATITY 241121 300  181500-182000   00     186.05  974.0    154.30    -0.78    -0.71
APATITY 241121 300  182000-182500   00     187.65  974.0    155.65     0.09     0.16
APATITY 241121 300  182500-183000   00     188.51  974.1    156.47     0.62     0.70
APATITY 241121 300  183000-183500   00     187.53  974.1    155.60     0.05     0.14
APATITY 241121 300  183500-184000   00     189.79  973.9    157.32     1.16     1.25
APATITY 241121 300  184000-184500   00     188.28  973.9    156.07     0.36     0.45
APATITY 241121 300  184500-185000   00     188.43  974.0    156.26     0.48     0.58
APATITY 241121 300  185000-185500   00     190.49  974.0    157.95     1.57     1.67
APATITY 241121 300  185500-190000   00     188.28  973.9    156.06     0.35     0.46
APATITY 241121 300  190000-190500   00     190.47  974.0    157.94     1.56     1.68
APATITY 241121 300  190500-191000   00     189.63  974.1    157.33     1.17     1.29
APATITY 241121 300  191000-191500   00     190.15  974.0    157.73     1.43     1.55
APATITY 241121 300  191500-192000   00     188.09  974.0    155.98     0.30     0.43
APATITY 241121 300  192000-192500   00     189.51  973.9    157.05     0.99     1.13
APATITY 241121 300  192500-193000   00     189.28  973.9    156.89     0.89     1.03
APATITY 241121 300  193000-193500   00     188.89  973.9    156.57     0.68     0.83
APATITY 241121 300  193500-194000   00     188.53  973.9    156.19     0.43     0.59
APATITY 241121 300  194000-194500   00     188.61  973.9    156.27     0.49     0.65
APATITY 241121 300  194500-195000   00     188.06  973.9    155.79     0.18     0.34
APATITY 241121 300  195000-195500   00     190.81  973.8    158.03     1.62     1.78
APATITY 241121 300  195500-200000   00     188.83  973.7    156.27     0.49     0.66
APATITY 241121 300  200000-200500   00     187.12  973.7    154.80    -0.46    -0.28
APATITY 241121 300  200500-201000   00     190.86  973.6    157.87     1.52     1.70
APATITY 241121 300  201000-201500   00     188.72  973.6    156.05     0.34     0.53
APATITY 241121 300  201500-202000   00     187.26  973.6    154.81    -0.45    -0.26
APATITY 241121 300  202000-202500   00     188.17  973.6    155.61     0.06     0.26
APATITY 241121 300  202500-203000   00     190.70  973.7    157.80     1.47     1.67
APATITY 241121 300  203000-203500   00     188.39  973.7    155.84     0.21     0.42
APATITY 241121 300  203500-204000   00     191.05  973.6    157.99     1.59     1.81
APATITY 241121 300  204000-204500   00     188.77  973.5    155.99     0.31     0.53
APATITY 241121 300  204500-205000   00     188.09  973.4    155.36    -0.10     0.13
APATITY 241121 300  205000-205500   00     188.62  973.4    155.74     0.14     0.37
APATITY 241121 300  205500-210000   00     188.89  973.3    155.90     0.25     0.49
APATITY 241121 300  210000-210500   00     188.72  973.2    155.60     0.06     0.30
APATITY 241121 300  210500-211000   00     189.29  973.1    155.95     0.28     0.53
APATITY 241121 300  211000-211500   00     187.15  973.0    154.10    -0.91    -0.66
APATITY 241121 300  211500-212000   00     190.97  972.9    157.14     1.05     1.30
APATITY 241121 300  212000-212500   00     188.39  972.9    154.95    -0.36    -0.10
APATITY 241121 300  212500-213000   00     189.54  972.8    155.81     0.19     0.46
APATITY 241121 300  213000-213500   00     188.39  972.6    154.69    -0.53    -0.26
APATITY 241121 300  213500-214000   00     188.19  972.5    154.40    -0.72    -0.44
APATITY 241121 300  214000-214500   00     190.99  972.4    156.57     0.68     0.96
APATITY 241121 300  214500-215000   00     189.29  972.3    155.05    -0.30    -0.01
APATITY 241121 300  215000-215500   00     191.16  972.2    156.51     0.64     0.94
APATITY 241121 300  215500-220000   00     192.55  972.2    157.60     1.34     1.64
APATITY 241121 300  220000-220500   00     189.30  972.1    154.82    -0.45    -0.14
APATITY 241121 300  220500-221000   00     191.07  972.0    156.23     0.46     0.77
APATITY 241121 300  221000-221500   00     190.84  971.9    155.87     0.23     0.55
APATITY 241121 300  221500-222000   00     189.94  971.8    155.03    -0.31     0.01
APATITY 241121 300  222000-222500   00     190.11  971.7    155.09    -0.27     0.05
APATITY 241121 300  222500-223000   00     189.78  971.6    154.71    -0.51    -0.18
APATITY 241121 300  223000-223500   00     190.53  971.6    155.27    -0.16     0.18
APATITY 241121 300  223500-224000   00     187.39  971.5    152.66    -1.83    -1.49
APATITY 241121 300  224000-224500   00     189.70  971.5    154.50    -0.65    -0.31
APATITY 241121 300  224500-225000   00     192.66  971.4    156.83     0.85     1.20
APATITY 241121 300  225000-225500   00     190.63  971.4    155.13    -0.25     0.11
APATITY 241121 300  225500-230000   00     191.10  971.3    155.38    -0.08     0.28
APATITY 241121 300  230000-230500   00     189.88  971.2    154.29    -0.78    -0.42
APATITY 241121 300  230500-231000   00     191.91  971.1    155.87     0.23     0.60
APATITY 241121 300  231000-231500   00     189.69  971.0    153.95    -1.01    -0.63
APATITY 241121 300  231500-232000   00     191.66  970.9    155.47    -0.03     0.35
APATITY 241121 300  232000-232500   00     190.21  970.9    154.25    -0.81    -0.42
APATITY 241121 300  232500-233000   00     191.56  970.8    155.22    -0.19     0.21
APATITY 241121 300  233000-233500   00     191.87  970.6    155.29    -0.14     0.26
APATITY 241121 300  233500-234000   00     192.22  970.5    155.44    -0.05     0.36
