DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.26      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       241120 3600 000000-010000   00       3.47  632.7      4.27     0.12    -9999
DOMB       241120 3600 010000-020000   00       3.42  632.7      4.21    -1.25    -9999
DOMB       241120 3600 020000-030000   00       3.47  632.8      4.26    -0.12    -9999
DOMB       241120 3600 030000-040000   00       3.43  632.9      4.23    -0.86    -9999
DOMB       241120 3600 040000-050000   00       3.42  632.9      4.22    -1.09    -9999
DOMB       241120 3600 050000-060000   00       3.38  632.9      4.19    -1.68    -9999
DOMB       241120 3600 060000-070000   00       3.42  633.0      4.24    -0.55    -9999
DOMB       241120 3600 070000-080000   00       3.47  633.1      4.31     0.94    -9999
DOMB       241120 3600 080000-090000   00       3.37  633.1      4.21    -1.29    -9999
DOMB       241120 3600 090000-100000   00       3.48  633.1      4.33     1.64    -9999
DOMB       241120 3600 100000-110000   00       3.40  633.2      4.25    -0.39    -9999
DOMB       241120 3600 110000-120000   00       3.48  633.3      4.33     1.56    -9999
DOMB       241120 3600 120000-130000   00       3.42  633.4      4.26    -0.20    -9999
DOMB       241120 3600 130000-140000   00       3.40  633.4      4.23    -0.86    -9999
DOMB       241120 3600 140000-150000   00       3.42  633.4      4.24    -0.66    -9999
DOMB       241120 3600 150000-160000   00       3.43  633.4      4.24    -0.55    -9999
DOMB       241120 3600 160000-170000   00       3.45  633.5      4.25    -0.43    -9999
DOMB       241120 3600 170000-180000   00       3.48  633.6      4.27     0.12    -9999
