DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    986.6   MB     COEFFICIENT   -0.739    % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE     99.72      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    241120 3600 000000-010000   00     108.02  974.5     98.80    -0.93    -9999
DOURBES    241120 3600 010000-020000   00     107.57  975.6     99.16    -0.56    -9999
DOURBES    241120 3600 020000-030000   00     106.26  976.4     98.59    -1.13    -9999
DOURBES    241120 3600 030000-040000   00     106.23  977.3     99.22    -0.50    -9999
DOURBES    241120 3600 040000-050000   00     105.17  978.4     99.02    -0.70    -9999
DOURBES    241120 3600 050000-060000   00     105.78  978.8     99.84     0.12    -9999
DOURBES    241120 3600 060000-070000   00     104.58  979.2     99.06    -0.66    -9999
DOURBES    241120 3600 070000-080000   00     104.84  980.0     99.86     0.15    -9999
DOURBES    241120 3600 080000-090000   00     104.85  980.5    100.25     0.53    -9999
DOURBES    241120 3600 090000-100000   00     104.56  980.7    100.12     0.41    -9999
DOURBES    241120 3600 100000-110000   00     104.46  981.0    100.22     0.50    -9999
DOURBES    241120 3600 110000-120000   00     105.59  980.6    101.04     1.32    -9999
DOURBES    241120 3600 120000-130000   00     104.78  980.6    100.23     0.51    -9999
DOURBES    241120 3600 130000-140000   00     104.80  980.6    100.28     0.56    -9999
DOURBES    241120 3600 140000-150000   00     103.37  980.8     99.04    -0.68    -9999
DOURBES    241120 3600 150000-160000   00     104.85  980.4    100.18     0.47    -9999
DOURBES    241120 3600 160000-170000   00     104.56  980.4     99.87     0.15    -9999
DOURBES    241120 3600 170000-180000   00     104.61  980.5     99.99     0.27    -9999
DOURBES    241120 3600 180000-190000   00     104.60  980.5     99.99     0.27    -9999
DOURBES    241120 3600 190000-200000   00     104.63  980.3     99.90     0.18    -9999
DOURBES    241120 3600 200000-210000   00     104.14  980.2     99.38    -0.34    -9999
DOURBES    241120 3600 210000-220000   00     103.52  980.4     98.94    -0.78    -9999
DOURBES    241120 3600 220000-230000   00     103.26  981.0     99.12    -0.60    -9999
DOURBES    241120 3600 230000-240000   00     102.88  981.5     99.11    -0.62    -9999
