INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    169.80      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
INUVIK     241120 3600 000000-010000   00     148.15 1033.5    172.75     1.74    -9999
INUVIK     241120 3600 010000-020000   00     149.03 1033.0    173.15     1.97    -9999
INUVIK     241120 3600 020000-030000   00     149.86 1032.1    172.98     1.87    -9999
INUVIK     241120 3600 030000-040000   00     150.39 1031.5    172.81     1.78    -9999
INUVIK     241120 3600 040000-050000   00     151.16 1030.9    172.86     1.80    -9999
INUVIK     241120 3600 050000-060000   00     151.13 1030.2    171.98     1.29    -9999
INUVIK     241120 3600 060000-070000   00     152.89 1029.2    172.72     1.72    -9999
INUVIK     241120 3600 070000-080000   00     153.18 1028.5    172.03     1.31    -9999
INUVIK     241120 3600 080000-090000   00     153.41 1028.1    171.89     1.23    -9999
INUVIK     241120 3600 090000-100000   00     153.54 1027.8    171.56     1.04    -9999
INUVIK     241120 3600 100000-110000   00     154.71 1027.1    172.02     1.31    -9999
INUVIK     241120 3600 110000-120000   00     155.30 1025.9    171.17     0.81    -9999
INUVIK     241120 3600 120000-130000   00     156.66 1024.9    171.26     0.86    -9999
INUVIK     241120 3600 130000-140000   00     157.49 1024.3    171.40     0.94    -9999
INUVIK     241120 3600 140000-150000   00     159.01 1023.3    171.84     1.20    -9999
INUVIK     241120 3600 150000-160000   00     160.02 1022.2    171.51     1.01    -9999
INUVIK     241120 3600 160000-170000   00     160.82 1021.4    171.30     0.88    -9999
INUVIK     241120 3600 170000-180000   00     163.07 1020.3    172.31     1.48    -9999
INUVIK     241120 3600 180000-190000   00     163.60 1019.7    172.14     1.38    -9999
INUVIK     241120 3600 190000-200000   00     164.44 1019.0    171.99     1.29    -9999
INUVIK     241120 3600 200000-210000   00     165.78 1018.1    172.32     1.49    -9999
INUVIK     241120 3600 210000-220000   00     167.16 1017.3    172.63     1.67    -9999
INUVIK     241120 3600 220000-230000   00     168.22 1016.7    173.03     1.90    -9999
INUVIK     241120 3600 230000-240000   00     167.84 1016.2    171.99     1.29    -9999
INUVIK     241121 3600 000000-010000   00     168.91 1015.7    172.42     1.54    -9999
INUVIK     241121 3600 010000-020000   00     168.92 1015.0    171.56     1.04    -9999
INUVIK     241121 3600 020000-030000   00     169.48 1014.3    171.15     0.79    -9999
INUVIK     241121 3600 030000-040000   00     169.58 1014.1    171.00     0.71    -9999
INUVIK     241121 3600 040000-050000   00     170.01 1013.5    170.72     0.54    -9999
INUVIK     241121 3600 050000-060000   00     169.66 1014.0    171.01     0.72    -9999
INUVIK     241121 3600 060000-070000   00     167.96 1014.9    170.41     0.36    -9999
INUVIK     241121 3600 070000-080000   00     167.13 1015.8    170.78     0.58    -9999
INUVIK     241121 3600 080000-090000   00     166.25 1016.4    170.64     0.49    -9999
INUVIK     241121 3600 090000-100000   00     164.73 1017.4    170.29     0.29    -9999
INUVIK     241121 3600 100000-110000   00     163.63 1018.6    170.66     0.51    -9999
INUVIK     241121 3600 110000-120000   00     162.07 1019.7    170.44     0.37    -9999
INUVIK     241121 3600 120000-130000   00     160.29 1020.8    169.91     0.07    -9999
INUVIK     241121 3600 130000-140000   00     159.81 1021.7    170.67     0.51    -9999
INUVIK     241121 3600 140000-150000   00     157.79 1022.7    169.76    -0.02    -9999
INUVIK     241121 3600 150000-160000   00     156.87 1023.5    169.74    -0.04    -9999
INUVIK     241121 300  160000-160500   00     156.16 1024.0    169.57    -0.13    -0.12
INUVIK     241121 300  160500-161000   00     156.61 1024.1    170.20     0.24     0.25
INUVIK     241121 300  161000-161500   00     155.62 1024.2    169.26    -0.31    -0.31
INUVIK     241121 300  161500-162000   00     155.02 1024.3    168.70    -0.64    -0.64
INUVIK     241121 300  162000-162500   00     155.26 1024.4    169.14    -0.39    -0.39
INUVIK     241121 300  162500-163000   00     152.67 1024.5    166.50    -1.94    -1.95
INUVIK     241121 300  163000-163500   00     155.94 1024.6    170.19     0.23     0.22
INUVIK     241121 300  163500-164000   00     157.23 1024.7    171.71     1.13     1.11
INUVIK     241121 300  164000-164500   00     157.27 1024.8    171.89     1.23     1.21
INUVIK     241121 300  164500-165000   00     156.44 1025.0    171.15     0.80     0.78
INUVIK     241121 300  165000-165500   00     156.69 1025.1    171.54     1.03     1.00
INUVIK     241121 300  165500-170000   00     153.70 1025.1    168.35    -0.86    -0.88
INUVIK     241121 300  170000-170500   00     153.23 1025.2    167.91    -1.11    -1.14
INUVIK     241121 300  170500-171000   00     155.75 1025.2    170.70     0.53     0.49
INUVIK     241121 300  171000-171500   00     154.75 1025.3    169.76    -0.02    -0.07
INUVIK     241121 300  171500-172000   00     154.76 1025.4    169.85     0.03    -0.02
INUVIK     241121 300  172000-172500   00     154.64 1025.4    169.78    -0.01    -0.07
INUVIK     241121 300  172500-173000   00     154.48 1025.5    169.70    -0.06    -0.12
INUVIK     241121 300  173000-173500   00     155.11 1025.5    170.44     0.38     0.31
INUVIK     241121 300  173500-174000   00     153.37 1025.6    168.57    -0.72    -0.79
INUVIK     241121 300  174000-174500   00     153.37 1025.6    168.64    -0.68    -0.76
INUVIK     241121 300  174500-175000   00     154.63 1025.7    170.05     0.15     0.07
INUVIK     241121 300  175000-175500   00     154.67 1025.6    170.09     0.17     0.08
INUVIK     241121 300  175500-180000   00     155.92 1025.7    171.48     0.99     0.90
INUVIK     241121 300  180000-180500   00     154.02 1025.7    169.38    -0.25    -0.35
