JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    331.84      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  241120 3600 000000-010000   00     325.20  646.6    333.54     0.51    -9999
JUNGFRAU1  241120 3600 010000-020000   00     324.61  646.8    333.47     0.49    -9999
JUNGFRAU1  241120 3600 020000-030000   00     323.42  647.3    333.54     0.51    -9999
JUNGFRAU1  241120 3600 030000-040000   00     323.39  647.3    333.39     0.47    -9999
JUNGFRAU1  241120 3600 040000-050000   00     324.91  646.4    332.80     0.29    -9999
JUNGFRAU1  241120 3600 050000-060000   00     326.65  646.3    334.27     0.73    -9999
JUNGFRAU1  241120 3600 060000-070000   00     327.35  646.5    335.55     1.12    -9999
JUNGFRAU1  241120 3600 070000-080000   00     330.15  646.4    338.30     1.95    -9999
JUNGFRAU1  241120 3600 080000-090000   00     330.14  646.4    338.19     1.91    -9999
JUNGFRAU1  241120 3600 090000-100000   00     329.02  646.6    337.45     1.69    -9999
JUNGFRAU1  241120 3600 100000-110000   00     328.65  646.6    337.10     1.58    -9999
JUNGFRAU1  241120 3600 110000-120000   00     330.24  646.7    338.97     2.15    -9999
JUNGFRAU1  241120 3600 120000-130000   00     331.75  646.5    340.07     2.48    -9999
JUNGFRAU1  241120 3600 130000-140000   00     330.22  646.3    338.00     1.86    -9999
JUNGFRAU1  241120 3600 140000-150000   00     329.10  646.0    336.22     1.32    -9999
JUNGFRAU1  241120 3600 150000-160000   00     329.94  646.3    337.77     1.79    -9999
JUNGFRAU1  241120 3600 160000-170000   00     330.83  646.5    339.10     2.19    -9999
JUNGFRAU1  241120 3600 170000-180000   00     329.45  646.6    338.03     1.87    -9999
JUNGFRAU1  241120 3600 180000-190000   00     327.82  646.5    336.10     1.28    -9999
JUNGFRAU1  241120 3600 190000-200000   00     328.99  646.2    336.61     1.44    -9999
JUNGFRAU1  241120 3600 200000-210000   00     326.73  646.2    334.14     0.69    -9999
JUNGFRAU1  241120 3600 210000-220000   00     325.40  646.4    333.28     0.44    -9999
JUNGFRAU1  241120 3600 220000-230000   00     325.84  646.5    334.14     0.69    -9999
JUNGFRAU1  241120 3600 230000-240000   00     325.29  646.7    334.01     0.66    -9999
JUNGFRAU1  241121 3600 000000-010000   00     323.90  646.8    332.76     0.28    -9999
JUNGFRAU1  241121 3600 010000-020000   00     324.73  646.8    333.70     0.56    -9999
JUNGFRAU1  241121 3600 020000-030000   00     326.37  646.6    334.77     0.88    -9999
JUNGFRAU1  241121 3600 030000-040000   00     325.94  646.9    335.15     1.00    -9999
JUNGFRAU1  241121 3600 040000-050000   00     326.64  646.5    334.88     0.92    -9999
JUNGFRAU1  241121 3600 050000-060000   00     329.12  646.6    337.53     1.72    -9999
JUNGFRAU1  241121 3600 060000-070000   00     329.51  646.3    337.20     1.62    -9999
JUNGFRAU1  241121 3600 070000-080000   00     329.46  646.9    338.65     2.05    -9999
JUNGFRAU1  241121 3600 080000-090000   00     330.71  646.7    339.59     2.34    -9999
JUNGFRAU1  241121 3600 090000-100000   00     333.29  646.6    341.81     3.01    -9999
JUNGFRAU1  241121 3600 100000-110000   00     335.85  644.9    340.43     2.59    -9999
JUNGFRAU1  241121 3600 110000-120000   00     339.52  642.9    339.08     2.18    -9999
JUNGFRAU1  241121 3600 120000-130000   00     342.08  639.7    333.90     0.62    -9999
JUNGFRAU1  241121 3600 130000-140000   00     342.49  638.0    330.22    -0.49    -9999
JUNGFRAU1  241121 3600 140000-150000   00     344.13  638.3    332.62     0.24    -9999
JUNGFRAU1  241121 3600 150000-160000   00     345.16  637.1    330.85    -0.30    -9999
JUNGFRAU1  241121 300  160000-160500   00     342.31  639.1    332.80     0.29     1.49
