KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    999.75  MB     COEFFICIENT   -0.76     % / MB
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    199.27      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KERGUELEN  241120 3600 000000-010000   00     225.61  983.4    199.03    -0.12    -9999
KERGUELEN  241120 3600 010000-020000   00     223.58  984.7    199.23    -0.02    -9999
KERGUELEN  241120 3600 020000-030000   00     219.51  986.9    198.87    -0.20    -9999
KERGUELEN  241120 3600 030000-040000   00     216.83  988.8    199.26     0.00    -9999
KERGUELEN  241120 3600 040000-050000   00     215.48  989.6    199.30     0.01    -9999
KERGUELEN  241120 3600 050000-060000   00     214.82  990.2    199.56     0.14    -9999
KERGUELEN  241120 3600 060000-070000   00     215.19  990.2    199.99     0.36    -9999
KERGUELEN  241120 3600 070000-080000   00     215.80  990.5    200.92     0.83    -9999
KERGUELEN  241120 3600 080000-090000   00     216.53  990.8    202.11     1.43    -9999
KERGUELEN  241120 3600 090000-100000   00     215.73  991.0    201.71     1.23    -9999
KERGUELEN  241120 3600 100000-110000   00     216.39  990.6    201.57     1.15    -9999
KERGUELEN  241120 3600 110000-120000   00     218.63  989.6    202.26     1.50    -9999
KERGUELEN  241120 3600 120000-130000   00     218.90  988.7    201.06     0.90    -9999
KERGUELEN  241120 3600 130000-140000   00     219.47  988.2    200.81     0.77    -9999
KERGUELEN  241120 3600 140000-150000   00     218.37  988.6    200.40     0.56    -9999
KERGUELEN  241120 3600 150000-160000   00     216.83  989.5    200.43     0.58    -9999
KERGUELEN  241120 3600 160000-170000   00     216.22  989.9    200.44     0.59    -9999
KERGUELEN  241120 3600 170000-180000   00     215.20  990.1    199.85     0.29    -9999
KERGUELEN  241120 3600 180000-190000   00     215.33  990.4    200.40     0.57    -9999
KERGUELEN  241120 3600 190000-200000   00     214.34  990.9    200.17     0.45    -9999
KERGUELEN  241120 3600 200000-210000   00     214.22  991.2    200.50     0.62    -9999
KERGUELEN  241120 3600 210000-220000   00     212.59  991.5    199.39     0.06    -9999
KERGUELEN  241120 3600 220000-230000   00     211.39  992.4    199.73     0.23    -9999
KERGUELEN  241120 3600 230000-240000   00     210.03  993.1    199.46     0.09    -9999
KERGUELEN  241121 3600 000000-010000   00     210.47  993.5    200.54     0.64    -9999
KERGUELEN  241121 3600 010000-020000   00     209.02  994.0    199.89     0.31    -9999
KERGUELEN  241121 3600 020000-030000   00     209.92  994.0    200.68     0.71    -9999
KERGUELEN  241121 3600 030000-040000   00     211.31  993.8    201.70     1.22    -9999
KERGUELEN  241121 3600 040000-050000   00     210.01  993.6    200.18     0.45    -9999
KERGUELEN  241121 3600 050000-060000   00     210.67  993.7    200.98     0.86    -9999
KERGUELEN  241121 3600 060000-070000   00     212.03  993.1    201.29     1.01    -9999
KERGUELEN  241121 3600 070000-080000   00     212.90  992.6    201.41     1.07    -9999
KERGUELEN  241121 3600 080000-090000   00     215.18  992.0    202.59     1.67    -9999
KERGUELEN  241121 3600 090000-100000   00     216.22  991.3    202.52     1.63    -9999
KERGUELEN  241121 3600 100000-110000   00     216.01  990.8    201.59     1.17    -9999
KERGUELEN  241121 3600 110000-120000   00     217.40  990.3    202.12     1.43    -9999
KERGUELEN  241121 3600 120000-130000   00     217.68  989.9    201.71     1.22    -9999
KERGUELEN  241121 3600 130000-140000   00     218.73  989.1    201.57     1.15    -9999
KERGUELEN  241121 3600 140000-150000   00     221.32  987.9    202.07     1.40    -9999
KERGUELEN  241121 3600 150000-160000   00     222.22  986.7    201.09     0.91    -9999
KERGUELEN  241121 300  160000-160500   00     221.47  985.9    199.18    -0.05    -0.09
KERGUELEN  241121 300  160500-161000   00     222.00  986.0    199.74     0.24     0.20
KERGUELEN  241121 300  161000-161500   00     223.33  985.7    200.54     0.64     0.60
KERGUELEN  241121 300  161500-162000   00     226.40  985.9    203.54     2.14     2.11
KERGUELEN  241121 300  162000-162500   00     221.60  985.8    199.06    -0.11    -0.13
KERGUELEN  241121 300  162500-163000   00     220.13  985.7    197.62    -0.83    -0.85
KERGUELEN  241121 300  163000-163500   00     221.87  985.7    199.26    -0.01    -0.03
KERGUELEN  241121 300  163500-164000   00     223.20  985.6    200.30     0.51     0.50
KERGUELEN  241121 300  164000-164500   00     221.87  985.6    199.06    -0.11    -0.12
KERGUELEN  241121 300  164500-165000   00     220.40  985.6    197.74    -0.77    -0.77
KERGUELEN  241121 300  165000-165500   00     223.60  985.5    200.53     0.63     0.63
KERGUELEN  241121 300  165500-170000   00     222.53  985.5    199.58     0.15     0.15
KERGUELEN  241121 300  170000-170500   00     223.07  985.6    200.14     0.43     0.44
KERGUELEN  241121 300  170500-171000   00     223.07  985.5    200.01     0.37     0.38
KERGUELEN  241121 300  171000-171500   00     223.87  985.4    200.61     0.67     0.68
KERGUELEN  241121 300  171500-172000   00     223.07  985.3    199.73     0.23     0.25
KERGUELEN  241121 300  172000-172500   00     220.67  985.3    197.54    -0.87    -0.85
KERGUELEN  241121 300  172500-173000   00     221.60  985.3    198.34    -0.47    -0.44
KERGUELEN  241121 300  173000-173500   00     222.93  985.3    199.53     0.13     0.16
KERGUELEN  241121 300  173500-174000   00     220.93  985.2    197.70    -0.79    -0.76
KERGUELEN  241121 300  174000-174500   00     220.40  985.2    197.22    -1.03    -0.99
KERGUELEN  241121 300  174500-175000   00     220.67  985.2    197.46    -0.91    -0.87
KERGUELEN  241121 300  175000-175500   00     222.80  985.3    199.45     0.09     0.14
KERGUELEN  241121 300  175500-180000   00     221.60  985.5    198.62    -0.33    -0.28
KERGUELEN  241121 300  180000-180500   00     220.80  985.5    197.94    -0.67    -0.61
KERGUELEN  241121 300  180500-181000   00     218.53  985.5    195.95    -1.67    -1.61
KERGUELEN  241121 300  181000-181500   00     221.20  985.5    198.34    -0.47    -0.41
KERGUELEN  241121 300  181500-182000   00     222.53  985.5    199.54     0.13     0.20
KERGUELEN  241121 300  182000-182500   00     221.87  985.7    199.26     0.00     0.06
KERGUELEN  241121 300  182500-183000   00     222.27  985.7    199.62     0.17     0.25
KERGUELEN  241121 300  183000-183500   00     223.20  985.6    200.34     0.53     0.61
KERGUELEN  241121 300  183500-184000   00     223.33  985.7    200.50     0.62     0.70
KERGUELEN  241121 300  184000-184500   00     225.87  985.7    202.85     1.80     1.88
KERGUELEN  241121 300  184500-185000   00     222.27  985.6    199.50     0.11     0.20
KERGUELEN  241121 300  185000-185500   00     224.13  985.8    201.46     1.10     1.19
KERGUELEN  241121 300  185500-190000   00     228.00  985.7    204.77     2.76     2.85
KERGUELEN  241121 300  190000-190500   00     228.40  985.7    205.13     2.94     3.04
KERGUELEN  241121 300  190500-191000   00     224.40  985.8    201.70     1.22     1.32
KERGUELEN  241121 300  191000-191500   00     225.87  985.9    203.10     1.92     2.03
KERGUELEN  241121 300  191500-192000   00     223.20  985.9    200.70     0.72     0.83
KERGUELEN  241121 300  192000-192500   00     222.80  986.0    200.46     0.60     0.71
KERGUELEN  241121 300  192500-193000   00     224.00  986.2    201.83     1.28     1.40
KERGUELEN  241121 300  193000-193500   00     222.00  986.1    199.94     0.34     0.46
KERGUELEN  241121 300  193500-194000   00     224.67  986.2    202.43     1.58     1.71
KERGUELEN  241121 300  194000-194500   00     224.27  986.1    201.99     1.36     1.50
KERGUELEN  241121 300  194500-195000   00     225.33  986.1    202.91     1.82     1.96
KERGUELEN  241121 300  195000-195500   00     223.47  986.0    201.18     0.96     1.10
KERGUELEN  241121 300  195500-200000   00     220.93  986.1    198.98    -0.14     0.00
KERGUELEN  241121 300  200000-200500   00     223.60  986.2    201.55     1.14     1.29
KERGUELEN  241121 300  200500-201000   00     219.73  986.3    198.22    -0.53    -0.37
KERGUELEN  241121 300  201000-201500   00     220.67  986.4    199.27     0.00     0.15
KERGUELEN  241121 300  201500-202000   00     221.47  986.5    200.07     0.40     0.56
KERGUELEN  241121 300  202000-202500   00     218.93  986.6    197.90    -0.69    -0.52
KERGUELEN  241121 300  202500-203000   00     219.60  986.7    198.62    -0.33    -0.16
KERGUELEN  241121 300  203000-203500   00     219.20  986.8    198.42    -0.43    -0.25
KERGUELEN  241121 300  203500-204000   00     218.53  986.8    197.82    -0.73    -0.55
KERGUELEN  241121 300  204000-204500   00     220.13  986.7    199.19    -0.04     0.14
KERGUELEN  241121 300  204500-205000   00     220.80  986.7    199.75     0.24     0.43
KERGUELEN  241121 300  205000-205500   00     221.07  986.7    199.95     0.34     0.53
KERGUELEN  241121 300  205500-210000   00     219.60  986.7    198.62    -0.33    -0.13
KERGUELEN  241121 300  210000-210500   00     221.73  986.7    200.63     0.68     0.88
KERGUELEN  241121 300  210500-211000   00     220.40  986.8    199.59     0.16     0.36
KERGUELEN  241121 300  211000-211500   00     219.47  986.9    198.91    -0.18     0.02
KERGUELEN  241121 300  211500-212000   00     217.33  987.0    197.13    -1.07    -0.86
KERGUELEN  241121 300  212000-212500   00     219.07  987.2    198.94    -0.16     0.05
KERGUELEN  241121 300  212500-213000   00     218.67  987.3    198.74    -0.27    -0.05
KERGUELEN  241121 300  213000-213500   00     218.13  987.5    198.62    -0.33    -0.11
KERGUELEN  241121 300  213500-214000   00     218.13  987.6    198.66    -0.31    -0.08
KERGUELEN  241121 300  214000-214500   00     216.40  987.5    196.96    -1.16    -0.93
KERGUELEN  241121 300  214500-215000   00     216.93  987.6    197.56    -0.86    -0.62
KERGUELEN  241121 300  215000-215500   00     217.33  987.5    197.81    -0.73    -0.50
KERGUELEN  241121 300  215500-220000   00     218.27  987.6    198.86    -0.21     0.04
KERGUELEN  241121 300  220000-220500   00     218.13  987.7    198.82    -0.23     0.02
KERGUELEN  241121 300  220500-221000   00     217.73  987.8    198.65    -0.31    -0.06
KERGUELEN  241121 300  221000-221500   00     218.93  987.8    199.75     0.24     0.49
KERGUELEN  241121 300  221500-222000   00     219.87  987.9    200.72     0.73     0.99
KERGUELEN  241121 300  222000-222500   00     218.53  987.9    199.46     0.10     0.36
KERGUELEN  241121 300  222500-223000   00     218.27  988.0    199.42     0.08     0.34
KERGUELEN  241121 300  223000-223500   00     216.53  988.2    198.08    -0.60    -0.33
KERGUELEN  241121 300  223500-224000   00     215.47  988.2    197.14    -1.07    -0.79
KERGUELEN  241121 300  224000-224500   00     217.47  988.2    199.01    -0.13     0.15
KERGUELEN  241121 300  224500-225000   00     216.00  988.3    197.75    -0.76    -0.48
KERGUELEN  241121 300  225000-225500   00     219.47  988.3    201.05     0.89     1.18
KERGUELEN  241121 300  225500-230000   00     215.87  988.4    197.83    -0.73    -0.43
KERGUELEN  241121 300  230000-230500   00     216.93  988.4    198.76    -0.26     0.04
KERGUELEN  241121 300  230500-231000   00     215.33  988.6    197.66    -0.81    -0.51
KERGUELEN  241121 300  231000-231500   00     215.87  988.6    198.19    -0.54    -0.24
KERGUELEN  241121 300  231500-232000   00     216.00  988.8    198.51    -0.38    -0.08
KERGUELEN  241121 300  232000-232500   00     213.73  988.8    196.43    -1.43    -1.12
KERGUELEN  241121 300  232500-233000   00     214.67  988.7    197.25    -1.02    -0.70
KERGUELEN  241121 300  233000-233500   00     216.00  988.8    198.55    -0.36    -0.04
KERGUELEN  241121 300  233500-234000   00     215.60  988.8    198.14    -0.57    -0.24
KERGUELEN  241121 300  234000-234500   00     215.60  988.8    198.26    -0.51    -0.18
KERGUELEN  241121 300  234500-235000   00     215.07  989.1    198.09    -0.59    -0.26
KERGUELEN  241121 300  235000-235500   00     216.67  988.9    199.28     0.01     0.34
KERGUELEN  241121 300  235500-240000   00     217.07  989.0    199.81     0.27     0.61
KERGUELEN  241122 300  000000-000500   00     215.20  989.1    198.22    -0.53    -0.19
KERGUELEN  241122 300  000500-001000   00     214.00  989.2    197.39    -0.94    -0.60
KERGUELEN  241122 300  001000-001500   00     215.47  989.4    198.98    -0.15     0.21
KERGUELEN  241122 300  001500-002000   00     215.60  989.4    199.06    -0.10     0.25
KERGUELEN  241122 300  002000-002500   00     216.80  989.3    200.01     0.37     0.73
KERGUELEN  241122 300  002500-003000   00     215.60  989.2    198.78    -0.24     0.12
KERGUELEN  241122 300  003000-003500   00     214.53  989.2    197.84    -0.72    -0.35
KERGUELEN  241122 300  003500-004000   00     216.67  989.2    199.81     0.27     0.64
KERGUELEN  241122 300  004000-004500   00     214.13  989.4    197.67    -0.80    -0.43
KERGUELEN  241122 300  004500-005000   00     218.00  989.4    201.28     1.01     1.39
KERGUELEN  241122 300  005000-005500   00     214.13  989.4    197.71    -0.78    -0.40
KERGUELEN  241122 300  005500-010000   00     213.73  989.3    197.26    -1.01    -0.62
KERGUELEN  241122 300  010000-010500   00     216.40  989.4    199.88     0.31     0.70
KERGUELEN  241122 300  010500-011000   00     216.13  989.4    199.56     0.14     0.54
KERGUELEN  241122 300  011000-011500   00     217.73  989.5    201.20     0.97     1.37
KERGUELEN  241122 300  011500-012000   00     216.00  989.5    199.64     0.18     0.59
KERGUELEN  241122 300  012000-012500   00     214.53  989.6    198.48    -0.40     0.01
KERGUELEN  241122 300  012500-013000   00     214.80  989.8    198.93    -0.17     0.24
KERGUELEN  241122 300  013000-013500   00     213.07  989.8    197.40    -0.94    -0.52
