KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1006.7  MB     COEFFICIENT   -0.721    % / MB
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    161.10      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KIEL       241120 3600 000000-010000   00     186.08  983.6    157.50    -2.23    -9999
KIEL       241120 3600 010000-020000   00     185.51  983.9    157.43    -2.27    -9999
KIEL       241120 3600 020000-030000   00     185.45  984.2    157.71    -2.10    -9999
KIEL       241120 3600 030000-040000   00     185.22  984.7    158.04    -1.90    -9999
KIEL       241120 3600 040000-050000   00     185.94  985.2    159.23    -1.16    -9999
KIEL       241120 3600 050000-060000   00     184.14  985.7    158.22    -1.78    -9999
KIEL       241120 3600 060000-070000   00     183.78  986.1    158.37    -1.69    -9999
KIEL       241120 3600 070000-080000   00     182.93  986.7    158.32    -1.72    -9999
KIEL       241120 3600 080000-090000   00     185.10  986.7    160.22    -0.54    -9999
KIEL       241120 3600 090000-100000   00     184.33  986.9    159.79    -0.81    -9999
KIEL       241120 3600 100000-110000   00     183.99  987.0    159.60    -0.93    -9999
KIEL       241120 3600 110000-120000   00     184.66  986.9    160.06    -0.64    -9999
KIEL       241120 3600 120000-130000   00     184.73  986.8    160.03    -0.66    -9999
KIEL       241120 3600 130000-140000   00     185.54  986.8    160.73    -0.23    -9999
KIEL       241120 3600 140000-150000   00     182.74  986.9    158.45    -1.64    -9999
KIEL       241120 3600 150000-160000   00     183.97  987.0    159.65    -0.90    -9999
KIEL       241120 3600 160000-170000   00     182.65  987.4    158.91    -1.36    -9999
KIEL       241120 3600 170000-180000   00     182.32  987.9    159.21    -1.17    -9999
KIEL       241120 3600 180000-190000   00     181.18  988.3    158.72    -1.47    -9999
KIEL       241120 3600 190000-200000   00     181.26  988.9    159.44    -1.03    -9999
KIEL       241120 3600 200000-210000   00     180.11  989.5    159.15    -1.21    -9999
KIEL       241120 3600 210000-220000   00     178.85  989.9    158.48    -1.63    -9999
KIEL       241120 3600 220000-230000   00     178.73  989.9    158.33    -1.72    -9999
KIEL       241120 3600 230000-240000   00     178.01  990.2    158.10    -1.86    -9999
KIEL       241121 3600 000000-010000   00     179.28  990.0    158.98    -1.31    -9999
KIEL       241121 3600 010000-020000   00     178.94  989.7    158.33    -1.72    -9999
KIEL       241121 3600 020000-030000   00     179.65  989.5    158.66    -1.51    -9999
KIEL       241121 3600 030000-040000   00     179.75  989.1    158.35    -1.71    -9999
KIEL       241121 3600 040000-050000   00     180.13  988.7    158.21    -1.79    -9999
KIEL       241121 3600 050000-060000   00     181.53  987.8    158.36    -1.70    -9999
KIEL       241121 3600 060000-070000   00     182.53  987.3    158.71    -1.48    -9999
KIEL       241121 3600 070000-080000   00     184.95  986.9    160.31    -0.49    -9999
KIEL       241121 3600 080000-090000   00     185.68  986.3    160.26    -0.52    -9999
KIEL       241121 3600 090000-100000   00     186.78  985.6    160.39    -0.44    -9999
KIEL       241121 3600 100000-110000   00     188.51  985.1    161.28     0.11    -9999
KIEL       241121 3600 110000-120000   00     190.39  984.2    161.86     0.47    -9999
KIEL       241121 3600 120000-130000   00     191.47  983.2    161.65     0.34    -9999
KIEL       241121 3600 130000-140000   00     191.57  982.4    160.79    -0.19    -9999
KIEL       241121 3600 140000-150000   00     193.64  981.8    161.84     0.46    -9999
KIEL       241121 3600 150000-160000   00     193.82  981.4    161.53     0.27    -9999
KIEL       241121 300  160000-160500   00     191.37  981.3    159.36    -1.08    -9999
KIEL       241121 300  160500-161000   00     194.87  981.3    162.23     0.70     0.58
KIEL       241121 300  161000-161500   00     193.14  981.3    160.82    -0.17    -0.27
KIEL       241121 300  161500-162000   00     191.84  981.3    159.74    -0.84    -0.93
