LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    733.3   MB     COEFFICIENT   -0.72     % / MB
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    409.33      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
LOMNICKY   241120 3600 000000-010000   00     452.43  718.3    406.67    -0.65    -9999
LOMNICKY   241120 3600 010000-020000   00     456.24  716.8    405.51    -0.93    -9999
LOMNICKY   241120 3600 020000-030000   00     463.50  715.2    407.51    -0.45    -9999
LOMNICKY   241120 3600 030000-040000   00     467.55  714.1    407.59    -0.43    -9999
LOMNICKY   241120 3600 040000-050000   00     469.30  713.7    408.05    -0.31    -9999
LOMNICKY   241120 3600 050000-060000   00     470.46  713.6    408.77    -0.14    -9999
LOMNICKY   241120 3600 060000-070000   00     470.60  713.4    408.41    -0.23    -9999
LOMNICKY   241120 3600 070000-080000   00     472.10  713.4    409.67     0.08    -9999
LOMNICKY   241120 3600 080000-090000   00     472.92  714.3    412.92     0.88    -9999
LOMNICKY   241120 3600 090000-100000   00     474.26  713.7    412.39     0.75    -9999
LOMNICKY   241120 3600 100000-110000   00     478.04  713.1    413.85     1.10    -9999
LOMNICKY   241120 3600 110000-120000   00     478.40  713.2    414.53     1.27    -9999
LOMNICKY   241120 3600 120000-130000   00     476.80  713.4    413.64     1.05    -9999
LOMNICKY   241120 3600 130000-140000   00     473.47  713.6    411.38     0.50    -9999
LOMNICKY   241120 3600 140000-150000   00     471.44  713.2    408.56    -0.19    -9999
LOMNICKY   241120 3600 150000-160000   00     471.62  713.8    410.46     0.27    -9999
LOMNICKY   241120 3600 160000-170000   00     472.75  713.7    411.05     0.42    -9999
LOMNICKY   241120 3600 170000-180000   00     470.31  714.1    410.16     0.20    -9999
LOMNICKY   241120 3600 180000-190000   00     470.55  714.2    410.67     0.33    -9999
LOMNICKY   241120 3600 190000-200000   00     469.93  714.2    410.05     0.17    -9999
LOMNICKY   241120 3600 200000-210000   00     469.90  713.8    408.89    -0.11    -9999
