MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    138.08      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     241120 3600 000000-010000   00     151.92  987.2    138.53     0.33    -9999
MOSCOW     241120 3600 010000-020000   00     152.30  986.9    138.58     0.36    -9999
MOSCOW     241120 3600 020000-030000   00     153.33  986.3    138.95     0.63    -9999
MOSCOW     241120 3600 030000-040000   00     154.12  985.6    138.93     0.62    -9999
MOSCOW     241120 3600 040000-050000   00     154.32  984.9    138.38     0.22    -9999
MOSCOW     241120 3600 050000-060000   00     156.08  984.2    139.27     0.86    -9999
MOSCOW     241120 3600 060000-070000   00     157.25  982.8    138.95     0.63    -9999
MOSCOW     241120 3600 070000-080000   00     159.63  981.2    139.38     0.94    -9999
MOSCOW     241120 3600 080000-090000   00     160.75  980.6    139.83     1.27    -9999
MOSCOW     241120 3600 090000-100000   00     161.92  979.7    139.93     1.34    -9999
MOSCOW     241120 3600 100000-110000   00     162.72  979.2    140.10     1.46    -9999
MOSCOW     241120 3600 110000-120000   00     163.20  978.9    140.17     1.51    -9999
MOSCOW     241120 3600 120000-130000   00     162.60  978.4    139.13     0.76    -9999
MOSCOW     241120 3600 130000-140000   00     163.40  978.1    139.57     1.08    -9999
MOSCOW     241120 3600 140000-150000   00     162.98  977.7    138.80     0.52    -9999
MOSCOW     241120 3600 150000-160000   00     163.82  977.2    139.05     0.70    -9999
MOSCOW     241120 3600 160000-170000   00     163.47  976.8    138.28     0.15    -9999
MOSCOW     241120 3600 170000-180000   00     164.23  976.7    138.82     0.53    -9999
MOSCOW     241120 3600 180000-190000   00     164.28  976.5    138.67     0.42    -9999
MOSCOW     241120 3600 190000-200000   00     165.07  976.1    139.00     0.66    -9999
MOSCOW     241120 3600 200000-210000   00     165.75  975.7    139.12     0.75    -9999
MOSCOW     241120 3600 210000-220000   00     166.45  975.1    139.12     0.75    -9999
MOSCOW     241120 3600 220000-230000   00     167.28  974.3    139.07     0.71    -9999
MOSCOW     241120 3600 230000-240000   00     167.72  973.6    138.70     0.45    -9999
MOSCOW     241121 3600 000000-010000   00     168.30  972.9    138.50     0.30    -9999
MOSCOW     241121 3600 010000-020000   00     169.68  972.3    138.98     0.65    -9999
MOSCOW     241121 3600 020000-030000   00     169.72  971.9    138.60     0.38    -9999
MOSCOW     241121 3600 030000-040000   00     170.92  971.3    139.03     0.69    -9999
MOSCOW     241121 3600 040000-050000   00     171.37  970.9    138.98     0.65    -9999
MOSCOW     241121 3600 050000-060000   00     171.50  970.8    139.00     0.66    -9999
MOSCOW     241121 3600 060000-070000   00     172.48  970.7    139.63     1.12    -9999
MOSCOW     241121 3600 070000-080000   00     172.95  970.2    139.57     1.08    -9999
MOSCOW     241121 3600 080000-090000   00     174.75  969.6    140.38     1.67    -9999
MOSCOW     241121 3600 090000-100000   00     175.43  968.8    140.17     1.51    -9999
MOSCOW     241121 3600 100000-110000   00     176.23  967.9    139.85     1.28    -9999
MOSCOW     241121 3600 110000-120000   00     177.27  966.7    139.47     1.00    -9999
MOSCOW     241121 3600 120000-130000   00     178.78  965.4    139.38     0.94    -9999
MOSCOW     241121 3600 130000-140000   00     180.02  964.1    139.03     0.69    -9999
MOSCOW     241121 3600 140000-150000   00     182.92  962.6    139.75     1.21    -9999
MOSCOW     241121 3600 150000-160000   00     184.22  960.9    139.05     0.70    -9999
MOSCOW     241121 300  160000-160500   00     183.69  960.1    137.85    -0.17    -0.56
MOSCOW     241121 300  160500-161000   00     186.32  960.0    139.71     1.18     0.81
MOSCOW     241121 300  161000-161500   00     187.27  959.9    140.33     1.63     1.30
MOSCOW     241121 300  161500-162000   00     182.63  959.8    136.69    -1.01    -1.31
MOSCOW     241121 300  162000-162500   00     183.86  959.6    137.46    -0.45    -0.72
MOSCOW     241121 300  162500-163000   00     184.61  959.4    137.86    -0.16    -0.40
MOSCOW     241121 300  163000-163500   00     184.90  959.3    137.91    -0.12    -0.33
MOSCOW     241121 300  163500-164000   00     185.79  959.1    138.41     0.24     0.06
MOSCOW     241121 300  164000-164500   00     186.24  959.0    138.63     0.40     0.25
MOSCOW     241121 300  164500-165000   00     184.93  958.9    137.54    -0.40    -0.52
MOSCOW     241121 300  165000-165500   00     185.61  958.8    137.94    -0.10    -0.19
MOSCOW     241121 300  165500-170000   00     185.72  958.7    137.91    -0.12    -0.19
MOSCOW     241121 300  170000-170500   00     186.93  958.6    138.72     0.46     0.43
MOSCOW     241121 300  170500-171000   00     188.18  958.5    139.53     1.05     1.04
MOSCOW     241121 300  171000-171500   00     187.64  958.5    139.19     0.80     0.82
MOSCOW     241121 300  171500-172000   00     187.54  958.3    138.86     0.57     0.61
MOSCOW     241121 300  172000-172500   00     188.41  958.1    139.33     0.90     0.97
MOSCOW     241121 300  172500-173000   00     186.54  958.0    137.85    -0.17    -0.08
MOSCOW     241121 300  173000-173500   00     186.16  957.9    137.46    -0.45    -0.34
MOSCOW     241121 300  173500-174000   00     186.88  957.7    137.82    -0.19    -0.05
MOSCOW     241121 300  174000-174500   00     187.82  957.6    138.43     0.25     0.41
MOSCOW     241121 300  174500-175000   00     184.75  957.5    136.05    -1.47    -1.29
MOSCOW     241121 300  175000-175500   00     186.19  957.5    137.10    -0.71    -0.51
MOSCOW     241121 300  175500-180000   00     184.18  957.3    135.40    -1.95    -1.72
MOSCOW     241121 300  180000-180500   00     188.99  957.3    138.93     0.61     0.86
MOSCOW     241121 300  180500-181000   00     187.47  957.2    137.74    -0.25     0.02
MOSCOW     241121 300  181000-181500   00     188.68  957.1    138.58     0.36     0.65
MOSCOW     241121 300  181500-182000   00     184.79  957.0    135.60    -1.80    -1.49
MOSCOW     241121 300  182000-182500   00     191.44  957.0    140.44     1.71     2.04
MOSCOW     241121 300  182500-183000   00     189.43  956.9    138.88     0.58     0.92
MOSCOW     241121 300  183000-183500   00     188.11  956.9    137.91    -0.12     0.24
MOSCOW     241121 300  183500-184000   00     188.57  956.8    138.18     0.07     0.45
MOSCOW     241121 300  184000-184500   00     189.10  956.8    138.57     0.35     0.75
MOSCOW     241121 300  184500-185000   00     187.83  956.9    137.69    -0.28     0.14
MOSCOW     241121 300  185000-185500   00     187.21  957.0    137.33    -0.54    -0.11
MOSCOW     241121 300  185500-190000   00     187.60  957.0    137.64    -0.32     0.13
MOSCOW     241121 300  190000-190500   00     186.63  957.2    137.11    -0.70    -0.24
MOSCOW     241121 300  190500-191000   00     185.40  957.8    136.80    -0.93    -0.45
MOSCOW     241121 300  191000-191500   00     184.32  958.7    136.88    -0.87    -0.38
MOSCOW     241121 300  191500-192000   00     185.18  959.0    137.82    -0.19     0.32
MOSCOW     241121 300  192000-192500   00     185.61  959.4    138.60     0.37     0.90
MOSCOW     241121 300  192500-193000   00     184.10  959.7    137.71    -0.27     0.26
MOSCOW     241121 300  193000-193500   00     183.46  960.2    137.71    -0.27     0.28
MOSCOW     241121 300  193500-194000   00     182.61  960.5    137.44    -0.46     0.10
MOSCOW     241121 300  194000-194500   00     180.44  960.9    136.19    -1.37    -0.80
MOSCOW     241121 300  194500-195000   00     182.90  961.7    138.80     0.52     1.10
MOSCOW     241121 300  195000-195500   00     183.02  961.9    139.10     0.74     1.33
MOSCOW     241121 300  195500-200000   00     180.16  962.0    137.05    -0.75    -0.14
MOSCOW     241121 300  200000-200500   00     181.18  962.2    138.05    -0.02     0.59
MOSCOW     241121 300  200500-201000   00     180.41  962.5    137.74    -0.25     0.37
MOSCOW     241121 300  201000-201500   00     177.27  962.8    135.65    -1.76    -1.13
MOSCOW     241121 300  201500-202000   00     179.76  963.0    137.74    -0.25     0.39
MOSCOW     241121 300  202000-202500   00     179.76  963.0    137.72    -0.26     0.39
MOSCOW     241121 300  202500-203000   00     179.58  963.0    137.63    -0.33     0.33
MOSCOW     241121 300  203000-203500   00     179.63  963.4    138.05    -0.02     0.64
MOSCOW     241121 300  203500-204000   00     177.09  963.6    136.22    -1.35    -0.68
MOSCOW     241121 300  204000-204500   00     177.82  964.0    137.19    -0.64     0.03
MOSCOW     241121 300  204500-205000   00     177.57  964.2    137.25    -0.60     0.08
MOSCOW     241121 300  205000-205500   00     176.98  964.3    136.86    -0.88    -0.20
MOSCOW     241121 300  205500-210000   00     175.91  964.7    136.46    -1.18    -0.49
MOSCOW     241121 300  210000-210500   00     175.79  965.1    136.74    -0.97    -0.28
MOSCOW     241121 300  210500-211000   00     174.99  965.4    136.39    -1.22    -0.53
MOSCOW     241121 300  211000-211500   00     178.65  965.6    139.49     1.02     1.71
MOSCOW     241121 300  211500-212000   00     175.20  965.9    137.00    -0.78    -0.08
MOSCOW     241121 300  212000-212500   00     175.73  965.9    137.50    -0.42     0.28
MOSCOW     241121 300  212500-213000   00     175.34  966.1    137.36    -0.52     0.18
MOSCOW     241121 300  213000-213500   00     173.12  966.3    135.86    -1.61    -0.90
MOSCOW     241121 300  213500-214000   00     176.77  966.6    138.97     0.64     1.35
MOSCOW     241121 300  214000-214500   00     170.65  966.9    134.44    -2.64    -1.93
