MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    778.58  MB     COEFFICIENT   -0.95     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    212.26      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 241120 3600 000000-010000   00     222.32  772.5    212.78     0.25    -9999
MEXICOCITY 241120 3600 010000-020000   00     221.20  773.4    213.06     0.38    -9999
MEXICOCITY 241120 3600 020000-030000   00     218.94  774.4    212.38     0.06    -9999
MEXICOCITY 241120 3600 030000-040000   00     217.58  775.3    212.35     0.05    -9999
MEXICOCITY 241120 3600 040000-050000   00     216.08  776.1    212.21    -0.02    -9999
MEXICOCITY 241120 3600 050000-060000   00     215.76  776.3    212.18    -0.03    -9999
MEXICOCITY 241120 3600 060000-070000   00     216.93  776.2    213.22     0.46    -9999
MEXICOCITY 241120 3600 070000-080000   00     216.31  776.2    212.55     0.14    -9999
MEXICOCITY 241120 3600 080000-090000   00     216.02  776.0    211.88    -0.18    -9999
MEXICOCITY 241120 3600 090000-100000   00     217.69  775.7    213.15     0.42    -9999
MEXICOCITY 241120 3600 100000-110000   00     216.93  776.1    212.95     0.33    -9999
MEXICOCITY 241120 3600 110000-120000   00     216.03  776.7    212.98     0.34    -9999
MEXICOCITY 241120 3600 120000-130000   00     214.69  777.2    212.47     0.10    -9999
MEXICOCITY 241120 3600 130000-140000   00     215.09  777.8    213.75     0.71    -9999
MEXICOCITY 241120 3600 140000-150000   00     214.11  778.5    213.82     0.74    -9999
MEXICOCITY 241120 3600 150000-160000   00     212.60  779.2    213.35     0.51    -9999
MEXICOCITY 241120 3600 160000-170000   00     212.81  779.3    213.78     0.72    -9999
MEXICOCITY 241120 3600 170000-180000   00     214.47  778.8    214.60     1.10    -9999
MEXICOCITY 241120 3600 180000-190000   00     215.15  778.2    214.43     1.02    -9999
MEXICOCITY 241120 3600 190000-200000   00     215.50  777.7    214.08     0.86    -9999
MEXICOCITY 241120 3600 200000-210000   00     215.67  777.3    213.60     0.63    -9999
MEXICOCITY 241120 3600 210000-220000   00     215.66  777.3    213.62     0.64    -9999
MEXICOCITY 241120 3600 220000-230000   00     214.11  777.9    213.01     0.36    -9999
MEXICOCITY 241120 3600 230000-240000   00     212.22  778.9    212.62     0.17    -9999
MEXICOCITY 241121 3600 000000-010000   00     210.70  779.5    212.02    -0.11    -9999
MEXICOCITY 241121 3600 010000-020000   00     209.91  780.3    212.32     0.03    -9999
MEXICOCITY 241121 3600 020000-030000   00     208.70  780.8    211.88    -0.18    -9999
MEXICOCITY 241121 3600 030000-040000   00     208.04  781.2    211.75    -0.24    -9999
MEXICOCITY 241121 3600 040000-050000   00     207.96  781.1    211.57    -0.32    -9999
MEXICOCITY 241121 3600 050000-060000   00     208.92  780.9    212.29     0.01    -9999
MEXICOCITY 241121 3600 060000-070000   00     208.37  780.6    211.26    -0.47    -9999
MEXICOCITY 241121 3600 070000-080000   00     209.89  780.1    212.04    -0.10    -9999
MEXICOCITY 241121 3600 080000-090000   00     210.39  779.4    211.55    -0.33    -9999
MEXICOCITY 241121 3600 090000-100000   00     211.53  779.2    212.28     0.01    -9999
MEXICOCITY 241121 3600 100000-110000   00     211.50  779.0    212.07    -0.09    -9999
