NEWARK     LATITUDE    39.68     LONGITUDE     -75.75    ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR
NEWARK     STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.735    % / MB
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     86.37      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NEWARK     241120 3600 000000-010000   00      91.14 1005.8     85.97    -0.46    -9999
NEWARK     241120 3600 010000-020000   00      91.35 1005.7     86.08    -0.34    -9999
NEWARK     241120 3600 020000-030000   00      90.94 1005.9     85.82    -0.63    -9999
NEWARK     241120 3600 030000-040000   00      90.46 1005.6     85.17    -1.39    -9999
NEWARK     241120 3600 040000-050000   00      90.61 1005.0     84.95    -1.64    -9999
NEWARK     241120 3600 050000-060000   00      91.62 1004.5     85.56    -0.94    -9999
NEWARK     241120 3600 060000-070000   00      92.05 1004.2     85.76    -0.70    -9999
NEWARK     241120 3600 070000-080000   00      92.11 1003.9     85.64    -0.85    -9999
NEWARK     241120 3600 080000-090000   00      92.30 1003.6     85.66    -0.82    -9999
NEWARK     241120 3600 090000-100000   00      92.22 1003.7     85.67    -0.81    -9999
NEWARK     241120 3600 100000-110000   00      92.54 1003.6     85.86    -0.60    -9999
NEWARK     241120 3600 110000-120000   00      92.60 1003.7     86.03    -0.40    -9999
NEWARK     241120 3600 120000-130000   00      92.75 1004.2     86.44     0.08    -9999
NEWARK     241120 3600 130000-140000   00      92.72 1004.1     86.34    -0.03    -9999
NEWARK     241120 3600 140000-150000   00      93.13 1003.7     86.46     0.11    -9999
NEWARK     241120 3600 150000-160000   00      92.92 1003.4     86.07    -0.35    -9999
NEWARK     241120 3600 160000-170000   00      93.86 1002.5     86.37     0.00    -9999
NEWARK     241120 3600 170000-180000   00      94.57 1001.9     86.68     0.36    -9999
NEWARK     241120 3600 180000-190000   00      94.81 1001.0     86.30    -0.08    -9999
NEWARK     241120 3600 190000-200000   00      95.52 1000.6     86.67     0.34    -9999
NEWARK     241120 3600 200000-210000   00      94.84 1000.4     85.98    -0.45    -9999
NEWARK     241120 3600 210000-220000   00      95.38  999.6     85.97    -0.47    -9999
NEWARK     241120 3600 220000-230000   00      95.83  999.3     86.18    -0.22    -9999
NEWARK     241120 3600 230000-240000   00      95.81  999.0     85.94    -0.49    -9999
NEWARK     241121 3600 000000-010000   00      95.57  998.5     85.40    -1.12    -9999
NEWARK     241121 3600 010000-020000   00      95.94  998.1     85.47    -1.04    -9999
NEWARK     241121 3600 020000-030000   00      96.96  997.1     85.78    -0.69    -9999
NEWARK     241121 3600 030000-040000   00      96.26  997.2     85.23    -1.31    -9999
NEWARK     241121 3600 040000-050000   00      95.70  998.6     85.58    -0.92    -9999
NEWARK     241121 3600 050000-060000   00      95.43  998.9     85.53    -0.97    -9999
NEWARK     241121 3600 060000-070000   00      95.25  999.2     85.55    -0.95    -9999
NEWARK     241121 3600 070000-080000   00      96.07  998.6     85.93    -0.51    -9999
NEWARK     241121 3600 080000-090000   00      96.02  998.1     85.57    -0.92    -9999
NEWARK     241121 3600 090000-100000   00      96.17  998.0     85.65    -0.83    -9999
NEWARK     241121 3600 100000-110000   00      97.12  997.6     86.23    -0.16    -9999
NEWARK     241121 3600 110000-120000   00      97.21  997.3     86.14    -0.26    -9999
NEWARK     241121 3600 120000-130000   00      97.46  997.5     86.44     0.09    -9999
NEWARK     241121 3600 130000-140000   00      97.31  997.6     86.39     0.03    -9999
NEWARK     241121 3600 140000-150000   00      97.69  997.0     86.32    -0.06    -9999
NEWARK     241121 3600 150000-160000   00      98.33  996.1     86.35    -0.02    -9999
NEWARK     241121 300  160000-160500   00      99.23  995.5     86.74     0.42     0.42
NEWARK     241121 300  160500-161000   00      99.35  995.4     86.80     0.49     0.49
NEWARK     241121 300  161000-161500   00      98.50  995.3     86.01    -0.42    -0.42
NEWARK     241121 300  161500-162000   00      98.40  995.3     85.90    -0.54    -0.54
NEWARK     241121 300  162000-162500   00      98.79  995.3     86.26    -0.13    -0.13
NEWARK     241121 300  162500-163000   00      98.85  995.4     86.35    -0.02    -0.02
NEWARK     241121 300  163000-163500   00      98.02  995.3     85.59    -0.90    -0.90
NEWARK     241121 300  163500-164000   00      97.90  995.3     85.44    -1.08    -1.08
NEWARK     241121 300  164000-164500   00      99.57  995.1     86.82     0.52     0.52
NEWARK     241121 300  164500-165000   00      98.73  995.1     86.05    -0.37    -0.37
NEWARK     241121 300  165000-165500   00      99.76  995.0     86.87     0.58     0.58
NEWARK     241121 300  165500-170000   00      98.27  994.9     85.56    -0.94    -0.94
NEWARK     241121 300  170000-170500   00     100.57  994.9     87.50     1.31     1.31
NEWARK     241121 300  170500-171000   00      98.80  994.9     86.01    -0.42    -0.42
NEWARK     241121 300  171000-171500   00     100.56  994.9     87.52     1.33     1.33
NEWARK     241121 300  171500-172000   00      98.47  994.8     85.64    -0.84    -0.84
NEWARK     241121 300  172000-172500   00     100.02  994.7     86.96     0.68     0.68
NEWARK     241121 300  172500-173000   00      99.77  994.7     86.74     0.43     0.43
NEWARK     241121 300  173000-173500   00      97.51  994.7     84.74    -1.89    -1.89
NEWARK     241121 300  173500-174000   00     100.06  994.6     86.92     0.63     0.63
NEWARK     241121 300  174000-174500   00      97.87  994.6     85.00    -1.58    -1.58
NEWARK     241121 300  174500-175000   00     100.22  994.6     87.07     0.81     0.81
NEWARK     241121 300  175000-175500   00     100.68  994.7     87.48     1.29     1.29
NEWARK     241121 300  175500-180000   00     100.03  994.7     86.91     0.63     0.63
NEWARK     241121 300  180000-180500   00      98.55  994.7     85.68    -0.80    -0.80
NEWARK     241121 300  180500-181000   00      99.61  994.9     86.68     0.36     0.36
NEWARK     241121 300  181000-181500   00      98.58  994.9     85.78    -0.68    -0.68
NEWARK     241121 300  181500-182000   00     100.60  994.9     87.54     1.35     1.35
NEWARK     241121 300  182000-182500   00     100.51  994.9     87.47     1.28     1.28
NEWARK     241121 300  182500-183000   00     101.08  994.8     87.93     1.81     1.81
NEWARK     241121 300  183000-183500   00      99.72  994.7     86.70     0.38     0.38
NEWARK     241121 300  183500-184000   00     101.91  994.7     88.58     2.55     2.55
NEWARK     241121 300  184000-184500   00     100.53  994.6     87.35     1.13     1.13
NEWARK     241121 300  184500-185000   00     101.04  994.5     87.73     1.57     1.57
NEWARK     241121 300  185000-185500   00      98.81  994.5     85.73    -0.74    -0.74
NEWARK     241121 300  185500-190000   00      99.13  994.5     86.02    -0.41    -0.41
NEWARK     241121 300  190000-190500   00      99.65  994.4     86.43     0.07     0.07
NEWARK     241121 300  190500-191000   00     100.68  994.3     87.28     1.06     1.06
NEWARK     241121 300  191000-191500   00      99.01  994.3     85.83    -0.63    -0.63
NEWARK     241121 300  191500-192000   00     100.88  994.3     87.41     1.20     1.20
NEWARK     241121 300  192000-192500   00      99.60  994.2     86.24    -0.16    -0.16
NEWARK     241121 300  192500-193000   00      99.25  994.2     85.93    -0.51    -0.51
NEWARK     241121 300  193000-193500   00      98.96  994.2     85.71    -0.76    -0.76
NEWARK     241121 300  193500-194000   00     101.46  994.2     87.89     1.76     1.76
NEWARK     241121 300  194000-194500   00     100.38  994.2     86.96     0.69     0.69
NEWARK     241121 300  194500-195000   00     101.22  994.3     87.72     1.56     1.56
NEWARK     241121 300  195000-195500   00     100.26  994.4     86.93     0.65     0.65
NEWARK     241121 300  195500-200000   00      99.41  994.5     86.26    -0.12    -0.12
NEWARK     241121 300  200000-200500   00      99.52  994.6     86.44     0.08     0.08
NEWARK     241121 300  200500-201000   00      98.98  994.7     86.04    -0.38    -0.38
NEWARK     241121 300  201000-201500   00      98.48  994.8     85.68    -0.79    -0.79
NEWARK     241121 300  201500-202000   00      99.29  994.9     86.46     0.10     0.10
NEWARK     241121 300  202000-202500   00      98.39  995.0     85.72    -0.76    -0.76
NEWARK     241121 300  202500-203000   00      99.54  995.0     86.74     0.43     0.43
NEWARK     241121 300  203000-203500   00      99.03  995.1     86.33    -0.04    -0.04
NEWARK     241121 300  203500-204000   00      98.60  995.2     86.00    -0.43    -0.43
NEWARK     241121 300  204000-204500   00      98.94  995.2     86.29    -0.09    -0.09
NEWARK     241121 300  204500-205000   00     100.70  995.2     87.83     1.69     1.69
NEWARK     241121 300  205000-205500   00      98.71  995.2     86.11    -0.30    -0.30
NEWARK     241121 300  205500-210000   00      99.91  995.3     87.22     0.99     0.99
NEWARK     241121 300  210000-210500   00      98.20  995.3     85.75    -0.72    -0.72
