ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009.25 MB     COEFFICIENT   -0.7      % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    117.79      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       241120 3600 000000-010000   00     118.76 1008.0    117.76    -0.03    -9999
ROME       241120 3600 010000-020000   00     119.57 1007.4    118.01     0.18    -9999
ROME       241120 3600 020000-030000   00     120.78 1006.3    118.33     0.46    -9999
ROME       241120 3600 030000-040000   00     121.31 1005.3    118.05     0.22    -9999
ROME       241120 3600 040000-050000   00     121.87 1004.7    118.09     0.25    -9999
ROME       241120 3600 050000-060000   00     122.71 1004.1    118.36     0.48    -9999
ROME       241120 3600 060000-070000   00     123.54 1003.7    118.87     0.91    -9999
ROME       241120 3600 070000-080000   00     123.24 1003.6    118.46     0.57    -9999
ROME       241120 3600 080000-090000   00     124.33 1003.0    119.01     1.03    -9999
ROME       241120 3600 090000-100000   00     124.62 1002.5    118.86     0.91    -9999
ROME       241120 3600 100000-110000   00     125.67 1001.6    119.13     1.14    -9999
ROME       241120 3600 110000-120000   00     126.25 1000.7    118.97     1.00    -9999
ROME       241120 3600 120000-130000   00     127.44  999.7    119.23     1.22    -9999
ROME       241120 3600 130000-140000   00     127.45  999.0    118.69     0.76    -9999
ROME       241120 3600 140000-150000   00     128.00  998.3    118.61     0.69    -9999
ROME       241120 3600 150000-160000   00     128.31  997.8    118.43     0.54    -9999
ROME       241120 3600 160000-170000   00     128.35  998.1    118.74     0.80    -9999
ROME       241120 3600 170000-180000   00     127.08  999.2    118.45     0.56    -9999
ROME       241120 3600 180000-190000   00     125.56 1000.3    118.00     0.18    -9999
ROME       241120 3600 190000-200000   00     125.88 1001.0    118.87     0.91    -9999
ROME       241120 3600 200000-210000   00     124.55 1001.9    118.33     0.46    -9999
ROME       241120 3600 210000-220000   00     124.17 1002.3    118.31     0.44    -9999
ROME       241120 3600 220000-230000   00     123.38 1003.1    118.24     0.38    -9999
ROME       241120 3600 230000-240000   00     123.16 1003.5    118.30     0.43    -9999
ROME       241121 3600 000000-010000   00     123.30 1003.5    118.46     0.57    -9999
ROME       241121 3600 010000-020000   00     123.35 1003.8    118.78     0.84    -9999
ROME       241121 3600 020000-030000   00     122.86 1004.5    118.82     0.87    -9999
ROME       241121 3600 030000-040000   00     122.09 1005.1    118.63     0.71    -9999
ROME       241121 3600 040000-050000   00     122.00 1005.6    118.92     0.96    -9999
ROME       241121 3600 050000-060000   00     121.27 1006.0    118.52     0.61    -9999
ROME       241121 3600 060000-070000   00     121.26 1006.7    119.13     1.13    -9999
ROME       241121 3600 070000-080000   00     120.24 1007.5    118.74     0.80    -9999
ROME       241121 3600 080000-090000   00     120.45 1007.9    119.35     1.32    -9999
ROME       241121 3600 090000-100000   00     119.79 1008.4    119.05     1.06    -9999
ROME       241121 3600 100000-110000   00     120.56 1007.9    119.41     1.37    -9999
ROME       241121 3600 110000-120000   00     120.55 1007.5    119.09     1.10    -9999
ROME       241121 3600 120000-130000   00     121.47 1006.8    119.45     1.40    -9999
ROME       241121 3600 130000-140000   00     121.30 1006.1    118.68     0.76    -9999
ROME       241121 3600 140000-150000   00     121.65 1005.8    118.76     0.82    -9999
ROME       241121 3600 150000-160000   00     121.89 1005.4    118.63     0.71    -9999
ROME       241121 300  160000-160500   00     125.58 1004.8    121.76     3.36     3.12
ROME       241121 300  160500-161000   00     122.25 1004.7    118.47     0.57     0.35
ROME       241121 300  161000-161500   00     120.70 1004.8    117.02    -0.66    -0.86
ROME       241121 300  161500-162000   00     122.67 1004.9    119.00     1.02     0.84
ROME       241121 300  162000-162500   00     121.49 1005.0    117.95     0.13    -0.04
ROME       241121 300  162500-163000   00     120.56 1005.0    117.05    -0.63    -0.78
ROME       241121 300  163000-163500   00     121.49 1004.9    117.86     0.06    -0.07
ROME       241121 300  163500-164000   00     120.39 1004.8    116.73    -0.90    -1.01
ROME       241121 300  164000-164500   00     122.59 1004.7    118.80     0.86     0.76
ROME       241121 300  164500-165000   00     120.90 1004.8    117.19    -0.51    -0.59
ROME       241121 300  165000-165500   00     120.19 1004.8    116.49    -1.11    -1.17
ROME       241121 300  165500-170000   00     121.43 1004.7    117.66    -0.11    -0.15
ROME       241121 300  170000-170500   00     122.40 1004.7    118.58     0.67     0.65
ROME       241121 300  170500-171000   00     121.23 1004.8    117.49    -0.26    -0.26
ROME       241121 300  171000-171500   00     120.91 1004.7    117.14    -0.55    -0.54
ROME       241121 300  171500-172000   00     122.00 1004.8    118.24     0.38     0.41
ROME       241121 300  172000-172500   00     120.92 1004.7    117.13    -0.56    -0.51
ROME       241121 300  172500-173000   00     123.15 1004.6    119.22     1.21     1.28
ROME       241121 300  173000-173500   00     121.55 1004.5    117.63    -0.14    -0.05
ROME       241121 300  173500-174000   00     118.48 1004.5    114.66    -2.66    -2.55
ROME       241121 300  174000-174500   00     121.79 1004.5    117.81     0.02     0.14
