SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    680     MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    121.31      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 241120 3600 000000-010000   00     130.41  670.3    121.42     0.09    -9999
SOPO-6NM64 241120 3600 010000-020000   00     130.89  670.3    121.83     0.43    -9999
SOPO-6NM64 241120 3600 020000-030000   00     130.90  670.2    121.79     0.39    -9999
SOPO-6NM64 241120 3600 030000-040000   00     130.45  670.2    121.39     0.06    -9999
SOPO-6NM64 241120 3600 040000-050000   00     130.39  670.2    121.35     0.03    -9999
SOPO-6NM64 241120 3600 050000-060000   00     130.37  670.3    121.43     0.10    -9999
SOPO-6NM64 241120 3600 060000-070000   00     130.12  670.6    121.40     0.07    -9999
SOPO-6NM64 241120 3600 070000-080000   00     130.09  670.7    121.45     0.12    -9999
SOPO-6NM64 241120 3600 080000-090000   00     130.32  670.7    121.68     0.30    -9999
SOPO-6NM64 241120 3600 090000-100000   00     130.23  670.7    121.63     0.26    -9999
SOPO-6NM64 241120 3600 100000-110000   00     130.24  670.8    121.72     0.34    -9999
SOPO-6NM64 241120 3600 110000-120000   00     131.22  671.0    122.77     1.20    -9999
SOPO-6NM64 241120 3600 120000-130000   00     131.52  671.2    123.27     1.61    -9999
SOPO-6NM64 241120 3600 130000-140000   00     131.08  671.3    122.97     1.37    -9999
SOPO-6NM64 241120 3600 140000-150000   00     130.81  671.3    122.75     1.19    -9999
SOPO-6NM64 241120 3600 150000-160000   00     130.75  671.5    122.81     1.23    -9999
SOPO-6NM64 241120 3600 160000-170000   00     131.03  671.7    123.31     1.65    -9999
SOPO-6NM64 241120 3600 170000-180000   00     130.44  672.0    123.01     1.40    -9999
SOPO-6NM64 241120 3600 180000-190000   00     129.81  672.3    122.65     1.10    -9999
SOPO-6NM64 241120 3600 190000-200000   00     129.15  672.5    122.24     0.76    -9999
SOPO-6NM64 241120 3600 200000-210000   00     128.25  672.8    121.64     0.27    -9999
SOPO-6NM64 241120 3600 210000-220000   00     126.46  673.1    120.25    -0.87    -9999
SOPO-6NM64 241120 3600 220000-230000   00     127.43  673.4    121.36     0.04    -9999
SOPO-6NM64 241120 3600 230000-240000   00     127.29  673.6    121.43     0.10    -9999
SOPO-6NM64 241121 3600 000000-010000   00     127.78  673.8    122.09     0.64    -9999
SOPO-6NM64 241121 3600 010000-020000   00     127.83  674.0    122.35     0.85    -9999
SOPO-6NM64 241121 3600 020000-030000   00     127.32  674.2    121.99     0.56    -9999
SOPO-6NM64 241121 3600 030000-040000   00     126.84  674.3    121.69     0.31    -9999
