SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.74     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    252.85      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 241120 3600 000000-010000   00     273.29  670.3    254.35     0.59    -9999
SOUTH-POLE 241120 3600 010000-020000   00     273.88  670.3    254.87     0.80    -9999
SOUTH-POLE 241120 3600 020000-030000   00     273.35  670.2    254.26     0.56    -9999
SOUTH-POLE 241120 3600 030000-040000   00     272.79  670.2    253.84     0.39    -9999
SOUTH-POLE 241120 3600 040000-050000   00     272.64  670.2    253.75     0.35    -9999
SOUTH-POLE 241120 3600 050000-060000   00     271.30  670.3    252.69    -0.06    -9999
SOUTH-POLE 241120 3600 060000-070000   00     271.32  670.6    253.11     0.10    -9999
SOUTH-POLE 241120 3600 070000-080000   00     271.39  670.7    253.31     0.18    -9999
SOUTH-POLE 241120 3600 080000-090000   00     272.21  670.7    254.10     0.49    -9999
SOUTH-POLE 241120 3600 090000-100000   00     271.64  670.7    253.66     0.32    -9999
SOUTH-POLE 241120 3600 100000-110000   00     271.57  670.8    253.80     0.38    -9999
SOUTH-POLE 241120 3600 110000-120000   00     273.70  671.0    256.08     1.28    -9999
SOUTH-POLE 241120 3600 120000-130000   00     273.89  671.2    256.68     1.51    -9999
SOUTH-POLE 241120 3600 130000-140000   00     273.07  671.3    256.15     1.30    -9999
SOUTH-POLE 241120 3600 140000-150000   00     272.17  671.3    255.35     0.99    -9999
SOUTH-POLE 241120 3600 150000-160000   00     274.00  671.5    257.25     1.74    -9999
SOUTH-POLE 241120 3600 160000-170000   00     272.58  671.7    256.40     1.40    -9999
SOUTH-POLE 241120 3600 170000-180000   00     273.06  672.0    257.45     1.82    -9999
SOUTH-POLE 241120 3600 180000-190000   00     271.68  672.3    256.69     1.52    -9999
SOUTH-POLE 241120 3600 190000-200000   00     270.71  672.5    256.25     1.34    -9999
SOUTH-POLE 241120 3600 200000-210000   00     268.54  672.8    254.79     0.77    -9999
SOUTH-POLE 241120 3600 210000-220000   00     266.00  673.1    253.02     0.07    -9999
SOUTH-POLE 241120 3600 220000-230000   00     266.06  673.4    253.43     0.23    -9999
SOUTH-POLE 241120 3600 230000-240000   00     265.38  673.6    253.24     0.15    -9999
SOUTH-POLE 241121 3600 000000-010000   00     266.81  673.8    254.99     0.85    -9999
SOUTH-POLE 241121 3600 010000-020000   00     265.63  674.0    254.22     0.54    -9999
SOUTH-POLE 241121 3600 020000-030000   00     265.40  674.2    254.32     0.58    -9999
SOUTH-POLE 241121 3600 030000-040000   00     264.57  674.3    253.87     0.40    -9999
SOUTH-POLE 241121 3600 040000-050000   00     263.93  674.6    253.76     0.36    -9999
SOUTH-POLE 241121 3600 050000-060000   00     262.98  674.8    253.34     0.19    -9999
SOUTH-POLE 241121 3600 060000-070000   00     261.68  675.2    252.85     0.00    -9999
SOUTH-POLE 241121 3600 070000-080000   00     261.12  675.6    252.99     0.06    -9999
SOUTH-POLE 241121 3600 080000-090000   00     260.86  675.7    253.00     0.06    -9999
SOUTH-POLE 241121 3600 090000-100000   00     260.33  676.0    252.99     0.06    -9999
SOUTH-POLE 241121 3600 100000-110000   00     260.42  676.3    253.66     0.32    -9999
SOUTH-POLE 241121 3600 110000-120000   00     260.26  676.5    253.91     0.42    -9999
SOUTH-POLE 241121 3600 120000-130000   00     259.39  676.7    253.36     0.20    -9999
SOUTH-POLE 241121 3600 130000-140000   00     258.75  677.0    253.21     0.14    -9999
SOUTH-POLE 241121 3600 140000-150000   00     258.66  677.0    253.28     0.17    -9999
SOUTH-POLE 241121 3600 150000-160000   00     258.03  677.2    252.99     0.05    -9999
SOUTH-POLE 241121 300  160000-160500   00     259.68  677.4    254.94     0.82     0.82
SOUTH-POLE 241121 300  160500-161000   00     254.84  677.4    250.28    -1.02    -1.02
SOUTH-POLE 241121 300  161000-161500   00     258.70  677.5    254.13     0.51     0.51
SOUTH-POLE 241121 300  161500-162000   00     257.41  677.5    252.90     0.02     0.02
SOUTH-POLE 241121 300  162000-162500   00     257.27  677.5    252.84     0.00     0.00
SOUTH-POLE 241121 300  162500-163000   00     255.40  677.6    251.10    -0.69    -0.69
SOUTH-POLE 241121 300  163000-163500   00     256.89  677.6    252.56    -0.11    -0.11
SOUTH-POLE 241121 300  163500-164000   00     256.90  677.6    252.58    -0.11    -0.11
SOUTH-POLE 241121 300  164000-164500   00     259.82  677.6    255.45     1.03     1.03
SOUTH-POLE 241121 300  164500-165000   00     257.33  677.6    253.02     0.07     0.07
SOUTH-POLE 241121 300  165000-165500   00     255.54  677.6    251.32    -0.61    -0.61
SOUTH-POLE 241121 300  165500-170000   00     255.63  677.7    251.53    -0.52    -0.52
SOUTH-POLE 241121 300  170000-170500   00     256.66  677.7    252.53    -0.13    -0.13
SOUTH-POLE 241121 300  170500-171000   00     257.66  677.7    253.58     0.29     0.29
SOUTH-POLE 241121 300  171000-171500   00     255.01  677.7    251.03    -0.72    -0.72
SOUTH-POLE 241121 300  171500-172000   00     257.82  677.7    253.80     0.37     0.37
SOUTH-POLE 241121 300  172000-172500   00     257.08  677.7    253.05     0.08     0.08
SOUTH-POLE 241121 300  172500-173000   00     257.17  677.7    253.14     0.11     0.11
SOUTH-POLE 241121 300  173000-173500   00     258.77  677.7    254.73     0.74     0.74
SOUTH-POLE 241121 300  173500-174000   00     257.10  677.8    253.20     0.14     0.14
SOUTH-POLE 241121 300  174000-174500   00     256.26  677.8    252.46    -0.15    -0.15
SOUTH-POLE 241121 300  174500-175000   00     257.87  677.9    254.17     0.52     0.52
SOUTH-POLE 241121 300  175000-175500   00     256.04  677.9    252.43    -0.17    -0.17
SOUTH-POLE 241121 300  175500-180000   00     255.23  678.0    251.69    -0.46    -0.46
SOUTH-POLE 241121 300  180000-180500   00     257.31  678.0    253.79     0.37     0.37
SOUTH-POLE 241121 300  180500-181000   00     257.60  678.0    254.08     0.49     0.49
SOUTH-POLE 241121 300  181000-181500   00     257.91  678.0    254.42     0.62     0.62
SOUTH-POLE 241121 300  181500-182000   00     257.98  678.0    254.51     0.66     0.66
SOUTH-POLE 241121 300  182000-182500   00     259.37  678.0    255.84     1.18     1.18
SOUTH-POLE 241121 300  182500-183000   00     258.23  678.0    254.74     0.74     0.74
SOUTH-POLE 241121 300  183000-183500   00     261.22  678.0    257.71     1.92     1.92
SOUTH-POLE 241121 300  183500-184000   00     261.65  678.1    258.19     2.11     2.11
SOUTH-POLE 241121 300  184000-184500   00     261.81  678.1    258.39     2.19     2.19
SOUTH-POLE 241121 300  184500-185000   00     262.12  678.0    258.62     2.28     2.28
SOUTH-POLE 241121 300  185000-185500   00     264.42  678.0    260.86     3.17     3.17
SOUTH-POLE 241121 300  185500-190000   00     260.41  678.1    256.99     1.64     1.64
SOUTH-POLE 241121 300  190000-190500   00     262.69  678.1    259.34     2.57     2.57
SOUTH-POLE 241121 300  190500-191000   00     263.26  678.1    259.99     2.82     2.82
SOUTH-POLE 241121 300  191000-191500   00     263.02  678.2    259.83     2.76     2.76
SOUTH-POLE 241121 300  191500-192000   00     261.45  678.2    258.33     2.17     2.17
SOUTH-POLE 241121 300  192000-192500   00     259.36  678.3    256.40     1.40     1.40
SOUTH-POLE 241121 300  192500-193000   00     261.45  678.3    258.55     2.25     2.25
SOUTH-POLE 241121 300  193000-193500   00     259.74  678.4    256.99     1.64     1.64
SOUTH-POLE 241121 300  193500-194000   00     260.29  678.4    257.59     1.87     1.87
SOUTH-POLE 241121 300  194000-194500   00     260.10  678.4    257.39     1.80     1.80
SOUTH-POLE 241121 300  194500-195000   00     259.25  678.4    256.54     1.46     1.46
SOUTH-POLE 241121 300  195000-195500   00     260.20  678.4    257.48     1.83     1.83
SOUTH-POLE 241121 300  195500-200000   00     259.76  678.4    257.07     1.67     1.67
SOUTH-POLE 241121 300  200000-200500   00     258.33  678.5    255.67     1.11     1.11
SOUTH-POLE 241121 300  200500-201000   00     260.51  678.4    257.79     1.95     1.95
SOUTH-POLE 241121 300  201000-201500   00     258.04  678.5    255.37     1.00     1.00
SOUTH-POLE 241121 300  201500-202000   00     259.41  678.5    256.89     1.60     1.60
