TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    986.42  MB     COEFFICIENT   -0.74     % / MB
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    103.26      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TERREADELI 241120 3600 000000-010000   00     103.08  987.1    103.46     0.19    -9999
TERREADELI 241120 3600 010000-020000   00     103.89  987.0    104.19     0.90    -9999
TERREADELI 241120 3600 020000-030000   00     104.61  986.3    104.35     1.05    -9999
TERREADELI 241120 3600 030000-040000   00     105.92  985.4    105.02     1.70    -9999
TERREADELI 241120 3600 040000-050000   00     106.23  984.8    104.82     1.51    -9999
TERREADELI 241120 3600 050000-060000   00     106.74  984.0    104.73     1.42    -9999
TERREADELI 241120 3600 060000-070000   00     107.54  983.4    105.03     1.71    -9999
TERREADELI 241120 3600 070000-080000   00     108.41  982.8    105.43     2.10    -9999
TERREADELI 241120 3600 080000-090000   00     108.42  982.1    104.84     1.53    -9999
TERREADELI 241120 3600 090000-100000   00     109.19  981.3    104.97     1.66    -9999
TERREADELI 241120 3600 100000-110000   00     109.50  980.6    104.78     1.47    -9999
TERREADELI 241120 3600 110000-120000   00     109.88  979.8    104.49     1.19    -9999
TERREADELI 241120 3600 120000-130000   00     109.65  978.8    103.46     0.19    -9999
TERREADELI 241120 3600 130000-140000   00     110.96  977.8    103.92     0.64    -9999
TERREADELI 241120 3600 140000-150000   00     112.01  976.5    103.95     0.67    -9999
TERREADELI 241120 3600 150000-160000   00     112.45  975.7    103.75     0.47    -9999
TERREADELI 241120 3600 160000-170000   00     112.94  975.2    103.82     0.54    -9999
TERREADELI 241120 3600 170000-180000   00     113.56  974.8    104.02     0.73    -9999
TERREADELI 241120 3600 180000-190000   00     113.59  974.6    103.89     0.61    -9999
TERREADELI 241120 3600 190000-200000   00     113.64  974.7    104.06     0.77    -9999
TERREADELI 241120 3600 200000-210000   00     113.39  975.2    104.17     0.88    -9999
TERREADELI 241120 3600 210000-220000   00     113.70  975.5    104.70     1.39    -9999
TERREADELI 241120 3600 220000-230000   00     113.90  975.8    105.13     1.81    -9999
TERREADELI 241120 3600 230000-240000   00     113.28  976.2    104.91     1.60    -9999
TERREADELI 241121 3600 000000-010000   00     112.46  976.7    104.53     1.23    -9999
TERREADELI 241121 3600 010000-020000   00     112.33  977.3    104.86     1.55    -9999
TERREADELI 241121 3600 020000-030000   00     111.47  978.4    104.92     1.61    -9999
TERREADELI 241121 3600 030000-040000   00     110.69  979.7    105.17     1.85    -9999
TERREADELI 241121 3600 040000-050000   00     109.77  980.6    105.03     1.72    -9999
TERREADELI 241121 3600 050000-060000   00     108.78  981.4    104.63     1.33    -9999
TERREADELI 241121 3600 060000-070000   00     109.31  981.9    105.54     2.21    -9999
TERREADELI 241121 3600 070000-080000   00     108.08  982.2    104.59     1.29    -9999
TERREADELI 241121 3600 080000-090000   00     108.42  982.7    105.36     2.03    -9999
TERREADELI 241121 3600 090000-100000   00     107.86  983.2    105.16     1.84    -9999
TERREADELI 241121 3600 100000-110000   00     107.41  983.5    104.96     1.65    -9999
TERREADELI 241121 3600 110000-120000   00     107.42  983.5    105.02     1.70    -9999
TERREADELI 241121 3600 120000-130000   00     107.15  983.3    104.58     1.28    -9999
TERREADELI 241121 3600 130000-140000   00     106.05  983.4    103.57     0.30    -9999
TERREADELI 241121 3600 140000-150000   00     105.46  984.0    103.41     0.15    -9999
TERREADELI 241121 3600 150000-160000   00     104.69  984.7    103.21    -0.05    -9999
TERREADELI 241121 300  160000-160500   00     104.27  985.1    103.16    -0.10    -0.10
TERREADELI 241121 300  160500-161000   00     103.87  985.2    102.82    -0.42    -0.42
TERREADELI 241121 300  161000-161500   00     102.93  985.5    102.08    -1.14    -1.14
TERREADELI 241121 300  161500-162000   00     104.13  985.4    103.23    -0.03    -0.03
TERREADELI 241121 300  162000-162500   00     105.27  985.5    104.46     1.16     1.16
TERREADELI 241121 300  162500-163000   00     101.67  985.6    100.92    -2.26    -2.26
TERREADELI 241121 300  163000-163500   00     104.47  985.6    103.75     0.47     0.47
TERREADELI 241121 300  163500-164000   00     104.13  985.7    103.45     0.19     0.19
TERREADELI 241121 300  164000-164500   00     103.80  985.7    103.12    -0.13    -0.13
TERREADELI 241121 300  164500-165000   00     105.60  985.8    104.97     1.66     1.66
TERREADELI 241121 300  165000-165500   00     103.67  985.9    103.11    -0.14    -0.14
TERREADELI 241121 300  165500-170000   00     103.40  986.0    102.93    -0.32    -0.32
TERREADELI 241121 300  170000-170500   00     103.73  986.1    103.36     0.10     0.10
TERREADELI 241121 300  170500-171000   00     103.27  986.2    102.94    -0.31    -0.31
TERREADELI 241121 300  171000-171500   00     102.73  986.3    102.55    -0.69    -0.69
TERREADELI 241121 300  171500-172000   00     103.00  986.5    102.96    -0.29    -0.29
TERREADELI 241121 300  172000-172500   00     103.87  986.6    103.87     0.59     0.59
TERREADELI 241121 300  172500-173000   00     104.67  986.8    104.81     1.50     1.50
TERREADELI 241121 300  173000-173500   00     102.87  986.9    103.11    -0.14    -0.14
TERREADELI 241121 300  173500-174000   00     103.33  987.0    103.66     0.39     0.39
TERREADELI 241121 300  174000-174500   00     101.93  987.1    102.34    -0.89    -0.89
TERREADELI 241121 300  174500-175000   00     102.27  987.3    102.81    -0.43    -0.43
TERREADELI 241121 300  175000-175500   00     102.73  987.4    103.36     0.10     0.10
TERREADELI 241121 300  175500-180000   00     103.80  987.4    104.46     1.16     1.16
TERREADELI 241121 300  180000-180500   00     101.73  987.6    102.50    -0.73    -0.73
TERREADELI 241121 300  180500-181000   00     102.80  987.5    103.54     0.27     0.27
TERREADELI 241121 300  181000-181500   00     104.20  987.8    105.15     1.83     1.83
TERREADELI 241121 300  181500-182000   00     102.93  987.8    103.86     0.58     0.58
TERREADELI 241121 300  182000-182500   00     102.80  988.0    103.86     0.58     0.58
TERREADELI 241121 300  182500-183000   00     104.40  988.1    105.58     2.25     2.25
TERREADELI 241121 300  183000-183500   00     104.53  988.3    105.89     2.54     2.54
TERREADELI 241121 300  183500-184000   00     105.27  988.3    106.61     3.24     3.24
TERREADELI 241121 300  184000-184500   00     104.87  988.3    106.18     2.83     2.83
TERREADELI 241121 300  184500-185000   00     104.53  988.4    105.99     2.64     2.64
TERREADELI 241121 300  185000-185500   00     103.93  988.5    105.45     2.12     2.12
TERREADELI 241121 300  185500-190000   00     105.27  988.6    106.82     3.45     3.45
TERREADELI 241121 300  190000-190500   00     106.00  988.7    107.65     4.25     4.25
TERREADELI 241121 300  190500-191000   00     104.00  988.7    105.64     2.30     2.30
TERREADELI 241121 300  191000-191500   00     104.33  988.9    106.12     2.77     2.77
TERREADELI 241121 300  191500-192000   00     104.60  988.8    106.38     3.02     3.02
TERREADELI 241121 300  192000-192500   00     103.33  989.0    105.19     1.87     1.87
TERREADELI 241121 300  192500-193000   00     102.73  989.0    104.60     1.30     1.30
TERREADELI 241121 300  193000-193500   00     103.00  989.2    105.00     1.68     1.68
TERREADELI 241121 300  193500-194000   00     104.73  989.1    106.74     3.37     3.37
TERREADELI 241121 300  194000-194500   00     103.67  989.4    105.82     2.48     2.48
TERREADELI 241121 300  194500-195000   00     103.40  989.4    105.57     2.24     2.24
TERREADELI 241121 300  195000-195500   00     102.20  989.4    104.39     1.09     1.09
TERREADELI 241121 300  195500-200000   00     103.60  989.4    105.80     2.46     2.46
TERREADELI 241121 300  200000-200500   00     103.20  989.6    105.51     2.18     2.18
TERREADELI 241121 300  200500-201000   00     102.27  989.8    104.75     1.44     1.44
TERREADELI 241121 300  201000-201500   00     101.67  989.9    104.19     0.90     0.90
TERREADELI 241121 300  201500-202000   00     101.27  989.9    103.78     0.51     0.51
TERREADELI 241121 300  202000-202500   00     101.60  989.9    104.12     0.84     0.84
TERREADELI 241121 300  202500-203000   00     102.87  990.0    105.53     2.20     2.20
TERREADELI 241121 300  203000-203500   00     100.67  990.0    103.29     0.03     0.03
TERREADELI 241121 300  203500-204000   00     102.00  990.2    104.74     1.43     1.43
TERREADELI 241121 300  204000-204500   00     102.67  990.2    105.47     2.14     2.14
TERREADELI 241121 300  204500-205000   00     100.13  990.3    102.95    -0.30    -0.30
TERREADELI 241121 300  205000-205500   00     102.00  990.4    104.97     1.66     1.66
TERREADELI 241121 300  205500-210000   00     101.27  990.4    104.20     0.91     0.91
TERREADELI 241121 300  210000-210500   00     102.13  990.4    105.09     1.77     1.77
TERREADELI 241121 300  210500-211000   00     100.67  990.6    103.70     0.43     0.43
TERREADELI 241121 300  211000-211500   00     102.33  990.6    105.44     2.11     2.11
TERREADELI 241121 300  211500-212000   00     101.47  990.6    104.57     1.26     1.26
TERREADELI 241121 300  212000-212500   00     102.33  990.7    105.48     2.15     2.15
TERREADELI 241121 300  212500-213000   00     101.53  990.8    104.74     1.43     1.43
TERREADELI 241121 300  213000-213500   00     101.27  990.8    104.46     1.17     1.17
TERREADELI 241121 300  213500-214000   00     101.20  990.7    104.35     1.06     1.06
TERREADELI 241121 300  214000-214500   00     101.80  990.8    105.06     1.74     1.74
TERREADELI 241121 300  214500-215000   00     102.87  990.8    106.11     2.76     2.76
TERREADELI 241121 300  215000-215500   00     101.13  991.0    104.47     1.17     1.17
TERREADELI 241121 300  215500-220000   00     100.73  991.0    104.06     0.77     0.77
TERREADELI 241121 300  220000-220500   00      99.93  991.0    103.25    -0.01    -0.01
TERREADELI 241121 300  220500-221000   00      99.67  991.0    102.96    -0.29    -0.29
TERREADELI 241121 300  221000-221500   00     101.13  991.1    104.55     1.25     1.25
TERREADELI 241121 300  221500-222000   00      99.27  991.1    102.69    -0.56    -0.56
TERREADELI 241121 300  222000-222500   00     100.73  991.2    104.25     0.95     0.95
TERREADELI 241121 300  222500-223000   00     101.07  991.2    104.63     1.33     1.33
TERREADELI 241121 300  223000-223500   00      99.47  991.2    102.91    -0.34    -0.34
TERREADELI 241121 300  223500-224000   00     102.20  991.3    105.87     2.52     2.52
TERREADELI 241121 300  224000-224500   00     101.13  991.4    104.84     1.53     1.53
TERREADELI 241121 300  224500-225000   00      99.40  991.4    103.05    -0.21    -0.21
TERREADELI 241121 300  225000-225500   00     101.33  991.3    104.93     1.61     1.61
TERREADELI 241121 300  225500-230000   00     100.73  991.4    104.37     1.07     1.07
TERREADELI 241121 300  230000-230500   00      99.67  991.4    103.30     0.04     0.04
TERREADELI 241121 300  230500-231000   00      99.53  991.4    103.12    -0.13    -0.13
TERREADELI 241121 300  231000-231500   00     100.73  991.4    104.37     1.07     1.07
TERREADELI 241121 300  231500-232000   00      99.93  991.4    103.60     0.33     0.33
TERREADELI 241121 300  232000-232500   00      98.53  991.4    102.15    -1.08    -1.08
TERREADELI 241121 300  232500-233000   00      99.40  991.5    103.07    -0.19    -0.19
TERREADELI 241121 300  233000-233500   00      98.47  991.5    102.14    -1.09    -1.09
TERREADELI 241121 300  233500-234000   00      99.40  991.6    103.15    -0.11    -0.11
TERREADELI 241121 300  234000-234500   00      99.00  991.5    102.69    -0.55    -0.55
TERREADELI 241121 300  234500-235000   00      98.00  991.6    101.76    -1.46    -1.46
TERREADELI 241121 300  235000-235500   00     100.00  991.6    103.79     0.51     0.51
TERREADELI 241121 300  235500-240000   00      99.27  991.7    103.11    -0.14    -0.14
TERREADELI 241122 300  000000-000500   00      99.73  991.6    103.52     0.25     0.25
TERREADELI 241122 300  000500-001000   00     100.40  991.6    104.23     0.94     0.94
TERREADELI 241122 300  001000-001500   00      99.67  991.8    103.59     0.32     0.32
TERREADELI 241122 300  001500-002000   00     100.27  991.9    104.28     0.98     0.98
TERREADELI 241122 300  002000-002500   00      99.47  991.9    103.44     0.18     0.18
TERREADELI 241122 300  002500-003000   00      99.87  991.7    103.72     0.44     0.44
TERREADELI 241122 300  003000-003500   00      99.13  991.9    103.14    -0.12    -0.12
TERREADELI 241122 300  003500-004000   00      99.00  991.9    102.98    -0.27    -0.27
TERREADELI 241122 300  004000-004500   00     100.80  991.8    104.75     1.44     1.44
TERREADELI 241122 300  004500-005000   00      98.60  991.6    102.36    -0.87    -0.87
TERREADELI 241122 300  005000-005500   00      99.00  991.9    102.98    -0.27    -0.27
TERREADELI 241122 300  005500-010000   00     100.27  991.8    104.21     0.92     0.92
TERREADELI 241122 300  010000-010500   00      98.53  992.2    102.72    -0.53    -0.53
TERREADELI 241122 300  010500-011000   00     100.67  991.9    104.75     1.45     1.45
TERREADELI 241122 300  011000-011500   00     102.00  991.9    106.10     2.75     2.75
TERREADELI 241122 300  011500-012000   00      99.07  991.9    103.09    -0.17    -0.17
TERREADELI 241122 300  012000-012500   00      99.67  991.9    103.67     0.40     0.40
TERREADELI 241122 300  012500-013000   00      98.47  992.2    102.65    -0.59    -0.59
TERREADELI 241122 300  013000-013500   00      99.93  992.2    104.16     0.87     0.87
