THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1005    MB     COEFFICIENT   -0.742    % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    109.95      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      241120 3600 000000-010000   00      94.89 1024.9    110.24     0.26    -9999
THULE      241120 3600 010000-020000   00      95.79 1023.2    109.88    -0.07    -9999
THULE      241120 3600 020000-030000   00      95.83 1023.1    109.86    -0.09    -9999
THULE      241120 3600 030000-040000   00      96.04 1023.0    109.94    -0.01    -9999
THULE      241120 3600 040000-050000   00      96.26 1022.2    109.61    -0.31    -9999
THULE      241120 3600 050000-060000   00      96.62 1021.6    109.47    -0.44    -9999
THULE      241120 3600 060000-070000   00      97.15 1020.5    109.23    -0.65    -9999
THULE      241120 3600 070000-080000   00      98.72 1019.7    110.35     0.36    -9999
THULE      241120 3600 080000-090000   00      98.27 1019.8    109.91    -0.04    -9999
THULE      241120 3600 090000-100000   00      98.83 1019.3    110.15     0.18    -9999
THULE      241120 3600 100000-110000   00      99.53 1019.2    110.78     0.75    -9999
THULE      241120 3600 110000-120000   00      99.84 1018.6    110.68     0.66    -9999
THULE      241120 3600 120000-130000   00     100.13 1018.0    110.50     0.49    -9999
THULE      241120 3600 130000-140000   00     100.66 1017.6    110.76     0.74    -9999
THULE      241120 3600 140000-150000   00     101.42 1016.6    110.75     0.73    -9999
THULE      241120 3600 150000-160000   00     101.87 1016.2    110.92     0.88    -9999
THULE      241120 3600 160000-170000   00     102.12 1015.9    110.94     0.89    -9999
THULE      241120 3600 170000-180000   00     102.07 1015.8    110.77     0.74    -9999
THULE      241120 3600 180000-190000   00     101.94 1016.0    110.81     0.78    -9999
THULE      241120 3600 190000-200000   00     101.90 1016.4    111.08     1.03    -9999
THULE      241120 3600 200000-210000   00     101.77 1016.7    111.19     1.12    -9999
THULE      241120 3600 210000-220000   00     101.71 1016.7    111.12     1.06    -9999
THULE      241120 3600 220000-230000   00     102.15 1016.4    111.37     1.29    -9999
THULE      241120 3600 230000-240000   00     101.66 1016.4    110.81     0.78    -9999
THULE      241121 3600 000000-010000   00     101.47 1016.5    110.74     0.71    -9999
THULE      241121 3600 010000-020000   00     101.17 1016.8    110.65     0.63    -9999
THULE      241121 3600 020000-030000   00     100.68 1017.4    110.56     0.55    -9999
THULE      241121 3600 030000-040000   00     100.14 1017.7    110.23     0.25    -9999
THULE      241121 3600 040000-050000   00      99.94 1017.9    110.14     0.17    -9999
THULE      241121 3600 050000-060000   00      99.43 1018.3    109.91    -0.04    -9999
THULE      241121 3600 060000-070000   00      99.52 1018.7    110.37     0.38    -9999
THULE      241121 3600 070000-080000   00      99.08 1019.2    110.30     0.31    -9999
THULE      241121 3600 080000-090000   00      98.75 1019.8    110.43     0.43    -9999
THULE      241121 3600 090000-100000   00      98.14 1020.3    110.16     0.19    -9999
