YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    193.58      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    241120 3600 000000-010000   00     206.04  995.4    194.96     0.71    -9999
YAKUTSK    241120 3600 010000-020000   00     207.50  995.6    196.66     1.59    -9999
YAKUTSK    241120 3600 020000-030000   00     206.87  995.9    196.51     1.51    -9999
YAKUTSK    241120 3600 030000-040000   00     206.68  996.1    196.60     1.56    -9999
YAKUTSK    241120 3600 040000-050000   00     205.74  996.6    196.38     1.45    -9999
YAKUTSK    241120 3600 050000-060000   00     204.96  997.2    196.46     1.48    -9999
YAKUTSK    241120 3600 060000-070000   00     204.05  998.0    196.72     1.62    -9999
YAKUTSK    241120 3600 070000-080000   00     203.04  998.7    196.77     1.65    -9999
YAKUTSK    241120 3600 080000-090000   00     202.13  999.5    196.95     1.74    -9999
YAKUTSK    241120 3600 090000-100000   00     201.02 1000.3    197.01     1.77    -9999
YAKUTSK    241120 3600 100000-110000   00     200.06 1000.9    197.05     1.79    -9999
YAKUTSK    241120 3600 110000-120000   00     198.86 1001.5    196.64     1.58    -9999
YAKUTSK    241120 3600 120000-130000   00     197.73 1001.9    196.13     1.32    -9999
YAKUTSK    241120 3600 130000-140000   00     196.68 1002.5    195.94     1.22    -9999
YAKUTSK    241120 3600 140000-150000   00     194.94 1003.1    195.04     0.75    -9999
YAKUTSK    241120 3600 150000-160000   00     194.45 1003.6    195.27     0.87    -9999
YAKUTSK    241120 3600 160000-170000   00     193.75 1004.2    195.32     0.89    -9999
YAKUTSK    241120 3600 170000-180000   00     193.11 1004.8    195.60     1.04    -9999
YAKUTSK    241120 3600 180000-190000   00     192.28 1005.4    195.55     1.01    -9999
YAKUTSK    241120 3600 190000-200000   00     191.94 1005.8    195.81     1.15    -9999
YAKUTSK    241120 3600 200000-210000   00     191.91 1006.3    196.54     1.53    -9999
YAKUTSK    241120 3600 210000-220000   00     191.17 1007.2    196.99     1.76    -9999
YAKUTSK    241120 3600 220000-230000   00     189.59 1007.9    196.34     1.43    -9999
YAKUTSK    241120 3600 230000-240000   00     189.32 1008.3    196.70     1.61    -9999
YAKUTSK    241121 3600 000000-010000   00     188.22 1009.1    196.62     1.57    -9999
YAKUTSK    241121 3600 010000-020000   00     187.88 1009.5    196.87     1.70    -9999
YAKUTSK    241121 3600 020000-030000   00     187.46 1010.0    197.10     1.82    -9999
YAKUTSK    241121 3600 030000-040000   00     186.98 1010.2    196.89     1.71    -9999
YAKUTSK    241121 3600 040000-050000   00     186.02 1010.6    196.54     1.52    -9999
YAKUTSK    241121 3600 050000-060000   00     184.97 1011.4    196.46     1.49    -9999
YAKUTSK    241121 3600 060000-070000   00     184.10 1012.2    196.67     1.59    -9999
YAKUTSK    241121 3600 070000-080000   00     182.55 1013.0    196.19     1.34    -9999
YAKUTSK    241121 3600 080000-090000   00     182.25 1013.7    196.85     1.69    -9999
YAKUTSK    241121 3600 090000-100000   00     181.61 1014.1    196.76     1.64    -9999
YAKUTSK    241121 3600 100000-110000   00     179.70 1014.7    195.47     0.97    -9999
YAKUTSK    241121 3600 110000-120000   00     178.58 1015.3    195.16     0.81    -9999
YAKUTSK    241121 3600 120000-130000   00     177.90 1015.7    194.94     0.70    -9999
YAKUTSK    241121 3600 130000-140000   00     177.39 1016.0    194.74     0.60    -9999
YAKUTSK    241121 3600 140000-150000   00     176.75 1016.3    194.58     0.52    -9999
YAKUTSK    241121 3600 150000-160000   00     175.61 1016.8    193.96     0.19    -9999
YAKUTSK    241121 300  160000-160500   00     175.31 1017.0    193.92     0.17     0.21
YAKUTSK    241121 300  160500-161000   00     174.80 1017.0    193.31    -0.14    -0.12
YAKUTSK    241121 300  161000-161500   00     176.67 1016.9    195.28     0.88     0.90
YAKUTSK    241121 300  161500-162000   00     174.43 1016.9    192.77    -0.42    -0.40
YAKUTSK    241121 300  162000-162500   00     175.23 1016.9    193.65     0.04     0.05
YAKUTSK    241121 300  162500-163000   00     176.64 1017.0    195.33     0.90     0.91
YAKUTSK    241121 300  163000-163500   00     174.27 1017.0    192.77    -0.42    -0.42
YAKUTSK    241121 300  163500-164000   00     174.40 1017.1    192.99    -0.31    -0.31
YAKUTSK    241121 300  164000-164500   00     175.79 1017.1    194.56     0.50     0.49
YAKUTSK    241121 300  164500-165000   00     174.75 1017.1    193.39    -0.10    -0.12
YAKUTSK    241121 300  165000-165500   00     175.79 1017.1    194.53     0.49     0.47
YAKUTSK    241121 300  165500-170000   00     176.11 1017.1    194.93     0.70     0.67
YAKUTSK    241121 300  170000-170500   00     176.45 1017.0    195.17     0.82     0.79
YAKUTSK    241121 300  170500-171000   00     175.17 1017.0    193.76     0.09     0.05
YAKUTSK    241121 300  171000-171500   00     174.77 1017.0    193.39    -0.10    -0.15
YAKUTSK    241121 300  171500-172000   00     175.28 1017.1    194.11     0.27     0.22
YAKUTSK    241121 300  172000-172500   00     174.67 1017.2    193.52    -0.03    -0.09
YAKUTSK    241121 300  172500-173000   00     173.81 1017.3    192.61    -0.50    -0.56
YAKUTSK    241121 300  173000-173500   00     174.59 1017.2    193.44    -0.07    -0.14
YAKUTSK    241121 300  173500-174000   00     173.84 1017.2    192.59    -0.52    -0.59
YAKUTSK    241121 300  174000-174500   00     172.35 1017.2    190.85    -1.41    -1.49
YAKUTSK    241121 300  174500-175000   00     174.00 1017.2    192.72    -0.45    -0.53
YAKUTSK    241121 300  175000-175500   00     173.20 1017.2    191.92    -0.86    -0.95
YAKUTSK    241121 300  175500-180000   00     175.49 1017.3    194.51     0.48     0.38
YAKUTSK    241121 300  180000-180500   00     175.20 1017.3    194.21     0.32     0.22
YAKUTSK    241121 300  180500-181000   00     173.20 1017.4    192.16    -0.74    -0.84
YAKUTSK    241121 300  181000-181500   00     176.51 1017.4    195.87     1.18     1.07
YAKUTSK    241121 300  181500-182000   00     174.48 1017.4    193.57    -0.01    -0.12
YAKUTSK    241121 300  182000-182500   00     175.09 1017.4    194.32     0.38     0.26
YAKUTSK    241121 300  182500-183000   00     177.87 1017.5    197.39     1.96     1.83
YAKUTSK    241121 300  183000-183500   00     176.99 1017.5    196.48     1.50     1.36
YAKUTSK    241121 300  183500-184000   00     175.55 1017.5    194.96     0.71     0.57
YAKUTSK    241121 300  184000-184500   00     175.92 1017.5    195.31     0.89     0.74
YAKUTSK    241121 300  184500-185000   00     175.81 1017.5    195.20     0.83     0.68
YAKUTSK    241121 300  185000-185500   00     177.97 1017.6    197.68     2.12     1.96
YAKUTSK    241121 300  185500-190000   00     178.05 1017.7    197.89     2.23     2.06
YAKUTSK    241121 300  190000-190500   00     177.73 1017.7    197.63     2.09     1.92
YAKUTSK    241121 300  190500-191000   00     177.84 1017.8    197.84     2.20     2.02
YAKUTSK    241121 300  191000-191500   00     175.52 1017.9    195.33     0.90     0.72
YAKUTSK    241121 300  191500-192000   00     177.25 1017.8    197.20     1.87     1.68
YAKUTSK    241121 300  192000-192500   00     175.65 1017.8    195.47     0.97     0.78
YAKUTSK    241121 300  192500-193000   00     175.47 1017.9    195.39     0.93     0.73
YAKUTSK    241121 300  193000-193500   00     176.51 1018.0    196.59     1.55     1.35
YAKUTSK    241121 300  193500-194000   00     177.57 1018.0    197.87     2.21     2.00
YAKUTSK    241121 300  194000-194500   00     175.71 1018.0    195.81     1.15     0.94
YAKUTSK    241121 300  194500-195000   00     176.59 1018.1    196.85     1.69     1.47
YAKUTSK    241121 300  195000-195500   00     175.12 1018.1    195.25     0.86     0.64
YAKUTSK    241121 300  195500-200000   00     173.63 1018.1    193.63     0.02    -0.21
YAKUTSK    241121 300  200000-200500   00     172.48 1018.1    192.40    -0.61    -0.85
YAKUTSK    241121 300  200500-201000   00     174.96 1018.1    195.09     0.78     0.54
YAKUTSK    241121 300  201000-201500   00     174.77 1018.1    194.85     0.66     0.41
YAKUTSK    241121 300  201500-202000   00     174.72 1018.0    194.69     0.57     0.32
YAKUTSK    241121 300  202000-202500   00     174.45 1018.0    194.37     0.41     0.15
YAKUTSK    241121 300  202500-203000   00     174.99 1018.1    195.17     0.82     0.56
YAKUTSK    241121 300  203000-203500   00     172.83 1018.2    192.88    -0.36    -0.63
YAKUTSK    241121 300  203500-204000   00     174.43 1018.2    194.67     0.56     0.28
YAKUTSK    241121 300  204000-204500   00     174.08 1018.2    194.29     0.37     0.08
YAKUTSK    241121 300  204500-205000   00     172.45 1018.2    192.43    -0.60    -0.89
YAKUTSK    241121 300  205000-205500   00     175.28 1018.2    195.65     1.07     0.78
YAKUTSK    241121 300  205500-210000   00     174.51 1018.3    194.85     0.66     0.36
YAKUTSK    241121 300  210000-210500   00     173.60 1018.3    193.89     0.16    -0.15
