Year;Month;Fractional year;Modulation potential [MV]
1964;1;1964;578.5
1964;2;1964.084699;582.4
1964;3;1964.163934;555.9
1964;4;1964.248634;538.8
1964;5;1964.330601;531.4
1964;6;1964.415301;531.5
1964;7;1964.497268;531.8
1964;8;1964.581967;524
1964;9;1964.666667;512.9
1964;10;1964.748634;514.9
1964;11;1964.833333;517.9
1964;12;1964.915301;489.2
1965;1;1965;486.2
1965;2;1965.084932;489.8
1965;3;1965.161644;476.7
1965;4;1965.246575;462.3
1965;5;1965.328767;456.3
1965;6;1965.413699;487.7
1965;7;1965.49589;499.8
1965;8;1965.580822;501.7
1965;9;1965.665753;498.7
1965;10;1965.747945;491.3
1965;11;1965.832877;475.4
1965;12;1965.915068;477.6
1966;1;1966;503.4
1966;2;1966.084932;505.7
1966;3;1966.161644;521.8
1966;4;1966.246575;535.5
1966;5;1966.328767;518.3
1966;6;1966.413699;552.4
1966;7;1966.49589;569.5
1966;8;1966.580822;572
1966;9;1966.665753;679
1966;10;1966.747945;619.5
1966;11;1966.832877;599.9
1966;12;1966.915068;627.8
1967;1;1967;658.8
1967;2;1967.084932;673.6
1967;3;1967.161644;634.8
1967;4;1967.246575;626
1967;5;1967.328767;661.9
1967;6;1967.413699;673.5
1967;7;1967.49589;650.8
1967;8;1967.580822;677.1
1967;9;1967.665753;672.9
1967;10;1967.747945;664.3
1967;11;1967.832877;696.7
1967;12;1967.915068;701.4
1968;1;1968;687.9
1968;2;1968.084699;700.8
1968;3;1968.163934;709.7
1968;4;1968.248634;693.1
1968;5;1968.330601;718.4
1968;6;1968.415301;761.1
1968;7;1968.497268;750.6
1968;8;1968.581967;737.2
1968;9;1968.666667;765.3
1968;10;1968.748634;811.6
1968;11;1968.833333;887.1
1968;12;1968.915301;857.2
1969;1;1969;769.5
1969;2;1969.084932;768.6
1969;3;1969.161644;785.5
1969;4;1969.246575;790.1
1969;5;1969.328767;869
1969;6;1969.413699;899.8
1969;7;1969.49589;858.9
1969;8;1969.580822;807.2
1969;9;1969.665753;782.4
1969;10;1969.747945;775.9
1969;11;1969.832877;765.8
1969;12;1969.915068;769.3
1970;1;1970;779.4
1970;2;1970.084932;755.8
1970;3;1970.161644;765.5
1970;4;1970.246575;798.3
1970;5;1970.328767;791
1970;6;1970.413699;854.7
1970;7;1970.49589;851.3
1970;8;1970.580822;805.1
1970;9;1970.665753;759.8
1970;10;1970.747945;747.9
1970;11;1970.832877;782.8
1970;12;1970.915068;710.1
1971;1;1971;700.5
1971;2;1971.084932;657.9
1971;3;1971.161644;659.1
1971;4;1971.246575;645.1
1971;5;1971.328767;625.7
1971;6;1971.413699;572.8
1971;7;1971.49589;566.2
1971;8;1971.580822;552.1
1971;9;1971.665753;557.5
1971;10;1971.747945;533.5
1971;11;1971.832877;538.9
1971;12;1971.915068;548.3
1972;1;1972;557.3
1972;2;1972.084699;560.9
1972;3;1972.163934;522.2
1972;4;1972.248634;501.5
1972;5;1972.330601;517.2
1972;6;1972.415301;564.8
1972;7;1972.497268;529.4
1972;8;1972.581967;648.2
1972;9;1972.666667;541.8
1972;10;1972.748634;528.9
1972;11;1972.833333;551
1972;12;1972.915301;534.3
1973;1;1973;536.7
1973;2;1973.084932;545.2
1973;3;1973.161644;557.3
1973;4;1973.246575;607.3
1973;5;1973.328767;639.4
1973;6;1973.413699;574.8
1973;7;1973.49589;552
1973;8;1973.580822;537.7
1973;9;1973.665753;512.3
1973;10;1973.747945;514.9
1973;11;1973.832877;508.7
1973;12;1973.915068;505.8
1974;1;1974;512.9
1974;2;1974.084932;499.2
1974;3;1974.161644;525.2
1974;4;1974.246575;536.7
1974;5;1974.328767;583.2
1974;6;1974.413699;611.4
1974;7;1974.49589;650.4
1974;8;1974.580822;608.2
1974;9;1974.665753;634.7
1974;10;1974.747945;629.6
1974;11;1974.832877;623.9
1974;12;1974.915068;572.3
1975;1;1975;565.5
1975;2;1975.084932;542.9
1975;3;1975.161644;533
1975;4;1975.246575;523.3
1975;5;1975.328767;516.5
1975;6;1975.413699;502.8
1975;7;1975.49589;501.9
1975;8;1975.580822;524.2
1975;9;1975.665753;523.8
1975;10;1975.747945;526
1975;11;1975.832877;547
1975;12;1975.915068;531.9
1976;1;1976;532.3
1976;2;1976.084699;527
1976;3;1976.163934;522
1976;4;1976.248634;538.1
1976;5;1976.330601;515.1
1976;6;1976.415301;506.7
1976;7;1976.497268;502.5
1976;8;1976.581967;496.4
1976;9;1976.666667;495.4
1976;10;1976.748634;498.5
1976;11;1976.833333;505
1976;12;1976.915301;513.3
1977;1;1977;511.6
1977;2;1977.084932;509.1
1977;3;1977.161644;503.6
1977;4;1977.246575;504.5
1977;5;1977.328767;503.5
1977;6;1977.413699;519.9
1977;7;1977.49589;551.3
1977;8;1977.580822;544.4
1977;9;1977.665753;544.7
1977;10;1977.747945;524.1
1977;11;1977.832877;506
1977;12;1977.915068;513.7
1978;1;1978;553
1978;2;1978.084932;563.5
1978;3;1978.161644;574
1978;4;1978.246575;619.4
1978;5;1978.328767;675.6
1978;6;1978.413699;629.3
1978;7;1978.49589;621.6
1978;8;1978.580822;556.7
1978;9;1978.665753;555.9
1978;10;1978.747945;606
1978;11;1978.832877;584.3
1978;12;1978.915068;586
1979;1;1979;623.1
1979;2;1979.084932;638.8
1979;3;1979.161644;666.4
1979;4;1979.246575;726.5
1979;5;1979.328767;694.4
1979;6;1979.413699;755.4
1979;7;1979.49589;752.2
1979;8;1979.580822;818.8
1979;9;1979.665753;795.5
1979;10;1979.747945;745.7
1979;11;1979.832877;747.5
1979;12;1979.915068;695.2
1980;1;1980;715.8
1980;2;1980.084699;729.1
