datetime,SSN value
1971-01-15 00:00:00,113.8
1971-02-15 00:00:00,110.1
1971-03-15 00:00:00,105.3
1971-04-15 00:00:00,100.4
1971-05-15 00:00:00,96.5
1971-06-15 00:00:00,94.5
1971-07-15 00:00:00,92.7
1971-08-15 00:00:00,91.5
1971-09-15 00:00:00,93.2
1971-10-15 00:00:00,93.8
1971-11-15 00:00:00,94.7
1971-12-15 00:00:00,98.3
1972-01-15 00:00:00,100.3
1972-02-15 00:00:00,100.9
1972-03-15 00:00:00,102.6
1972-04-15 00:00:00,104.0
1972-05-15 00:00:00,103.3
1972-06-15 00:00:00,99.9
1972-07-15 00:00:00,96.6
1972-08-15 00:00:00,92.9
1972-09-15 00:00:00,88.2
1972-10-15 00:00:00,85.9
1972-11-15 00:00:00,83.3
1972-12-15 00:00:00,78.2
1973-01-15 00:00:00,72.3
1973-02-15 00:00:00,66.1
1973-03-15 00:00:00,62.8
1973-04-15 00:00:00,60.8
1973-05-15 00:00:00,57.9
1973-06-15 00:00:00,55.6
1973-07-15 00:00:00,53.4
1973-08-15 00:00:00,51.4
1973-09-15 00:00:00,49.0
1973-10-15 00:00:00,46.6
1973-11-15 00:00:00,45.4
1973-12-15 00:00:00,45.0
1974-01-15 00:00:00,46.8
1974-02-15 00:00:00,49.1
1974-03-15 00:00:00,48.5
1974-04-15 00:00:00,48.3
1974-05-15 00:00:00,49.4
1974-06-15 00:00:00,49.3
1974-07-15 00:00:00,48.6
1974-08-15 00:00:00,47.3
1974-09-15 00:00:00,45.8
1974-10-15 00:00:00,43.2
1974-11-15 00:00:00,39.3
1974-12-15 00:00:00,36.1
1975-01-15 00:00:00,33.0
1975-02-15 00:00:00,31.8
1975-03-15 00:00:00,30.6
1975-04-15 00:00:00,26.8
1975-05-15 00:00:00,24.2
1975-06-15 00:00:00,23.2
1975-07-15 00:00:00,21.8
1975-08-15 00:00:00,20.7
1975-09-15 00:00:00,20.9
1975-10-15 00:00:00,22.3
1975-11-15 00:00:00,23.3
1975-12-15 00:00:00,23.6
1976-01-15 00:00:00,22.1
1976-02-15 00:00:00,19.2
1976-03-15 00:00:00,17.8
1976-04-15 00:00:00,18.4
1976-05-15 00:00:00,18.3
1976-06-15 00:00:00,17.9
1976-07-15 00:00:00,18.8
1976-08-15 00:00:00,20.5
1976-09-15 00:00:00,20.8
1976-10-15 00:00:00,19.7
1976-11-15 00:00:00,19.7
1976-12-15 00:00:00,21.6
1977-01-15 00:00:00,24.3
1977-02-15 00:00:00,26.3
1977-03-15 00:00:00,28.8
1977-04-15 00:00:00,31.9
1977-05-15 00:00:00,34.7
1977-06-15 00:00:00,37.7
1977-07-15 00:00:00,41.4
1977-08-15 00:00:00,47.6
1977-09-15 00:00:00,55.8
1977-10-15 00:00:00,64.8
1977-11-15 00:00:00,73.7
1977-12-15 00:00:00,80.7
1978-01-15 00:00:00,86.9
1978-02-15 00:00:00,91.5
1978-03-15 00:00:00,98.7
1978-04-15 00:00:00,109.0
1978-05-15 00:00:00,117.8
1978-06-15 00:00:00,126.6
1978-07-15 00:00:00,138.0
1978-08-15 00:00:00,147.3
1978-09-15 00:00:00,153.6
1978-10-15 00:00:00,157.3
1978-11-15 00:00:00,160.4
1978-12-15 00:00:00,166.7
1979-01-15 00:00:00,175.2
1979-02-15 00:00:00,185.4
1979-03-15 00:00:00,193.3
1979-04-15 00:00:00,199.9
1979-05-15 00:00:00,208.5
1979-06-15 00:00:00,216.7
1979-07-15 00:00:00,219.5
1979-08-15 00:00:00,220.1
1979-09-15 00:00:00,220.4
1979-10-15 00:00:00,223.4
1979-11-15 00:00:00,229.8
1979-12-15 00:00:00,232.9
1980-01-15 00:00:00,232.0
1980-02-15 00:00:00,230.2
1980-03-15 00:00:00,227.9
1980-04-15 00:00:00,224.6
1980-05-15 00:00:00,221.3
1980-06-15 00:00:00,219.1
1980-07-15 00:00:00,216.1
1980-08-15 00:00:00,212.0
1980-09-15 00:00:00,211.5
1980-10-15 00:00:00,211.9
1980-11-15 00:00:00,209.1
1980-12-15 00:00:00,202.8
1981-01-15 00:00:00,199.6
1981-02-15 00:00:00,202.2
1981-03-15 00:00:00,205.4
1981-04-15 00:00:00,205.7
1981-05-15 00:00:00,204.1
1981-06-15 00:00:00,200.9
1981-07-15 00:00:00,198.5
1981-08-15 00:00:00,199.9
1981-09-15 00:00:00,202.7
1981-10-15 00:00:00,201.4
1981-11-15 00:00:00,196.0
1981-12-15 00:00:00,194.1
1982-01-15 00:00:00,192.7
1982-02-15 00:00:00,186.6
1982-03-15 00:00:00,180.0
1982-04-15 00:00:00,173.4
1982-05-15 00:00:00,167.5
1982-06-15 00:00:00,164.0
1982-07-15 00:00:00,161.5
1982-08-15 00:00:00,153.5
1982-09-15 00:00:00,141.4
1982-10-15 00:00:00,133.3
1982-11-15 00:00:00,131.3
1982-12-15 00:00:00,130.5
