ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     mb     COEFFICIENT   -0.7      % / mb
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     55.78      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ATHENS     170909 3600 000000-010000   00      54.70  981.4     55.20    -1.04    -9999
ATHENS     170909 3600 010000-020000   00      55.12  981.2     55.54    -0.44    -9999
ATHENS     170909 3600 020000-030000   00      55.31  980.8     55.58    -0.37    -9999
ATHENS     170909 3600 030000-040000   00      55.04  980.5     55.28    -0.89    -9999
ATHENS     170909 3600 040000-050000   00      54.96  980.5     55.12    -1.18    -9999
ATHENS     170909 3600 050000-060000   00      54.89  980.6     55.10    -1.22    -9999
ATHENS     170909 3600 060000-070000   00      54.75  981.1     55.18    -1.08    -9999
ATHENS     170909 3600 070000-080000   00      54.44  981.2     54.85    -1.66    -9999
ATHENS     170909 3600 080000-090000   00      54.38  981.0     54.76    -1.83    -9999
ATHENS     170909 3600 090000-100000   00      54.56  980.8     54.80    -1.76    -9999
ATHENS     170909 3600 100000-110000   00      54.71  980.5     54.88    -1.61    -9999
ATHENS     170909 3600 110000-120000   00      55.21  980.4     55.37    -0.73    -9999
ATHENS     170909 3600 120000-130000   00      54.89  979.9     54.84    -1.69    -9999
ATHENS     170909 3600 130000-140000   00      55.52  979.3     55.26    -0.94    -9999
ATHENS     170909 3600 140000-150000   00      55.14  978.9     54.69    -1.96    -9999
ATHENS     170909 3600 150000-160000   00      55.65  978.4     54.93    -1.53    -9999
ATHENS     170909 3600 160000-170000   00      56.08  977.9     55.30    -0.87    -9999
ATHENS     170909 3600 170000-180000   00      56.25  978.5     55.67    -0.19    -9999
ATHENS     170909 3600 180000-190000   00      56.00  979.1     55.57    -0.37    -9999
ATHENS     170909 3600 190000-200000   00      55.91  979.2     55.61    -0.31    -9999
ATHENS     170909 3600 200000-210000   00      55.86  979.3     55.63    -0.27    -9999
ATHENS     170909 3600 210000-220000   00      55.58  979.2     55.27    -0.91    -9999
ATHENS     170909 3600 220000-230000   00      55.81  979.0     55.35    -0.77    -9999
ATHENS     170909 3600 230000-240000   00      55.86  978.7     55.32    -0.82    -9999
ATHENS     170910 3600 000000-010000   00      56.30  978.4     55.65    -0.23    -9999
ATHENS     170910 3600 010000-020000   00      56.29  978.5     55.73    -0.09    -9999
ATHENS     170910 3600 020000-030000   00      56.43  978.5     55.89     0.20    -9999
ATHENS     170910 3600 030000-040000   00      56.27  978.7     55.75    -0.06    -9999
ATHENS     170910 3600 040000-050000   00      56.00  979.0     55.58    -0.36    -9999
ATHENS     170910 3600 050000-060000   00      56.19  979.0     55.81     0.06    -9999
ATHENS     170910 3600 060000-070000   00      56.26  979.2     55.92     0.25    -9999
ATHENS     170910 3600 070000-080000   00      56.04  979.5     55.81     0.05    -9999
ATHENS     170910 3600 080000-090000   00      55.93  979.5     55.71    -0.12    -9999
ATHENS     170910 3600 090000-100000   00      56.13  979.5     55.90     0.21    -9999
ATHENS     170910 3600 100000-110000   00      56.09  979.2     55.69    -0.17    -9999
ATHENS     170910 3600 110000-120000   00      56.51  978.9     56.08     0.53    -9999
ATHENS     170910 300  120000-120500   00      55.95  978.7     55.42    -0.64    -9999
ATHENS     170910 300  120500-121000   00      56.12  978.5     55.65    -0.24    -9999
ATHENS     170910 300  121000-121500   00      56.57  978.7     55.95     0.30    -9999
ATHENS     170910 300  121500-122000   00      55.11  978.6     54.59    -2.14    -9999
ATHENS     170910 300  122000-122500   00      56.26  978.6     55.71    -0.13    -9999
ATHENS     170910 300  122500-123000   00      56.58  978.6     56.04     0.46    -9999
ATHENS     170910 300  123000-123500   00      57.26  978.6     56.72     1.68    -9999
ATHENS     170910 300  123500-124000   00      55.81  978.6     55.28    -0.90    -9999
ATHENS     170910 300  124000-124500   00      57.82  978.6     57.17     2.49    -9999
ATHENS     170910 300  124500-125000   00      56.28  978.7     55.75    -0.05    -9999
ATHENS     170910 300  125000-125500   00      56.15  978.7     55.38    -0.72    -9999
ATHENS     170910 300  125500-130000   00      56.31  978.5     55.73    -0.09    -9999
ATHENS     170910 300  130000-130500   00      55.74  978.5     54.94    -1.51    -9999
ATHENS     170910 300  130500-131000   00      56.73  978.5     56.15     0.65    -9999
ATHENS     170910 300  131000-131500   00      56.32  978.4     55.70    -0.15    -9999
ATHENS     170910 300  131500-132000   00      56.10  978.3     55.45    -0.60    -9999
ATHENS     170910 300  132000-132500   00      56.48  978.4     55.75    -0.06    -9999
ATHENS     170910 300  132500-133000   00      55.53  978.3     54.87    -1.63    -9999
ATHENS     170910 300  133000-133500   00      56.45  978.2     55.63    -0.28    -9999
ATHENS     170910 300  133500-134000   00      56.59  978.2     55.93     0.26    -9999
ATHENS     170910 300  134000-134500   00      57.06  978.3     56.38     1.08    -9999
ATHENS     170910 300  134500-135000   00      55.30  978.2     54.62    -2.08    -9999
ATHENS     170910 300  135000-135500   00      56.59  978.3     55.90     0.22    -9999
ATHENS     170910 300  135500-140000   00      56.42  978.2     55.72    -0.11    -9999
ATHENS     170910 300  140000-140500   00      56.32  978.3     55.64    -0.26    -9999
ATHENS     170910 300  140500-141000   00      56.58  978.2     55.87     0.17    -9999
ATHENS     170910 300  141000-141500   00      55.87  978.3     55.02    -1.36    -9999
ATHENS     170910 300  141500-142000   00      56.21  978.4     55.57    -0.38    -9999
ATHENS     170910 300  142000-142500   00      55.71  978.3     55.06    -1.29    -9999
ATHENS     170910 300  142500-143000   00      56.68  978.3     56.02     0.43    -9999
ATHENS     170910 300  143000-143500   00      55.60  978.4     54.97    -1.45    -9999
ATHENS     170910 300  143500-144000   00      56.55  978.4     55.90     0.22    -9999
ATHENS     170910 300  144000-144500   00      55.96  978.4     55.35    -0.78    -9999
ATHENS     170910 300  144500-145000   00      55.85  978.4     55.23    -0.99    -9999
ATHENS     170910 300  145000-145500   00      56.52  978.3     55.87     0.15    -9999
ATHENS     170910 300  145500-150000   00      55.54  978.4     54.92    -1.55    -9999
ATHENS     170910 300  150000-150500   00      56.45  978.4     55.31    -0.84    -9999
ATHENS     170910 300  150500-151000   00      56.56  978.5     55.95     0.31    -9999
ATHENS     170910 300  151000-151500   00      56.80  978.4     56.18     0.71    -9999
ATHENS     170910 300  151500-152000   00      55.53  978.4     54.82    -1.72    -9999
ATHENS     170910 300  152000-152500   00      55.87  978.5     55.29    -0.88    -9999
ATHENS     170910 300  152500-153000   00      56.38  978.4     55.95     0.30    -9999
ATHENS     170910 300  153000-153500   00      57.34  978.5     56.73     1.71    -9999
ATHENS     170910 300  153500-154000   00      56.81  978.4     56.19     0.74    -9999
ATHENS     170910 300  154000-154500   00      57.99  978.5     57.33     2.78    -9999
ATHENS     170910 300  154500-155000   00      57.88  978.5     57.28     2.68    -9999
ATHENS     170910 300  155000-155500   00      55.95  978.4     55.34    -0.79    -9999
ATHENS     170910 300  155500-160000   00      57.53  978.6     56.95     2.10    -9999
ATHENS     170910 300  160000-160500   00      56.79  978.5     56.18     0.72    -9999
ATHENS     170910 300  160500-161000   00      56.31  978.4     55.69    -0.16    -9999
ATHENS     170910 300  161000-161500   00      55.15  978.4     54.18    -2.87    -9999
ATHENS     170910 300  161500-162000   00      56.24  978.4     55.60    -0.33    -9999
ATHENS     170910 300  162000-162500   00      56.20  978.5     55.61    -0.31    -9999
ATHENS     170910 300  162500-163000   00      56.23  978.6     55.68    -0.18    -9999
ATHENS     170910 300  163000-163500   00      56.12  978.7     55.45    -0.59    -9999
ATHENS     170910 300  163500-164000   00      56.21  978.7     55.71    -0.13    -9999
ATHENS     170910 300  164000-164500   00      55.65  978.8     54.98    -1.43    -9999
ATHENS     170910 300  164500-165000   00      56.00  978.7     55.47    -0.55    -9999
ATHENS     170910 300  165000-165500   00      55.46  978.8     54.98    -1.43    -9999
ATHENS     170910 300  165500-170000   00      55.86  978.8     55.37    -0.73    -9999
ATHENS     170910 300  170000-170500   00      55.62  978.8     55.15    -1.13    -9999
ATHENS     170910 300  170500-171000   00      57.05  978.8     56.55     1.39    -9999
ATHENS     170910 300  171000-171500   00      56.21  978.8     55.75    -0.05    -9999
ATHENS     170910 300  171500-172000   00      57.06  979.0     56.64     1.55    -9999
ATHENS     170910 300  172000-172500   00      56.08  979.0     55.69    -0.16    -9999
ATHENS     170910 300  172500-173000   00      56.36  979.0     55.96     0.33    -9999
ATHENS     170910 300  173000-173500   00      54.94  979.1     54.58    -2.15    -9999
ATHENS     170910 300  173500-174000   00      57.24  979.1     56.88     1.98    -9999
ATHENS     170910 300  174000-174500   00      55.71  979.2     55.39    -0.70    -9999
ATHENS     170910 300  174500-175000   00      55.18  979.3     54.92    -1.54    -9999
ATHENS     170910 300  175000-175500   00      56.61  979.3     56.25     0.84    -9999
ATHENS     170910 300  175500-180000   00      56.54  979.4     56.29     0.91    -9999
ATHENS     170910 300  180000-180500   00      54.77  979.3     54.51    -2.27    -9999
ATHENS     170910 300  180500-181000   00      55.16  979.4     54.80    -1.76    -9999
ATHENS     170910 300  181000-181500   00      56.29  979.4     56.34     1.00    -9999
ATHENS     170910 300  181500-182000   00      56.16  979.4     55.94     0.28    -9999
ATHENS     170910 300  182000-182500   00      56.70  979.5     56.50     1.30    -9999
ATHENS     170910 300  182500-183000   00      55.84  979.5     55.66    -0.22    -9999
ATHENS     170910 300  183000-183500   00      55.60  979.6     55.45    -0.59    -9999
ATHENS     170910 300  183500-184000   00      56.29  979.6     56.42     1.15    -9999
ATHENS     170910 300  184000-184500   00      55.42  979.7     55.30    -0.86    -9999
ATHENS     170910 300  184500-185000   00      56.85  979.7     56.74     1.72    -9999
ATHENS     170910 300  185000-185500   00      55.35  979.6     55.20    -1.04    -9999
ATHENS     170910 300  185500-190000   00      54.80  979.7     54.69    -1.95    -9999
ATHENS     170910 300  190000-190500   00      57.11  979.7     57.00     2.19    -9999
ATHENS     170910 300  190500-191000   00      55.77  979.8     55.69    -0.16    -9999
ATHENS     170910 300  191000-191500   00      56.21  979.8     56.12     0.62    -9999
ATHENS     170910 300  191500-192000   00      56.60  979.8     56.51     1.30    -9999
