DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.87      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       170909 3600 000000-010000   00       4.20  648.8      4.77    -2.10    -9999
DOMB       170909 3600 010000-020000   00       4.20  648.7      4.75    -2.45    -9999
DOMB       170909 3600 020000-030000   00       4.20  648.3      4.82    -1.08    -9999
DOMB       170909 3600 030000-040000   00       4.20  648.0      4.67    -4.16    -9999
DOMB       170909 3600 040000-050000   00       4.20  647.9      4.73    -2.80    -9999
DOMB       170909 3600 050000-060000   00       4.20  647.8      4.70    -3.48    -9999
DOMB       170909 3600 060000-070000   00       4.20  647.5      4.78    -1.78    -9999
DOMB       170909 3600 070000-080000   00       4.21  647.3      4.70    -3.48    -9999
DOMB       170909 3600 080000-090000   00       4.21  646.9      4.78    -1.78    -9999
DOMB       170909 3600 090000-100000   00       4.21  646.6      4.72    -3.13    -9999
DOMB       170909 3600 100000-110000   00       4.21  646.3      4.72    -3.13    -9999
DOMB       170909 3600 110000-120000   00       4.21  646.0      4.75    -2.45    -9999
DOMB       170909 3600 120000-130000   00       4.21  645.5      4.73    -2.80    -9999
DOMB       170909 3600 130000-140000   00       4.21  644.9      4.73    -2.80    -9999
DOMB       170909 3600 140000-150000   00       4.21  644.4      4.78    -1.78    -9999
DOMB       170909 3600 150000-160000   00       4.21  644.0      4.75    -2.45    -9999
DOMB       170909 3600 160000-170000   00       4.21  643.4      4.80    -1.43    -9999
DOMB       170909 3600 170000-180000   00       4.21  642.9      4.72    -3.13    -9999
DOMB       170909 3600 180000-190000   00       4.21  642.2      4.72    -3.13    -9999
DOMB       170909 3600 190000-200000   00       4.21  641.6      4.72    -3.13    -9999
DOMB       170909 3600 200000-210000   00       4.21  641.0      4.80    -1.43    -9999
DOMB       170909 3600 210000-220000   00       4.22  640.3      4.82    -1.08    -9999
DOMB       170909 3600 220000-230000   00       4.22  640.0      4.77    -2.10    -9999
DOMB       170909 3600 230000-240000   00       4.22  639.4      4.73    -2.80    -9999
DOMB       170910 3600 000000-010000   00       4.22  638.6      4.80    -1.43    -9999
DOMB       170910 3600 010000-020000   00       4.22  638.3      4.82    -1.08    -9999
DOMB       170910 3600 020000-030000   00       4.22  637.8      4.85    -0.40    -9999
DOMB       170910 3600 030000-040000   00       4.22  637.3      4.88     0.28    -9999
DOMB       170910 3600 040000-050000   00       4.22  636.9      4.80    -1.43    -9999
DOMB       170910 3600 050000-060000   00       4.22  636.4      4.78    -1.78    -9999
DOMB       170910 3600 060000-070000   00       4.22  636.0      4.85    -0.40    -9999
DOMB       170910 3600 070000-080000   00       4.22  635.7      4.83    -0.75    -9999
DOMB       170910 3600 080000-090000   00       4.22  635.4      4.83    -0.75    -9999
DOMB       170910 3600 090000-100000   00       4.22  635.1      4.82    -1.08    -9999
DOMB       170910 3600 100000-110000   00       4.22  634.9      4.85    -0.40    -9999
DOMB       170910 3600 110000-120000   00       4.22  634.5      4.78    -1.78    -9999
DOMB       170910 300  120000-120500   00       4.23  634.4      4.80    -1.43    -9999
DOMB       170910 300  120500-121000   00       4.23  634.4      4.80    -1.43    -9999
DOMB       170910 300  121000-121500   00       4.23  634.3      4.77    -2.10    -9999
DOMB       170910 300  121500-122000   00       4.23  634.3      4.85    -0.40    -9999
DOMB       170910 300  122000-122500   00       4.23  634.2      4.87    -0.05    -9999
DOMB       170910 300  122500-123000   00       4.23  634.2      5.07     4.06    -9999
DOMB       170910 300  123000-123500   00       4.23  634.1      4.73    -2.80    -9999
DOMB       170910 300  123500-124000   00       4.23  634.1      4.67    -4.16    -9999
DOMB       170910 300  124000-124500   00       4.23  634.0      4.83    -0.75    -9999
DOMB       170910 300  124500-125000   00       4.23  634.1      4.75    -2.45    -9999
DOMB       170910 300  125000-125500   00       4.23  634.1      4.95     1.65    -9999
DOMB       170910 300  125500-130000   00       4.23  634.0      4.70    -3.48    -9999
DOMB       170910 300  130000-130500   00       4.23  634.0      4.78    -1.78    -9999
DOMB       170910 300  130500-131000   00       4.23  634.0      4.83    -0.75    -9999
DOMB       170910 300  131000-131500   00       4.23  633.9      4.73    -2.80    -9999
DOMB       170910 300  131500-132000   00       4.23  633.9      4.78    -1.78    -9999
DOMB       170910 300  132000-132500   00       4.23  633.9      4.68    -3.83    -9999
DOMB       170910 300  132500-133000   00       4.23  633.9      4.68    -3.83    -9999
DOMB       170910 300  133000-133500   00       4.23  633.9      4.93     1.30    -9999
DOMB       170910 300  133500-134000   00       4.23  633.9      4.75    -2.45    -9999
DOMB       170910 300  134000-134500   00       4.23  633.9      4.93     1.30    -9999
DOMB       170910 300  134500-135000   00       4.23  633.9      4.92     0.98    -9999
DOMB       170910 300  135000-135500   00       4.23  633.9      4.85    -0.40    -9999
DOMB       170910 300  135500-140000   00       4.23  633.8      4.90     0.63    -9999
DOMB       170910 300  140000-140500   00       4.23  633.8      4.73    -2.80    -9999
DOMB       170910 300  140500-141000   00       4.23  633.7      4.98     2.33    -9999
DOMB       170910 300  141000-141500   00       4.23  633.7      4.62    -5.18    -9999
DOMB       170910 300  141500-142000   00       4.23  633.6      4.75    -2.45    -9999
DOMB       170910 300  142000-142500   00       4.23  633.6      4.93     1.30    -9999
DOMB       170910 300  142500-143000   00       4.23  633.5      4.92     0.98    -9999
DOMB       170910 300  143000-143500   00       4.23  633.5      5.02     3.03    -9999
DOMB       170910 300  143500-144000   00       4.23  633.4      4.92     0.98    -9999
DOMB       170910 300  144000-144500   00       4.23  633.4      4.78    -1.78    -9999
DOMB       170910 300  144500-145000   00       4.23  633.3      4.83    -0.75    -9999
DOMB       170910 300  145000-145500   00       4.23  633.3      4.75    -2.45    -9999
DOMB       170910 300  145500-150000   00       4.23  633.2      4.93     1.30    -9999
DOMB       170910 300  150000-150500   00       4.23  633.2      4.80    -1.43    -9999
DOMB       170910 300  150500-151000   00       4.23  633.2      4.97     2.00    -9999
DOMB       170910 300  151000-151500   00       4.23  633.1      4.92     0.98    -9999
DOMB       170910 300  151500-152000   00       4.23  633.1      4.88     0.28    -9999
DOMB       170910 300  152000-152500   00       4.23  633.2      4.93     1.30    -9999
DOMB       170910 300  152500-153000   00       4.23  633.1      4.87    -0.05    -9999
DOMB       170910 300  153000-153500   00       4.23  633.1      4.67    -4.16    -9999
DOMB       170910 300  153500-154000   00       4.23  633.1      4.83    -0.75    -9999
DOMB       170910 300  154000-154500   00       4.23  633.1      4.92     0.98    -9999
DOMB       170910 300  154500-155000   00       4.23  633.1      4.92     0.98    -9999
DOMB       170910 300  155000-155500   00       4.23  633.0      5.00     2.68    -9999
DOMB       170910 300  155500-160000   00       4.23  632.9      5.00     2.68    -9999
DOMB       170910 300  160000-160500   00       4.23  632.9      4.85    -0.40    -0.72
DOMB       170910 300  160500-161000   00       4.23  632.9      4.80    -1.43    -1.79
DOMB       170910 300  161000-161500   00       4.23  632.9      4.82    -1.08    -1.47
DOMB       170910 300  161500-162000   00       4.23  632.8      4.92     0.98     0.55
DOMB       170910 300  162000-162500   00       4.23  632.7      4.70    -3.48    -3.94
DOMB       170910 300  162500-163000   00       4.23  632.7      4.92     0.98     0.49
DOMB       170910 300  163000-163500   00       4.23  632.7      4.80    -1.43    -1.96
DOMB       170910 300  163500-164000   00       4.23  632.6      5.15     5.76     5.20
DOMB       170910 300  164000-164500   00       4.23  632.5      5.18     6.44     5.85
DOMB       170910 300  164500-165000   00       4.23  632.4      5.08     4.39     3.77
DOMB       170910 300  165000-165500   00       4.23  632.4      5.15     5.76     5.11
DOMB       170910 300  165500-170000   00       4.23  632.4      5.07     4.06     3.37
DOMB       170910 300  170000-170500   00       4.23  632.4      5.32     9.19     8.47
DOMB       170910 300  170500-171000   00       4.23  632.3      5.40    10.90    10.15
DOMB       170910 300  171000-171500   00       4.23  632.3      5.22     7.14     6.36
DOMB       170910 300  171500-172000   00       4.23  632.3      5.52    13.30    12.49
DOMB       170910 300  172000-172500   00       4.23  632.2      5.38    10.55     9.71
DOMB       170910 300  172500-173000   00       4.23  632.2      5.45    11.92    11.05
DOMB       170910 300  173000-173500   00       4.23  632.2      5.47    12.27    11.37
DOMB       170910 300  173500-174000   00       4.23  632.1      5.48    12.60    11.66
DOMB       170910 300  174000-174500   00       4.23  632.0      5.43    11.57    10.60
DOMB       170910 300  174500-175000   00       4.23  631.9      5.30     8.84     7.84
DOMB       170910 300  175000-175500   00       4.23  631.9      5.42    11.24    10.21
DOMB       170910 300  175500-180000   00       4.23  631.8      5.38    10.55     9.50
DOMB       170910 300  180000-180500   00       4.23  631.8      5.60    15.00    13.92
DOMB       170910 300  180500-181000   00       4.23  631.7      5.42    11.24    10.13
DOMB       170910 300  181000-181500   00       4.23  631.7      5.47    12.27    11.13
DOMB       170910 300  181500-182000   00       4.23  631.7      5.63    15.68    14.51
DOMB       170910 300  182000-182500   00       4.23  631.6      5.53    13.63    12.43
DOMB       170910 300  182500-183000   00       4.23  631.6      5.50    12.95    11.72
DOMB       170910 300  183000-183500   00       4.23  631.5      5.48    12.60    11.34
DOMB       170910 300  183500-184000   00       4.23  631.4      5.35     9.87     8.58
DOMB       170910 300  184000-184500   00       4.23  631.4      5.35     9.87     8.56
DOMB       170910 300  184500-185000   00       4.23  631.4      5.38    10.55     9.21
DOMB       170910 300  185000-185500   00       4.23  631.4      5.25     7.81     6.44
DOMB       170910 300  185500-190000   00       4.23  631.2      5.35     9.87     8.47
