IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    417.89      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   170909 3600 000000-010000   00     401.35  718.7    412.15    -1.37    -9999
IRKUTSK3   170909 3600 010000-020000   00     400.47  718.7    411.32    -1.57    -9999
IRKUTSK3   170909 3600 020000-030000   00     398.55  718.9    409.95    -1.90    -9999
IRKUTSK3   170909 3600 030000-040000   00     398.33  718.8    409.22    -2.08    -9999
IRKUTSK3   170909 3600 040000-050000   00     396.47  718.8    407.62    -2.46    -9999
IRKUTSK3   170909 3600 050000-060000   00     396.88  718.7    407.48    -2.49    -9999
IRKUTSK3   170909 3600 060000-070000   00     397.82  718.6    408.18    -2.32    -9999
IRKUTSK3   170909 3600 070000-080000   00     395.58  718.6    405.90    -2.87    -9999
IRKUTSK3   170909 3600 080000-090000   00     396.38  718.8    407.30    -2.53    -9999
IRKUTSK3   170909 3600 090000-100000   00     396.05  719.2    408.25    -2.31    -9999
IRKUTSK3   170909 3600 100000-110000   00     396.00  719.7    409.53    -2.00    -9999
IRKUTSK3   170909 3600 110000-120000   00     395.93  720.1    410.75    -1.71    -9999
IRKUTSK3   170909 3600 120000-130000   00     394.38  720.5    410.35    -1.80    -9999
IRKUTSK3   170909 3600 130000-140000   00     392.47  720.7    408.88    -2.16    -9999
IRKUTSK3   170909 3600 140000-150000   00     393.18  720.7    409.60    -1.98    -9999
IRKUTSK3   170909 3600 150000-160000   00     393.02  721.0    410.10    -1.86    -9999
IRKUTSK3   170909 3600 160000-170000   00     395.25  720.7    411.53    -1.52    -9999
IRKUTSK3   170909 3600 170000-180000   00     398.02  720.5    414.07    -0.92    -9999
IRKUTSK3   170909 3600 180000-190000   00     400.10  720.4    415.97    -0.46    -9999
IRKUTSK3   170909 3600 190000-200000   00     400.07  720.5    416.03    -0.44    -9999
IRKUTSK3   170909 3600 200000-210000   00     401.93  720.4    417.90     0.00    -9999
IRKUTSK3   170909 3600 210000-220000   00     400.55  720.5    416.50    -0.33    -9999
IRKUTSK3   170909 3600 220000-230000   00     402.88  720.5    419.00     0.27    -9999
IRKUTSK3   170909 3600 230000-240000   00     400.47  720.6    416.88    -0.24    -9999
IRKUTSK3   170910 3600 000000-010000   00     400.50  720.7    417.42    -0.11    -9999
IRKUTSK3   170910 3600 010000-020000   00     399.97  720.7    416.78    -0.27    -9999
IRKUTSK3   170910 3600 020000-030000   00     400.85  720.9    418.30     0.10    -9999
IRKUTSK3   170910 3600 030000-040000   00     398.38  721.1    416.42    -0.35    -9999
IRKUTSK3   170910 3600 040000-050000   00     399.00  721.2    417.13    -0.18    -9999
IRKUTSK3   170910 3600 050000-060000   00     399.88  721.2    417.92     0.01    -9999
IRKUTSK3   170910 3600 060000-070000   00     400.27  721.2    418.48     0.14    -9999
IRKUTSK3   170910 3600 070000-080000   00     398.42  721.3    416.73    -0.28    -9999
IRKUTSK3   170910 3600 080000-090000   00     398.03  721.3    416.43    -0.35    -9999
IRKUTSK3   170910 3600 090000-100000   00     396.90  721.4    415.72    -0.52    -9999
IRKUTSK3   170910 3600 100000-110000   00     398.12  721.6    417.37    -0.13    -9999
IRKUTSK3   170910 3600 110000-120000   00     395.17  721.8    415.02    -0.69    -9999
IRKUTSK3   170910 300  120000-120500   00     393.60  721.9    414.00    -0.93    -9999
IRKUTSK3   170910 300  120500-121000   00     397.00  722.0    417.60    -0.07    -9999
IRKUTSK3   170910 300  121000-121500   00     398.00  722.0    418.60     0.17    -9999
IRKUTSK3   170910 300  121500-122000   00     396.40  722.0    416.40    -0.36    -9999
IRKUTSK3   170910 300  122000-122500   00     394.00  722.0    414.00    -0.93    -9999
IRKUTSK3   170910 300  122500-123000   00     395.20  722.0    415.60    -0.55    -9999
IRKUTSK3   170910 300  123000-123500   00     392.40  722.0    412.60    -1.27    -9999
IRKUTSK3   170910 300  123500-124000   00     394.20  722.0    414.80    -0.74    -9999
IRKUTSK3   170910 300  124000-124500   00     397.00  722.1    417.80    -0.02    -9999
IRKUTSK3   170910 300  124500-125000   00     395.20  722.1    415.40    -0.60    -9999
IRKUTSK3   170910 300  125000-125500   00     394.00  722.1    414.60    -0.79    -9999
IRKUTSK3   170910 300  125500-130000   00     395.80  722.2    416.60    -0.31    -9999
IRKUTSK3   170910 300  130000-130500   00     397.40  722.1    418.40     0.12    -9999
IRKUTSK3   170910 300  130500-131000   00     394.40  722.2    415.20    -0.64    -9999
IRKUTSK3   170910 300  131000-131500   00     397.00  722.2    418.00     0.03    -9999
