JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    376.01      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  170909 3600 000000-010000   00     325.02  662.6    374.38    -0.43    -9999
JUNGFRAU1  170909 3600 010000-020000   00     327.52  662.0    375.31    -0.19    -9999
JUNGFRAU1  170909 3600 020000-030000   00     328.38  661.4    374.96    -0.28    -9999
JUNGFRAU1  170909 3600 030000-040000   00     329.58  660.7    374.61    -0.37    -9999
JUNGFRAU1  170909 3600 040000-050000   00     331.62  660.2    375.46    -0.15    -9999
JUNGFRAU1  170909 3600 050000-060000   00     332.75  659.8    375.52    -0.13    -9999
JUNGFRAU1  170909 3600 060000-070000   00     333.53  659.6    375.86    -0.04    -9999
JUNGFRAU1  170909 3600 070000-080000   00     333.34  659.3    374.92    -0.29    -9999
JUNGFRAU1  170909 3600 080000-090000   00     332.20  659.2    373.64    -0.63    -9999
JUNGFRAU1  170909 3600 090000-100000   00     332.14  659.0    372.75    -0.87    -9999
JUNGFRAU1  170909 3600 100000-110000   00     332.61  658.8    372.48    -0.94    -9999
JUNGFRAU1  170909 3600 110000-120000   00     333.93  658.3    372.98    -0.81    -9999
JUNGFRAU1  170909 3600 120000-130000   00     333.67  658.0    371.82    -1.11    -9999
JUNGFRAU1  170909 3600 130000-140000   00     333.96  657.8    371.66    -1.16    -9999
JUNGFRAU1  170909 3600 140000-150000   00     335.41  657.5    372.44    -0.95    -9999
JUNGFRAU1  170909 3600 150000-160000   00     335.43  657.3    371.76    -1.13    -9999
JUNGFRAU1  170909 3600 160000-170000   00     334.33  656.9    369.56    -1.72    -9999
JUNGFRAU1  170909 3600 170000-180000   00     334.53  656.8    369.55    -1.72    -9999
JUNGFRAU1  170909 3600 180000-190000   00     333.96  656.8    368.83    -1.91    -9999
JUNGFRAU1  170909 3600 190000-200000   00     334.52  656.8    369.46    -1.74    -9999
JUNGFRAU1  170909 3600 200000-210000   00     334.47  656.6    369.06    -1.85    -9999
JUNGFRAU1  170909 3600 210000-220000   00     335.85  656.4    369.75    -1.67    -9999
JUNGFRAU1  170909 3600 220000-230000   00     339.15  656.1    372.78    -0.86    -9999
