KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.76     % / mb
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    225.25      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KERGUELEN  170909 3600 000000-010000   00     231.23  993.8    220.76    -1.99    -9999
KERGUELEN  170909 3600 010000-020000   00     232.80  993.7    222.01    -1.44    -9999
KERGUELEN  170909 3600 020000-030000   00     233.48  993.7    222.66    -1.15    -9999
KERGUELEN  170909 3600 030000-040000   00     233.39  993.9    223.03    -0.99    -9999
KERGUELEN  170909 3600 040000-050000   00     234.14  993.9    223.69    -0.69    -9999
KERGUELEN  170909 3600 050000-060000   00     234.59  994.0    224.38    -0.39    -9999
KERGUELEN  170909 3600 060000-070000   00     235.26  994.2    225.33     0.03    -9999
KERGUELEN  170909 3600 070000-080000   00     233.10  994.3    223.31    -0.86    -9999
KERGUELEN  170909 3600 080000-090000   00     233.33  993.6    222.40    -1.26    -9999
KERGUELEN  170909 3600 090000-100000   00     234.32  993.0    222.32    -1.30    -9999
KERGUELEN  170909 3600 100000-110000   00     234.44  992.6    221.78    -1.54    -9999
KERGUELEN  170909 3600 110000-120000   00     234.59  991.8    220.54    -2.09    -9999
KERGUELEN  170909 3600 120000-130000   00     236.53  990.4    220.04    -2.32    -9999
KERGUELEN  170909 3600 130000-140000   00     239.46  988.4    219.52    -2.55    -9999
KERGUELEN  170909 3600 140000-150000   00     246.12  985.3    220.24    -2.23    -9999
KERGUELEN  170909 3600 150000-160000   00     252.92  981.9    220.72    -2.01    -9999
KERGUELEN  170909 3600 160000-170000   00     253.31  981.8    220.83    -1.96    -9999
KERGUELEN  170909 3600 170000-180000   00     250.18  983.4    220.83    -1.96    -9999
KERGUELEN  170909 3600 180000-190000   00     245.18  985.7    220.08    -2.29    -9999
KERGUELEN  170909 3600 190000-200000   00     243.24  987.5    221.34    -1.74    -9999
KERGUELEN  170909 3600 200000-210000   00     240.63  989.1    221.66    -1.60    -9999
KERGUELEN  170909 3600 210000-220000   00     235.89  990.8    220.11    -2.28    -9999
KERGUELEN  170909 3600 220000-230000   00     236.78  991.6    222.33    -1.30    -9999
KERGUELEN  170909 3600 230000-240000   00     238.31  992.3    224.87    -0.17    -9999
KERGUELEN  170910 3600 000000-010000   00     236.06  993.5    224.91    -0.15    -9999
KERGUELEN  170910 3600 010000-020000   00     233.81  994.4    224.16    -0.48    -9999
KERGUELEN  170910 3600 020000-030000   00     232.51  995.2    224.40    -0.38    -9999
KERGUELEN  170910 3600 030000-040000   00     235.24  995.4    227.38     0.95    -9999
KERGUELEN  170910 3600 040000-050000   00     233.88  995.9    226.83     0.70    -9999
KERGUELEN  170910 3600 050000-060000   00     232.66  996.7    227.04     0.79    -9999
KERGUELEN  170910 3600 060000-070000   00     233.10  997.1    228.13     1.28    -9999
KERGUELEN  170910 3600 070000-080000   00     235.00  997.1    230.01     2.11    -9999
KERGUELEN  170910 3600 080000-090000   00     233.99  997.2    229.29     1.79    -9999
KERGUELEN  170910 3600 090000-100000   00     232.66  997.4    228.28     1.34    -9999
KERGUELEN  170910 3600 100000-110000   00     229.21  998.1    226.08     0.37    -9999
KERGUELEN  170910 3600 110000-120000   00     228.92  998.0    225.58     0.15    -9999
KERGUELEN  170910 300  120000-120500   00     229.33  997.9    225.93     0.30    -9999
KERGUELEN  170910 300  120500-121000   00     233.60  997.9    230.14     2.17    -9999
KERGUELEN  170910 300  121000-121500   00     227.73  998.0    224.45    -0.36    -9999
KERGUELEN  170910 300  121500-122000   00     228.67  998.0    225.46     0.09    -9999
KERGUELEN  170910 300  122000-122500   00     228.93  998.0    225.67     0.19    -9999
KERGUELEN  170910 300  122500-123000   00     229.20  997.9    225.80     0.24    -9999
KERGUELEN  170910 300  123000-123500   00     230.67  997.9    227.11     0.82    -9999
KERGUELEN  170910 300  123500-124000   00     231.73  997.9    228.25     1.33    -9999
KERGUELEN  170910 300  124000-124500   00     232.00  998.0    228.65     1.51    -9999
KERGUELEN  170910 300  124500-125000   00     230.80  998.1    227.61     1.04    -9999
