LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     mb     COEFFICIENT   -0.72     % / mb
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    467.90      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LOMNICKY   170909 3600 000000-010000   00     450.74  737.3    463.95    -0.84    -9999
LOMNICKY   170909 3600 010000-020000   00     453.02  736.9    465.03    -0.61    -9999
LOMNICKY   170909 3600 020000-030000   00     455.01  736.4    465.16    -0.58    -9999
LOMNICKY   170909 3600 030000-040000   00     456.15  735.8    464.51    -0.72    -9999
LOMNICKY   170909 3600 040000-050000   00     456.55  735.7    464.68    -0.69    -9999
LOMNICKY   170909 3600 050000-060000   00     457.04  735.5    464.32    -0.76    -9999
LOMNICKY   170909 3600 060000-070000   00     458.21  735.3    464.90    -0.64    -9999
LOMNICKY   170909 3600 070000-080000   00     457.89  735.2    464.15    -0.80    -9999
LOMNICKY   170909 3600 080000-090000   00     456.15  735.2    462.42    -1.17    -9999
LOMNICKY   170909 3600 090000-100000   00     455.70  735.3    462.27    -1.20    -9999
LOMNICKY   170909 3600 100000-110000   00     453.26  735.4    460.32    -1.62    -9999
LOMNICKY   170909 3600 110000-120000   00     453.19  735.4    460.18    -1.65    -9999
LOMNICKY   170909 3600 120000-130000   00     452.85  735.5    459.97    -1.69    -9999
LOMNICKY   170909 3600 130000-140000   00     455.18  735.4    462.15    -1.23    -9999
LOMNICKY   170909 3600 140000-150000   00     454.04  735.1    460.09    -1.67    -9999
LOMNICKY   170909 3600 150000-160000   00     455.46  734.8    460.37    -1.61    -9999
LOMNICKY   170909 3600 160000-170000   00     454.98  734.5    458.99    -1.90    -9999
LOMNICKY   170909 3600 170000-180000   00     456.62  734.4    460.34    -1.62    -9999
LOMNICKY   170909 3600 180000-190000   00     456.10  734.7    460.87    -1.50    -9999
LOMNICKY   170909 3600 190000-200000   00     455.46  734.5    459.57    -1.78    -9999
LOMNICKY   170909 3600 200000-210000   00     457.35  734.5    461.54    -1.36    -9999
LOMNICKY   170909 3600 210000-220000   00     460.69  734.4    464.56    -0.71    -9999
LOMNICKY   170909 3600 220000-230000   00     463.44  734.5    467.40    -0.11    -9999
LOMNICKY   170909 3600 230000-240000   00     464.95  734.4    468.66     0.16    -9999
LOMNICKY   170910 3600 000000-010000   00     464.55  734.5    468.76     0.18    -9999
LOMNICKY   170910 3600 010000-020000   00     465.85  734.6    470.40     0.54    -9999
LOMNICKY   170910 3600 020000-030000   00     464.50  734.8    469.67     0.38    -9999
LOMNICKY   170910 3600 030000-040000   00     464.51  734.5    468.76     0.19    -9999
LOMNICKY   170910 3600 040000-050000   00     465.61  734.5    469.64     0.37    -9999
LOMNICKY   170910 3600 050000-060000   00     465.67  734.8    470.66     0.59    -9999
LOMNICKY   170910 3600 060000-070000   00     464.45  735.2    470.86     0.63    -9999
LOMNICKY   170910 3600 070000-080000   00     462.59  735.7    470.53     0.56    -9999
LOMNICKY   170910 3600 080000-090000   00     460.68  736.0    469.65     0.38    -9999
LOMNICKY   170910 3600 090000-100000   00     459.19  736.3    469.20     0.28    -9999
LOMNICKY   170910 3600 100000-110000   00     458.61  736.8    470.41     0.54    -9999
LOMNICKY   170910 3600 110000-120000   00     457.48  737.1    470.15     0.48    -9999
LOMNICKY   170910 300  120000-120500   00     456.24  737.3    469.39     0.32    -9999
LOMNICKY   170910 300  120500-121000   00     454.74  737.4    468.22     0.07    -9999
LOMNICKY   170910 300  121000-121500   00     454.63  737.4    468.10     0.04    -9999
LOMNICKY   170910 300  121500-122000   00     457.81  737.2    470.92     0.65    -9999
LOMNICKY   170910 300  122000-122500   00     457.48  737.3    470.71     0.60    -9999
LOMNICKY   170910 300  122500-123000   00     456.02  737.3    469.40     0.32    -9999
LOMNICKY   170910 300  123000-123500   00     455.23  737.5    469.13     0.26    -9999
LOMNICKY   170910 300  123500-124000   00     456.62  737.5    470.49     0.55    -9999
LOMNICKY   170910 300  124000-124500   00     452.85  737.3    466.21    -0.36    -9999
LOMNICKY   170910 300  124500-125000   00     455.11  737.3    468.42     0.11    -9999
LOMNICKY   170910 300  125000-125500   00     456.52  737.4    470.32     0.52    -9999
LOMNICKY   170910 300  125500-130000   00     453.27  737.5    467.11    -0.17    -9999
LOMNICKY   170910 300  130000-130500   00     459.52  737.4    473.26     1.15    -9999
LOMNICKY   170910 300  130500-131000   00     457.93  737.4    471.76     0.83    -9999
LOMNICKY   170910 300  131000-131500   00     454.69  737.5    468.69     0.17    -9999
LOMNICKY   170910 300  131500-132000   00     455.84  737.6    470.03     0.46    -9999
LOMNICKY   170910 300  132000-132500   00     457.61  737.6    471.81     0.84    -9999
LOMNICKY   170910 300  132500-133000   00     452.12  737.5    466.14    -0.37    -9999
LOMNICKY   170910 300  133000-133500   00     454.51  737.6    468.86     0.21    -9999
LOMNICKY   170910 300  133500-134000   00     451.81  737.8    466.68    -0.26    -9999
LOMNICKY   170910 300  134000-134500   00     456.43  737.6    470.91     0.64    -9999
LOMNICKY   170910 300  134500-135000   00     451.54  737.6    465.68    -0.47    -9999
LOMNICKY   170910 300  135000-135500   00     453.20  737.7    467.65    -0.05    -9999
LOMNICKY   170910 300  135500-140000   00     452.55  737.7    467.20    -0.15    -9999
LOMNICKY   170910 300  140000-140500   00     453.21  737.7    467.84    -0.01    -9999
LOMNICKY   170910 300  140500-141000   00     454.80  737.7    469.42     0.33    -9999
LOMNICKY   170910 300  141000-141500   00     451.03  737.8    465.87    -0.43    -9999
LOMNICKY   170910 300  141500-142000   00     450.17  737.6    464.16    -0.80    -9999
LOMNICKY   170910 300  142000-142500   00     452.30  737.7    466.78    -0.24    -9999
LOMNICKY   170910 300  142500-143000   00     452.89  737.7    467.35    -0.12    -9999
LOMNICKY   170910 300  143000-143500   00     454.51  737.7    469.21     0.28    -9999
LOMNICKY   170910 300  143500-144000   00     452.45  737.9    467.54    -0.08    -9999
LOMNICKY   170910 300  144000-144500   00     454.53  737.9    469.71     0.39    -9999
LOMNICKY   170910 300  144500-145000   00     454.33  737.8    469.31     0.30    -9999
LOMNICKY   170910 300  145000-145500   00     453.38  737.9    468.56     0.14    -9999
LOMNICKY   170910 300  145500-150000   00     452.07  737.9    467.37    -0.11    -9999
LOMNICKY   170910 300  150000-150500   00     453.58  737.9    468.97     0.23    -9999
LOMNICKY   170910 300  150500-151000   00     452.55  738.0    468.25     0.07    -9999
LOMNICKY   170910 300  151000-151500   00     452.62  737.9    467.91     0.00    -9999
LOMNICKY   170910 300  151500-152000   00     452.36  737.9    467.49    -0.09    -9999
LOMNICKY   170910 300  152000-152500   00     454.46  737.9    469.80     0.41    -9999
LOMNICKY   170910 300  152500-153000   00     451.73  737.8    466.69    -0.26    -9999
LOMNICKY   170910 300  153000-153500   00     453.35  737.9    468.56     0.14    -9999
LOMNICKY   170910 300  153500-154000   00     452.64  737.9    467.77    -0.03    -9999
LOMNICKY   170910 300  154000-154500   00     448.56  737.9    463.48    -0.94    -9999
LOMNICKY   170910 300  154500-155000   00     454.16  737.9    469.33     0.31    -9999
LOMNICKY   170910 300  155000-155500   00     453.18  737.9    468.36     0.10    -9999
LOMNICKY   170910 300  155500-160000   00     454.59  737.9    469.79     0.40    -9999
LOMNICKY   170910 300  160000-160500   00     452.33  737.9    467.51    -0.08    -0.12
LOMNICKY   170910 300  160500-161000   00     451.52  738.0    467.05    -0.18    -0.23
LOMNICKY   170910 300  161000-161500   00     450.35  738.0    465.77    -0.45    -0.50
LOMNICKY   170910 300  161500-162000   00     450.53  737.9    465.75    -0.46    -0.52
LOMNICKY   170910 300  162000-162500   00     454.07  737.8    468.91     0.22     0.16
LOMNICKY   170910 300  162500-163000   00     454.13  737.8    468.99     0.23     0.16
LOMNICKY   170910 300  163000-163500   00     454.55  737.8    469.56     0.36     0.29
LOMNICKY   170910 300  163500-164000   00     456.72  737.8    471.59     0.79     0.71
LOMNICKY   170910 300  164000-164500   00     456.83  737.9    472.06     0.89     0.80
LOMNICKY   170910 300  164500-165000   00     456.41  737.8    471.52     0.77     0.68
LOMNICKY   170910 300  165000-165500   00     457.39  737.9    472.84     1.06     0.96
LOMNICKY   170910 300  165500-170000   00     461.07  737.9    476.69     1.88     1.77
LOMNICKY   170910 300  170000-170500   00     454.66  737.9    470.03     0.46     0.35
LOMNICKY   170910 300  170500-171000   00     455.42  738.0    470.91     0.64     0.52
LOMNICKY   170910 300  171000-171500   00     459.91  737.9    475.47     1.62     1.49
LOMNICKY   170910 300  171500-172000   00     455.99  737.9    471.44     0.76     0.62
LOMNICKY   170910 300  172000-172500   00     457.53  737.9    472.85     1.06     0.92
LOMNICKY   170910 300  172500-173000   00     458.05  738.1    473.98     1.30     1.15
LOMNICKY   170910 300  173000-173500   00     457.28  738.1    473.34     1.16     1.00
LOMNICKY   170910 300  173500-174000   00     458.58  738.1    474.71     1.46     1.29
