MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    982     mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    179.16      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    170909 3600 000000-010000   00     163.37  990.3    175.91    -1.82    -9999
MAGADAN    170909 3600 010000-020000   00     163.06  990.6    176.01    -1.76    -9999
MAGADAN    170909 3600 020000-030000   00     161.80  991.0    175.12    -2.25    -9999
MAGADAN    170909 3600 030000-040000   00     161.72  991.2    175.33    -2.14    -9999
MAGADAN    170909 3600 040000-050000   00     160.83  991.1    174.26    -2.74    -9999
MAGADAN    170909 3600 050000-060000   00     160.04  991.3    173.58    -3.11    -9999
MAGADAN    170909 3600 060000-070000   00     159.84  991.3    173.37    -3.23    -9999
MAGADAN    170909 3600 070000-080000   00     161.00  991.6    174.98    -2.33    -9999
MAGADAN    170909 3600 080000-090000   00     161.34  992.0    175.86    -1.84    -9999
MAGADAN    170909 3600 090000-100000   00     160.23  992.4    175.15    -2.24    -9999
MAGADAN    170909 3600 100000-110000   00     159.79  992.5    174.87    -2.40    -9999
MAGADAN    170909 3600 110000-120000   00     159.54  992.7    174.77    -2.45    -9999
MAGADAN    170909 3600 120000-130000   00     160.00  992.7    175.28    -2.16    -9999
MAGADAN    170909 3600 130000-140000   00     159.73  992.3    174.57    -2.56    -9999
MAGADAN    170909 3600 140000-150000   00     161.71  992.1    176.40    -1.54    -9999
MAGADAN    170909 3600 150000-160000   00     161.86  991.8    176.24    -1.63    -9999
MAGADAN    170909 3600 160000-170000   00     162.88  991.5    176.96    -1.23    -9999
MAGADAN    170909 3600 170000-180000   00     164.23  991.2    178.07    -0.61    -9999
MAGADAN    170909 3600 180000-190000   00     163.80  990.9    177.17    -1.11    -9999
MAGADAN    170909 3600 190000-200000   00     164.84  990.7    178.04    -0.62    -9999
MAGADAN    170909 3600 200000-210000   00     165.42  990.4    178.31    -0.47    -9999
MAGADAN    170909 3600 210000-220000   00     166.39  990.0    178.87    -0.16    -9999
MAGADAN    170909 3600 220000-230000   00     167.45  989.6    179.48     0.18    -9999
MAGADAN    170909 3600 230000-240000   00     168.71  989.1    180.10     0.53    -9999
MAGADAN    170910 3600 000000-010000   00     169.47  988.3    179.87     0.40    -9999
MAGADAN    170910 3600 010000-020000   00     169.35  987.5    178.74    -0.23    -9999
MAGADAN    170910 3600 020000-030000   00     169.56  986.8    178.01    -0.64    -9999
MAGADAN    170910 3600 030000-040000   00     170.40  986.0    177.90    -0.70    -9999
MAGADAN    170910 3600 040000-050000   00     171.38  985.3    178.05    -0.62    -9999
MAGADAN    170910 3600 050000-060000   00     171.64  984.9    177.86    -0.72    -9999
MAGADAN    170910 3600 060000-070000   00     172.78  984.8    178.79    -0.20    -9999
MAGADAN    170910 3600 070000-080000   00     171.14  984.7    177.08    -1.16    -9999
MAGADAN    170910 3600 080000-090000   00     172.00  985.0    178.25    -0.51    -9999
MAGADAN    170910 3600 090000-100000   00     170.38  985.3    176.96    -1.23    -9999
MAGADAN    170910 3600 100000-110000   00     170.60  985.6    177.60    -0.87    -9999
MAGADAN    170910 3600 110000-120000   00     170.30  985.9    177.71    -0.81    -9999
MAGADAN    170910 300  120000-120500   00     169.87  986.1    177.46    -0.95    -9999
MAGADAN    170910 300  120500-121000   00     169.73  986.1    177.36    -1.00    -9999
MAGADAN    170910 300  121000-121500   00     169.55  986.1    177.21    -1.09    -9999
MAGADAN    170910 300  121500-122000   00     169.64  986.2    177.39    -0.98    -9999
MAGADAN    170910 300  122000-122500   00     168.63  986.2    176.36    -1.56    -9999
MAGADAN    170910 300  122500-123000   00     170.88  986.3    178.76    -0.22    -9999
MAGADAN    170910 300  123000-123500   00     171.86  986.3    179.84     0.38    -9999
MAGADAN    170910 300  123500-124000   00     169.42  986.3    177.34    -1.01    -9999
MAGADAN    170910 300  124000-124500   00     169.35  986.3    177.26    -1.06    -9999
MAGADAN    170910 300  124500-125000   00     168.86  986.4    176.77    -1.33    -9999
MAGADAN    170910 300  125000-125500   00     170.20  986.4    178.20    -0.54    -9999
