NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013.3  mb     COEFFICIENT   -0.72     % / mb
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    217.66      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NAIN       170909 3600 000000-010000   00     207.30 1013.7    208.01    -4.43    -9999
NAIN       170909 3600 010000-020000   00     205.48 1014.6    207.51    -4.66    -9999
NAIN       170909 3600 020000-030000   00     205.55 1015.3    208.78    -4.08    -9999
NAIN       170909 3600 030000-040000   00     203.54 1016.1    207.92    -4.47    -9999
NAIN       170909 3600 040000-050000   00     202.65 1016.8    208.12    -4.38    -9999
NAIN       170909 3600 050000-060000   00     202.71 1017.4    209.08    -3.94    -9999
NAIN       170909 3600 060000-070000   00     202.58 1018.0    209.92    -3.56    -9999
NAIN       170909 3600 070000-080000   00     203.16 1018.2    210.82    -3.14    -9999
NAIN       170909 3600 080000-090000   00     202.94 1018.5    211.10    -3.01    -9999
NAIN       170909 3600 090000-100000   00     203.57 1018.9    212.46    -2.39    -9999
NAIN       170909 3600 100000-110000   00     203.52 1019.4    213.14    -2.08    -9999
NAIN       170909 3600 110000-120000   00     203.81 1019.6    213.79    -1.78    -9999
NAIN       170909 3600 120000-130000   00     204.40 1019.4    214.11    -1.63    -9999
NAIN       170909 3600 130000-140000   00     204.82 1019.1    214.05    -1.66    -9999
NAIN       170909 3600 140000-150000   00     205.90 1018.4    214.01    -1.68    -9999
NAIN       170909 3600 150000-160000   00     206.15 1017.4    212.73    -2.26    -9999
NAIN       170909 3600 160000-170000   00     207.03 1016.9    212.78    -2.24    -9999
NAIN       170909 3600 170000-180000   00     206.82 1016.1    211.21    -2.96    -9999
NAIN       170909 3600 180000-190000   00     208.06 1015.1    210.95    -3.08    -9999
NAIN       170909 3600 190000-200000   00     209.27 1014.5    211.18    -2.98    -9999
NAIN       170909 3600 200000-210000   00     209.96 1013.8    210.90    -3.10    -9999
NAIN       170909 3600 210000-220000   00     211.60 1013.3    211.69    -2.74    -9999
NAIN       170909 3600 220000-230000   00     212.23 1013.0    211.83    -2.68    -9999
NAIN       170909 3600 230000-240000   00     212.32 1012.8    211.59    -2.79    -9999
NAIN       170910 3600 000000-010000   00     213.10 1012.1    211.22    -2.96    -9999
NAIN       170910 3600 010000-020000   00     213.90 1011.7    211.42    -2.86    -9999
NAIN       170910 3600 020000-030000   00     214.16 1011.0    210.61    -3.24    -9999
NAIN       170910 3600 030000-040000   00     216.46 1010.2    211.61    -2.78    -9999
NAIN       170910 3600 040000-050000   00     217.96 1009.8    212.46    -2.39    -9999
NAIN       170910 3600 050000-060000   00     219.67 1009.1    213.00    -2.14    -9999
NAIN       170910 3600 060000-070000   00     222.32 1008.4    214.45    -1.47    -9999
NAIN       170910 3600 070000-080000   00     222.77 1007.9    214.08    -1.65    -9999
NAIN       170910 3600 080000-090000   00     223.96 1007.6    214.63    -1.39    -9999
NAIN       170910 3600 090000-100000   00     223.31 1007.9    214.59    -1.41    -9999
NAIN       170910 3600 100000-110000   00     223.97 1008.0    215.31    -1.08    -9999
NAIN       170910 3600 110000-120000   00     223.50 1008.1    215.11    -1.17    -9999
NAIN       170910 300  120000-120500   00     223.81 1008.5    215.98    -0.77    -9999
NAIN       170910 300  120500-121000   00     220.54 1008.4    212.72    -2.27    -9999
NAIN       170910 300  121000-121500   00     223.56 1008.5    215.74    -0.88    -9999
NAIN       170910 300  121500-122000   00     224.09 1008.5    216.31    -0.62    -9999
NAIN       170910 300  122000-122500   00     222.75 1008.6    215.12    -1.17    -9999
NAIN       170910 300  122500-123000   00     222.24 1008.5    214.49    -1.45    -9999
NAIN       170910 300  123000-123500   00     224.97 1008.6    217.21    -0.21    -9999
NAIN       170910 300  123500-124000   00     225.69 1008.6    217.93     0.12    -9999
NAIN       170910 300  124000-124500   00     224.20 1008.6    216.57    -0.50    -9999
NAIN       170910 300  124500-125000   00     224.36 1008.7    216.77    -0.41    -9999
NAIN       170910 300  125000-125500   00     222.60 1008.7    215.17    -1.14    -9999
NAIN       170910 300  125500-130000   00     228.76 1008.7    221.10     1.58    -9999
NAIN       170910 300  130000-130500   00     223.02 1008.7    215.57    -0.96    -9999
NAIN       170910 300  130500-131000   00     223.46 1008.8    216.13    -0.70    -9999
NAIN       170910 300  131000-131500   00     224.31 1008.8    216.93    -0.33    -9999
NAIN       170910 300  131500-132000   00     223.29 1008.7    215.77    -0.87    -9999
NAIN       170910 300  132000-132500   00     224.36 1008.7    216.81    -0.39    -9999
NAIN       170910 300  132500-133000   00     224.64 1008.7    217.15    -0.23    -9999
NAIN       170910 300  133000-133500   00     223.81 1008.8    216.50    -0.53    -9999
NAIN       170910 300  133500-134000   00     225.07 1008.8    217.71     0.03    -9999
NAIN       170910 300  134000-134500   00     227.09 1008.8    219.62     0.90    -9999
NAIN       170910 300  134500-135000   00     222.48 1008.8    215.26    -1.10    -9999
NAIN       170910 300  135000-135500   00     227.58 1008.9    220.29     1.21    -9999
NAIN       170910 300  135500-140000   00     224.78 1008.9    217.58    -0.03    -9999
NAIN       170910 300  140000-140500   00     224.22 1009.0    217.10    -0.26    -9999
NAIN       170910 300  140500-141000   00     225.76 1009.1    218.83     0.54    -9999
NAIN       170910 300  141000-141500   00     225.78 1009.1    218.94     0.59    -9999
NAIN       170910 300  141500-142000   00     224.95 1009.2    218.20     0.25    -9999
NAIN       170910 300  142000-142500   00     226.69 1009.3    220.00     1.08    -9999
NAIN       170910 300  142500-143000   00     226.22 1009.2    219.46     0.83    -9999
NAIN       170910 300  143000-143500   00     224.03 1009.2    217.30    -0.16    -9999
NAIN       170910 300  143500-144000   00     223.15 1009.2    216.42    -0.57    -9999
NAIN       170910 300  144000-144500   00     223.42 1009.2    216.77    -0.41    -9999
NAIN       170910 300  144500-145000   00     225.96 1009.3    219.30     0.76    -9999
NAIN       170910 300  145000-145500   00     223.64 1009.3    217.11    -0.25    -9999
NAIN       170910 300  145500-150000   00     225.12 1009.3    218.55     0.41    -9999
NAIN       170910 300  150000-150500   00     223.39 1009.3    216.80    -0.39    -9999
NAIN       170910 300  150500-151000   00     224.71 1009.3    218.12     0.21    -9999
NAIN       170910 300  151000-151500   00     223.89 1009.3    217.38    -0.13    -9999
NAIN       170910 300  151500-152000   00     224.76 1009.3    218.25     0.27    -9999
NAIN       170910 300  152000-152500   00     223.69 1009.3    217.22    -0.20    -9999
NAIN       170910 300  152500-153000   00     226.28 1009.4    219.79     0.98    -9999
NAIN       170910 300  153000-153500   00     222.05 1009.4    215.77    -0.87    -9999
NAIN       170910 300  153500-154000   00     224.80 1009.5    218.54     0.41    -9999
NAIN       170910 300  154000-154500   00     220.81 1009.5    214.74    -1.34    -9999
NAIN       170910 300  154500-155000   00     222.48 1009.6    216.47    -0.54    -9999
NAIN       170910 300  155000-155500   00     222.13 1009.7    216.29    -0.63    -9999
NAIN       170910 300  155500-160000   00     222.12 1009.8    216.41    -0.57    -9999
NAIN       170910 300  160000-160500   00     222.72 1009.9    217.13    -0.24     0.01
NAIN       170910 300  160500-161000   00     224.31 1010.0    218.85     0.55     0.80
NAIN       170910 300  161000-161500   00     225.79 1010.1    220.53     1.32     1.57
NAIN       170910 300  161500-162000   00     223.65 1010.2    218.63     0.45     0.70
NAIN       170910 300  162000-162500   00     223.02 1010.3    218.13     0.22     0.47
NAIN       170910 300  162500-163000   00     223.95 1010.3    219.07     0.65     0.90
NAIN       170910 300  163000-163500   00     222.90 1010.4    218.13     0.22     0.47
NAIN       170910 300  163500-164000   00     224.06 1010.5    219.43     0.82     1.07
NAIN       170910 300  164000-164500   00     223.81 1010.6    219.37     0.79     1.04
NAIN       170910 300  164500-165000   00     223.23 1010.7    219.02     0.63     0.88
NAIN       170910 300  165000-165500   00     226.23 1010.9    222.30     2.14     2.39
NAIN       170910 300  165500-170000   00     223.82 1011.1    220.24     1.19     1.44
NAIN       170910 300  170000-170500   00     225.67 1011.1    222.10     2.04     2.29
NAIN       170910 300  170500-171000   00     224.30 1011.2    220.80     1.44     1.69
NAIN       170910 300  171000-171500   00     225.40 1011.2    221.98     1.99     2.24
NAIN       170910 300  171500-172000   00     225.46 1011.3    222.22     2.10     2.35
NAIN       170910 300  172000-172500   00     228.54 1011.4    225.37     3.54     3.79
NAIN       170910 300  172500-173000   00     228.69 1011.4    225.52     3.61     3.86
NAIN       170910 300  173000-173500   00     226.19 1011.5    223.26     2.58     2.83
NAIN       170910 300  173500-174000   00     228.90 1011.6    226.06     3.86     4.11
NAIN       170910 300  174000-174500   00     229.91 1011.6    227.15     4.36     4.61
NAIN       170910 300  174500-175000   00     226.11 1011.8    223.59     2.73     2.98
NAIN       170910 300  175000-175500   00     226.35 1012.0    224.28     3.04     3.29
NAIN       170910 300  175500-180000   00     228.04 1012.1    226.16     3.91     4.16
NAIN       170910 300  180000-180500   00     226.01 1012.3    224.42     3.11     3.36
NAIN       170910 300  180500-181000   00     227.88 1012.4    226.43     4.03     4.28
NAIN       170910 300  181000-181500   00     226.84 1012.2    225.06     3.40     3.65
NAIN       170910 300  181500-182000   00     229.35 1012.2    227.53     4.54     4.79
NAIN       170910 300  182000-182500   00     225.54 1012.4    224.17     2.99     3.24
NAIN       170910 300  182500-183000   00     227.09 1012.6    225.94     3.80     4.05
NAIN       170910 300  183000-183500   00     227.47 1012.7    226.45     4.04     4.29
NAIN       170910 300  183500-184000   00     225.53 1012.8    224.76     3.27     3.52
NAIN       170910 300  184000-184500   00     227.32 1012.9    226.72     4.16     4.41
NAIN       170910 300  184500-185000   00     223.47 1012.9    222.91     2.41     2.66
NAIN       170910 300  185000-185500   00     221.89 1013.0    221.43     1.73     1.98
NAIN       170910 300  185500-190000   00     225.24 1013.0    224.87     3.31     3.56
NAIN       170910 300  190000-190500   00     224.24 1013.2    224.15     2.99     3.24
NAIN       170910 300  190500-191000   00     223.78 1013.3    223.93     2.88     3.13
NAIN       170910 300  191000-191500   00     223.54 1013.5    223.91     2.87     3.12
NAIN       170910 300  191500-192000   00     221.09 1013.6    221.70     1.86     2.11
NAIN       170910 300  192000-192500   00     223.18 1013.8    224.04     2.93     3.18
NAIN       170910 300  192500-193000   00     222.67 1013.9    223.75     2.80     3.05
NAIN       170910 300  193000-193500   00     222.32 1014.0    223.52     2.69     2.94
NAIN       170910 300  193500-194000   00     221.22 1014.1    222.60     2.27     2.52
NAIN       170910 300  194000-194500   00     221.80 1014.2    223.32     2.60     2.85
NAIN       170910 300  194500-195000   00     221.98 1014.2    223.61     2.74     2.99
NAIN       170910 300  195000-195500   00     220.99 1014.4    222.88     2.40     2.65
NAIN       170910 300  195500-200000   00     221.70 1014.5    223.79     2.82     3.07
NAIN       170910 300  200000-200500   00     221.37 1014.7    223.80     2.82     3.07
NAIN       170910 300  200500-201000   00     218.53 1014.8    221.02     1.55     1.80
NAIN       170910 300  201000-201500   00     219.96 1014.9    222.62     2.28     2.53
NAIN       170910 300  201500-202000   00     219.06 1015.0    221.88     1.94     2.19
NAIN       170910 300  202000-202500   00     221.21 1015.0    224.16     2.99     3.24
NAIN       170910 300  202500-203000   00     219.29 1015.1    222.39     2.17     2.42
NAIN       170910 300  203000-203500   00     218.72 1015.3    222.08     2.03     2.28
NAIN       170910 300  203500-204000   00     216.66 1015.4    220.14     1.14     1.39
NAIN       170910 300  204000-204500   00     217.83 1015.4    221.40     1.72     1.97
NAIN       170910 300  204500-205000   00     216.78 1015.5    220.45     1.28     1.53
NAIN       170910 300  205000-205500   00     219.17 1015.6    223.06     2.48     2.73
NAIN       170910 300  205500-210000   00     216.19 1015.7    220.21     1.17     1.42
NAIN       170910 300  210000-210500   00     213.85 1015.8    218.00     0.16     0.41
NAIN       170910 300  210500-211000   00     214.56 1015.9    218.80     0.52     0.77
NAIN       170910 300  211000-211500   00     216.56 1015.9    220.94     1.51     1.76
NAIN       170910 300  211500-212000   00     213.73 1016.0    218.22     0.26     0.51
NAIN       170910 300  212000-212500   00     213.64 1016.1    218.18     0.24     0.49
NAIN       170910 300  212500-213000   00     214.16 1016.1    218.77     0.51     0.76
NAIN       170910 300  213000-213500   00     214.42 1016.2    219.21     0.71     0.96
NAIN       170910 300  213500-214000   00     214.96 1016.3    219.89     1.03     1.28
NAIN       170910 300  214000-214500   00     216.45 1016.3    221.47     1.75     2.00
NAIN       170910 300  214500-215000   00     213.30 1016.4    218.43     0.35     0.60
NAIN       170910 300  215000-215500   00     217.95 1016.5    223.40     2.64     2.89
NAIN       170910 300  215500-220000   00     214.26 1016.7    219.84     1.00     1.25
NAIN       170910 300  220000-220500   00     213.58 1016.7    219.25     0.73     0.98
NAIN       170910 300  220500-221000   00     215.89 1016.8    221.67     1.84     2.09
NAIN       170910 300  221000-221500   00     213.59 1016.9    219.53     0.86     1.11
NAIN       170910 300  221500-222000   00     213.91 1017.0    220.01     1.08     1.33
NAIN       170910 300  222000-222500   00     214.50 1017.0    220.71     1.40     1.65
NAIN       170910 300  222500-223000   00     215.08 1017.2    221.50     1.77     2.02
NAIN       170910 300  223000-223500   00     212.88 1017.2    219.22     0.72     0.97
NAIN       170910 300  223500-224000   00     213.25 1017.1    219.58     0.88     1.13
NAIN       170910 300  224000-224500   00     213.29 1017.2    219.76     0.96     1.21
NAIN       170910 300  224500-225000   00     213.38 1017.4    220.05     1.10     1.35
NAIN       170910 300  225000-225500   00     211.96 1017.4    218.69     0.48     0.73
NAIN       170910 300  225500-230000   00     213.06 1017.6    220.12     1.13     1.38
NAIN       170910 300  230000-230500   00     212.45 1017.7    219.70     0.94     1.19
NAIN       170910 300  230500-231000   00     209.98 1017.8    217.23    -0.20     0.05
NAIN       170910 300  231000-231500   00     210.76 1017.8    218.04     0.17     0.42
NAIN       170910 300  231500-232000   00     210.82 1017.9    218.29     0.29     0.54
NAIN       170910 300  232000-232500   00     212.64 1018.0    220.31     1.22     1.47
NAIN       170910 300  232500-233000   00     212.38 1018.0    220.14     1.14     1.39
NAIN       170910 300  233000-233500   00     211.77 1018.0    219.49     0.84     1.09
NAIN       170910 300  233500-234000   00     210.34 1018.1    218.11     0.21     0.46
NAIN       170910 300  234000-234500   00     210.66 1018.2    218.58     0.42     0.67
NAIN       170910 300  234500-235000   00     209.63 1018.2    217.57    -0.04     0.21
NAIN       170910 300  235000-235500   00     208.56 1018.3    216.58    -0.50    -0.25
