SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    309.56      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH-POLE 170909 3600 000000-010000   00     291.70  682.9    298.11    -3.70    -9999
SOUTH-POLE 170909 3600 010000-020000   00     292.29  682.6    298.00    -3.74    -9999
SOUTH-POLE 170909 3600 020000-030000   00     291.89  682.1    296.61    -4.19    -9999
SOUTH-POLE 170909 3600 030000-040000   00     293.39  681.8    297.44    -3.92    -9999
SOUTH-POLE 170909 3600 040000-050000   00     293.59  681.6    297.32    -3.96    -9999
SOUTH-POLE 170909 3600 050000-060000   00     294.11  681.6    297.64    -3.85    -9999
SOUTH-POLE 170909 3600 060000-070000   00     295.13  681.2    297.91    -3.77    -9999
SOUTH-POLE 170909 3600 070000-080000   00     297.47  680.6    298.95    -3.43    -9999
SOUTH-POLE 170909 3600 080000-090000   00     299.06  680.2    299.73    -3.18    -9999
SOUTH-POLE 170909 3600 090000-100000   00     300.20  679.9    300.11    -3.05    -9999
SOUTH-POLE 170909 3600 100000-110000   00     300.70  679.8    300.38    -2.97    -9999
SOUTH-POLE 170909 3600 110000-120000   00     301.45  679.4    300.33    -2.98    -9999
SOUTH-POLE 170909 3600 120000-130000   00     302.36  679.0    300.21    -3.02    -9999
SOUTH-POLE 170909 3600 130000-140000   00     303.21  678.8    300.59    -2.90    -9999
SOUTH-POLE 170909 3600 140000-150000   00     303.21  678.3    299.52    -3.24    -9999
SOUTH-POLE 170909 3600 150000-160000   00     303.47  677.9    298.93    -3.44    -9999
SOUTH-POLE 170909 3600 160000-170000   00     304.54  677.4    298.89    -3.45    -9999
SOUTH-POLE 170909 3600 170000-180000   00     306.87  676.8    299.85    -3.14    -9999
SOUTH-POLE 170909 3600 180000-190000   00     308.75  676.1    300.10    -3.06    -9999
SOUTH-POLE 170909 3600 190000-200000   00     310.00  675.4    299.71    -3.18    -9999
SOUTH-POLE 170909 3600 200000-210000   00     312.47  674.9    300.91    -2.79    -9999
SOUTH-POLE 170909 3600 210000-220000   00     312.84  674.4    300.22    -3.02    -9999
SOUTH-POLE 170909 3600 220000-230000   00     312.32  674.2    299.30    -3.32    -9999
SOUTH-POLE 170909 3600 230000-240000   00     313.95  673.8    300.06    -3.07    -9999
SOUTH-POLE 170910 3600 000000-010000   00     315.27  673.4    300.30    -2.99    -9999
SOUTH-POLE 170910 3600 010000-020000   00     317.96  672.6    301.22    -2.70    -9999
SOUTH-POLE 170910 3600 020000-030000   00     320.18  672.1    302.02    -2.44    -9999
SOUTH-POLE 170910 3600 030000-040000   00     321.47  671.5    301.99    -2.45    -9999
SOUTH-POLE 170910 3600 040000-050000   00     324.00  671.0    303.34    -2.01    -9999
SOUTH-POLE 170910 3600 050000-060000   00     326.43  670.8    305.10    -1.44    -9999
SOUTH-POLE 170910 3600 060000-070000   00     327.79  670.6    305.79    -1.22    -9999
SOUTH-POLE 170910 3600 070000-080000   00     327.67  670.2    304.82    -1.53    -9999
SOUTH-POLE 170910 3600 080000-090000   00     329.11  669.8    305.25    -1.39    -9999
SOUTH-POLE 170910 3600 090000-100000   00     330.31  669.6    306.05    -1.14    -9999
SOUTH-POLE 170910 3600 100000-110000   00     331.50  669.6    306.99    -0.83    -9999
SOUTH-POLE 170910 3600 110000-120000   00     331.70  669.5    307.07    -0.81    -9999
SOUTH-POLE 170910 300  120000-120500   00     332.90  669.5    308.04    -0.49    -9999
SOUTH-POLE 170910 300  120500-121000   00     333.98  669.5    309.06    -0.16    -9999
SOUTH-POLE 170910 300  121000-121500   00     334.33  669.4    309.33    -0.08    -9999
SOUTH-POLE 170910 300  121500-122000   00     332.68  669.4    307.70    -0.60    -9999
SOUTH-POLE 170910 300  122000-122500   00     334.10  669.4    309.12    -0.14    -9999
SOUTH-POLE 170910 300  122500-123000   00     334.08  669.4    309.09    -0.15    -9999
SOUTH-POLE 170910 300  123000-123500   00     333.84  669.4    308.77    -0.26    -9999
SOUTH-POLE 170910 300  123500-124000   00     332.38  669.4    307.37    -0.71    -9999
SOUTH-POLE 170910 300  124000-124500   00     331.39  669.4    306.60    -0.96    -9999
SOUTH-POLE 170910 300  124500-125000   00     333.55  669.5    308.62    -0.30    -9999
SOUTH-POLE 170910 300  125000-125500   00     335.10  669.4    309.94     0.12    -9999
SOUTH-POLE 170910 300  125500-130000   00     333.30  669.4    308.36    -0.39    -9999
SOUTH-POLE 170910 300  130000-130500   00     334.01  669.5    309.17    -0.13    -9999
SOUTH-POLE 170910 300  130500-131000   00     335.30  669.6    310.50     0.30    -9999
SOUTH-POLE 170910 300  131000-131500   00     333.50  669.6    308.99    -0.18    -9999
SOUTH-POLE 170910 300  131500-132000   00     334.31  669.7    309.92     0.11    -9999
SOUTH-POLE 170910 300  132000-132500   00     335.32  669.8    311.04     0.48    -9999
SOUTH-POLE 170910 300  132500-133000   00     333.19  669.9    309.20    -0.12    -9999
SOUTH-POLE 170910 300  133000-133500   00     332.17  669.9    308.29    -0.41    -9999
