TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.74     % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    116.72      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 170909 3600 000000-010000   00     107.17  996.2    115.11    -1.38    -9999
TERREADELI 170909 3600 010000-020000   00     106.92  995.8    114.50    -1.90    -9999
TERREADELI 170909 3600 020000-030000   00     107.28  995.6    114.73    -1.70    -9999
TERREADELI 170909 3600 030000-040000   00     107.62  995.0    114.59    -1.82    -9999
TERREADELI 170909 3600 040000-050000   00     106.97  994.5    113.48    -2.78    -9999
TERREADELI 170909 3600 050000-060000   00     108.06  993.8    114.00    -2.33    -9999
TERREADELI 170909 3600 060000-070000   00     109.13  992.9    114.39    -2.00    -9999
TERREADELI 170909 3600 070000-080000   00     109.82  991.8    114.14    -2.21    -9999
TERREADELI 170909 3600 080000-090000   00     110.77  990.7    114.23    -2.13    -9999
TERREADELI 170909 3600 090000-100000   00     111.79  989.6    114.29    -2.08    -9999
TERREADELI 170909 3600 100000-110000   00     112.82  988.4    114.33    -2.04    -9999
TERREADELI 170909 3600 110000-120000   00     113.78  986.9    114.04    -2.29    -9999
TERREADELI 170909 3600 120000-130000   00     115.12  985.7    114.32    -2.05    -9999
TERREADELI 170909 3600 130000-140000   00     116.69  983.8    114.30    -2.08    -9999
TERREADELI 170909 3600 140000-150000   00     118.29  982.2    114.51    -1.89    -9999
TERREADELI 170909 3600 150000-160000   00     120.38  980.3    114.86    -1.59    -9999
TERREADELI 170909 3600 160000-170000   00     121.89  978.4    114.68    -1.75    -9999
TERREADELI 170909 3600 170000-180000   00     123.28  977.2    114.97    -1.50    -9999
TERREADELI 170909 3600 180000-190000   00     123.71  976.8    115.05    -1.43    -9999
TERREADELI 170909 3600 190000-200000   00     125.10  975.5    115.23    -1.28    -9999
TERREADELI 170909 3600 200000-210000   00     125.32  975.0    115.02    -1.46    -9999
TERREADELI 170909 3600 210000-220000   00     125.82  974.8    115.30    -1.22    -9999
TERREADELI 170909 3600 220000-230000   00     127.19  973.9    115.80    -0.79    -9999
TERREADELI 170909 3600 230000-240000   00     127.98  973.4    116.06    -0.57    -9999
TERREADELI 170910 3600 000000-010000   00     128.53  973.1    116.31    -0.35    -9999
TERREADELI 170910 3600 010000-020000   00     128.50  973.1    116.29    -0.37    -9999
TERREADELI 170910 3600 020000-030000   00     128.84  972.5    116.04    -0.58    -9999
TERREADELI 170910 3600 030000-040000   00     129.39  971.8    115.95    -0.66    -9999
TERREADELI 170910 3600 040000-050000   00     130.37  971.4    116.49    -0.20    -9999
TERREADELI 170910 3600 050000-060000   00     131.63  970.6    116.87     0.13    -9999
TERREADELI 170910 3600 060000-070000   00     131.31  970.0    116.13    -0.51    -9999
TERREADELI 170910 3600 070000-080000   00     131.66  969.8    116.21    -0.43    -9999
TERREADELI 170910 3600 080000-090000   00     131.93  969.7    116.39    -0.28    -9999
TERREADELI 170910 3600 090000-100000   00     132.72  969.3    116.71    -0.01    -9999
TERREADELI 170910 3600 100000-110000   00     133.34  968.6    116.70    -0.01    -9999
TERREADELI 170910 3600 110000-120000   00     133.11  968.6    116.45    -0.23    -9999
TERREADELI 170910 300  120000-120500   00     133.07  968.4    116.26    -0.39    -9999
TERREADELI 170910 300  120500-121000   00     131.67  968.3    114.97    -1.50    -9999
TERREADELI 170910 300  121000-121500   00     133.07  968.3    116.21    -0.43    -9999
TERREADELI 170910 300  121500-122000   00     132.20  968.2    115.34    -1.18    -9999
TERREADELI 170910 300  122000-122500   00     132.60  968.2    115.67    -0.90    -9999
TERREADELI 170910 300  122500-123000   00     133.07  968.2    116.12    -0.51    -9999
TERREADELI 170910 300  123000-123500   00     133.00  968.3    116.09    -0.54    -9999
TERREADELI 170910 300  123500-124000   00     133.33  968.3    116.38    -0.29    -9999
TERREADELI 170910 300  124000-124500   00     132.87  968.3    115.99    -0.62    -9999
